date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
2000-10-17,9.5,11.5,-0.19105523676270922,-0.19105523676270922,-0.19105523676270922,inf,-0.19105523676270922,11.3,11.4,11.466666666666667,1,17,10,11.13803182040931,11.39507188318739,0.0,-0.17965820477489558,-0.05468923048655156,12.294427190999919,10.505572809000082,0.05499613322031964,0.038888138739126776,0.03239449936745693,-4441.0,-4.248529157249587,0,0,-1,0,0,-0.17391304347826086,4.2485291572496005,1.2346601286468764,0.6173300643234382,-0.17391304347826086,-0.17391304347826086,-2.236067977499789,0.0,0.0
2000-10-18,9.5,9.5,0.0,0.0,0.0,-inf,0.0,11.1,11.3,11.383333333333333,2,18,10,10.84020785306216,11.272809181046268,0.0,-0.30166887656986496,-0.10408515970321425,12.531174022502189,10.068825977497813,0.05499613322031964,0.038888138739126776,0.03239449936745693,-4441.0,-2.9240383034426847,0,0,-1,0,0,0.0,-0.22360679774997896,1.2346601286468764,0.6173300643234382,-0.17391304347826086,-0.17391304347826086,-2.236067977499789,0.0,0.0
2000-10-25,11.0,9.5,0.14660347419187544,0.14660347419187544,0.14660347419187544,inf,0.14660347419187544,10.25,10.875,11.083333333333334,2,25,10,10.264111576553185,10.866890560638982,42.857142857142854,-0.4399330682318414,-0.3533653507438634,12.735248992954837,9.014751007045163,0.07828071708037551,0.053882750538814736,0.04361585512992603,-4406.0,0.13439061165833383,0,0,-1,0,0,0.15789473684210525,0.3108763888370756,1.120941432587296,0.8553621472910122,0.1578947368421053,-0.04347826086956519,2.236067977499788,0.0,0.0
2000-10-26,11.0,11.0,0.0,0.0,0.0,-inf,0.0,10.2,10.85,11.066666666666666,3,26,10,10.397909471725333,10.875478266404208,42.857142857142854,-0.3557616364578866,-0.35384460788666805,12.688191330743637,9.011808669256363,0.07828071708037551,0.053882750538814736,0.04361585512992603,-4406.0,0.16320390319686487,0,0,-1,0,0,0.0,-0.2514323248217174,1.120941432587296,0.8553621472910122,0.1578947368421053,-0.04347826086956519,2.236067977499788,0.0,0.0
2000-12-22,10.5,11.0,-0.04652001563489282,-0.04652001563489282,-0.04652001563489282,inf,-0.04652001563489282,10.95,10.975,10.983333333333333,4,22,12,10.908894276832886,10.959098282541174,0.0,-0.031761568724427036,0.002647091315772578,11.19860679775,10.75139320225,0.014373989364401724,0.01016394535227178,0.008298826628866138,-5273.0,-4.248529157249218,0,0,-1,0,0,-0.045454545454545456,2.7257543001987643,0.32269526089634243,0.1613476304481715,-0.045454545454545414,-0.045454545454545414,-2.2360679774997902,0.0,0.0
2000-12-26,10.5,10.5,0.0,0.0,0.0,-inf,0.0,10.9,10.95,10.966666666666667,1,26,12,10.83454986286327,10.92947903850626,0.0,-0.06310389245743409,-0.010503105438868754,11.25779350562556,10.642206494374438,0.014373989364401724,0.01016394535227178,0.008298826628866138,-5273.0,-2.924038303442549,0,0,-1,0,0,0.0,-0.40020995677521537,0.32269526089634243,0.1613476304481715,-0.045454545454545414,-0.045454545454545414,-2.2360679774997902,0.0,0.0
2000-12-29,10.25,10.5,-0.02409755157906053,-0.02409755157906053,-0.02409755157906053,inf,-0.02409755157906053,10.725,10.8625,10.908333333333333,4,29,12,10.637781254716243,10.835472601461156,0.0,-0.13723181811096552,-0.060692445388756726,11.361841671867237,10.363158328132764,0.015467737022639675,0.011222940701890212,0.009234664983714218,-6140.0,-2.453230060730244,0,0,-1,0,0,-0.023809523809523808,2.2059400810710477,0.32470129766242056,0.1781586604561571,-0.06818181818181823,-0.06818181818181823,-1.1963882899209592,0.0,0.0
2001-01-02,10.0,10.25,-0.02469261259037152,-0.02469261259037152,-0.02469261259037152,0.0,-0.02469261259037152,10.625,10.8125,10.875,1,2,1,10.521821026586016,10.781571143302372,0.0,-0.18115719979458333,-0.08478539626992204,11.438157548840467,10.186842451159533,0.016161614628725975,0.01211640168358483,0.010061058612372754,-7007.0,-2.597267471657005,0,0,-1,0,0,-0.024390243902439025,1.8717097112207026,0.20956964405666353,0.19234191383837868,-0.04761904761904767,-0.09090909090909094,-0.6096844670244632,0.0,0.0
2001-01-03,10.0,10.0,0.0,0.0,0.0,-inf,0.0,10.525,10.7625,10.841666666666667,2,3,1,10.426944476297649,10.731147198573186,0.0,-0.21350720311030003,-0.11052975763799765,11.478391053163824,10.046608946836175,0.016161614628725975,0.01211640168358483,0.010061058612372754,-7007.0,-2.1302124020971913,0,0,-1,0,0,0.0,-0.5465487190428384,0.20956964405666353,0.19234191383837868,-0.04761904761904767,-0.09090909090909094,-0.6096844670244632,0.0,0.0
2001-01-12,10.88,10.0,0.08434114843375096,0.08434114843375096,0.08434114843375096,inf,0.08434114843375096,10.113,10.4565,10.637666666666666,4,12,1,10.264790079322076,10.515189329535657,46.808510638297896,-0.18688198725582517,-0.21383865058240323,11.335381466171043,9.577618533828957,0.03117579469296046,0.0240288144584206,0.01945004867962758,-5238.0,0.9637249533660812,0,0,-1,0,0,0.08800000000000008,3.0096122829645293,0.6247380250953201,0.38144560414016454,0.08800000000000008,-0.010909090909090868,2.236067977499791,0.0,0.0
