date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
1999-12-14,9.188,10.03,0.0,-0.055009463983348744,-0.08580611971454082,0.014857745244071532,-0.08768231714699215,10.171100000000001,11.077549999999999,11.898033333333334,1,14,12,10.209631449301952,11.458546886013998,17.044257112750245,-0.9027358668059531,-0.8006891530373395,13.317556247641665,8.837543752358332,0.034510500698708174,0.026576806417782792,0.027076998864882046,-11677500.0,-1.6870935087697752,0,0,-1,0,0,-0.009172482552342848,0.12775431884919228,0.6708901629338697,0.4218937225425519,-0.09833169774288508,-0.3258987527512839,-0.9092825918147346,0.09523291249455812,0.0
1999-12-15,9.625,9.188,-0.0853478937115737,-0.006359482392943342,0.006817708395910532,-0.033125232139842135,0.046465595346996104,10.0776,10.883799999999999,11.764533333333334,2,15,12,10.103334822156143,11.340253538529225,27.63191435126177,-0.895198611159147,-0.819591044661701,12.900811296056883,8.866788703943115,0.03804277092718225,0.03045169925838885,0.029213196968933885,-10831300.0,-1.2481833913978224,0,0,-1,0,0,-0.00685676969960825,-0.048974445375741124,0.7916336856734809,0.4834057394221616,-0.01915825945174776,-0.2870370370370371,-1.288522627112551,0.07792207792207792,0.0
1999-12-16,9.5,9.625,0.03372619383564056,-0.02564243061333767,0.013605652055778678,-0.12321907940760791,-0.013072081567352775,9.9466,10.7148,11.612533333333335,3,16,12,9.993637581764116,11.221527503785405,24.54175152749488,-0.8890631702830554,-0.8334854697859719,12.588914932160616,8.840685067839384,0.036318430656496245,0.02964664772358405,0.028080277375397738,-11579400.0,-1.2963986137173467,0,0,-1,0,0,-0.019428571428571365,-0.4207522317043566,0.7519405608875803,0.47062594250005535,-0.055666003976143186,-0.26242236024844723,-0.7794873116305001,0.039473684210526314,0.0
1999-12-17,10.44,9.5,0.013157392063209908,0.08701137698962969,0.01342302033214077,0.8678427094081843,0.09435278384799754,9.915600000000001,10.617799999999999,11.497866666666669,4,17,12,10.07479438507973,11.171106374508927,41.77270732777533,-0.7991386719296134,-0.8266161102147003,12.322153632689876,8.913446367310122,0.05065649397031144,0.03844251524114167,0.03468676851168635,-9797600.0,-0.2086421463125451,0,0,-1,0,0,0.006631578947368486,2.6101893261462816,1.0861248016222322,0.6102560105992265,0.04400000000000004,-0.1567043618739904,-0.148182945808531,0.10775862068965518,0.0
1999-12-20,9.875,10.44,0.05759983289318635,-0.02409755157906053,0.03922071315328133,-0.6145993254293015,-0.055638271667307046,9.8721,10.50505,11.375033333333334,0,20,12,10.03846813324705,11.087486608411577,37.60616235433537,-0.7646492367874043,-0.8142227355292411,12.081765637012593,8.928334362987409,0.05194438669475997,0.03974499510034554,0.03557704258477423,-10761300.0,-0.799192936519306,0,0,-1,0,0,-0.029693486590038193,0.28556792372805073,1.1824482742962599,0.6309322373699697,-0.015453639082751658,-0.18590272052761758,0.387710834124065,0.05063291139240506,0.0
1999-12-21,9.938,9.875,-0.02549500747340647,-0.01871054091282394,0.009594847519053517,-0.26954992412836554,0.006359482392943408,9.846900000000002,10.398950000000001,11.247966666666667,1,21,12,10.020201199929405,11.013326182062444,43.17383669885864,-0.723888007125705,-0.7961557898485339,11.812209386926854,8.985690613073148,0.051927685711786895,0.03989735880500944,0.03542708930414777,-10025300.0,-0.6523218657013001,0,0,-1,0,0,0.0,-0.3664018538609742,0.929681758137992,0.6333509361982087,0.08162821070962134,-0.17595356550580432,0.382787546180637,0.021734755484000914,0.0
1999-12-22,9.75,9.938,0.01856085388440759,0.024547133357275448,-0.009594847519053562,0.8348566581489171,-0.019098508170373136,9.8406,10.301950000000001,11.137633333333333,2,22,12,9.97107370903315,10.931821267090674,38.206497552291935,-0.6987002857995783,-0.7766646890387428,11.604039895029093,8.99986010497091,0.050850107293795306,0.03964497774926523,0.034660742859297995,-11721400.0,-0.847790927657372,0,0,-1,0,0,0.012276111893741183,2.1597949564118153,0.9123396644556077,0.6293445111434701,0.01298701298701288,-0.16595380667236947,1.4228175022858431,0.057435897435897484,0.0
1999-12-23,10.06,9.75,-0.024859127447236562,-0.01761297976827648,0.0,-0.34767799820239864,0.03129987966183749,9.8406,10.23595,11.0333,3,23,12,9.987242125572577,10.875574733729986,42.727655986509276,-0.6462745749509082,-0.750586666221176,11.437927226336509,9.033972773663493,0.05124860310310069,0.040371561880556996,0.03529865690614337,-10523400.0,-0.292767610142292,0,0,-1,0,0,0.006461538461538525,0.7927562981935057,0.9156268698005432,0.6408786766512535,0.05894736842105264,-0.1159929701230229,0.6810646299672717,0.03777335984095435,0.0
1999-12-27,9.969,10.06,0.027836797141160878,0.005905528974041296,0.00317444329860011,-0.0031769945625026415,-0.009086886631026352,9.8375,10.159400000000002,10.927933333333334,0,27,12,9.98392537546847,10.817086041231278,46.12059158134242,-0.6050946069076399,-0.7214882543584689,11.207586484010928,9.111213515989075,0.05130553173573011,0.04020226617681897,0.03529133099805352,-11717600.0,-0.36329413306576724,0,0,-1,0,0,0.0029821073558647473,0.7116196064404845,0.5041610842245001,0.6381911906705187,-0.0451149425287356,-0.13313043478260878,-0.31138807261414847,0.04102718427124074,0.0
1999-12-28,9.75,9.969,-0.015179041185388646,-0.012839682563040192,-0.009553722057564733,-0.6824857435753059,-0.022212993030811007,9.8095,10.087399999999999,10.802933333333334,1,28,12,9.941393489019656,10.74824178050668,45.104583889630625,-0.5834055196155319,-0.6938717074098815,11.030027101579202,9.144772898420795,0.05179538288239258,0.04008302184592761,0.03467436431054188,-12321100.0,-0.7158716303292046,0,0,-1,0,0,-0.0031096398836391623,-0.9752711442381259,0.3501632160544026,0.6362982456017616,-0.012658227848101222,-0.12868632707774796,1.0902584414404595,0.03815384615384614,0.0
