date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
2014-10-28,25.3,25.23,0.004364220376596915,0.0023754998828860153,0.0035778213478839024,-0.8001405477406693,0.00277063308050812,25.219,25.38427,25.383846666666667,1,28,10,25.269976581205963,25.321553307005708,39.726467188904536,-0.03869052612717638,-0.01908348622646929,25.769213556217903,24.9993264437821,0.00574709628698425,0.005333247416842311,0.004643890364193069,-716509.0,-0.43783042287009016,0,0,-1,0,0,0.0011890606420927917,-0.38087905026401975,0.020195337281433516,0.08466267807205431,0.004765687053216894,-0.007453903491565272,0.6056582660466081,0.005138339920948577,0.0
2014-10-29,25.17,25.3,0.0015427523382691313,0.0005920079107289163,-0.0016283091029971873,1.1570875716526348,-0.00515158658625002,25.206,25.367775,25.379513333333332,2,29,10,25.2517990209867,25.311775674295664,39.726467188904635,-0.04471363146894447,-0.02420951527496433,25.760058988833013,24.97549101116699,0.0047764135341998686,0.005434620428115562,0.0046826595617814075,-931286.0,-1.008325629543805,0,0,-1,0,0,-3.9525691699653045e-05,-0.146421998718705,0.04795420074786662,0.08627192473695094,-0.0011904761904760752,-0.012937305636492646,-1.279064425221539,0.0073897497020262186,0.0
2014-10-30,25.03,25.17,-0.0023348315876018256,-0.0037553162029438517,-0.014372032243443914,0.6503521071737466,-0.005577703703541725,25.173000000000002,25.343775,25.36718,3,30,10,25.211471926261844,25.293596598534652,39.98578168422412,-0.060091122759857285,-0.03138583677194292,25.757565172481304,24.929984827518698,0.004902811289972111,0.005537356813347976,0.00471652861029123,-1342845.0,-1.5165899089310932,0,0,-1,0,0,0.00278108859753662,0.15341614108063575,0.056873680018480484,0.08790281429248711,-0.008320126782884185,-0.018816150529204267,-0.06362653543006944,0.01797842588893325,0.0
2014-10-31,25.18,25.03,-0.008754532634247301,-0.000792393068402455,0.008831851867828517,-0.8792307951992572,0.005974923172518188,25.186,25.321275,25.357513333333333,4,31,10,25.205749757850597,25.28626778572597,33.60503360503348,-0.05948840371132036,-0.03700635015981841,25.71812535161752,24.92442464838248,0.0036045428381058188,0.00561340568498054,0.004828754337749061,-1172006.0,-0.7119812262943889,0,0,-1,0,0,-0.0003995205753096909,-0.2553987790423275,0.07938188126760552,0.08911005270344814,-0.002377179080824021,-0.0175575497463909,0.23017428165254405,0.008339952343129502,0.0
2014-11-03,25.3,25.18,0.007961825498008442,0.0035608346230089605,0.0059375734821009935,-0.9170021808152519,0.004754367117273498,25.207,25.305775,25.35518,0,3,11,25.222886165514126,25.28715373503397,40.136054421768684,-0.04876560783327477,-0.03935820169450968,25.67863421076545,24.932915789234553,0.0038409183360458786,0.005753325965309605,0.004868639208862678,-1103719.0,-0.030976839693160743,0,0,-1,0,0,0.0015885623510722457,-0.41299960435784433,0.08769104324836673,0.09133121829419903,0.002774474831549689,-0.012104646622413062,-0.42336319221418356,0.005968379446640308,0.0
2014-11-04,25.43,25.3,0.001584786385571767,0.008259633977417078,0.003609038401479235,0.5839507047593994,0.005125183700553687,25.232,25.298925,25.357179999999996,1,4,11,25.260543226329737,25.296369623096297,54.9618320610687,-0.02943845313869886,-0.03737425198334752,25.65628928634923,24.94156071365077,0.003992506283570988,0.005886019667607017,0.004961078679324857,-981273.0,0.7335651882790929,0,0,-1,0,0,-0.0015810276679841559,-0.3272535557951374,0.09289234939309743,0.09343766551513938,0.005138339920948587,-0.005358469902608798,-0.584889336519062,0.010617381046008635,0.0
2014-11-05,25.45,25.43,0.006707462511683056,-0.0011757790890120617,0.0040101591624747265,-0.4044692465648836,0.0007861635625033561,25.256999999999998,25.290425,25.359513333333332,2,5,11,25.294989912451598,25.30628126031589,53.543307086614185,-0.012365172929118984,-0.032372436172501816,25.622850965639838,24.95799903436016,0.003992550799417718,0.005866268943538762,0.004962423140036721,-899561.0,0.9600633915155012,0,0,-1,0,0,0.0,-0.3848863582588348,0.07606875865321733,0.09312413249055103,0.011124354390146918,-0.006635441061670688,-1.4403500863914473,0.00544204322200395,0.0
2014-11-06,25.49,25.45,-0.0007867821019555369,0.0,0.001516897939671205,-0.5439670139403603,0.0015704753914922613,25.282,25.290425,25.364179999999998,3,6,11,25.330446292005853,25.318134082230998,72.00000000000004,0.004343125502078493,-0.025029323837585757,25.622850965639838,24.95799903436016,0.003992296748482004,0.005770022751787429,0.004963288125439003,-852132.0,1.200718479471755,0,0,-1,0,0,-0.001571709233791715,-0.42036976478764326,0.03677591244102129,0.09159627156248465,0.018377946464242845,0.0,-0.5019056482718482,0.003923107100823909,0.0
2014-11-07,25.65,25.49,-0.0013783599701212709,0.006644542718668732,-0.0009847366625394926,-0.2221478212802244,0.00625735322875452,25.323,25.305929999999996,25.374513333333333,4,7,11,25.388546966186606,25.339544786603195,75.00000000000009,0.03014771116182402,-0.013993916837703804,25.674981889662085,24.936878110337908,0.0043003446757895894,0.005756047387890198,0.005083933144869982,-814151.0,1.8646158420434527,0,0,-1,0,0,-0.004511573165947369,-0.42679702155742166,0.03795239952467013,0.09137441953836242,0.01866560762509928,0.012237617354448949,-0.41500263970063156,0.011500974658869463,0.0
2014-11-10,25.69,25.65,0.010311188527991613,0.002684356491399114,0.0041293933420111124,0.32378427613742666,0.0015582395050138453,25.369,25.3085,25.385513333333336,0,10,11,25.44335660869813,25.362154800370732,73.83177570093473,0.05321229865977983,-0.0005526737382070754,25.687877606641525,24.929122393358472,0.004242496983236178,0.005132595691685625,0.005087816275974258,-761648.0,2.011188817269757,0,0,-1,0,0,-0.00046783625730982076,-0.4008459269312979,0.03912974266383325,0.08147743068265027,0.015415019762845983,0.0020047896531012466,0.6499509263106908,0.010081743869209823,0.0
