date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
1999-12-14,91.44,93.94,0.02288822851008844,-0.007279665001053421,-0.002080027023954303,-0.5389739120211688,-0.02697326111229377,94.452,90.86500000000001,88.954,1,14,12,92.73392082328633,89.30378383704311,60.8864696734059,2.5086263264834088,2.9490934772154382,99.97836670125695,81.75163329874307,0.025584504475201667,0.023575612166300452,0.023801229374373838,5646300.0,0.12618827242421476,0.0,0.0,-1,0.0,0.0,0.002022567596338064,-0.3013295303423839,0.3667525072526332,0.3742512407888384,-0.04251308900523565,0.04802292263610308,0.34205975748034434,0.034886264216972857,0.0
1999-12-15,91.31,91.44,-0.0310738130965279,-0.029551390155502812,-0.008253141756720414,0.4052482354115867,-0.0014227088583063788,94.039,91.0775,89.31233333333333,2,15,12,92.47502612814336,89.43321713787904,58.5097719869707,2.229196742435434,2.8051141302594376,100.01377468597276,82.14122531402724,0.021194993805085445,0.023568136415115615,0.02352224607301563,2880000.0,0.05203510594072408,0.0,0.0,-1,0.0,0.0,-0.00207786526684162,0.43315376237708164,0.28348609677027603,0.3741325669178476,-0.009545503850742931,0.04881690787962323,0.11656783005012142,0.013032526557879726,0.0
1999-12-16,90.0,91.31,-0.005494519317640702,-0.006126263553773973,-0.011111225425070722,-0.7549925884428368,-0.014450640297983743,93.476,91.2745,89.602,3,16,12,92.02502137757183,89.46978377414491,53.06122448979592,1.8803650541649546,2.620164315040541,99.91382617986524,82.63517382013477,0.021293217418075237,0.023666896596262026,0.023749086906600048,1579800.0,-0.2950461583382152,0.0,0.0,-1,0.0,0.0,-0.006132953674296377,-0.7877705052366247,0.2975572865232089,0.3757003361903421,-0.02110071785947354,0.04578201254938419,0.6002563025496742,0.01811111111111106,0.0
1999-12-17,90.56,90.0,0.004836768800614021,0.0027395776270899975,0.001451460088460683,0.9668592597594309,0.006202944124607865,92.663,91.5025,89.908,4,17,12,91.75865385437694,89.54012030484525,45.88235294117647,1.630307576982517,2.4221929674289364,99.78921447813335,83.21578552186665,0.017408975483190977,0.023668193844870136,0.023747470488778878,4998900.0,-0.22747254113485554,0.0,0.0,-1,0.0,0.0,0.013222222222222198,0.8949552391787288,0.3068274980222345,0.37572092937357626,-0.012970027247956373,0.05302325581395362,0.18057802634447742,0.019324204946996465,0.0
1999-12-20,88.31,90.56,-0.0069326274907013175,0.004040850799554258,-0.015516389555864171,-0.7102264860356814,-0.025159262974161906,91.694,91.649,90.00166666666668,0,20,12,91.13162588085386,89.46075770453265,42.613636363636374,1.236327415919547,2.1850198571270587,99.57575124266918,83.72224875733082,0.018145780115895915,0.024380558627801727,0.022589363512047593,3318300.0,-0.8424636771812342,0.0,0.0,-1,0.0,0.0,0.0,-0.5889543817301707,0.2283656602245683,0.38702936972396124,-0.05993187140728118,0.03431717029749359,0.34716678136246254,0.0396331106329974,0.0
1999-12-21,87.13,88.31,-0.02436691475227896,-0.03606493492079579,-0.02141752828085111,0.7410699313525421,-0.013452095237515454,90.857,91.865,90.02266666666667,1,21,12,90.40405753888042,89.31038623972411,29.542097488921712,0.8194332451047472,1.9119025347225964,98.97050416745242,84.75949583254757,0.017398801978204936,0.023492856350734382,0.02265575566655564,-207900.0,-1.3327696074514206,0.0,0.0,-1,0.0,0.0,0.0007926622126598707,0.8877065700598147,0.1921933356145334,0.3729375329436455,-0.04713473315835526,0.052167612607173064,0.16851667347353494,0.024331458739814123,0.0
1999-12-22,87.5,87.13,-0.015048163578442363,-0.009879146946124613,-0.004408871279047298,-0.5685747494308446,0.004237537120373439,90.388,91.94800000000001,90.09766666666665,2,22,12,89.8760470772658,89.19358712748385,30.161054172767223,0.5129841569153228,1.6321188591611417,98.79110978860832,85.10489021139169,0.015237534864151558,0.022117889328776844,0.0224871878650319,1789100.0,-1.2999937564656845,0.0,0.0,-1,0.0,0.0,-0.0008033972225409524,-0.3839080940862713,0.21062595336240447,0.3511106081375571,-0.0417259883911949,0.019338303821062386,0.07223053594532239,0.018628571428571376,0.0
1999-12-23,89.13,87.5,0.009374711392257817,0.019325910856213466,0.017976976401154525,0.07051399741322134,0.01845718477905723,90.107,92.04799999999999,90.229,3,23,12,89.74040215412656,89.18948473216231,24.921301154249747,0.3970712341809701,1.3851093341651075,98.64882482884161,85.44717517115836,0.01700185077851508,0.022250714960363103,0.022709299500292036,3932000.0,-0.8841319306793565,0.0,0.0,-1,0.0,0.0,0.004342857142857091,-0.31558101638512503,0.27300135262558256,0.3532191496710311,-0.009666666666666712,0.022954206358315243,-0.3640516264081756,0.01997082912599575,0.0
1999-12-27,89.5,89.13,0.013338052377146886,0.01565915722098751,0.0050125418235441935,-0.038968749938577484,0.004142647138183805,89.882,92.09799999999998,90.229,0,27,12,89.69669267155808,89.20951797524863,27.321237993596597,0.33124690743262875,1.1743368488186117,98.60007610569193,85.59592389430804,0.01715155311551806,0.02200691984357553,0.020765019013765876,5993000.0,-0.7991293727631663,0.0,0.0,-1,0.0,0.0,-0.0007853696847300929,-0.48668322626979427,0.26953071669586937,0.34934902217179986,-0.011704946996466403,0.011299435028248483,-0.28246145898674246,0.030726256983240222,0.0
1999-12-28,91.25,89.5,0.009832481449005032,0.013680103904080176,0.018353270891063877,0.07755388924964145,0.019364367181791152,89.613,92.04499999999999,90.30799999999999,1,28,12,89.97911218582024,89.3411619768455,38.18788215675375,0.41550138753085264,1.0225697565610599,98.55707299842696,85.53292700157301,0.0164588439086874,0.020183734046631176,0.02101262601434856,8220200.0,-0.24416188215089862,0.0,0.0,-1,0.0,0.0,0.0049162011173184104,-0.3026292719957565,0.21334486278933432,0.3204068448963207,0.03329181293171768,-0.011483046257176888,-0.7145434336599666,0.025972602739726076,0.0
