date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
2015-05-14,26.23,26.5,-0.0018751177442444145,-0.014652276786870375,-0.010662705744040069,-1.1802400351252564,-0.010240939113394196,25.677,25.428,25.464333333333336,3,14,5,25.79707756109149,25.623524459216217,54.213483146067425,0.11871625462221758,-0.04395597131620367,26.721572775809616,24.134427224190386,0.025519569714209024,0.021886837246828127,0.023132559762739906,2629694.0,1.2399766213355081,0.0,0.0,-1,0,0,0.0052830188679245495,-0.25807950920961426,0.38850954411630045,0.347442770045117,0.057234985892785195,0.058514931396287384,0.5127462627002419,0.037361799466260025,0.0
2015-05-15,26.51,26.23,-0.015510051793406055,-0.007782976466389666,-0.002683536208854429,-0.04951901878667427,0.010618226422151976,25.732,25.4955,25.46466666666667,4,15,5,25.926699822711218,25.680716429589367,52.547307132459984,0.17163522809277154,-0.0008377314344086284,26.868632799189694,24.122367200810306,0.02331622049439682,0.02177395900057176,0.02308519563588178,3053623.0,1.4776429499006554,0.0,0.0,-1,0,0,0.0,-0.2920297715203263,0.38148445672852943,0.3456508834369763,0.06551446945337625,0.05365659777424492,0.2333550217217351,0.03168238400603546,0.0
2015-05-18,26.23,26.51,0.010240939113394146,0.003715675610647732,0.00650471013617773,-0.07277608915780664,-0.010618226422151931,25.756999999999998,25.55,25.479,0,18,5,25.981845309490996,25.71615407929328,58.79478827361564,0.18880382294186404,0.03709057944084591,26.949984962325253,24.15001503767475,0.023673753478033424,0.02196847576302548,0.02263026274781461,2659450.0,0.971439005845576,0.0,0.0,-1,0,0,-0.00037721614485105854,-0.35658423503786846,0.36660750029555794,0.3487387413126921,0.02141744548286617,0.04335719968178209,1.537825329255571,0.029355699580632846,0.0
2015-05-19,25.94,26.23,-0.0071956379399752265,-0.01832169403773672,-0.027369628911427923,0.05932291288790687,-0.011117614990484444,25.808999999999997,25.607999999999997,25.502333333333336,1,19,5,25.974237071401724,25.730595751596937,58.60389610389612,0.1769694875906751,0.06506636107081175,26.969247106226682,24.246752893773312,0.022767495157050625,0.021849906892981732,0.022346848417519275,2241186.0,0.4877879974640217,0.0,0.0,-1,0,0,0.0030499428135721805,-0.29892709117348704,0.15025704653061694,0.3468565188524739,-0.03100485618229354,0.04681194511702991,2.226990651555252,0.03808404009252119,0.0
2015-05-20,26.38,25.94,-0.016092301288755016,0.011257154524634468,0.014703944339320473,-0.28323228417922464,0.016819968400870525,25.993000000000002,25.688499999999998,25.543333333333333,2,20,5,26.04801214932868,25.772492799881007,60.218408736349446,0.20078054123187172,0.09220919710302375,27.031384170260722,24.345615829739273,0.01901882507427917,0.02207168430324063,0.022511057520285555,2556283.0,1.0298728889860174,0.0,0.0,-1,0,0,-0.0019275250578257791,-0.5114172265382321,0.21530203505366435,0.3503771260962159,-0.004528301886792541,0.06499798142914814,0.7270116084719811,0.034495830174374534,0.0
2015-05-21,25.6,26.38,0.027806019203519407,-0.004487666469388017,-0.01557057537542229,0.6230161434107764,-0.030013795803651645,26.071999999999996,25.715999999999998,25.519333333333336,3,21,5,25.966555394905285,25.76136423214675,47.142857142857146,0.15492560558059765,0.10475247879853854,27.0259521887619,24.406047811238096,0.022225747309613398,0.023164922102862553,0.021569745767371046,1968771.0,-0.17710570049069238,0.0,0.0,-1,0,0,0.009097801364670281,-0.023293480665861326,0.2968584866436454,0.3677317381461463,-0.024018299656881403,0.021956087824351433,-0.12719349076142922,0.04648437500000005,0.0
2015-05-22,26.1,25.6,-0.033228185857220455,-0.0011250704355694656,0.010148408721721165,-0.12350157935878016,0.019342962843130935,26.194,25.7395,25.546333333333333,4,22,5,25.99081805037705,25.78321170104051,50.8849557522124,0.1571198798642932,0.11522595901168947,27.059778678716608,24.41922132128339,0.022801461105159723,0.022998964810218386,0.02060270837563529,2488026.0,0.5460968291185764,0.0,0.0,-1,0,0,0.0058593749999999445,-0.1714156379232154,0.33052386601888606,0.3650972477985821,-0.01546586193889099,0.018337885290675038,-0.029325033613061335,0.0344827586206896,0.0
2015-05-26,26.42,26.1,0.010815091896728904,0.003745322730162113,-0.0074059976004110985,-0.44463105198394615,0.012185984765531462,26.268,25.752500000000005,25.58133333333333,1,26,5,26.068851132126678,25.824294817102412,57.64525993883792,0.18257556621346538,0.12869588045204466,27.095142720042908,24.4098572799571,0.02096601518853853,0.022698002380473616,0.020698467437089273,2820900.0,0.9943077038077088,0.0,0.0,-1,0,0,-0.0026819923371647616,-0.49558050652758817,0.33700927445681117,0.36031961734011164,0.0072436141822340705,0.00993883792048944,-0.9512120774256551,0.04504163512490542,0.0
2015-05-27,26.98,26.42,0.017895013985702535,0.017050079453139355,0.03195652100589862,0.04709582533710077,0.020974551685430505,26.288999999999998,25.844,25.62066666666667,2,27,5,26.2345145626491,25.898856441805485,69.61414790996787,0.24511121145895842,0.15197894665342743,27.261119391025698,24.426880608974304,0.0172817158677745,0.021126443666462925,0.02082150734245832,3169826.0,1.6032523543097863,0.0,0.0,-1,0,0,0.0030280090840271875,-0.4502160869573307,0.33832574978959584,0.33537189617205904,0.04009252120277562,0.0727634194831015,-2.100815762112821,0.03039288361749445,0.0
2015-05-28,26.66,26.98,0.013865689635223308,-0.000367579493203307,0.009053249310608169,-0.3038906319435399,-0.011931536029047226,26.305,25.933,25.672,3,28,5,26.311875551258353,25.947962477818034,64.75279106858056,0.26578601942669167,0.17474036120808029,27.318429441307675,24.547570558692325,0.017415849067318336,0.02116844202377442,0.020309837723923408,2912339.0,1.0494940822302756,0.0,0.0,-1,0,0,-0.004077094143810208,-0.6280552593628858,0.35222744409244927,0.3360385994255757,0.010614101592115288,0.07154340836012874,-0.8552489927836562,0.02138034508627158,0.0
