date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
2017-06-26,20.5,20.47,-0.029435176978088833,-0.00260941910607165,-0.007941490294993653,-1.540476384148294,0.0014644864711644719,22.294,22.4125,22.497333333333334,0,26,6,21.739912417365016,22.12916571928618,38.90954151177201,-0.2657526173180287,0.07862758252537722,24.527438097887202,20.2975619021128,0.036715182141610604,0.028845139182557822,0.0270495051278363,3256429.0,-1.8085635715868627,0.0,0.0,-1,0,0,-0.002442598925256334,-0.3727051357712372,0.6475464679078866,0.45790238886055773,-0.1429765886287626,-0.10985670864090324,-0.2872914400068099,0.047317073170731826,0.0
2017-06-27,21.29,20.5,0.0068326278504447155,0.027180679836576935,0.016790517912991253,0.263406907734335,0.037812592761025644,22.074,22.3295,22.473,1,27,6,21.658110159662286,22.075025995461267,47.17887154861945,-0.2923359745893741,0.004434871102426956,24.485514598134348,20.17348540186565,0.03885880548960228,0.03047607898049822,0.02677852832731208,4285505.0,-0.9642791852147056,0.0,0.0,-1,0,0,0.0029268292682926205,-0.09257447102783883,0.7520923924821633,0.4837927555125671,-0.058797524314765814,-0.0723311546840959,-0.9660784612685926,0.05683419445749165,0.0
2017-06-28,21.27,21.29,0.03442022388647937,0.00046221401331344693,0.03465216770557202,-0.33305965967612616,-0.0009398496932422736,21.875999999999998,22.246499999999997,22.445333333333334,2,28,6,21.587544676087322,22.023088834463767,47.694174757281566,-0.31142736875251487,-0.05873757686856141,24.432775612229978,20.060224387770017,0.03893956416188877,0.03047579817290307,0.026765614965462356,3547938.0,-0.8932999979851375,0.0,0.0,-1,0,0,-0.00046970408642545847,-0.47058004314295354,0.38815027420671955,0.4837882978301889,0.02654440154440163,-0.07239424334932398,-0.01602643822450357,0.023507287259050307,0.0
2017-06-29,21.43,21.27,0.0023468680098153475,-0.004631782250038325,-0.004741592572582552,0.07647840731736491,0.007494180273339816,21.72,22.1715,22.423,3,29,6,21.558900189525993,21.984825038691913,42.989417989418,-0.3100724511452633,-0.10900455172390179,24.36196041783577,19.981039582164232,0.03922652725227162,0.030564958058832418,0.02680974930660747,4344126.0,-0.6770266140966135,0.0,0.0,-1,0,0,0.0028208744710859768,-0.42225966218427474,0.37738010267862065,0.4852036671407406,0.017568850902184296,-0.06541648495420849,0.3171598220715935,0.02333177788147457,0.0
2017-06-30,21.61,21.43,0.00979713924498326,0.009242209964820886,0.009460808504228889,-1.1550559332765136,0.008364361033308954,21.489,22.1195,22.39333333333333,4,30,6,21.56819106415763,21.960642778131145,40.13888888888888,-0.291118342465559,-0.14542730987223323,24.311509172089913,19.927490827910084,0.036173338014639934,0.030582801657523098,0.026633472983808228,4594957.0,-0.46487031759472974,0.0,0.0,-1,0,0,0.0051329911339243785,-1.0692255050930757,0.25232174446861877,0.48548692548852046,0.055691255495847525,-0.0459161147902869,1.894746694815688,0.02313743637204998,0.0
2017-07-03,22.34,21.61,0.009702085806450668,0.02990707716793081,0.007037326720576304,0.45791428980966237,0.03322262312225997,21.331,22.104999999999997,22.38066666666667,0,3,7,21.708519961583516,21.985117437606558,42.302543507362806,-0.21471705113570394,-0.1592852581249274,24.28660250130132,19.923397498698673,0.0386511661093443,0.03160811980817321,0.027319934208419536,4991464.0,0.2154379634785215,0.0,0.0,-1,0,0,0.00647848218417402,-0.8867105495803024,0.27836748618077267,0.5017633465365656,0.08975609756097569,-0.012814847547503283,0.44479607580072594,0.04521038495971343,0.0
2017-07-05,21.82,22.34,0.02855394534908596,0.0004463289518416263,0.017149898893427735,0.6582469308152531,-0.02355181323612991,21.250999999999998,22.0815,22.345000000000002,2,5,7,21.72878905947742,21.97446469969646,40.77419354838711,-0.19389305307229776,-0.16620681711440147,24.264836654611102,19.898163345388895,0.035460472299481606,0.0318651871494346,0.02759766157366148,4225649.0,-0.2395416203430858,0.0,0.0,-1,0,0,0.0017905102954341606,-0.4101037875040406,0.3254314621891919,0.5058441640676108,0.02489431658055441,-0.021085688649618572,0.02833593396196698,0.029789184234647048,0.0
2017-07-06,20.97,21.82,-0.03501153236498451,-0.036351117294041065,-0.040563526087863205,0.4360737661091986,-0.03973413549109628,21.276,22.041999999999998,22.262333333333334,3,6,7,21.590827412299706,21.909660525522494,37.88968824940049,-0.24317461523832407,-0.181600376739186,24.27778174247845,19.806218257521547,0.025489649757796544,0.03261871796799306,0.02798859107488397,3041222.0,-0.9589487020424855,0.0,0.0,-1,0,0,-0.009624197983501413,0.07576560009479406,0.4556960409512064,0.5178060949743826,-0.014104372355430272,-0.036305147058823706,-0.1286061183163848,0.03409632808774439,0.0
2017-07-07,20.67,20.97,-0.02911003668625303,-0.01821203733295757,-0.015190165493975233,-0.21650062728550248,-0.014409471220151567,21.237,21.993000000000002,22.173,4,7,7,21.42340424642703,21.829682427101687,28.92347600518808,-0.30294592901240947,-0.20586948719383072,24.306558207382594,19.67944179261741,0.025342672499255012,0.032739663798243314,0.028060059048635157,2087365.0,-1.143692858712862,0.0,0.0,-1,0,0,0.000953743443013809,-0.24508036133836714,0.4517656317091586,0.519726050508097,-0.03546430237984122,-0.04526558891454946,0.5946197903057884,0.030962747943880046,0.0
2017-07-10,21.34,20.67,-0.01729980674938118,0.012178136454827041,-0.001458789463659873,-0.14284450844475793,0.03189987217993024,21.323999999999998,21.935499999999998,22.134,0,10,7,21.40823983798575,21.798090012449965,34.606205250596645,-0.29287563719424625,-0.22327071719391384,24.254206308993957,19.616793691006038,0.02554239193614006,0.03235183353271614,0.028122906810617368,2914253.0,-0.513648492428843,0.0,0.0,-1,0,0,-0.0019351717464926317,-0.42516945675852363,0.5285507313348197,0.5135694359071626,-0.012494215640906914,-0.051133837261004844,0.28801839328433126,0.043580131208997175,0.0
