date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
1999-12-14,164.0,160.6,0.030790609725644735,0.0168273201325253,-0.0031897953681001494,-0.13693526317083163,0.020949626311537208,147.55,133.93,119.66233333333334,1,14,12,148.44916994433513,124.83361210938317,76.33410672853829,16.951353319014913,15.049882568374233,168.3038027542703,99.5561972457297,0.04103335622561551,0.06878775228444331,0.06144456220282246,15614600.0,1.7495882090767139,0,0,-1,0,0,0.026774595267746025,-0.3724525039143286,0.25845189403452246,1.091971714750513,0.11640571817562972,0.8246550956831331,-0.47369675198956784,0.06890243902439032,0.0
1999-12-15,152.9,164.0,-0.02704528699548268,-0.03641178940871446,-0.0639848937997926,0.2054488299862575,-0.07008231488918175,150.34,136.405,122.10066666666667,2,15,12,149.25841177263783,126.6443468120036,66.09257265877288,16.287294263033544,15.297364907306095,168.5810600774127,104.2289399225873,0.05071039397252059,0.06638518629600405,0.06315047524374802,14169400.0,1.0252964446432857,0,0,-1,0,0,-0.021341463414634148,0.09598147140452984,0.6817104133795764,1.0538321620675188,0.01392572944297088,0.47872340425531923,-1.498183529129522,0.09810333551340746,0.0
1999-12-16,152.9,152.9,0.008684918113518849,0.007389196182370865,0.010840214552864807,-0.1807727982565987,0.0,152.08,137.85,124.32233333333333,3,16,12,149.92051872306732,128.3382599209066,63.07151230949591,15.581409882842593,15.354173902413397,170.27516891162446,105.42483108837554,0.04593709394381803,0.051673148506933296,0.062329563936990885,14169400.0,0.9282912320993074,0,0,-1,0,0,0.05886200130804447,-0.143606499929027,0.6808423674467906,0.8202858024543244,0.015946843853820614,0.23306451612903234,-1.549653197283957,0.09548724656638322,0.0
1999-12-17,144.7,152.9,-0.03712285343405239,-0.00430372628621678,-0.033576295533604326,0.7788242791926512,-0.055121479297578505,152.86999999999998,139.145,126.279,4,17,12,148.97133350069143,129.39385605504168,56.32563256325633,14.196669586307337,15.122673039192186,170.4149266994581,107.87507330054191,0.05058659723829462,0.05237473040263632,0.06367587242265042,11541200.0,0.35529344557729614,0,0,-1,0,0,0.020274689339437504,2.83959523758333,0.7596465315852394,0.8314230697765772,-0.05977907732293708,0.218013468013468,-0.2051090405109003,0.12992398064962,0.0
1999-12-20,146.5,144.7,-0.050618758105650564,-0.04215786277625442,0.0034782643763247925,-0.4731285127001308,0.012362794819683946,152.36999999999998,140.68,128.14766666666665,0,20,12,148.52200013692934,130.497478245039,68.65284974093264,13.093563432767667,14.716851117907282,170.08308612517095,111.27691387482906,0.03654746429881627,0.05166639818226308,0.06339279070622837,13178700.0,0.3958768120614181,0,0,-1,0,0,0.02487906012439546,0.6676280000771596,0.640990318688811,0.8201786443722464,-0.08779576587795768,0.2651122625215889,-0.5235453648035084,0.07918088737201362,0.0
1999-12-21,78.13,146.5,-0.6985562539239573,-0.6873797823240285,-0.7393365630293199,-0.5754659312541001,-0.628651322448469,145.493,138.6865,127.57066666666667,1,21,12,135.72345465748762,127.1189312614881,33.05127648803068,6.626074982754886,13.098695890876805,178.22385410309715,99.14914589690285,0.151829999780013,0.11900847899128418,0.10844777554566326,12257700.0,-3.063255059612415,0,0,-1,0,0,-0.49658703071672355,-0.7930183209364895,3.1665209010956805,1.8892010359139575,-0.5235975609756098,-0.3378813559322035,-2.0745862750947848,0.12159221809804173,0.0
1999-12-22,85.38,78.13,0.08296932057004999,0.09884733811229245,0.13262188824168208,1.376858013247128,0.08873777532116296,138.951,137.02550000000002,127.1,2,22,12,126.57009926521712,124.4260969865534,31.43978669826693,2.061791154593834,10.89131494362021,182.46637725014963,91.58462274985041,0.15673115169342527,0.12123438195470078,0.10949981315238216,15907100.0,-2.2730855179443075,0,0,-1,0,0,0.02559836170485089,3.138441298170197,3.504829560522691,1.9245361500165297,-0.4415958142576848,-0.28010118043844856,-1.9194039953797855,0.09229327711407818,0.0
1999-12-23,84.5,85.38,0.11203976957929106,0.061727210288342466,0.060309847664287944,-0.5562988311572294,-0.010360346966687738,132.351,135.1005,126.679,3,23,12,118.9209903079049,121.85021976161448,30.572065378900433,-1.6079103193738717,8.391469891021394,185.97961223778645,84.22138776221357,0.1565304607447994,0.12079377174361962,0.10941623007125034,13814800.0,-1.9890480700023099,0,0,-1,0,0,0.04977746544858281,0.8624506403006313,3.4901823574345605,1.9175416797547111,-0.447351209941138,-0.3130081300813008,-1.9041505329682629,0.10059171597633136,0.0
1999-12-27,82.13,84.5,-0.02119822302329509,-0.037480825807013604,-0.0586551664492262,0.021887469977350835,-0.028448176611027328,125.174,132.677,126.24999999999999,0,27,12,112.23171934283128,119.28762493828452,21.63245276846324,-4.653768621549432,5.78242218850723,188.80542720986074,76.54857279013925,0.15507213402960296,0.11968187052312508,0.1094695940630201,11676200.0,-1.801119415336826,0,0,-1,0,0,0.038461538461538464,0.8404543728547312,3.509377340111278,1.8998907950833246,-0.43241188666205943,-0.37113323124042885,-1.982868906477736,0.12017533179106302,0.0
1999-12-28,84.19,82.13,-0.0708260525686124,-0.021356376111834982,0.0022865863621335794,-0.24948579837579402,0.02477279159747169,117.53300000000002,130.2265,125.99366666666667,1,28,12,107.13322491686196,117.02326203904038,23.81191013112837,-6.8227599566265695,3.2613857594804703,190.3929677636796,70.06003223632038,0.15399916166926708,0.1197637932299699,0.10933377867726086,13342600.0,-1.5303042279570418,0,0,-1,0,0,-0.004626811153049987,0.15566763374963333,3.531427247112108,1.9011912777375684,-0.4253242320819113,-0.36794294294294294,-1.988782603281009,0.09288514075305848,0.0
