date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
1999-12-14,55.56,55.94,-0.013363227812167141,-0.023070495785860734,-0.014849965029176822,-0.3049706915492823,-0.006816169887670625,54.10699999999999,52.216499999999996,51.80533333333334,1,14,12,54.26191408868512,52.389791438710255,70.56451612903228,1.333598253244034,0.8351026137107596,57.03375527879234,47.39924472120765,0.021793152375571872,0.023264430534330888,0.0228699343985323,-86000.0,1.3881348637343556,0,0,-1,0,0,-0.003396496245977793,0.39570273639220616,0.36334555424568105,0.36931138552426224,0.028888888888888964,0.0894117647058823,0.6453519673715824,0.02375809935205184,0.0
1999-12-15,56.63,55.56,-0.0034138924540851154,0.019757213480240943,0.0090810649485617,0.4078964654157409,0.019075362239570567,54.75699999999999,52.495000000000005,51.95766666666667,2,15,12,54.69247516346964,52.663353281374114,70.32520325203254,1.4499889536364563,0.958079881695899,57.662071857343136,47.32792814265687,0.02118370038165613,0.023476974374171563,0.022483805727067107,1108200.0,1.6005196421348715,0,0,-1,0,0,0.0,1.5148824439436464,0.3526168598906012,0.3726854143817653,0.02497737556561086,0.10908734821778299,0.7770779244038846,0.034257460709871054,0.0
1999-12-16,56.44,56.63,0.01677712026625225,-0.010888762308635365,0.008999340793755495,-0.02064371110396662,-0.003360753141100423,55.188,52.8325,52.13066666666667,3,16,12,55.0102069519297,52.90700790838224,72.18358831710708,1.5094974630192795,1.0683633979605751,58.108770113990516,47.55622988600949,0.01929181669279367,0.022337242933440398,0.022244601607083515,-61600.0,1.3674432589925127,0,0,-1,0,0,-0.0022956030372594484,1.6350761339724895,0.30921363436643834,0.35459273866030916,0.03921929663045476,0.13584222177500505,1.0239472827761942,0.014528703047484059,0.0
1999-12-17,54.5,56.44,-0.0010625111677820685,0.0021167762357983217,-0.023752363131143837,-0.7359372585460735,-0.03497742531541478,55.24400000000001,52.9855,52.25366666666667,4,17,12,54.917442051578846,53.00978159171242,69.43143812709032,1.3841608539828059,1.1315228891650213,58.269212709828196,47.70178729017181,0.021010831373956377,0.023057166606386185,0.023203624901990832,-622000.0,0.5732711383731699,0,0,-1,0,0,0.0,-0.46496101465335105,0.3022710800983614,0.3660211726696857,-0.03214349138696504,0.0594867807153967,-0.3085625507105168,0.04128440366972477,0.0
1999-12-20,53.25,54.5,-0.030400758288002972,-0.03132247112904116,-0.03263692931302255,0.4326904460637488,-0.02320289707966387,55.21900000000001,53.07899999999999,52.297333333333334,0,20,12,54.6142707694736,53.02527955353743,59.723183391003474,1.1704736434387613,1.1393130400197693,58.30899808795375,47.84900191204623,0.022229024943864126,0.023774065622717243,0.02335046439792356,-1485800.0,0.06539199331405884,0,0,-1,0,0,0.0045871559633027525,0.5130516401455422,0.32447884779233477,0.3774015917438386,-0.04808723632463352,0.03639548462436748,0.3377989823877722,0.04225352112676056,0.0
1999-12-21,55.25,53.25,-0.023095714794649395,0.021405619891635957,0.011872371620202302,0.2877399545459713,0.036870535808327796,55.34400000000001,53.32000000000001,52.459666666666664,1,21,12,54.72985790229658,53.168809904922114,65.86121437422554,1.1492603173037992,1.1413024954765754,58.479775596915665,48.16022440308435,0.025176659757520314,0.024516572153237708,0.023503906945619463,-334000.0,0.7480945493651632,0,0,-1,0,0,0.004694835680751174,1.3935192761761717,0.4693984260403435,0.3891885175034298,-0.005579553635709167,0.0955780289510213,0.24955800346792312,0.050859728506787244,0.0
1999-12-22,53.63,55.25,0.02765153133050995,-0.01904477252251453,0.00467246901845566,-0.5311145648135916,-0.029759727403028288,55.182,53.529500000000006,52.568000000000005,2,22,12,54.52988373824265,53.198564104604564,54.75888324873097,0.9903124370863452,1.1111044837985293,58.35540585987969,48.70359414012032,0.025870597417190486,0.025114470681027894,0.024245788865753702,-1011200.0,0.041650211553236685,0,0,-1,0,0,-0.004524886877828055,-0.34805925548218697,0.46549704894246596,0.3986798623861366,-0.05297545470598619,0.08474919093851141,1.470962649624826,0.02796942010068991,0.0
1999-12-23,54.44,53.63,-0.024106420797992828,-0.005821373543567134,-0.005984682160164205,-0.3053605545074615,0.014990564788431407,55.19500000000001,53.720000000000006,52.699333333333335,3,23,12,54.51354124038035,53.27865674301718,51.69376693766938,0.919110394897892,1.072705666018402,58.36124756368032,49.07875243631969,0.0258859114862132,0.024822716261966915,0.024357017174175082,-512200.0,0.3102614071416015,0,0,-1,0,0,0.0011187768040275064,-1.0123253361432731,0.5004427491934238,0.39404840456569984,-0.03543586109142449,0.07525182698005128,0.8129690285551153,0.027553269654665688,0.0
1999-12-27,54.38,54.44,0.019550604262132114,0.0034605261744457406,0.019872508369654932,0.1410680507936706,-0.001102738578940524,55.001999999999995,53.936,52.791000000000004,0,27,12,54.48926101485665,53.349711146693494,53.05980528511823,0.8480648017884391,1.0277774931724095,58.2506623945504,49.6213376054496,0.022541081707707605,0.024598626411553394,0.024081727020269374,-1086800.0,0.20580984531294652,0,0,-1,0,0,0.005694342395297617,-0.8804937624041496,0.4365976254032718,0.3904910884725328,-0.0022018348623852324,0.08629644426687966,0.4089343930873746,0.011401250459727794,0.0
1999-12-28,56.0,54.38,-0.005678190913344952,0.022472855852058576,-0.002393446783755751,-0.1414689327393078,0.029355251530824543,55.008,54.3015,52.995000000000005,1,28,12,54.763940830337255,53.520697524326174,56.451612903225815,0.9119685131495601,1.0046156971678397,57.928743552544226,50.67425644745577,0.024769039569967177,0.024023155343179448,0.023609827479513512,-588000.0,0.9365238233361175,0,0,-1,0,0,0.0011033468186832506,-1.1074898627218364,0.42341966069409637,0.3813557684707521,0.05164319248826299,0.15013349763811878,-0.8083799220926257,0.03571428571428571,0.0
