date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
2018-03-08,34.79,35.1,0.019774250854299978,-0.005643355834954802,-0.015481541864821516,-0.41832345001508026,-0.008871141307969507,33.317,31.445999999999998,30.29733333333333,3,8,3,33.39263989297936,31.307581189991396,88.84353741496591,1.507214461893966,1.145563189370967,36.364071509079665,26.52792849092033,0.016329708316446628,0.019987080157671224,0.020511224972601518,8156159.0,1.3598826262799797,0,0,-1,0,0,0.0039886039886040045,-0.6615292867889829,0.3191639683223205,0.31728506118907024,0.08312577833125778,0.23587921847246895,0.03598522271618815,0.03937913193446406,0.0
2018-03-09,35.25,34.79,-0.06264851868496159,0.006740109273819876,-0.033830497588264966,1.3970317468164344,0.013135540094427082,33.605000000000004,31.809500000000003,30.49566666666667,4,9,3,33.73034173061947,31.561930790637113,87.4425727411944,1.5691610932749676,1.2302827701517671,36.72360204893718,26.89539795106283,0.016387237643640445,0.019591525343341673,0.020545835187005288,13924634.0,1.4002558212009903,0,0,-1,0,0,-0.0485771773498131,2.9763977291514623,0.2549248735525829,0.3110058231774083,0.05728854229154168,0.2598284488920657,0.639102113040253,0.07770212765957439,0.0
2018-03-12,36.19,35.25,0.09228445888778775,0.059229899529663343,0.07081824467405003,-0.9731053480093598,0.026317308317373358,33.978,32.219,30.728999999999996,0,12,3,34.1775523250523,31.860515900918593,86.6231647634583,1.6747983561144935,1.3191858873443123,37.161353583806864,27.276646416193138,0.0171548642849449,0.019678290800582674,0.020777625406559926,16104585.0,1.6069267132204335,0,0,-1,0,0,0.02978723404255311,-0.026697748117905047,0.2708923113857724,0.3123831821109113,0.07836710369487476,0.2925,-0.3578113289487,0.06907985631389887,0.0
2018-03-13,35.94,36.19,0.007410490890484751,-0.028208720634509087,-0.012848142477849137,-0.5144519972506181,-0.006931956220238034,34.329,32.597,30.994333333333334,1,13,3,34.497997356860964,32.12370842343997,81.29370629370621,1.7185335522866154,1.399055420332773,37.458834611489145,27.735165388510858,0.017714828211441193,0.020178515483562927,0.018844287399704823,14801349.0,1.3752010371146952,0,0,-1,0,0,0.010500138159712699,-0.7941740475945638,0.23506629325439574,0.32032400277584255,0.03394706559263527,0.2663847780126849,0.22758834710776654,0.05286588759042865,0.0
2018-03-14,35.48,35.94,-0.01598711007035052,-0.017592537285353413,0.0037286720383120577,0.09527069688546046,-0.012881723914034226,34.653,32.977500000000006,31.261333333333333,2,14,3,34.67654329197715,32.3402433638632,77.37104825291175,1.6965194347315915,1.4585482232125366,37.45785184238684,28.497148157613175,0.018542218489709154,0.01980298321390564,0.01860283129906482,13367846.0,1.1170997671766894,0,0,-1,0,0,0.0013912075681692896,-0.7072351565353943,0.2691318671717673,0.31436261280708555,0.010826210826210714,0.2730534625044849,0.8782564154602561,0.031848928974069976,0.0
2018-03-15,35.19,35.48,-0.007810360484582256,-0.0030551336081155143,0.007415892514753065,-0.22636323214173662,-0.008207206107884968,34.959999999999994,33.3455,31.502999999999997,3,15,3,34.76989905707221,32.52409863071074,73.03921568627447,1.6368044487869753,1.4941994683274245,37.21275239060392,29.478247609396085,0.018951172194442346,0.02010447542768194,0.018781969920401664,12224730.0,0.953907225957888,0,0,-1,0,0,0.00648252536640372,-0.8996303831190958,0.267456468263362,0.319148653326332,0.011497556769186401,0.2644628099173554,0.8757654160566258,0.021597044614947575,0.0
2018-03-16,34.62,35.19,-0.016659992839441216,-0.0188128530284652,-0.02299612688931883,-0.09798443502980134,-0.01633040158543061,35.088,33.622499999999995,31.740333333333332,4,16,3,34.742644683059076,32.659318073890695,66.36363636363632,1.525896075767271,1.500538789815394,36.96078115242435,30.284218847575637,0.017541768753835403,0.01947105427171664,0.018801655381952522,11188309.0,0.5976129357921746,0,0,-1,0,0,-0.0019892014776925343,-0.9136018702676479,0.27394342154828105,0.3090934042032246,-0.017872340425531985,0.19050894085281977,1.9780280289740797,0.025707683419988463,0.0
2018-03-19,33.41,34.62,-0.011742938893220874,-0.016288401264895645,-0.053146834642947116,0.5225037461637455,-0.035576293379398105,35.073,33.77499999999999,31.933666666666664,0,19,3,34.50034564977561,32.707749165897745,56.29820051413879,1.325088705728838,1.465448772998083,36.74398706809686,30.806012931903123,0.021343366958980745,0.019982450603540355,0.020358706426378784,9440650.0,-0.24587510260458045,0,0,-1,0,0,0.002599653379549492,-0.25366147857023796,0.17980110608187463,0.3172115692956019,-0.07681680022105553,0.10046113306982862,-1.6749628859438668,0.06285543250523801,0.0
2018-03-20,34.58,33.41,-0.03637831465045973,-0.002307471459364258,-0.002456249315967655,-0.21896398084300892,0.03442022388647937,35.055,33.919,32.172,1,20,3,34.514828258907315,32.828539542291445,63.356164383561605,1.2459936015023914,1.4215577386989446,36.73991362579761,31.098086374202385,0.02120600052446036,0.019127984152631963,0.02084426691800357,10844633.0,0.46864249508036865,0,0,-1,0,0,0.001795869500149724,-0.48020241514925405,0.4097968008487257,0.3036473348990924,-0.037840845854201444,0.09085173501577293,1.3258735760532172,0.0607287449392713,0.0
2018-03-21,36.0,34.58,0.029439865305538743,0.06484528897988014,0.05647505029813329,0.1647584697936247,0.04024345820096552,35.144999999999996,34.101,32.45766666666667,2,21,3,34.78485948456053,33.033149894401674,69.28429423459244,1.2831014987437541,1.3938664907079066,36.96772305126108,31.234276948738913,0.02485474583497319,0.02052033846847499,0.021636852792077613,12500081.0,1.3248576622458326,0,0,-1,0,0,-0.003181029496818954,-0.20054800830116704,0.5269274655636884,0.32575027443874116,0.014656144306651742,0.11248454882571068,0.23003070096660644,0.07027777777777781,0.0
2018-03-22,35.6,36.0,0.03281789733274145,-0.01774790612340587,0.019848199396947368,-0.3072507360791027,-0.011173300598125189,35.226,34.271499999999996,32.705999999999996,3,22,3,34.93306685100407,33.19875312702092,62.22943722943722,1.2656435663973156,1.3682219058457883,37.06433500558502,31.478664994414967,0.024983493309088257,0.020723332765629637,0.021704387419410092,11282555.0,0.9513630395947563,0,0,-1,0,0,-0.010555555555555627,-0.5778624719375737,0.5313694169483881,0.3289727090057544,0.011651037226484862,0.10593351972662335,0.2954755725425073,0.03342696629213476,0.0
2018-03-23,35.86,35.6,0.000841868998789422,-0.00558027912874845,-0.008581288356993313,0.24518951979271292,0.007276830319002075,35.28699999999999,34.446000000000005,32.96866666666667,4,23,3,35.10160015082151,33.370446473664735,62.392241379310335,1.2582831514091097,1.3462341549584527,37.17395585702827,31.718044142971745,0.02477266213908462,0.020728354869462253,0.021541136605097523,12838387.0,1.0366736663696285,0,0,-1,0,0,0.001404494382022392,-0.2950539969154445,0.504022523786316,0.3290524324325511,0.0358174465626806,0.10781587890021638,-0.3107353680555269,0.03591745677635239,0.0
2018-03-26,37.6,35.86,0.02930005064843812,0.04448307779834761,0.05287205323717717,0.35364412917420934,0.04738158221886217,35.428,34.702999999999996,33.28866666666667,0,26,3,35.55585466885396,33.64332089471863,64.4602851323829,1.3769804541800639,1.352383414802775,37.606022744077556,31.799977255922435,0.02795160842055928,0.022846876683854205,0.022681448586652938,15054278.0,1.9958507083075099,0,0,-1,0,0,0.02370329057445626,0.2874488611479063,0.39887251507058286,0.36268292364022975,0.12541155342711785,0.1583487369069625,-0.7379473006841083,0.027659574468085084,0.0
2018-03-27,37.46,37.6,0.03269315819206461,0.03284110618924223,0.010300985637129638,0.17420914582139246,-0.0037303533799063677,35.58,34.954499999999996,33.59133333333333,1,27,3,35.90206291088051,33.88955825634969,62.26611226611226,1.4431167403489837,1.3705300799120168,37.899622461934214,32.00937753806578,0.027829157306904512,0.022910471429412976,0.02281013696180424,12416693.0,1.7014572618854755,0,0,-1,0,0,0.008776595744680805,0.6181437096251352,0.42630577966841343,0.36369245892886337,0.08328513591671505,0.15510329941412282,0.3943329177194432,0.05125467164975979,0.0
2018-03-28,37.1,37.46,-0.01006897749066384,-0.03522869188374383,-0.03820720319558543,0.38946583078435,-0.009656727402553036,35.742000000000004,35.1975,33.899,2,28,3,36.119869654356776,34.09668353013358,61.94415718717685,1.4497691954346266,1.3863779030165388,37.99802532665983,32.39697467334017,0.027626498881765216,0.023040433255074773,0.022511515840900376,8523111.0,1.3586736616084123,0,0,-1,0,0,0.0024025627335823893,1.5905010402865825,0.3921079953450037,0.36575553895266166,0.03055555555555567,0.15074441687344908,1.8008163649498972,0.052830188679245306,0.0
2018-03-29,38.32,37.1,-0.01259563751248928,0.059796218477329605,0.038207203195585404,0.18379802601468667,0.032354983489270274,36.055,35.50750000000001,34.248666666666665,3,29,3,36.51989335356463,34.369155560447545,64.71716203259828,1.5357815839440647,1.416258639202044,38.24557366015252,32.76942633984749,0.02851836272550601,0.023567187621088736,0.022789980347774446,13202313.0,2.0543640157900858,0,0,-1,0,0,-0.0005390835579515668,1.92987629842819,0.39359557752588176,0.3741175052796043,0.07640449438202235,0.19302615193026162,0.5715972545802853,0.07541753653444677,0.0
2018-04-02,38.27,38.32,0.036800976066549466,-0.0299666912713564,0.018702121375709178,-0.198431298294439,-0.0013056536650487799,36.42,35.754000000000005,34.55499999999999,0,2,4,36.83809456200743,34.62082294364448,60.90146750524112,1.581679818999099,1.449342875161455,38.557346871903384,32.950653128096626,0.027428973769211742,0.022654920526152193,0.02196310290754685,9365292.0,1.794997276446006,0,0,-1,0,0,0.003914405010438376,1.1606375228549144,0.40875625189024895,0.3596357141047876,0.06720580033463475,0.14787042591481692,0.7494538301610302,0.026391429318003604,0.0
2018-04-03,39.1,38.27,0.004668058269227311,0.009748666225864303,-0.005574002487485986,-0.6822005977275094,0.021456167553709042,36.989,36.031,34.84633333333333,1,3,4,37.2493500961879,34.909802108570645,65.6126482213439,1.6658259596376723,1.4926394920566985,39.0108120746114,33.0511879253886,0.022410330729421116,0.022885314111234453,0.02111233562732803,11304919.0,2.0598614430409885,0,0,-1,0,0,0.009929448654298286,-0.29677278872884294,0.29062896653148723,0.36329309888354117,0.039893617021276695,0.16507747318235988,0.6890891313782023,0.04092071611253201,0.0
2018-04-04,37.95,39.1,-0.005708370456678409,-0.004862453598325337,0.008745252502503065,0.1318881683122179,-0.02985296314968116,37.326,36.1905,35.05466666666667,2,4,4,37.37674098779009,35.1059439080177,61.424606845513445,1.621030759743249,1.5183177455940087,39.224860940262275,33.156139059737725,0.025418244210533434,0.023347228321149688,0.021123529453714936,9091842.0,1.159717011021055,0,0,-1,0,0,-0.017135549872122804,-0.04632523525711577,0.39449502737401176,0.37062575964243677,0.01308061932728255,0.09177215189873422,-0.048891302212736736,0.02845849802371537,0.0
2018-04-05,37.55,37.95,-0.0031274458641948463,-0.008243220299229893,-0.015153819161888214,0.03777716222638725,-0.010596125631495382,37.481,36.313,35.227666666666664,3,5,4,37.408242626373706,35.26362494621011,60.8058608058608,1.5355526884898651,1.5217647341731801,39.359786745685376,33.26621325431463,0.023492822332864913,0.023553737627157224,0.021152554185025516,6793562.0,0.8120030072677312,0,0,-1,0,0,0.009486166007905123,0.014724330249819634,0.39639599986762036,0.3739039932451356,0.012129380053908179,0.0698005698005697,-0.02342525798308643,0.035419440745672395,0.0
2018-04-06,35.71,37.55,-0.02698576452182827,-0.03348242336723822,-0.057899300573346295,-0.5666892781308407,-0.05024261660378653,37.492,36.358999999999995,35.345,4,6,4,37.099471239760305,35.2924233367772,54.47087776866285,1.3043028869267843,1.4782723647239011,39.335949339243264,33.382050660756725,0.02875186814211908,0.026233469609525887,0.023296336851884196,5489516.0,-0.43601682530813113,0,0,-1,0,0,-0.006924101198402078,-0.7494425646299162,0.42809540212392594,0.4164434196790573,-0.0681106471816284,0.02644438056912901,-0.031772629734528296,0.060403248389806874,0.0
2018-04-09,35.17,35.71,-0.03187846564194482,-0.024284799964590292,-0.017755334705893296,0.4502330938607924,-0.015237315120465939,37.423,36.355000000000004,35.43833333333334,0,9,4,36.748658287076616,35.28452505698512,57.638888888888914,1.0651834938283429,1.3956545905447897,39.338431440119685,33.37156855988032,0.02905090277640268,0.02633976979028822,0.023544773381496003,3443888.0,-0.7943872844300824,0,0,-1,0,0,0.011481377765331743,-0.041497591596777676,0.4138644564253437,0.41813088273476734,-0.08100339691664493,-0.0022695035460992274,0.4522960965783672,0.053454648848450456,0.0
2018-04-10,35.19,35.17,-0.03493312950800564,-0.025254568210667315,0.0020204942650882017,-0.1191748358184824,0.0005685048476024816,37.182,36.305,35.529333333333334,1,10,4,36.4652658712445,35.27842666621189,52.94117647058823,0.8672958383372134,1.2899828401032745,39.33325640296609,33.27674359703391,0.023242148738674622,0.02559630817012299,0.023549063530955237,5259695.0,-0.7363973532148008,0,0,-1,0,0,-0.008245663918112003,-0.25320645152820276,0.3036509938284561,0.40632879539709715,-0.10000000000000009,-0.02763194252555956,-0.743021882166656,0.025575447570332442,0.0
2018-04-11,35.12,35.19,0.001432459777961735,0.012012995423094683,-0.009270054796286474,-0.44544028286441745,-0.0019911825665778976,36.948,36.263999999999996,35.619,2,11,4,36.220672076472766,35.268205590972414,45.12195121951218,0.6967878935696703,1.1713438507965537,39.33496693156027,33.193033068439725,0.023270437513021137,0.02556107321366867,0.023555925993987002,4096594.0,-0.7450422134104605,0,0,-1,0,0,-0.007388462631429327,-0.893912563396813,0.3162400235072571,0.4057694578036912,-0.07457180500658778,-0.02281580411797446,-1.6976554274722766,0.046981776765375814,0.0
2018-04-12,34.8,35.12,-0.0011458036200577759,-0.018498285318202023,0.005803846819800269,0.12805678372507323,-0.009153381986487248,36.718,36.23,35.70433333333333,3,12,4,35.96236806256862,35.237998778651615,45.5257270693512,0.529731379651281,1.0430213565674993,39.35214501163608,33.10785498836391,0.023262812720186717,0.025483484632626393,0.023605195167420063,2774593.0,-0.9160368878898689,0,0,-1,0,0,-0.006548974943052303,-0.7274447816446954,0.31773006220384686,0.4045377772635938,-0.07323568575233019,-0.01916572717023679,-1.7387534654721395,0.022701149425287333,0.0
2018-04-13,34.46,34.8,0.00856169613481098,0.0262438288823971,-0.028766292286460254,0.6247343489369165,-0.009818155680645016,36.332,36.1935,35.782333333333334,4,13,4,35.689210233010684,35.1878053090612,42.23946784922394,0.365687314562507,0.9075545481665009,39.38317594460297,33.00382405539703,0.018795087470329378,0.02551074531354163,0.023688658941425782,305426.0,-1.0869442727767602,0,0,-1,0,0,0.011206896551724155,0.35027881835285457,0.10054128741332098,0.4049705271572258,-0.0350042005040605,-0.02074452969593621,0.05542090440205692,0.07864190365641326,0.0
2018-04-16,34.56,34.46,-0.015464225697581477,-0.035908486258404655,0.006234249076803948,-0.28303235305690455,0.0028977128360713703,35.961,36.1905,35.82299999999999,0,16,4,35.483899281554194,35.14730174073467,29.403794037940344,0.24097259331559684,0.7742381571963202,39.386513800115104,32.994486199884896,0.01906637987055675,0.025257864181206693,0.02272909426083809,2165932.0,-1.0203335166708445,0,0,-1,0,0,0.005513639001741083,-0.3163286788059708,0.090715445173817,0.40095616363271386,-0.017344327551890748,-0.0017331022530328033,-0.21846812852390318,0.03530092592592589,0.0
2018-04-17,37.29,34.56,0.009478743954543739,0.07667536765896771,0.030888236480334407,0.20177926094753493,0.07602825025487438,35.78,36.3845,35.947333333333326,1,17,4,35.81228123036252,35.28554033810663,49.14744232698093,0.35829328073393896,0.691049181903844,39.33118038021733,33.43781961978267,0.03309339101604633,0.029416568191910103,0.026777397622500445,4442406.0,0.6145898999288222,0,0,-1,0,0,0.01215277777777762,0.0904612879891348,0.5985116291641965,0.46697354316460254,0.05967604433077578,0.1161328943430111,2.129882908497288,0.07910968087959228,0.0
2018-04-18,37.33,37.29,0.0727593542824283,0.011572985557658564,0.03938624409415078,-0.23733920748364118,0.001072098735763113,35.718,36.522000000000006,36.033,2,18,4,36.08823009756934,35.41744096145459,51.19170984455957,0.449318967107466,0.6427031389445684,39.369104531015005,33.67489546898501,0.03190042103258056,0.02861720347088507,0.026092763212747654,6237915.0,0.5675941934678024,0,0,-1,0,0,0.008849557522123849,-0.44033563827989747,0.5943169849709827,0.454284021612578,0.0629271070615034,0.07952573742047431,2.1052588236517127,0.053308331100991216,0.0
2018-04-19,37.21,37.33,-0.00854249722311449,0.014538158446027067,0.02101892584466781,-0.019338576909821527,-0.0032197505679612656,35.684000000000005,36.582499999999996,36.10333333333334,3,19,4,36.29218826164764,35.53308993168332,43.508771929824555,0.5059422944131313,0.6153509700382811,39.43432028665346,33.73067971334653,0.03174583395059998,0.027298792785896465,0.026079094888543337,4476795.0,0.44006980589675204,0,0,-1,0,0,-0.0008036431824270329,-0.48404162473593704,0.5819550168070509,0.433354900822597,0.06925287356321852,0.033611111111111036,2.1356938618631967,0.0478366030636924,0.0
2018-04-20,36.74,37.21,-0.004029555486001688,-0.03354612249120371,-0.017439134055375262,-0.1989485286369087,-0.012711462571551459,35.78699999999999,36.6395,36.16833333333334,4,20,4,36.3736085777117,35.61095509738117,41.47157190635449,0.5070466984912088,0.5936901157288667,39.45396246153119,33.825037538468806,0.027346136560916515,0.027339301827897407,0.02614401233683911,3033395.0,0.07141683456337679,0,0,-1,0,0,-0.001612469766191945,-0.8451132040445404,0.5896197185725032,0.43399796192850076,0.0661636680208939,0.032022471910112316,2.086158643470933,0.031028851388132838,0.0
2018-04-23,35.72,36.74,-0.007023259555183892,-0.007759236253398547,-0.037528907021785574,-0.2796153015655369,-0.028155323778681334,35.842,36.6325,36.184,0,23,4,36.25477065449139,35.61799025238884,31.550218340611323,0.4207661410197261,0.5591053207870386,39.455808063434176,33.809191936565824,0.028551231178151826,0.028090336373161277,0.026611836209608674,1942077.0,-0.646404841057314,0,0,-1,0,0,0.004082743603701648,-1.170732180991831,0.6600753637211095,0.44592026572522087,0.03356481481481466,-0.003904071388733943,1.832868496224095,0.061310190369540815,0.0
