date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
2021-08-26,13.57,13.36,0.004501132880791442,0.012606766889912135,0.004501132880791442,-0.5256358848437629,0.01559630573827816,13.241,13.049064999999999,13.0681,3,26,8,13.265319743879541,13.118975786467326,84.99999999999993,0.10325327768801884,0.04301763803556715,13.527815079950521,12.570314920049476,0.007757137479323723,0.008892155614903698,0.00827757813683492,141776.0,2.176229401586062,0,0,-1,0,0,0.0,-0.4060979150219122,0.10624137564638995,0.14115859425793092,0.024150943396226365,0.045454545454545414,1.3638996678338289,0.01547531319086226,0.0
2021-08-27,13.72,13.57,0.012843810706459112,0.010993148450961344,0.012843810706459112,0.017813434908636936,0.010993148450961344,13.3235,13.093565000000002,13.086293333333334,4,27,8,13.347988881355986,13.157751542179112,85.00136351240792,0.13437028431475895,0.061288167291405515,13.646312603103661,12.540817396896342,0.007907846094473142,0.008470092229949723,0.008401870430886329,156049.0,2.2666222213631912,0,0,-1,0,0,-0.002748710390567436,-0.3647191704855625,0.1037176966316626,0.13445854573336488,0.035471698113207495,0.0693686671862821,0.22382461754903288,0.013651603498542308,0.0
2021-08-30,13.77,13.72,0.008051620694176777,0.003637690442824213,0.008051620694176777,-0.8323697882648757,0.003637690442824213,13.385500000000002,13.133565,13.108293333333334,0,30,8,13.424718175654897,13.197251442683687,85.65217391304343,0.1612070241583332,0.08127193866479107,13.759590572960084,12.507539427039918,0.006329863163317897,0.008284401418663967,0.0083265676183538,162258.0,2.0332555968622708,0,0,-1,0,0,-0.005677842565597771,-1.0503986994202414,0.10397577549469704,0.13151079548889327,0.03533834586466167,0.061680801850424016,0.235621022324623,0.009288307915758921,0.0
2021-08-31,14.0,13.77,0.009331713231427997,0.02155255838573428,0.009331713231427997,0.9757835281363013,0.01656501687469525,13.4755,13.19306,13.13434,1,31,8,13.529314870990369,13.249041672187964,89.33823529411757,0.198743421196367,0.10476623517110625,13.909314877892822,12.476805122107177,0.0066079219172639255,0.00798994082767751,0.008691002012083207,178732.0,2.2532202569397293,0,0,-1,0,0,0.0,-0.06640284500146107,0.09275722669827588,0.12683637852093765,0.053820097854723414,0.09288764334392385,-0.1616308137624443,0.02142857142857148,0.0
2021-09-01,14.0,14.0,0.01656501687469525,0.0007104796035986347,0.01656501687469525,-1.3873875892882916,0.0,13.5505,13.253005000000002,13.159339999999998,2,1,9,13.614893985355755,13.297490596562934,94.92187499999991,0.2258873969817632,0.12899046753323765,14.029298684184836,12.476711315815168,0.006682287684603941,0.00796746324073801,0.008697835696917849,178732.0,1.924516494770656,0,0,-1,0,0,0.0,-1.155044896045585,0.11705170487957631,0.12647955789024914,0.04790419161676662,0.0936560139363023,-0.4059550869482796,0.0057142857142857195,0.0
2021-09-02,14.08,14.0,0.002069286121376586,0.0,7.142602052956262e-05,-0.40863005292900767,0.005698021114637796,13.633500000000002,13.322995,13.187213333333334,3,2,9,13.699458715291073,13.347975074204035,95.05703422053223,0.2509615957084179,0.15338469316827372,14.133497717226525,12.512492282773476,0.006393901198196818,0.007259005504990253,0.00871367063130961,181466.0,1.8679888022841165,0,0,-1,0,0,0.002071428571428565,-1.1709817999755165,0.1039749213428454,0.11523313999111827,0.037582903463522443,0.1103925805586663,0.5620696422563767,0.005610795454545499,0.0
2021-09-03,14.0,14.08,0.0036287349932611905,0.0,-0.003290888647502743,0.3199821229500991,-0.005698021114637779,13.7085,13.382995,13.218876666666665,4,3,9,13.754102585238149,13.390041198448936,87.28070175438587,0.2613648956143919,0.17498073365749736,14.208018968966007,12.557971031033992,0.007199173726102145,0.0075823271729264655,0.008263797528213223,177701.0,1.4957262411982652,0,0,-1,0,0,0.0,-0.9852770699506793,0.1314184161682245,0.1203657123521452,0.020408163265306145,0.09375,0.7496551625084653,0.008928571428571428,0.0
2021-09-07,14.02,14.0,-0.005698021114637779,0.09866199420960489,-0.0071916886733437175,1.2971074937871212,0.0014275519911853237,13.7805,13.4365,13.250543333333333,1,7,9,13.802447569740302,13.43068370177481,91.44144144144138,0.2681325534254615,0.1936110976110902,14.281809659860004,12.591190340139997,0.007300737901813648,0.007415692325963715,0.008264158989963319,191476.0,1.3805591671497883,0,0,-1,0,0,0.0,-0.030285600465178402,0.13281094043443611,0.11772046616322074,0.018155410312272968,0.08263384273237628,0.9783274218575709,0.12018544935805983,0.0
2021-09-08,15.4,14.02,0.0035650661644961446,-0.009049835519917815,0.010411151300316753,-0.5540956617060028,0.09388262781313952,13.992,13.559000000000001,13.331543333333334,2,8,9,14.092911647969338,13.557736366176437,95.94017094017092,0.38046467788227645,0.23098181366532747,14.747774689820533,12.37022531017947,0.03003440306787374,0.022314759738697676,0.01923698719395674,199391.0,3.0973068585064403,0,0,-1,0,0,0.002139800285306786,-0.5592370766186319,0.699196185315495,0.3542358290085043,0.10000000000000009,0.18918918918918926,2.188020292754321,0.09090909090909093,0.0
2021-09-09,14.74,15.4,0.05537746946895368,-0.03636764417087495,-0.011241521223654505,0.44602933093689445,-0.04380262265839289,14.13,13.6495,13.389710000000001,3,9,9,14.210564075611275,13.634011439326345,74.83333333333331,0.4114888246460815,0.2670832158614783,14.910071716576088,12.388928283423912,0.03522791448844518,0.025076148414616386,0.02119479074482063,187027.0,1.7301673290940878,0,0,-1,0,0,-0.03571428571428576,-0.15642770736519943,0.8302589562197614,0.39807151526652934,0.052857142857142936,0.139984532095901,1.4360719694835804,0.06828358208955218,0.0
