date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
2011-05-23,12.99,13.0,-0.003108005609867307,-0.008425940314071711,0.0,-0.532356859962788,-0.000769526779028541,13.148000000000001,13.125049999999998,13.115033333333335,0,23,5,13.09345121014294,13.157957013884289,52.453385672227675,-0.04248858065646388,-0.01949195003617618,13.586966135017464,12.663133864982532,0.008638567372534904,0.013784902383629696,0.012290665144506859,-1092800.0,-0.5847381797775546,0,0,-1,0,0,-0.011538461538461565,-0.7323148851776714,0.1464457619932781,0.21882854132631402,-0.009153318077803174,0.014843750000000044,-1.636660203109466,0.011547344110854531,0.0
2011-05-24,12.92,12.99,0.015444322427473775,0.003838776307165667,-0.0070285334245849575,0.5340824859302579,-0.005403332328052377,13.104,13.132050000000001,13.100366666666668,1,24,5,13.061914626480586,13.1426049484724,39.16861826697893,-0.054118873228080844,-0.026417334674557116,13.575836802773347,12.688263197226656,0.007526995012272677,0.013846232566235312,0.012312123024107339,-1150800.0,-0.9556390531437277,0,0,-1,0,0,0.0046189376443418395,-0.22099866909774926,0.12502346163917602,0.21980212779253386,-0.021212121212121127,0.010954616588419341,-1.6065155615644702,0.022445820433436604,0.0
2011-05-25,13.07,12.92,-0.0076923456231557255,0.0030604461531061264,0.007806440892829492,0.3869030902481048,0.011543029281674921,13.075999999999999,13.143049999999999,13.0967,2,25,5,13.063384694393207,13.137920758248375,40.56064073226542,-0.050648374550821273,-0.03126354264980995,13.567902903336769,12.718197096663229,0.008887304374484786,0.014025823054698827,0.01229051676325525,-1065400.0,-0.3438837274090298,0,0,-1,0,0,0.0023219814241485573,0.32446828261457855,0.09967864752463007,0.2226530384143763,0.007710100231302919,0.017120622568093546,1.1222808785191265,0.017597551644988555,0.0
2011-05-26,13.15,13.07,-0.005420067469339033,0.007610386807414542,-0.0007779074682444593,-0.4237817206334708,0.006102230987643093,13.056000000000001,13.15555,13.096366666666665,3,26,5,13.07913293177626,13.138700064167836,32.00261780104712,-0.04097036704527035,-0.03320490752890203,13.564714733264449,12.746385266735551,0.009249988287881889,0.014059314636212778,0.01234142954813546,-1009500.0,-0.027128437760115816,0,0,-1,0,0,-0.014537107880642655,-0.26388060849580053,0.1050299084071355,0.2231847007885773,0.011538461538461497,0.019379844961240345,0.5171130097250983,0.02585551330798478,0.0
2011-05-27,13.08,13.15,0.0038744721075584933,0.0,0.006206381442537284,-0.7578049693940022,-0.005337412594720939,13.049000000000001,13.159550000000001,13.087366666666668,4,27,5,13.079290580544212,13.134912963253782,43.699731903485244,-0.03850502934667155,-0.03426493189245594,13.563847167934677,12.755252832065326,0.00811732420529798,0.014035460243167534,0.012071340685031231,-1035700.0,-0.3935224201860073,0,0,-1,0,0,-0.016730038022813736,-0.8072027410799093,0.1183717181110714,0.22280602403853267,0.006153846153846176,0.006153846153846176,0.6458733083733388,0.019877675840978576,0.0
2011-05-31,13.33,13.08,0.012298387138042523,0.018032043805922965,0.0053991646777706015,1.001136916653199,0.018932788161564747,13.071000000000002,13.17655,13.091033333333334,1,31,5,13.124874111354355,13.147499223689023,48.78048780487808,-0.016191673265470996,-0.030650280167058952,13.579419431636813,12.773680568363188,0.010123237164594664,0.014639377263756088,0.012462022950802915,-964400.0,0.7617852730923259,0,0,-1,0,0,0.0007645259938837758,0.07567634050337742,0.16993263219023752,0.232392909532511,0.026173979984603468,0.026173979984603468,0.19311950288821936,0.03225806451612901,0.0
2011-06-01,13.15,13.33,0.009882254501731831,-0.015760176111605892,-0.017067908512147997,0.5338406421118164,-0.01359537556684375,13.065999999999999,13.18955,13.0927,2,1,6,13.12944245474447,13.147660564096183,42.85714285714287,-0.012884152993700937,-0.02709705473238735,13.569621170620506,12.809478829379495,0.01098368793983077,0.014884647716055733,0.012602903887219876,-1086000.0,-0.2081189159147784,0,0,-1,0,0,-0.008252063015753895,1.0242616710914012,0.20748292995086248,0.23628645725693412,0.017801857585139302,0.020170674941815347,-0.2719899512863473,0.03346007604562747,0.0
2011-06-02,12.88,13.15,-0.0260551137473327,-0.0007567158893062838,0.007794271726818923,-0.6816997947195943,-0.02074603794756593,13.056999999999999,13.169049999999999,13.0887,3,2,6,13.084089281154567,13.130392140606109,35.928143712574865,-0.03168442454152931,-0.028014528694215744,13.569965518072795,12.768134481927202,0.01155064751040939,0.013858417564914296,0.013090111506635568,-1147500.0,-1.4419496725368155,0,0,-1,0,0,-0.020532319391634947,-0.08672484762634736,0.25038597695091097,0.2199955586499153,-0.014537107880642663,-0.03085026335590657,0.47665517996875656,0.025621118012422364,0.0
2011-06-03,12.8,12.88,-0.002331909334978825,-0.01371972739748026,-0.009360442759563808,0.24023247273879317,-0.006230549750636086,13.037,13.139050000000001,13.086033333333335,4,3,6,13.03243668458101,13.109076518631522,38.70967741935485,-0.05243467234063637,-0.03289855742349987,13.556647880111578,12.721452119888424,0.011623142244243734,0.013699655781972983,0.013029955995201131,-1225700.0,-1.6238109250430584,0,0,-1,0,0,-0.002329192546583939,0.6392856242484045,0.23760792818449408,0.21747529347773173,-0.026615969581749055,-0.04477611940298509,1.2972080718504473,0.021093749999999967,0.0
2011-06-06,12.87,12.8,0.003883500026397612,-0.0061586029912069785,0.003129893008927787,-0.47564611664481726,0.005453850682463725,13.024000000000001,13.097550000000002,13.085033333333334,0,6,6,13.002902741929915,13.093652227106908,42.40506329113922,-0.06251039728477359,-0.038820925395754616,13.438329586119519,12.756770413880485,0.011827805876159649,0.01257800069988851,0.013066910513492519,-1177100.0,-1.3354673182811931,0,0,-1,0,0,0.007812499999999972,-0.22117748830063566,0.2495679503300709,0.1996695710538082,-0.016055045871559703,-0.060583941605839464,0.5612508738708429,0.011655011655011545,0.0
2011-06-07,12.96,12.87,-0.005441132740081448,0.01151644206155908,0.0015612805669524105,0.2467314688386857,0.0069686693160934355,13.021,13.0845,13.090366666666664,1,7,6,12.995102243397202,13.08502950277743,42.405063291139285,-0.06251262740015306,-0.04355926579663431,13.42536422671297,12.74363577328703,0.012092123175518664,0.0102592663383964,0.013042362528166823,-1114900.0,-0.7304961344907377,0,0,-1,0,0,-0.003108003108003042,0.20814450459865505,0.18898381099900916,0.1628608041922386,-0.027756939234808597,-0.019741320626276315,-0.13418282518818525,0.02160493827160489,0.0
