date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
2014-11-21,21.94,21.51,0.007971906227853372,0.03436142751731108,0.0004738213782082684,0.7819479285243355,0.019793511567445465,21.979000000000003,21.032999999999998,20.062333333333335,4,21,11,21.67290168513455,20.41428263760413,65.40362438220757,0.9188261807968203,0.9874242711151122,23.34827740750093,18.717722592499065,0.021586931178280522,0.022462227508063943,0.02009118799496334,1141948.0,0.7834914270415679,0,0,-1,0,0,-0.004649000464900112,0.3825630560817076,0.35520329233379966,0.35657680727334773,-0.02834366696191304,0.166400850611377,-0.23880725751276757,0.06335460346399273,0.0
2014-11-24,21.89,21.94,0.02854705821266043,-0.017584821779282583,0.03113505673544292,-1.8030222809846648,-0.002281543312312598,21.962,21.151000000000003,20.208666666666666,0,24,11,21.712374106019176,20.50949020937161,57.843137254901954,0.8773648201460986,0.9654123809213095,23.38279795350368,18.919202046496327,0.01832715293520261,0.021386428005313648,0.020160817921259976,1108310.0,0.6622463282035449,0,0,-1,0,0,0.004102096627164989,-1.4445329750654663,0.3510964930209782,0.33949901960428236,-0.032272325375773625,0.12083973374295942,-0.07772643223979826,0.015084513476473339,0.0
2014-11-25,21.49,21.89,-0.008662009937547573,0.002809536197128306,-0.0245250232252462,0.9747200476807689,-0.01844220088035257,21.923000000000002,21.262999999999998,20.348666666666663,1,25,11,21.671942450379323,20.572748905541186,55.76559546313798,0.8029735567286238,0.9329246160827724,23.310315058159944,19.215684941840053,0.01905400295140463,0.021599857125497446,0.0204030903138032,1019155.0,0.2217538518023894,0,0,-1,0,0,-0.0022841480127912613,-0.7607532366130163,0.32324082027169465,0.34288710185155624,-0.02362562471603835,0.11636363636363622,-0.1786855475284587,0.04281060958585397,0.0
2014-11-26,22.32,21.49,0.04126145838142595,0.03588424879238953,0.03740911845493042,1.22904314744959,0.037895426858691204,21.982,21.424,20.519333333333336,2,26,11,21.7897710957649,20.68547478260305,64.61538461538461,0.8017499337465175,0.9066896796155215,23.24954274553885,19.59845725446115,0.02273978374656003,0.022542427000130382,0.02102355059680931,1323883.0,0.9816258777720666,0,0,-1,0,0,0.059097254536994104,1.523697475268813,0.3431612688350742,0.3578499347410367,0.04641350210970474,0.168586387434555,0.16158541454895986,0.04121863799283162,0.0
2014-11-28,22.92,22.32,0.00043927081751788045,0.011250659563100876,0.012617256081418282,-1.1180867426787637,0.026526754333428604,22.061,21.601,20.700666666666667,4,28,11,21.99526726017128,20.829637699854466,64.06249999999999,0.8395177512534566,0.8932552939431087,23.272014819298693,19.929985180701305,0.023525579085933477,0.022893692427672977,0.02123927340777362,1423500.0,1.578681391411683,0,0,-1,0,0,0.020161290322580613,-0.5956307390385199,0.3645566096752839,0.36342610053375163,0.06555090655509055,0.1826625386996905,-0.4899556472239073,0.039262652705061026,0.0
2014-12-01,23.0,22.92,0.02343857297201738,0.04254168539978175,0.0013375055952635313,1.0555327221116133,0.0034843240826108427,22.103,21.767999999999997,20.87366666666667,0,1,12,22.177945940140134,20.969661074057406,59.25196850393701,0.865922534186204,0.8877887419917279,23.28251364435829,20.253486355641705,0.02279900415997805,0.02287926878146431,0.02118543436950593,1709750.0,1.626924926809764,0,0,-1,0,0,0.01701570680628259,1.235289473115368,0.36340851575077066,0.36319713224855016,0.048313582497721,0.16988809766022372,0.19071464326701076,0.08173913043478256,0.0
2014-12-02,23.13,23.0,-0.00991601140776692,-0.044264338711228,0.011113695185936119,0.3956517576835205,0.005636260314198156,22.154000000000003,21.921,21.031666666666663,1,2,12,22.35104667829647,21.109037778956928,62.42544731610336,0.8871123494846636,0.887653463490315,23.32767431610129,20.514325683898708,0.02282621570381989,0.0226857359453346,0.020707734504780913,2134932.0,1.7189479983552118,0,0,-1,0,0,0.0034782608695651434,2.1519201372881156,0.35110782665287366,0.3601248937190048,0.0566468707172223,0.15246636771300448,-0.08441333445002887,0.02507565931690438,0.0
2014-12-03,23.26,23.13,0.0051858370323654155,0.018364812526552192,0.0057306747089850745,-1.5688144408474243,0.005604670847170754,22.279,22.029500000000002,21.176666666666666,2,3,12,22.5163109186062,21.247809535153255,65.26946107784428,0.9039748845534312,0.8909177477029383,23.49961599971964,20.559384000280364,0.020349033482823645,0.020248928979400522,0.02034820083605667,2223494.0,1.6740175608382784,0,0,-1,0,0,0.003026372676178136,-0.721257257571482,0.2511841531302391,0.3214417823694163,0.08236389018147983,0.10289236605026097,0.8962869179157467,0.03783319002579531,0.0
2014-12-04,23.71,23.26,0.009438079497307168,0.007168489478612717,0.022599831917240992,0.6538469719139262,0.019161752986795618,22.517000000000003,22.171,21.337333333333333,3,4,12,22.73334529704144,21.406660532885304,65.61264822134385,0.942782000239184,0.9012905982101875,23.71802975169571,20.62397024830429,0.016051473502038494,0.02016186484132358,0.020406237922102798,2393792.0,1.9896191373347452,0,0,-1,0,0,0.006878761822871888,0.049255917391832306,0.16433140718964614,0.3200596820246336,0.06227598566308257,0.13553639846743315,0.866019312545122,0.02235343736819912,0.0
2014-12-05,23.65,23.71,0.013992172311078865,0.0,0.013233917795024369,-0.4726212932595512,-0.002533785139372206,22.731,22.323,21.494666666666667,4,5,12,22.90000978848845,21.551392111408834,61.456102783725875,0.9576561564005068,0.9125637098482515,23.82084547021103,20.82515452978897,0.01659259671986029,0.019762647621880812,0.020468450013877797,2287634.0,1.7718783764963928,0,0,-1,0,0,0.001687051876845177,-0.5475605214418672,0.12723515882154945,0.313722305134192,0.03184991273996496,0.14750121300339636,1.2115167609365942,0.009302325581395451,0.0
