date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
2017-07-24,17.35,17.1025,0.01473365464636061,0.008683122573460857,0.017699577099400857,0.3768203316610999,0.01436785473985232,17.55625,18.014125,18.06181666666667,0,24,7,17.51912713138208,17.946637702907218,30.555555555555614,-0.30375443221220166,-0.18386400277959908,19.25393109158724,16.77431890841276,0.01414083622809679,0.018270773217764557,0.0162086399936637,-41298.0,-1.0713368880931418,0,0,-1,0,0,-0.0001403303610582055,-0.0679876917528404,0.2341984074891076,0.29003953317038633,-0.00913763563677894,-0.05087527352297594,-0.008716641076185062,0.01440922190201729,0.0
2017-07-25,18.45,17.35,0.014508194948136878,0.06147186409366779,0.014514042884254012,-0.08150703305661842,0.06147186409366779,17.58125,18.020125,18.066816666666668,1,25,7,17.688376743858065,17.979112689816432,43.82022471910113,-0.21311993538368768,-0.1897151893004168,19.26750591405025,16.77274408594975,0.025379106212714657,0.023472003384112785,0.020091570800975424,-18936.0,0.6892441517390128,0,0,-1,0,0,0.0,-0.09022456456118683,0.5008931108519981,0.3726065023609735,0.06401384083044981,0.00654664484451728,1.1488030739670934,0.05962059620596195,0.0
2017-07-26,17.55,18.45,0.05330855345450691,-0.00816331063916087,5.763672150716855e-06,-0.2768003141475744,-0.050010420574661305,17.53525,17.997625,18.044150000000002,2,26,7,17.66321733588387,17.95142800015086,38.23529411764708,-0.21147615655355523,-0.19406738275104451,19.262643696554154,16.732606303445845,0.029901378027919392,0.025661605993015642,0.02200771653051147,-35891.0,-0.7076970502006117,0,0,-1,0,0,-0.008130081300812931,-0.3633189469503406,0.6677420973126067,0.4073653662002646,0.01739130434782621,-0.02499999999999991,0.260618014053673,0.05412535612535609,0.0
2017-07-27,17.75,17.55,-0.04470017891790694,-0.03051554392595049,0.0005704391671850337,-0.24913455879897964,0.011331566009550018,17.52025,17.973125000000003,18.03581666666667,3,27,7,17.6789960020868,17.938432645302417,39.42307692307692,-0.19182389500226904,-0.19361868520128944,19.237358567485806,16.7088914325142,0.030157510566496442,0.02560843919023587,0.022008567715775057,-22675.0,-0.3529806607551709,0,0,-1,0,0,-0.0028490028490028895,-0.6866819569126305,0.6315690604144099,0.4065213693713064,0.050295857988165826,-0.026864035087719174,-0.39765346048525746,0.021971830985915524,0.0
2017-07-28,17.7,17.75,0.014184634991956381,0.027395928884657382,0.010885240679670838,-0.43234401477033774,-0.0028208763416413406,17.49025,17.955625,18.022483333333337,4,28,7,17.682814910798292,17.923049893992584,46.590909090909086,-0.17822940068143467,-0.1905408282973185,19.225056985491726,16.686193014508277,0.030088061942506735,0.025518371649222518,0.021985710303030023,-31252.0,-0.4027391824399062,0,0,-1,0,0,0.0,-1.238449513942571,0.6380773217532124,0.40509159148298374,0.03493641280514548,-0.01939058171745156,-0.03174729595391214,0.03915254237288124,0.0
2017-07-31,17.55,17.7,5.63378694712145e-06,0.008025593810147424,-0.011461443519006539,-0.004440297082815389,-0.008510689667908506,17.49425,17.895625000000003,17.992816666666666,0,31,7,17.6586667451986,17.89898215889629,42.52873563218393,-0.17751315127700806,-0.18793529289325644,19.11958951939459,16.671660480605414,0.028850345251506215,0.02380332834950428,0.021722435981036,-39791.0,-0.5647631030529529,0,0,-1,0,0,0.002830508474576298,-1.1864709804285318,0.6431345142832575,0.3778661231304113,0.011527377521613813,-0.06399999999999995,0.5106049568278922,0.059259259259259206,0.0
2017-08-01,18.2,17.55,0.013424898254069721,-0.010385444533480129,-0.005780362915499537,0.8108391267208365,0.03636764417087479,17.58025,17.868125,17.99781666666667,1,1,8,17.757090973344308,17.91840266477395,51.97505197505195,-0.12307719346696189,-0.17496367300799756,19.034629985663983,16.701620014336015,0.030721057697212038,0.02543641761717915,0.02248442945539389,-20580.0,0.5690074265925141,0,0,-1,0,0,0.02507122507122494,0.47562886192741105,0.4978251537070523,0.40379061155662915,-0.013550135501354976,-0.029333333333333322,-0.4983399702460026,0.05219780219780216,0.0
2017-08-02,17.95,18.2,0.01160554612030789,0.0,0.006356565754835341,-0.2265849980312576,-0.013831479148461737,17.65025,17.815625,17.992816666666666,2,2,8,17.792165341827157,17.92044120253047,50.50505050505051,-0.09896836961616273,-0.1597646123296306,18.85525281169132,16.775997188308683,0.031160208674384328,0.025343452338054188,0.022628945073190108,-35896.0,0.25850597394348385,0,0,-1,0,0,0.0,-0.07083333305468899,0.3234358253073212,0.402314833501859,0.022792022792022637,-0.0552631578947369,1.2429692877883347,0.04679665738161559,0.0
2017-08-03,17.54,17.95,-0.03807850857450426,-0.011049836186584935,-0.0023934149291829736,0.15086206368652225,-0.02310612799025091,17.71425,17.755125,17.975749999999998,3,3,8,17.746317097858583,17.895896608818827,45.6273764258555,-0.11165839799954114,-0.1501433694636127,18.702545979901682,16.807704020098317,0.03139456525312525,0.02564774596611352,0.023006635520785718,-53706.0,-0.45412758333117137,0,0,-1,0,0,-0.023955431754874638,0.37069435657654093,0.3670442211143349,0.40714534509417843,-0.01183098591549303,-0.06453333333333333,1.6724131390545376,0.038854047890535905,0.0
2017-08-04,17.5,17.54,0.021457627338463837,0.020510437741433126,-0.016211772901851537,-0.5654440814318259,-0.002283106014568521,17.754,17.687625,17.958416666666665,4,4,8,17.701532170975202,17.87035489212084,49.89604989604988,-0.12351915074436093,-0.14481852571976234,18.48747280624682,16.88777719375318,0.03132380492097061,0.025573644207693456,0.023007635728875576,-63824.0,-0.46915175245752233,0,0,-1,0,0,0.020524515393386514,-0.8382569718743701,0.36700408118345124,0.405969016147226,-0.011299435028248594,-0.07161803713527859,1.6497693697529319,0.07617142857142868,0.0
