date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
2003-01-27,9.35,9.95,-0.037059824383942265,-0.052151511872136826,-0.050219756979026454,-0.8793216102659873,-0.06219620786990569,10.212,10.714,10.781,0,27,1,10.196811519740614,10.712803298850718,35.227272727272734,-0.36098100659167365,-0.20627573982733707,12.45430124434037,8.973698755659631,0.04815729991206324,0.051606116992621805,0.043780935237606615,-5455600.0,-1.5675447046146331,0,0,-1,0,0,-0.01507537688442197,-0.9869009870296981,0.7968790701225945,0.8192217101530908,-0.1342592592592593,-0.06779661016949146,1.164512782953764,0.062032085561497335,0.0
2003-01-28,9.4,9.35,-0.038486289031160234,-0.0193784748373106,0.008547060578458348,0.09636835589194606,0.005333345975362603,10.129,10.6775,10.721666666666666,1,28,1,10.051936697969593,10.628106311828091,27.27272727272728,-0.40523725873146077,-0.24606804360816184,12.498140430987782,8.856859569012219,0.04311207538350201,0.05155904172586767,0.043627475849132645,-4188600.0,-1.4033523349878565,0,0,-1,0,0,0.008556149732620328,-0.9201863048722505,0.789779699345192,0.8184744134606899,-0.08203125,-0.07206317867719647,0.18950257482260552,0.032978723404255374,0.0
2003-01-29,9.4,9.4,0.0,0.0,0.0,-0.07589452246088792,0.0,10.044,10.623999999999999,10.654333333333334,2,29,1,9.933402752884211,10.54887364654886,27.491961414791007,-0.43529287213178947,-0.2839130093128874,12.531143358395925,8.716856641604073,0.04306844215574342,0.05086715353744536,0.04335660855136586,-4188600.0,-1.2835951682515252,0,0,-1,0,0,0.0031914893617020594,-0.9069121010624268,0.6256793568732518,0.8074910289709193,-0.012605042016806678,-0.10219675262655203,-0.3775963886310877,0.032978723404255374,0.0
2003-01-30,9.4,9.4,0.03746535989705279,0.018367863331387083,0.0,-0.4882896959298557,0.0,9.907,10.557500000000001,10.580666666666668,3,30,1,9.83642043417799,10.474752766126354,22.508591065292094,-0.45388011485704105,-0.3179064304217181,12.540330247266189,8.574669752733813,0.038113867950046926,0.05042449103307899,0.043169166220783824,-4188600.0,-1.1675230409621753,0,0,-1,0,0,0.04148936170212753,-1.0091033109933198,0.43263307218817515,0.8004639795632007,-0.05999999999999994,-0.12395153774464118,-2.135628657219019,0.052127659574468105,0.0
2003-01-31,9.18,9.4,-0.051347056383208585,-0.05721789339386958,-0.04459684079242929,0.665788675466456,-0.02368248464355921,9.724,10.4915,10.503333333333334,4,31,1,9.717071264327446,10.391220329602072,28.8546255506608,-0.4808202040023861,-0.35048918513785177,12.568048502734895,8.414951497265106,0.03612072217444803,0.050459444225227,0.04328155359126496,-5591100.0,-1.2631537363781338,0,0,-1,0,0,-0.010638297872340387,-0.6714743134043024,0.43362600638924165,0.8010188442869096,-0.07738693467336677,-0.12571428571428578,-1.4795160194543147,0.038126361655773384,0.0
2003-02-03,9.17,9.18,-0.007555351644449502,0.011708489264900002,0.018733330202510046,-0.33585923381499283,-0.0010899183640255736,9.561,10.4125,10.435666666666666,0,3,2,9.617603761722455,10.312431921240648,35.59782608695653,-0.4972453997259194,-0.3798404280554653,12.566418094518625,8.258581905481375,0.03647508417581183,0.05000450267496557,0.04313298629039602,-6593500.0,-1.153711464852784,0,0,-1,0,0,0.005446623093681995,-0.8139182706344359,0.17823134964566595,0.7937968710685379,-0.019251336898395643,-0.14697674418604656,-1.9416118158335773,0.03162486368593229,0.0
2003-02-04,9.05,9.17,-0.005431843882361729,-0.028987536873252298,-0.023192646399275037,0.08166825051794613,-0.01317252855653867,9.442,10.2935,10.378666666666666,1,4,2,9.514403077772917,10.230984700515446,34.12698412698414,-0.5140201781449161,-0.4066763780733555,12.473546112501197,8.113453887498803,0.034184494066229865,0.04721951990322978,0.04269302678736196,-7681200.0,-1.1408015572416623,0,0,-1,0,0,0.0010905125408941971,-0.7118958253053803,0.16606622723208853,0.7495866401508643,-0.037234042553191404,-0.2082239720034995,-1.1169996573111238,0.025414364640884025,0.0
2003-02-05,9.05,9.05,-0.006557400546159164,0.003262645634816591,0.003346350027344394,0.12579028186960686,0.0,9.395,10.133500000000002,10.319999999999999,2,5,2,9.429966154541477,10.15479213919187,23.61963190184052,-0.5213050310014555,-0.4296021086589755,12.174204470726252,8.09279552927375,0.027346108967879694,0.04319522238693581,0.04266579945911077,-7681200.0,-1.0618882013958657,0,0,-1,0,0,0.007734806629834089,-0.5776314301249391,0.16606622723208853,0.6857028975717718,-0.037234042553191404,-0.2612244897959183,-1.1169996573111238,0.025414364640884025,0.0
2003-02-06,9.05,9.05,-0.002195390563435615,0.014016401973535562,0.005552485114785719,-0.2894401363301168,0.0,9.3,9.976,10.275,3,6,2,9.3608813991703,10.083515226985943,17.549668874172212,-0.521071738726647,-0.4478960346725098,11.82211569461254,8.129884305387462,0.01960379929052722,0.04325467311026677,0.0422161980349122,-7681200.0,-1.0031873979537862,0,0,-1,0,0,0.0055248618784529205,-0.6393704168837242,0.16606622723208853,0.6866466485469516,-0.037234042553191404,-0.2581967213114753,-1.1169996573111238,0.03425414364640889,0.0
2003-02-07,9.0,9.05,0.0054794657646255705,-0.018368965972377797,-0.007782140442054739,0.1467757288831657,-0.005540180375615468,9.205,9.796,10.233666666666666,4,7,2,9.295266599321154,10.013611018793302,18.531468531468562,-0.5189394243947962,-0.4621047126169671,11.218220650583927,8.373779349416072,0.019590356845554928,0.041905520985085015,0.04216077555519126,-8750700.0,-1.1193762369758613,0,0,-1,0,0,0.011049723756906037,-0.5760371926660243,0.08886088331210709,0.6652295225228004,-0.019607843137254832,-0.2857142857142857,-1.4812719201895386,0.02333333333333323,0.0
2003-02-10,8.7,9.0,-0.04470017891790694,-0.04688358589885038,-0.1412138887965389,2.2400231118373846,-0.03390155167568146,9.14,9.676,10.189333333333334,0,10,2,9.18703630853549,9.928861920806638,20.3846153846154,-0.5352865920904151,-0.47674108851165675,11.038712465327112,8.313287534672888,0.012405382190561042,0.034525521911403886,0.0424044175362982,-18797100.0,-1.4324371792778992,0,0,-1,0,0,-0.027777777777777776,3.927977491083894,0.22071268806078928,0.5480756691737165,-0.05125408942202847,-0.21621621621621623,-1.5101366958260822,0.1114942528735632,0.0
2003-02-11,8.93,8.7,-0.005730674708985095,0.020362694518884512,0.05622967649867828,-1.5012296875543936,0.02609336922786973,9.093,9.611,10.149333333333335,1,11,2,9.14030243425631,9.864419216238469,36.018957345971586,-0.5236464916571748,-0.4861221691407604,10.98640654277008,8.235593457229921,0.016023317457628146,0.031682521195251806,0.04269493006184771,-16558200.0,-0.9902526690449823,0,0,-1,0,0,0.0,0.09583666748450337,0.3376534624425022,0.5029444319410149,-0.013259668508287414,-0.1270772238514175,-0.22363782173027016,0.07838745800671885,0.0
2003-02-12,8.34,8.93,0.02833050662622599,0.002237137398356199,-0.006093864074322892,-0.26017808116207813,-0.06835317851775226,8.986999999999998,9.5155,10.078333333333335,2,12,2,8.994792900755161,9.766069589384376,12.612612612612637,-0.5556248005296283,-0.5000226954185341,10.967213687880275,8.063786312119724,0.024896816855327325,0.03429445308944874,0.04359478803581819,-18284200.0,-1.6194653392245812,0,0,-1,0,0,0.0022396416573347787,-0.1602863434629496,0.559761889079136,0.5444075653419127,-0.0784530386740332,-0.1863414634146342,-0.5090389774850947,0.09232613908872897,0.0
2003-02-13,8.06,8.34,-0.0693919934239998,-0.05748709091768158,-0.022250608934819692,0.20135517620494742,-0.03414965985211837,8.853,9.379999999999999,9.989333333333333,3,13,2,8.824830555163313,9.656000583617642,11.428571428571473,-0.5966833069051436,-0.519354817715856,10.844527946221294,7.915472053778704,0.02541594621640437,0.031547887113856705,0.043445950082900316,-20395200.0,-1.8026286263854505,0,0,-1,0,0,0.0011990407673860657,0.0420874676393996,0.551121933348703,0.5008071821568245,-0.1093922651933702,-0.25162488393686155,0.3533651830140471,0.05583126550868477,0.0
2003-02-14,8.4,8.06,-0.035347982344227105,-0.005934735519814466,0.0074720148387010564,-0.8738594219121412,0.04131814933073107,8.775,9.249500000000001,9.919333333333332,4,14,2,8.74758863604271,9.574968287900376,28.310502283105052,-0.5949293354682368,-0.5344697212663322,10.55945339410868,7.939546605891322,0.030872889098971127,0.03302842329605123,0.044339277231064574,-19514200.0,-1.2969927080161796,0,0,-1,0,0,0.0,-0.550328768442447,0.7210885672064035,0.5243099654275429,-0.06666666666666665,-0.23705722070844681,0.2650094467366409,0.04047619047619046,0.0
2003-02-18,8.74,8.4,0.04131814933073107,0.039678483818176236,0.04012696396057788,0.8440983254066072,0.039678483818176236,8.732,9.1465,9.852333333333332,1,18,2,8.746208884034944,9.521099366100353,36.693548387096776,-0.559652812713189,-0.5395063395557036,10.250965100351634,8.042034899648366,0.034546825743995715,0.03506507809561998,0.04483301668076084,-17465100.0,-0.7361029332127929,0,0,-1,0,0,0.0,0.023976547262648043,0.7773296462737026,0.5566408580644129,0.0045977011494253706,-0.19074074074074077,-0.7836723865367611,0.04004576659038898,0.0
2003-02-19,8.99,8.74,0.047655734098820256,0.029314387668775307,0.04086966918832915,-0.30774435963401736,0.028202658816084778,8.726,9.084,9.770999999999999,2,19,2,8.790534541483135,9.486834890868073,42.49084249084248,-0.5056936816348685,-0.5327438079715366,10.062170149874381,8.105829850125618,0.035852747516900374,0.03461523285499395,0.04341424376856108,-15958800.0,-0.19219560116830606,0,0,-1,0,0,0.008009153318077835,-0.25258438714052056,0.7817808206349784,0.5494997862534381,0.006718924972004547,-0.1220703125,-0.799464837117386,0.028921023359288072,0.0
