date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
2021-10-22,3.33,3.73,-0.011173300598125189,-0.05309547134998136,-0.04485056616535179,-0.27643326894524534,-0.11343592966337167,3.6670000000000003,4.1285,5.809166666666667,4,22,10,3.802403172972848,5.297732825386297,21.455938697318004,-1.0888001764073216,-1.2227843299699357,5.424457682869876,2.832542317130124,0.04914325778508256,0.07543953055309581,0.12253201121071429,-58194397.0,-1.2322933233926825,0,0,-1,0,0,-0.045576407506702395,-0.44137917449400904,0.9207637643028457,1.1975654212017028,-0.10242587601078168,-0.34833659491193736,-0.6756747558909267,0.10015015015015012,0.0
2021-10-25,3.12,3.33,-0.07583807639150461,-0.08233245540110967,-0.07293246949103167,0.6887376218577215,-0.06513930217096149,3.6270000000000002,4.0055,5.498166666666666,0,25,10,3.6783298687959665,5.157233933425891,22.764227642276424,-1.0722623767055688,-1.1926799393170624,5.182945495442072,2.828054504557927,0.05239236415922467,0.0713524582593505,0.10326874370085581,-67615809.0,-1.504103592782506,0,0,-1,0,0,-0.009009009009009084,1.0102024630350763,0.7157232660235657,1.1326851599241485,-0.19794344473007708,-0.4408602150537634,-0.5358849336611754,0.08932692307692312,0.0
2021-10-26,3.13,3.12,-0.030771658666753545,0.07578966043136001,0.016313575491523787,0.07435177909885476,0.0032000027306708497,3.565,3.9005,5.2395000000000005,1,26,10,3.5786335290148816,5.026444647398415,26.51162790697674,-1.0462881760651008,-1.16340158666667,4.989381125404948,2.8116188745950526,0.04561491664219498,0.07109782328934047,0.10225922329133391,-57467199.0,-1.4152141717278026,0,0,-1,0,0,0.025641025641025664,1.1520901031920476,0.7744862132086894,1.1286429550896668,-0.18062827225130884,-0.40152963671128117,-0.5722943654265304,0.15654952076677323,0.0
2021-10-27,3.12,3.13,-0.025317807984289897,-0.11848160362052346,-0.048130187826979795,-0.37785910263323713,-0.003200002730670791,3.5170000000000003,3.84,5.010166666666667,2,27,10,3.4952456146485393,4.903448218534001,28.217821782178206,-1.0148122276879237,-1.133683714870921,4.962347164604038,2.7176528353959615,0.045028557624634445,0.06187597378999588,0.10203986050061657,-64422316.0,-1.2830254714529692,0,0,-1,0,0,-0.0031948881789136702,0.2828604322856648,0.8144918966951692,0.9822506326696792,-0.1544715447154471,-0.27944572748267893,-0.9661546161755435,0.07538461538461548,0.0
2021-10-28,2.99,3.12,-0.01326061148374975,-0.03195159980660236,-0.005038480053698285,-0.4625835014320959,-0.04255961441879589,3.4530000000000003,3.761,4.696833333333334,3,28,10,3.403382775621532,4.779999946370517,33.13953488372094,-0.9889571430312984,-1.1047384005029965,4.889406421743322,2.632593578256678,0.04514042776012048,0.05988259272458131,0.08817815094834211,-68801639.0,-1.36652891217838,0,0,-1,0,0,-0.013173076923076966,-0.4641793061267601,0.7208675429420449,0.9506066892660475,-0.19839142091152806,-0.34573304157549234,-0.562890923848076,0.050167224080267525,0.0
2021-10-29,2.89,2.99,-0.02929900293504619,-0.026317308317373417,-0.031198370855861395,-0.13432364221559506,-0.03401688527825424,3.371,3.6454999999999997,4.447166666666666,4,29,10,3.3100404527812533,4.658064465959517,32.20338983050847,-0.9654073514281736,-1.0768721906880319,4.615502170371956,2.675497829628043,0.04299588963758317,0.047110944446693476,0.08522015943925619,-72630512.0,-1.5577284733503143,0,0,-1,0,0,0.0,-0.6053209604486907,0.43721387856543636,0.7478630582119822,-0.13213213213213215,-0.4442307692307692,-0.07009602121432364,0.05536332179930801,0.0
2021-11-01,2.91,2.89,-0.03401688527825424,0.03601043752303303,0.00701757265864654,0.42619460976622825,0.006896579059060459,3.2729999999999997,3.55,4.2475,0,1,11,3.2373058250028435,4.545286113316967,23.076923076923066,-0.9343594252271137,-1.0483696375958482,4.402043982062201,2.6979560179377984,0.0367848273375506,0.04646134333353291,0.08323817972805811,-66766904.0,-1.502269867456861,0,0,-1,0,0,0.0,0.1993539632956153,0.3543709745783604,0.7375509602311007,-0.06730769230769229,-0.39626556016597514,-0.5691259146724702,0.0859106529209622,0.0
2021-11-02,3.11,2.91,0.02054866822738776,0.019108861698046507,0.01733145635163994,-0.2949327435345514,0.0664696450077416,3.2020000000000004,3.4824999999999995,4.0441666666666665,1,2,11,3.214159311365963,4.452687009232002,34.78260869565217,-0.8834317403091649,-1.0153820581385116,4.239610156762988,2.7253898432370107,0.047931171043732304,0.049190866386181385,0.084411874655179,-62400969.0,-0.9840047625106944,0,0,-1,0,0,0.013745704467353964,-0.442360905277333,0.6935435905093177,0.7808807954018551,-0.006389776357827448,-0.30269058295964124,1.1360708721805481,0.08360128617363337,0.0
2021-11-03,3.19,3.11,0.03660974561256081,0.012539349252735173,0.03045920748470844,-0.4658043793101211,0.025398190605610403,3.152,3.435,3.9200000000000004,2,3,11,3.2097667092994238,4.371223331217035,36.74698795180723,-0.8270817679055393,-0.9777220000919171,4.1355110916136,2.7344889083863997,0.04958601320882768,0.04826858897187138,0.0743206955367176,-59660777.0,-0.6994892812779081,0,0,-1,0,0,-0.016077170418006374,-1.0503595024955528,0.7165515531526166,0.7662400953333993,0.022435897435897356,-0.22946859903381633,0.46715038057255404,0.06583072100313479,0.0
2021-11-04,3.51,3.19,0.04157465237872374,0.13392072492455442,0.02955880224154443,1.1980583161395844,0.0955951206810211,3.13,3.4105,3.855,3,4,11,3.2643545803358918,4.315660535654645,44.73684210526315,-0.7479804303482194,-0.9317736861431777,4.060244079173521,2.7607559208264787,0.06115289661302543,0.05402561808470761,0.0686918304615997,-50580667.0,0.30627443385575615,0,0,-1,0,0,-3.134796238237208e-05,1.3594978554498856,0.8307062283401923,0.8576300992721402,0.17391304347826075,-0.12250000000000005,0.0518715158349062,0.16524216524216528,0.0
