date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
1999-12-14,73.31,72.75,-0.010291686036547636,-0.009343963982643536,-0.0017914977574476929,-0.09190391422865876,0.007668119183893248,72.682,72.936,72.46000000000001,1,14,12,72.84063817389863,72.72568346273776,49.52766531713905,0.0827715956745152,-0.03524970003781522,74.75469125877281,71.1173087412272,0.009226202069903188,0.01152041516264693,0.015409509074107501,37000.0,0.4112847611665103,0,0,-1,0,0,-0.003436426116838488,-0.5112336161341133,0.1802841668704569,0.18288092112348903,0.018194444444444402,0.023453860114477365,0.8600003665894875,0.013640703860319191,0.0
1999-12-15,72.5,73.31,0.008652117422230762,0.005156749112248208,-0.004285029709559504,0.6666415207362495,-0.011110463374866146,72.694,72.883,72.39966666666666,2,15,12,72.77870396046251,72.71112323933532,45.364647713226226,0.052982855739116985,-0.017603188882428778,74.68684501609894,71.07915498390105,0.009433142056254536,0.010100797362902486,0.015393440745871807,-707600.0,-0.42464845547350055,0,0,-1,0,0,-0.0024553266948575477,1.3962509448354812,0.12149276779153491,0.16034518719418206,-0.013605442176870763,-0.01441000543773796,0.5161041682834219,0.023310344827586177,0.0
1999-12-16,73.0,72.5,-0.00865211742223062,-0.007745130095543905,-0.007787551524709835,-0.6829920959623259,0.0068728792877620504,72.806,72.85799999999999,72.34333333333333,3,16,12,72.81893960401477,72.72976044970078,52.321204516938536,0.06892634603771342,-0.00029728189840034017,74.63956170402905,71.07643829597093,0.009285413638914058,0.01024146471002539,0.015420106590422207,-331500.0,0.15941070093600748,0,0,-1,0,0,0.0,-0.6088734694427034,0.13581098417149434,0.1625782121026285,-0.001777656228633906,-0.006802721088435382,-0.4715410143743068,0.02301369863013708,0.0
1999-12-17,73.38,73.0,0.012064857066506823,0.0009543936916407,0.024137438300776182,0.21475966112536599,0.005191977778744694,72.913,72.78,72.35799999999999,4,17,12,72.92095058510299,72.77171138842976,64.08450704225348,0.11094558947920063,0.021951292377119857,74.29431068216039,71.26568931783962,0.00924772550388202,0.009226345819620297,0.014836471414204517,134700.0,0.792439764268197,0,0,-1,0,0,0.005205479452054732,-0.14334383237599843,0.14067001316633404,0.14646369929157424,0.0009548492702222688,-0.02081665332265814,-0.646114043653379,0.0,0.0
1999-12-20,71.5,73.38,-0.0017731710299592474,-0.0009543936916406346,-0.028614848886923665,-0.3476455372193381,-0.02595396922717391,72.838,72.636,72.32866666666665,0,20,12,72.66259593326608,72.68966549240204,50.0,-0.00736919801796887,0.01608719429810211,74.0543815832805,71.21761841671949,0.012643431617829246,0.010674056759633996,0.015515533448639532,-194600.0,-1.6018256488815934,0,0,-1,0,0,-0.0017715998909784063,-0.8273173299590743,0.2321513473796793,0.169445397997077,-0.01718213058419249,-0.038720086044635615,-1.117684301365805,0.027972027972027972,0.0
1999-12-21,70.38,71.5,-0.029369059151752943,-0.028502206086735333,-0.03293006544295291,0.7944301565634299,-0.015788317806522994,72.676,72.486,72.256,1,21,12,72.24757849085405,72.54065481547289,39.01098901098904,-0.18932671872921958,-0.024995588307362225,74.18070258219699,70.79129741780302,0.013472262558703799,0.010810883547941843,0.01575550979315272,-923400.0,-2.4853918582809107,0,0,-1,0,0,-0.005174825174825239,1.2536510531487977,0.2209332901078901,0.17161745592440247,-0.03996726231073533,-0.04088307440719541,-0.03600913411220589,0.0319693094629156,0.0
1999-12-22,70.0,70.38,-0.0070542053245929125,-0.00873983572792909,0.00808318488882297,-0.11135478401909561,-0.005413889844080038,72.326,72.317,72.26233333333333,2,22,12,71.83892785615332,72.37674160157142,39.53229398663702,-0.36004185069697314,-0.09200484078528443,74.28793726034351,70.34606273965647,0.01077479137458271,0.010824947668649627,0.014160016321906367,-1575400.0,-2.351165657699484,0,0,-1,0,0,0.0035521454958795115,0.7778788383329344,0.21973332161409584,0.17184071691921202,-0.03448275862068961,-0.046061597165440116,-0.4387283026560954,0.015285714285714189,0.0
1999-12-23,73.0,70.0,-0.005394675206975669,0.046610109783339015,0.009870618727772767,-0.21000175661636059,0.04196419909903221,72.313,72.30449999999999,72.41433333333333,3,23,12,72.05003188230725,72.41695182082488,52.987012987012974,-0.2503737421167358,-0.1236786210515747,74.25357238395463,70.35542761604535,0.01852338116259134,0.014806901760942124,0.01566106137553315,-1046900.0,0.713672827880153,0,0,-1,0,0,0.0035714285714285713,0.15516041168159272,0.41957695991967425,0.23505227848090335,0.0,-0.0034129692832765013,1.2575692692914977,0.05136986301369863,0.0
1999-12-27,73.44,73.0,0.06462748515168622,0.012622700161371537,0.04440843809837979,-0.5254383361338362,0.006009305163843936,72.326,72.345,72.54966666666668,0,27,12,72.30275335825138,72.48295492915875,54.98742665549035,-0.1264984577063899,-0.12424258838253775,74.35525266806776,70.33474733193223,0.01861069289217137,0.01472876539564078,0.015529160487490732,-734400.0,1.089415293304898,0,0,-1,0,0,0.026575342465753393,-1.1190413270207482,0.4202254149629329,0.23381190213527622,0.0008176614881438837,0.011152416356877248,1.2222899646448346,0.02042483660130719,0.0
1999-12-28,74.88,73.44,-0.023628993752405594,0.0016000003413334314,-0.003409946699099299,-0.30478754035471994,0.019418085857101516,72.53899999999999,72.52,72.74766666666667,1,28,12,72.77134365675113,72.63760299824528,60.97560975609753,0.08686820053767974,-0.08202043059849426,74.7714463187728,70.26855368122719,0.019296076718027917,0.014678870359106927,0.015768622137979655,-504000.0,2.096430174969799,0,0,-1,0,0,-0.0034041394335511985,-1.41835816924685,0.36218214150050015,0.23301984298532585,0.04727272727272713,0.04903334267301762,0.6649684158351977,0.024973290598290662,0.0
