date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
1999-12-14,30.47,30.9,0.020348585270977854,0.005748977826921757,0.01278617688602533,-0.570004846209142,-0.014013590906082103,31.986,33.159000000000006,33.899,1,14,12,31.782377200168813,33.60362794186288,39.47916666666667,-1.3013691520242858,-1.1009979328895825,36.62585296395507,29.692147036044943,0.024702083370828694,0.02662954457468718,0.024869296739372278,-12578800.0,-1.5512627896005935,0,0,-1,0,0,-0.0038834951456309854,0.49684079867551617,0.336561634933537,0.4227309148291894,-0.03269841269841278,-0.1380480905233381,0.5736605377685384,0.04890055792582863,0.0
1999-12-15,29.91,30.47,-0.016377699841485197,-0.026134734751395532,-0.00839353593207063,0.5625993903263464,-0.01854972035576093,31.689999999999998,32.8435,33.651666666666664,2,15,12,31.4419449819563,33.3653293649685,28.50729517396188,-1.3736266214201436,-1.1555236705956946,36.28583870928958,29.40116129071042,0.024696451078133792,0.025655781010936463,0.024959362531430898,-17597000.0,-1.7043645310576705,0,0,-1,0,0,-0.006235641614702912,2.085472614293281,0.3428828657345769,0.40727289747642703,-0.0360941024814696,-0.1742131419105466,0.6576021607947244,0.031093279839518546,0.0
1999-12-16,28.91,29.91,-0.016650401313385067,-0.022480285520955393,-0.04517230653602486,0.2596688946938127,-0.03400531661360202,31.214000000000006,32.515499999999996,33.42666666666666,3,16,12,30.981591348873337,33.077888760776986,28.0973451327434,-1.4943568140075563,-1.223290299278067,36.14892074576963,28.88207925423036,0.022676267422273383,0.02610977063397367,0.024451112518356702,-24103100.0,-1.984631151896103,0,0,-1,0,0,-0.0043463724506853565,2.521574153841491,0.23992841843312898,0.4144797593185895,-0.0903083700440529,-0.1849450239639131,0.7554376472084129,0.05396056727775852,0.0
1999-12-17,28.97,28.91,-0.014544480981757422,-0.006372652792298288,0.0174829627803476,-0.4119879263224333,0.0020732557530042015,30.768,32.178,33.20366666666667,4,17,12,30.615847467260004,32.81286367943654,21.02065613608748,-1.5671299641656944,-1.2920582322555925,35.81210511680656,28.543894883193435,0.023206888312308258,0.02596369118425804,0.02447358736927536,-19793900.0,-1.7654965373258102,0,0,-1,0,0,0.015219647180906305,1.0451561830445353,0.24523815761009557,0.4121608199449612,-0.05880441845354134,-0.18896976483762595,-0.38952766164287017,0.030031066620641957,0.0
1999-12-20,28.82,28.97,-0.01061835631751019,-0.014915530756447519,-0.017482962780347455,-0.28292839020702615,-0.005191221209882903,30.307,31.836000000000002,33.00666666666667,0,20,12,30.28932974594,32.5552595710858,21.27921279212792,-1.618252746036994,-1.357297135011873,35.37657622428887,28.29542377571114,0.022916502469562706,0.025915759636487064,0.024196151392806644,-23041200.0,-1.7036774857774888,0,0,-1,0,0,0.0024162927166033925,0.3057159892843914,0.21486711579102924,0.41139993021282273,-0.06731391585760516,-0.19181155356141322,-0.5203454254684092,0.032269257460097144,0.0
1999-12-21,28.47,28.82,-0.0044866339283406225,-0.006166514915664015,0.004223871116185022,-0.18039565716378003,-0.012218689281429928,30.004,31.563499999999998,32.77133333333333,1,21,12,29.958542519405455,32.29169443746736,22.01017811704834,-1.6677848088018372,-1.419394669769866,35.26403353194538,27.862966468054616,0.017172580480848666,0.024293284519621035,0.023589697098523956,-25752500.0,-1.6719210747828235,0,0,-1,0,0,0.0031228313671061714,-0.07381655099400147,0.21515720345807893,0.3856439362071149,-0.06563833278634723,-0.16067216981132082,-0.6482703897485728,0.022128556375131808,0.0
1999-12-22,27.98,28.47,-0.004159451404170248,-0.0044773623961878945,-0.01986585374171537,-0.21659073098016032,-0.01736093205261097,29.699,31.338,32.544333333333334,2,22,12,29.59880751587719,32.013520602792056,12.31788079470195,-1.7266742048848123,-1.4808505767928555,35.33832419738825,27.337675802611745,0.01726159575001111,0.023080944959042168,0.02352620944445502,-27935800.0,-1.6788639291747318,0,0,-1,0,0,0.011239901650860565,-0.404561627954981,0.2136131872496646,0.3663986423159728,-0.06452691407556,-0.13881194213604187,-0.7376362979403664,0.037884203002144345,0.0
1999-12-23,30.16,27.98,-0.019642862358686557,0.05244899496552754,0.006784528791469342,0.3700509395465468,0.07502657390242025,29.537,31.159000000000002,32.400333333333336,3,23,12,29.700842512990427,31.893938628418375,32.77133825079029,-1.579232287800135,-1.5005269189943116,35.02489895584993,27.29310104415008,0.031571643289665136,0.02828558492971419,0.028162234072908212,-24774800.0,-0.5168267517640646,0,0,-1,0,0,0.008934953538241601,0.21031621238862072,0.621543041824232,0.4490197404721209,0.043237634036665584,-0.10610551274451696,2.0474899310352734,0.08057029177718832,0.0
1999-12-27,29.97,30.16,0.06380764837655586,0.01624467171350246,0.06242329630215655,-0.43896856735025186,-0.006319661811183471,29.456,31.014,32.246,0,27,12,29.749780237901255,31.76981355561719,32.12809917355369,-1.4608748623030188,-1.492596507656053,34.826866858967136,27.201133141032862,0.03018082088236178,0.027872422487682055,0.028128390383986866,-26812700.0,-0.5476194363014337,0,0,-1,0,0,-0.002320954907161813,-0.6095165428168631,0.6302811172915415,0.4424609900359859,0.03451846738004827,-0.0882263462123517,2.152632271922895,0.037370704037370736,0.0
1999-12-28,31.03,29.97,0.010578611047319327,0.02388268264828114,0.01657862904741665,-0.13339821116458692,0.034757597131717076,29.469,30.878500000000003,32.09166666666667,1,28,12,29.982547467373756,31.722083648803178,47.332576617480136,-1.2669381344941328,-1.447464833023669,34.46963689665622,27.287363103343782,0.03245057666926241,0.028453600367949854,0.028344099229416456,-25029300.0,0.08437439415972327,0,0,-1,0,0,0.014681348014681392,-0.7562568899973544,0.6448047138002757,0.45168690286806745,0.07668285912560724,-0.08032009484291647,1.1438426645852207,0.04415082178536903,0.0
