date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
1999-12-14,33.31,33.5,0.0,0.0,-0.0020992660281007602,-0.26510775041324197,-0.005687786625432424,34.188,34.472500000000004,34.25033333333333,1,14,12,34.00837615132814,34.24481467027439,22.064056939501725,-0.15754521786976028,0.027094132885206144,35.703210107385594,33.24178989261441,0.005490093933949735,0.008583248274739533,0.007943765436161723,-24800.0,-1.8891532506700754,0,0,-1,0,0,0.0,-0.1619167205814201,0.07272981779894655,0.13625484225651005,-0.0257385200350978,-0.009220701963117084,0.8933537257718407,0.005703992794956401,0.0
1999-12-15,33.0,33.31,-0.007490671729157626,-0.003588520597331636,-0.009350090739108073,0.14903557916048796,-0.009350090739108073,34.007,34.432,34.20666666666667,2,15,12,33.82503503290484,34.164504046385716,7.063197026022237,-0.23203617460253412,-0.024731928612341914,35.80014280571953,33.06385719428047,0.005655136234375864,0.008676784750938873,0.008045828932124837,-31300.0,-2.0933487264831143,0,0,-1,0,0,-0.0018012608826179007,0.07006104215460666,0.042102355128183395,0.13773968778373064,-0.03649635036496346,-0.02395740905057686,0.9392436379439775,0.011515151515151593,0.0
1999-12-16,32.5,33.0,-0.007547205635382966,-0.011449356767208884,-0.01526747213078842,0.8228250038684779,-0.01526747213078842,33.769,34.363,34.160666666666664,3,16,12,33.584119572376686,34.05711668855438,5.9561128526645035,-0.32763978828658935,-0.08531350054719142,35.9671931895734,32.7588068104266,0.0057888279012488515,0.009177737370620841,0.008185281007122645,-46100.0,-2.3226628963503155,0,0,-1,0,0,0.0,1.8225215687675376,0.07009440330946816,0.1456920640855595,-0.04242781378903937,-0.04073199527744986,-0.5988900413870875,0.015384615384615385,0.0
1999-12-17,32.19,32.5,-0.02298951822469872,-0.021130781630073314,-0.009584244024975075,-0.3337731796520479,-0.009584244024975075,33.494,34.238,34.10033333333333,4,17,12,33.330643286490016,33.93665754735733,5.9561128526645035,-0.4235384623890681,-0.15295849291556676,36.10326814778945,32.37273185221055,0.00492958559387539,0.00698709575082792,0.008263560853202899,-56700.0,-2.195930920095443,0,0,-1,0,0,-0.007692307692307693,1.0265333034178017,0.0701781330097744,0.1109167064597208,-0.042534205829863225,-0.07206687806284229,-0.5730268598944314,0.0037278657968314558,0.0
1999-12-20,32.12,32.19,-0.0018621979310647623,0.0058633094992848744,-0.0021769562321559254,-0.5203043677205345,-0.0021769562321559254,33.262,34.1065,34.03966666666666,0,20,12,33.11052632531001,33.819453834624596,5.937499999999929,-0.49943014765580784,-0.222252823863615,36.17909080176935,32.033909198230646,0.004735360460193017,0.0068808662883569835,0.008263858273308416,-63000.0,-1.916924458319649,0,0,-1,0,0,0.0,-0.023700715897172746,0.07691176993769888,0.1092303660220838,-0.04119402985074638,-0.0756834532374101,-0.2097613147039396,0.011830635118306431,0.0
1999-12-21,31.88,32.12,-0.005919942510990141,-0.015504186535965199,-0.007500035156546552,-1.1474024528375417,-0.007500035156546552,33.031,33.9505,33.983666666666664,1,21,12,32.88679426616273,33.69432778077785,5.740181268882111,-0.5723432327205629,-0.2922709056350046,36.20188530453444,31.699114695465557,0.004737435306939829,0.0064005015419596354,0.008144997230943932,-65000.0,-1.8393119967780476,0,0,-1,0,0,-0.003735990037359821,-1.1468154811204283,0.07393920003153608,0.10160481207666384,-0.042930051035725114,-0.08914285714285719,0.07348624211303495,0.003764115432873306,0.0
1999-12-22,31.81,31.88,-0.001876760012860132,0.0,-0.005977680219184863,1.2383742310432684,-0.002198148160961525,32.787,33.797000000000004,33.921,2,22,12,32.69101349049678,33.572758246534114,3.62537764350445,-0.6285304847488362,-0.3595228214577709,36.19537752175133,31.398622478248672,0.0040437998517332254,0.00641867397959253,0.00807743184171921,-71900.0,-1.6569534879138366,0,0,-1,0,0,0.0018820577164367087,0.12580054699217474,0.08658876319289031,0.10189329058081867,-0.036060606060606126,-0.08801605504587162,-0.578464066312808,0.009745363093366826,0.0
1999-12-23,31.94,31.81,0.0,-0.001876760012860132,0.005977680219184792,-1.1430640512389436,0.004078437025813709,32.587,33.628499999999995,33.869,3,23,12,32.55446558313373,33.46741900482224,5.621301775148069,-0.6550187251157311,-0.41862200218936296,36.05269623141795,31.204303768582047,0.005353836037022053,0.005470898499350568,0.008116460061809423,-69700.0,-1.3930390437183093,0,0,-1,0,0,0.0040867651681861855,-1.019020771622581,0.08446669888851235,0.0868478212641484,-0.01723076923076916,-0.0954403851600113,0.3993675372328888,0.001878522229179783,0.0
1999-12-27,31.44,31.94,0.0,0.0,-0.013897886361008438,1.483668525145067,-0.015778175225860534,32.369,33.435,33.792,0,27,12,32.35183547710941,33.33661777870468,5.621301775148069,-0.708193059020104,-0.47653621355551123,35.911317299624784,30.958682700375224,0.006101217249427844,0.005827819501126459,0.008325323429434333,-79400.0,-1.611263629505226,0,0,-1,0,0,0.0,0.8098047067741831,0.1170674646340324,0.0925137665145187,-0.023299161230195597,-0.10960067969413767,-0.6621497696686558,0.015903307888040712,0.0
1999-12-28,31.19,31.44,-0.01768839548197992,0.005619746291694365,-0.007983436941293857,1.0671960924347308,-0.007983436941293857,32.138,33.2445,33.70466666666667,1,28,12,32.140592663089514,33.19812630911083,5.621301775148069,-0.7617263057084784,-0.5335742319861047,35.79886447961851,30.690135520381496,0.006010894333967792,0.005808238777202634,0.008349373895775593,-107600.0,-1.608619299550266,0,0,-1,0,0,-0.0019083969465649578,3.3637270544972955,0.11645475894617298,0.09220293215856039,-0.02895392278953912,-0.10885714285714287,0.06945360836369494,0.029817249118307024,0.0
1999-12-29,31.0,31.19,-0.010249929584345544,-0.03355807135801982,-0.008047685474791816,-1.9042374526547454,-0.006110326134565645,31.907,33.0475,33.617333333333335,2,29,12,31.93321217889142,33.05631170852304,3.7037037037037663,-0.8101443615958601,-0.5888882579080558,35.65839115659362,30.436608843406372,0.006001240503581209,0.005730919591405112,0.008355603181426778,-111800.0,-1.568429993589873,0,0,-1,0,0,-0.004168002564924737,-0.6103725334076432,0.11564363925826175,0.09097552813539493,-0.027603513174404015,-0.11276473955352029,-0.11397155813376963,0.0038709677419354015,0.0
1999-12-30,30.88,31.0,-0.0019336132353946873,-0.0019336132353946873,-0.0019411199883447457,-0.2719337154836418,-0.0038784793285708565,31.695,32.851,33.519666666666666,3,30,12,31.741719055456613,32.91590450152155,3.915662650602485,-0.8484189710620882,-0.6407944005388623,35.494720663642106,30.207279336357892,0.006029799336247742,0.00572794187313172,0.008208270149964239,-115000.0,-1.491080375552736,0,0,-1,0,0,0.0,-0.7288224896520877,0.11315690538565852,0.0909282583232401,-0.029236089280100575,-0.11289859235851774,0.07527885862852075,0.003886010362694333,0.0
1999-12-31,30.94,30.88,-0.0038784793285708565,-0.001937359340226088,0.0,-0.5753641449035618,0.0019411199883446481,31.538999999999998,32.654,33.42166666666667,4,31,12,31.5959519544645,32.78842679174597,6.209150326797527,-0.8639512836517262,-0.6854257771614352,35.24783398405564,30.06016601594437,0.005753328277316962,0.005722988313089617,0.008205597475169314,-113200.0,-1.3215957617457448,0,0,-1,0,0,0.0,-0.951315657596906,0.10168344879861543,0.0908496229953851,-0.03130870381966189,-0.1129587155963303,-0.3745412572883813,0.0019392372333549538,0.0
2000-01-03,30.25,30.94,0.0,-0.0019411199883447457,-0.020612540679724914,1.4000876832522264,-0.022553660668069627,31.345,32.4195,33.27366666666667,0,3,1,31.351233417289134,32.62465732131075,5.234159779614458,-0.9213176107957288,-0.7326041438882939,34.99106495461213,29.847935045387874,0.007909984799255379,0.006495005820731712,0.0072658437860377905,-120500.0,-1.6872993980641873,0,0,-1,0,0,-0.0019392372333549538,-0.08742532319888276,0.14275687404005846,0.10310502099343845,-0.03784987277353691,-0.13423010875787056,-1.2604982237357616,0.020826446280991704,0.0
2000-01-04,30.56,30.25,-0.00421873090404856,-0.00421873090404856,0.004288312690776376,2.9458799016059527,0.010195779821469318,31.189,32.2255,33.134,1,4,1,31.207372795963835,32.49145362316167,13.333333333333385,-0.9310340481786881,-0.7722901247463728,34.74005112662694,29.710948873373056,0.009435279045061138,0.007338813616241817,0.007673854158006736,18400.0,-1.3246897089216283,0,0,-1,0,0,0.01652892561983471,4.162240360672991,0.19076652126386026,0.11650005448098275,-0.02019878166078881,-0.11265969802555165,-0.7229982006894307,0.01210732984293197,0.0
2000-01-05,30.44,30.56,-0.00423660402298911,-0.0019531256208820736,-0.004288312690776254,-0.9155710485037615,-0.003934431304834562,31.044999999999998,32.038,32.982,2,5,1,31.067850469424954,32.35910177650608,14.044943820224788,-0.9376092165194194,-0.8053539431009822,34.494343881291385,29.581656118708608,0.009395507397485158,0.007344943750859832,0.007364574107921133,-37200.0,-1.3011207528156603,0,0,-1,0,0,0.0019633507853403886,1.2433763759309013,0.18989862667451976,0.11659736735119844,-0.01806451612903226,-0.10968119333138338,-0.9118558947660279,0.014454664914586112,0.0
2000-01-06,30.12,30.44,-0.003926706616171752,-0.00228347840210707,-0.008298802814695066,-0.8236000689573806,-0.010568130061792235,30.875999999999998,31.8315,32.82333333333334,3,6,1,30.895514020438597,32.21464359737666,14.792899408284114,-0.9576027618972702,-0.8358037068602399,34.19760517184047,29.465394828159525,0.009528989916903123,0.0071944882337052485,0.00743838866673041,-61600.0,-1.44668125522815,0,0,-1,0,0,0.0019710906701707856,0.2135006189472534,0.19628239296003427,0.11420896006058659,-0.024611398963730546,-0.1205839416058394,-0.35940761417082717,0.020584329349269622,0.0
2000-01-07,30.44,30.12,-0.012537280681673089,0.0,0.003992021269537457,-0.12188981760903689,0.010568130061792249,30.726,31.6565,32.660999999999994,4,7,1,30.81269328944976,32.10015046206203,24.18879056047207,-0.9368273030121408,-0.8560084260906201,33.87937888251148,29.433621117488524,0.010433692277494515,0.008098360268328374,0.007308055145857907,-40000.0,-1.094526570539516,0,0,-1,0,0,0.0,0.09815618937957506,0.22320604703325023,0.1285574837844191,-0.01616031027795739,-0.1031231585150264,-0.3521175098226156,0.0164257555847569,0.0
2000-01-10,31.06,30.44,0.0125372806816731,0.01844414039017423,0.0125372806816731,0.06713930283762852,0.02016328472705579,30.688,31.5285,32.519333333333336,0,10,1,30.85765814591344,32.03304398063868,36.54822335025383,-0.8604154500051351,-0.8568898308735232,33.56208408002374,29.494915919976265,0.012301577729902351,0.009865411581705624,0.008609960451922647,-16900.0,-0.4607628517573109,0,0,-1,0,0,0.0019710906701707856,0.13185723333155816,0.19684071538039813,0.1566085537589367,0.026776859504132222,-0.07614515169541936,-0.25287034742616,0.02221506761107538,0.0
2000-01-11,30.19,31.06,0.014323161531554121,-0.006110326134565645,-0.010215939894618423,-0.6802437757240375,-0.028410074001793503,30.588,31.363,32.359,1,11,1,30.736265755747358,31.914137917371672,31.509846827133515,-0.8601450187317781,-0.8575408684451743,33.25483397513453,29.471166024865465,0.014896126813318115,0.011239589112829757,0.009617323567584223,-28600.0,-1.2400665337629135,0,0,-1,0,0,-0.003863490019317368,-0.2433232172108656,0.29825279926669007,0.17842294578657977,-0.012107329842931835,-0.09880597014925374,-0.2376657962832009,0.0268300761841669,0.0
2000-01-12,30.38,30.19,-0.028854460820091757,-0.020202707317519466,-0.004315359393919055,0.9145798674705257,0.006273753448879227,30.526,31.216499999999996,32.207,2,12,1,30.67149016379329,31.815161277541243,34.7547974413646,-0.8349742247856256,-0.8530275397132646,32.917685654647535,29.515314345352458,0.015137565035310751,0.0115239687367198,0.009817008541503717,600.0,-0.9834317585675946,0,0,-1,0,0,-0.0043060616098046555,0.2849343897351436,0.3035018359478412,0.18293733236306262,-0.001971090670170872,-0.08796157310117092,-0.724668770003289,0.01053324555628704,0.0
2000-01-13,30.88,30.38,0.010589112842798424,0.02020270731751947,0.010589112842798424,-0.5176985030537526,0.016324227988948663,30.526000000000003,31.110499999999995,32.076,3,13,1,30.709401043103597,31.75482829189342,39.52569169960471,-0.7658521016108857,-0.8355924520927889,32.594044475412154,29.626955524587835,0.016175132656802527,0.01237084936964218,0.010543993191829965,18000.0,-0.31074228487279865,0,0,-1,0,0,0.0,-0.11584942559389458,0.30641712968114876,0.19638114563228018,0.025232403718459473,-0.06424242424242432,-1.814137747069893,0.02007772020725392,0.0
2000-01-14,30.31,30.88,0.00590746713069303,-0.014295240186826584,-0.008595094235933931,0.7652004982000029,-0.01863103408686359,30.463,31.000999999999998,31.92366666666667,4,14,1,30.636782671630215,31.661613563384172,38.986354775828424,-0.7484390181935154,-0.8181617653129343,32.37171475784279,29.630285242157207,0.017175129848473154,0.012559088993061105,0.010805267688119674,-19400.0,-1.0082331076488633,0,0,-1,0,0,-0.010362694300518144,0.4962187432166088,0.34124510817763903,0.19936935701500974,-0.004270696452036926,-0.06738461538461538,-0.4778673225326818,0.014516661167931301,0.0
2000-01-18,30.44,30.31,-0.005907467130692916,-0.0019652806849537567,0.00628828813801895,-0.3635741663990042,0.004279841923773417,30.482000000000006,30.9135,31.773666666666664,1,18,1,30.601004004061082,31.582799785101326,42.514970059880234,-0.715896699069436,-0.7977087520642346,32.184426309512126,29.642573690487872,0.015661035902074936,0.012584354556063338,0.010867192883200044,6600.0,-0.7451258132845806,0,0,-1,0,0,0.00230946882217091,0.10226412267943168,0.2947148491710429,0.1997704353936374,-0.019961365099806727,-0.054364709537123246,-0.4632761915193409,0.006241787122207664,0.0
2000-01-19,30.5,30.44,-0.00627375344887928,0.0,-0.00396694735096431,0.8560506514967984,0.001969150619880896,30.476000000000006,30.8325,31.642333333333333,2,19,1,30.582639639686338,31.51294173444963,44.87704918032787,-0.677455888370293,-0.7736581793254463,31.980181874131553,29.684818125868446,0.015317496759145182,0.012627800823674854,0.010767914410789737,67800.0,-0.5794288600255216,0,0,-1,0,0,-0.00821287779237845,1.12530956464195,0.20254851936369725,0.20046012351060158,0.010268300761841598,-0.050435865504358635,-1.1364574260453675,0.010163934426229466,0.0
