date,shares,amount,buy_flag
2003-09-10,120834.0,3883342.232000001,0
2003-10-24,12667.0,444812.4,0
2003-10-27,28000.0,1001200.0,0
2003-10-28,5000.0,180550.0,0
2003-10-29,26500.0,960715.1,0
2004-02-04,4000.0,154800.0,0
2004-02-05,2000.0,78000.0,0
2004-02-12,840.0,34028.4,1
2004-02-20,2333.0,95858.97,0
2004-02-24,70000.0,2868600.0,0
2004-02-26,10000.0,401707.0,0
2004-04-30,10000.0,425444.00000000006,0
2004-05-18,40000.0,1644900.0,0
2004-05-24,19556.0,799089.4496,0
2004-11-10,2676.0,100009.8804,1
2004-11-11,5000.0,190000.0,0
2004-11-19,5000.0,187476.0,0
2005-02-14,3500.0,134890.0,0
2005-02-16,175000.0,6807132.5,0
2005-02-17,2800.0,109116.0,0
2005-02-23,39250.0,1477801.7500000002,0
2005-02-24,50000.0,1891410.0,0
2005-02-25,2500.0,96025.0,0
2005-05-05,100000.0,4064000.0,0
2005-05-09,58076.0,2372694.98,0
2005-05-25,122020.0,4890329.762,0
2005-05-26,18500.0,752656.0,0
2005-05-27,29004.0,1196835.04,0
2005-05-31,6100.0,254797.00000000003,0
2005-06-01,80000.0,3354608.0,0
2005-06-02,65000.0,2760701.5,0
2005-06-06,5000.0,212500.0,0
2005-07-28,50100.0,2299882.6,0
2005-08-10,18000.0,787901.4,0
2005-10-31,10000.0,478099.0,0
2005-11-22,10.0,486.3,1
2005-11-29,27000.0,1311801.8,0
2005-12-26,10.0,479.8,1
2006-01-20,11.0,527.12,1
2006-02-07,235.0,11002.7,1
2006-02-08,218000.0,10193636.4,0
2006-02-14,267.0,12615.75,1
2006-02-16,231.0,10996.755,1
2006-02-22,10.0,474.1,1
2006-02-23,54771.0,2605960.3632,0
2006-05-04,47856.0,2283745.7472,0
2006-05-09,75000.0,3648112.5,0
2006-05-17,10000.0,480026.0,0
2006-10-30,1300.0,59137.0,0
2006-11-15,40000.0,1771912.0,0
2006-11-21,31658.0,1402376.5866,0
2006-11-29,3000.0,132030.0,0
2006-11-30,45.0,1984.95,1
2006-11-30,7000.0,307930.0,0
2007-02-02,23000.0,1115040.0,0
2007-02-06,2200.0,107374.0,0
2007-02-07,24195.0,1181475.85,0
2007-02-12,40000.0,1920348.0,0
2007-02-28,3000.0,141480.9,0
2007-04-27,2050.0,104906.905,0
2007-05-17,4259.0,220789.1154,0
2007-05-24,30000.0,1568100.0,0
2007-05-29,20000.0,1041794.0,0
2007-05-30,120000.0,6283335.0,0
2007-06-04,10000.0,528890.23,1
2007-06-04,70000.0,3704519.0,0
2007-06-05,30000.0,1582500.0,0
2007-06-06,117364.0,6174602.1948,0
2007-06-07,1260.0,66005.09999999999,1
2007-07-25,750.0,41850.0,0
2007-07-31,190000.0,10076543.0,0
2007-08-07,30000.0,1665603.0,0
2007-08-15,15200.0,805767.2000000001,0
2007-08-17,84800.0,4508069.76,0
2007-10-25,6265.0,382564.707,0
2007-10-29,17425.0,1083022.995,0
2007-10-30,4000.0,247120.0,0
2007-10-31,10000.0,625000.0,0
2007-11-07,20000.0,1245534.0,0
2007-11-19,95274.0,5790991.905,0
2007-11-27,10000.0,588700.0,0
2007-11-29,47391.0,2896590.0501,0
2008-02-21,5000.0,315119.0,0
2008-02-22,4168.0,262584.0,0
2008-02-26,18000.0,1148932.8,0
2008-04-24,9000.0,611460.0,0
2008-04-28,2000.0,137176.32,0
2008-05-16,90000.0,6057117.0,0
2008-05-20,7504.0,503322.5456,0
2008-05-28,21000.0,1393675.5,0
2008-07-29,52000.0,2861289.6,0
2008-08-08,10000.0,553500.0,1
2008-08-28,5274.0,301409.1,0
2008-10-27,2000.0,75291.2,1
2008-10-30,69897.0,3042420.6984,0
2008-10-31,47603.0,2070973.2753,0
2008-11-05,22454.0,1100876.9574,0
2008-11-12,72.0,3021.12,1
2008-11-20,5000.0,167600.0,1
2008-11-21,2000.0,62500.0,1
2009-02-05,5000.0,114802.8,1
2009-05-07,15000.0,523434.446,1
2009-05-27,4800.0,171783.84,1
2009-06-01,265.0,9822.277999999998,1
2009-06-01,4000.0,146000.0,0
2009-08-06,20150.0,811037.5,0
2009-08-12,10000.0,417306.0,0
2009-08-21,10000.0,419732.0,0
2009-08-24,14000.0,588030.8,0
2009-08-25,2126.0,89033.1988,0
2009-11-06,4000.0,168000.0,0
2009-11-11,10000.0,447885.0,0
2009-11-12,2000.0,88642.0,0
2009-11-13,10000.0,445400.0,0
2009-11-17,66000.0,2979603.0,0
2009-11-25,3600.0,163800.0,0
2009-11-30,5000.0,230000.0,0
2009-12-01,3756.0,174168.7248,0
2010-02-03,10000.0,511400.0,0
2010-02-04,27625.0,1379856.725,0
2010-02-18,16276.0,790701.1008,0
2010-02-24,10000.0,490900.00000000006,0
2010-03-04,5000.0,252500.0,0
2010-03-05,1725.0,88140.945,0
