date,shares,amount,buy_flag
2005-10-03,100.0,3529.9999999999995,1
2005-10-26,5000.0,186161.9,1
2005-10-27,2000.0,72221.0,1
2006-01-31,2000.0,81699.8,1
2006-08-03,500.0,22915.0,1
2006-11-21,1820.0,98789.6,1
2007-01-30,1000.0,57900.0,1
2007-02-01,500.0,29510.0,1
2007-02-02,38971.0,2318790.05,0
2007-02-15,500.0,31249.25,1
2007-02-20,500.0,31186.0,1
2007-05-17,7220.0,443829.6,0
2007-11-07,2000.0,116769.0,1
2008-02-13,2000.0,105458.0,1
2008-03-03,2000.0,100659.0,1
2008-11-04,2100.0,49210.0,1
2008-11-05,15400.0,359660.0,1
2008-11-13,2000.0,34952.0,1
2008-11-18,2000.0,32000.0,1
2008-11-19,2000.0,29212.0,1
2008-11-21,2000.0,25852.8,1
2009-02-23,1000.0,16000.0,1
2009-03-02,1000.0,15000.0,1
2009-03-06,1000.0,13548.0,1
2010-02-16,29505.0,1150574.0295,0
2010-02-19,16675.0,667000.0,0
2010-03-23,30202.0,1350911.2984,0
2010-03-24,4176.0,186667.2,0
2010-03-25,139997.0,6349605.9341,0
2010-04-29,52893.0,2523609.6588,0
2010-04-30,5500.0,18150.0,1
2010-05-03,7800.0,25884.0,1
2010-05-04,66500.0,221165.7,1
2010-05-05,20800.0,69212.0,1
2010-05-06,30500.0,101534.5,1
2010-05-07,12500.0,40697.5,1
2010-05-10,53000.0,176172.85,1
2010-05-11,22700.0,73756.84,1
2010-05-12,8400.0,27294.96,1
2010-05-25,2000.0,74457.6,1
2010-06-10,100.0,225.0,1
2010-11-03,30224.0,1573328.4544,0
2010-11-05,25814.0,1410464.0529999998,0
2010-12-02,108709.0,5816822.9138,0
2010-12-03,189018.0,10166937.9876,0
2010-12-07,89920.0,4836347.199999999,0
2010-12-09,65795.0,3653234.4775,0
2010-12-10,177372.0,9880604.652,0
2010-12-13,81748.0,4563050.2058,0
2010-12-15,17211.0,950403.4677,0
2011-02-16,13348.0,858724.8928,0
2011-02-17,31509.0,2009064.2544,0
2011-05-04,12000.0,720976.8,0
2011-06-28,885.0,49518.8475,0
2011-07-15,15043.0,826011.13,0
