date,shares,amount,buy_flag
2003-08-28,3000.0,150000.0,0
2003-08-29,2000.0,105740.0,0
2003-09-02,5000.0,265600.0,0
2003-09-17,5000.0,267500.0,0
2003-09-26,20000.0,1093600.0,0
2003-10-30,8000.0,456480.0,0
2003-12-03,20000.0,1137400.0,0
2003-12-04,20000.0,1160200.0,0
2003-12-18,5600.0,326505.76,0
2003-12-31,20000.0,1188000.0,0
2004-02-02,1500.0,96420.0,0
2004-02-10,4000.0,260000.0,0
2004-03-04,500.0,32513.0,1
2004-03-05,500.0,33000.0,1
2004-03-08,20000.0,1330800.0000000002,0
2004-05-06,1000.0,64200.0,1
2004-05-12,2000.0,126720.0,1
2004-05-27,1700.0,113050.0,1
2004-06-18,4000.0,279000.0,0
2004-06-30,10000.0,719780.0,0
2004-08-03,875.0,63813.75000000001,0
2004-08-18,10000.0,744120.0000000001,0
2004-09-01,1190.0,44517.9,0
2004-09-08,10000.0,381910.0,0
2004-09-09,517.0,18942.88,0
2004-09-30,16000.0,595264.0,0
2004-11-01,15000.0,609750.0,0
2004-11-02,16000.0,647200.0,0
2004-11-03,40000.0,1632484.0,0
2004-11-04,13880.0,572022.56,0
2004-11-05,80000.0,3347858.0,0
2004-11-09,20000.0,845580.0000000001,0
2004-11-12,800.0,34360.0,0
2004-11-16,960.0,41164.8,0
2004-11-24,13496.0,582977.12,0
2004-11-29,700.0,30548.0,1
2004-12-01,32000.0,1423514.0,0
2004-12-08,893.0,39222.49,0
2004-12-09,25000.0,1078197.5,0
2005-02-03,2000.0,88060.0,1
2005-02-03,20000.0,880080.0,0
2005-02-17,50000.0,2231750.0,0
2005-03-02,5000.0,220500.0,1
2005-03-03,7000.0,306460.0,1
2005-03-04,52099.0,2368212.31,0
2005-03-07,7000.0,324170.2,1
2005-03-16,15000.0,678150.0,0
2005-03-22,700.0,31738.000000000004,1
2005-03-24,3126.0,138669.36000000002,0
2005-05-02,10500.0,414543.0,1
2005-05-12,6000.0,228500.0,1
2005-05-16,300.0,11112.0,1
2005-06-01,1600.0,60091.04,1
2005-09-30,3000.0,109817.1,1
2006-03-07,3000.0,127650.0,1
2006-03-10,20000.0,870220.0,0
2006-03-15,10000.0,443230.0,0
2006-03-17,5520.0,245844.24,0
2006-03-27,11344.0,497778.4,0
2006-03-28,3000.0,131610.0,1
2006-03-29,20000.0,883720.0,0
2006-05-02,6146.0,232208.7866,1
2006-05-03,12000.0,461400.00000000006,0
2006-10-31,22293.0,921414.276,0
2006-12-01,5000.0,213452.0,0
2007-02-01,4400.0,205708.0,0
2007-02-21,36000.0,1692000.0,0
2007-04-30,21300.0,1088005.0,0
2007-05-01,8000.0,407690.0,0
2007-05-08,25000.0,1290550.0,0
2007-05-10,1189.0,61765.55,0
2007-08-13,3000.0,153837.0,0
2007-09-19,40000.0,2195895.4,0
2007-09-24,35620.0,1955356.338,0
2007-09-25,26000.0,1414990.2,0
2007-09-28,15000.0,815569.5,0
2007-12-07,5000.0,229572.5,0
2008-04-28,4268.0,231448.12,0
2008-05-01,7500.0,404940.0,0
2008-05-07,2500.0,135650.0,0
2008-05-14,2000.0,110946.0,0
2008-05-16,26000.0,1436498.0,0
2008-06-06,9000.0,478328.4,0
2008-06-11,414.0,20778.66,0
2008-06-13,585.0,30303.8775,0
2008-06-17,1000.0,52044.0,0
2008-06-19,30000.0,1550892.0,0
2008-07-28,1700.0,74950.0,1
2008-08-28,5500.0,253474.1,0
2008-12-16,2000.0,80073.75,0
2009-07-27,55000.0,2707526.4,0
2009-08-04,28750.0,1419635.375,0
2009-08-05,414.0,20195.0442,0
2009-08-12,125.0,6226.0,0
2009-08-14,73282.0,3703052.7606,0
2009-08-17,3000.0,150150.0,0
2009-08-19,3000.0,150150.0,0
2009-08-21,3000.0,150900.0,0
2009-08-27,3489.0,172879.94999999998,0
2009-09-03,1000.0,48288.2,0
2009-09-09,4959.0,245301.0,0
2009-09-14,17900.0,888532.12,0
2009-09-18,10000.0,510168.8000000001,0
2009-11-04,2000.0,98700.0,0
2009-11-05,2800.0,137900.0,0
2009-11-09,5000.0,250900.0,0
2009-11-10,5000.0,254600.0,0
2009-11-12,10000.0,500021.62,0
2009-11-13,1003.0,50400.75,0
2009-11-16,11997.0,604849.25,0
2009-12-07,3466.0,169972.63999999998,0
2009-12-08,5000.0,252600.00000000003,0
2010-01-04,2500.0,129650.0,0
2010-01-19,2500.0,127875.0,0
2010-02-01,5250.0,266704.55,0
2010-02-16,32750.0,1697754.925,0
2010-02-19,941.0,49562.47,0
2010-02-24,576.0,30453.12,0
2010-03-01,5500.0,296505.0,0
2010-03-02,6761.0,368734.7985,0
2010-03-05,4500.0,246888.0,0
2010-03-16,5500.0,298618.35,0
2010-03-22,10000.0,538155.0,0
2010-04-01,21250.0,1135428.75,0
2010-04-16,21250.0,1152713.0,0
2010-05-03,21500.0,1137736.5,0
2010-05-17,21500.0,1102563.25,0
2010-06-02,21750.0,1087552.5,0
2010-06-16,21750.0,1165690.5,0
2010-06-18,1413.0,78120.1749,0
2010-07-01,22500.0,1182667.5,0
2010-07-16,22500.0,1235970.0,0
2010-08-02,52500.0,3082881.0,0
2010-08-11,3679.0,212719.78,0
2010-08-13,598.0,34361.08,0
2010-08-16,22500.0,1275631.5,0
2010-09-01,25250.0,1434884.75,0
2010-09-13,2500.0,148632.25,0
2010-09-16,25250.0,1500710.25,0
2010-10-01,26000.0,1538062.25,0
2010-10-18,26000.0,1615405.75,0
2010-11-01,32056.0,2059688.38,0
2010-11-03,5000.0,321750.0,0
2010-11-16,26000.0,1674412.75,0
2010-12-01,22500.0,1504400.5,0
2010-12-16,22500.0,1538876.75,0
2011-02-03,888.0,65098.392,0
2011-02-07,2500.0,183259.75,0
2011-02-16,6000.0,220549.29,0
2011-02-17,12471.0,458809.3371,0
2011-02-18,6000.0,222000.0,0
2011-02-24,6000.0,216120.00000000003,0
2011-02-25,5223.0,187678.5813,0
2011-03-02,2805.0,100016.68,1
2011-03-03,24000.0,870026.4,0
2011-03-16,768.0,26195.412000000004,1
2011-04-04,155.77,5606.162300000001,0
2011-04-12,2000.0,72000.0,0
2011-04-28,7000.0,264140.0,0
2011-05-10,7000.0,269649.0,0
2011-05-11,5000.0,195000.0,0
2011-05-26,2000.0,76660.0,0
2011-06-14,2000.0,76220.0,0
2011-06-23,2000.0,75360.0,0
2011-07-01,20000.0,778100.0,0
2011-07-06,8000.0,314472.0,0
2011-07-07,15000.0,600112.19,0
2011-07-12,2500.0,99125.0,0
2011-07-19,8000.0,308000.0,0
2011-07-28,2500.0,95150.0,0
2011-07-29,8000.0,306320.0,0
2011-08-09,10500.0,378000.0,0
