date,shares,amount,buy_flag
2003-08-01,5000.0,166950.0,0
2003-08-13,5000.0,164456.0,0
2003-08-15,2515843.0,4805260.13,1
2003-08-29,17625.0,611240.2875000001,0
2003-09-02,29895.0,1036696.3145,0
2003-09-08,10000.0,359417.0,0
2003-09-17,10000.0,365650.0,0
2003-09-18,15000.0,555000.0,0
2003-10-03,10000.0,353440.0,0
2003-10-28,16460.0,550554.08,0
2003-11-13,25000.0,878500.0,0
2003-11-19,40000.0,1401780.0,0
2003-12-02,50000.0,1949850.0,0
2003-12-04,8625.0,331027.5,0
2004-01-02,15000.0,555000.0,0
2004-01-07,25000.0,1000000.0,0
2004-01-08,135000.0,5535000.0,0
2004-01-21,25000.0,1125190.89,0
2004-02-18,158350.0,8114318.0,0
2004-03-02,125000.0,6961587.8,0
2004-03-29,12592.0,672035.0399999999,0
2004-04-01,115350.0,6373700.3100000005,0
2004-05-04,193900.0,11391910.0,0
2004-05-05,119000.0,7001204.0,0
2004-05-13,65000.0,3770000.0,0
2004-05-14,294100.0,17281807.95,0
2004-05-18,75000.0,4428400.0,0
2004-05-19,25000.0,1500750.0,0
2004-05-24,44081.0,2737261.7712000003,0
2004-05-25,82500.0,5157750.0,0
2004-05-26,15000.0,948980.0,0
2004-06-01,5500.0,341051.05,0
2004-06-02,50000.0,3172396.0,0
2004-06-07,9375.0,580043.25,0
2004-06-14,5500.0,330109.3,0
2004-06-21,8000.0,462919.8,0
2004-06-24,1000.0,60094.0,0
2004-06-28,12593.0,793359.0,0
2004-06-29,5500.0,346893.25,0
2004-07-06,9000.0,548095.05,0
2004-07-13,5500.0,333214.6,0
2004-07-19,9500.0,543776.9,0
2004-07-26,3000.0,160182.75,0
2004-07-30,17318.0,1039355.24,0
2004-08-02,6677.0,394347.15,0
2004-08-04,37500.0,2173300.0,0
2004-08-10,4500.0,251560.65,0
2004-08-16,4500.0,262890.0,0
2004-08-18,10323.0,619805.95,0
2004-08-20,80000.0,4722780.0,0
2004-08-23,4500.0,268242.0,0
2004-08-25,1000.0,60003.0,0
2004-08-30,61250.0,3603514.55,0
2004-08-31,25000.0,1463540.76,0
2004-09-07,5500.0,337150.0,0
