date,shares,amount,buy_flag
2005-06-27,23357170.0,373714720.0,0
2005-07-22,9035530.0,144568480.0,0
2005-08-02,1525.0,30118.75,1
2005-08-08,1385.0,27007.5,1
2005-11-01,17600.0,344075.0,0
2005-12-12,45000.0,886850.0,0
2005-12-13,30000.0,600000.0,0
2006-03-08,6727.0,161448.0,0
2006-03-09,40612.0,947835.46,0
2006-03-13,8435.0,193963.15,0
2006-03-14,15600.0,362700.0,0
2006-04-28,100000.0,2148498.67,0
2006-05-10,27090.0,644458.6,0
2006-05-11,10000.0,232600.00000000003,0
2006-08-01,100000.0,1652239.0,0
2006-08-04,9375.0,154687.5,0
2006-08-07,20624.0,340296.0,0
2006-11-30,38000.0,635567.1599999999,1
2006-12-01,166800.0,2808904.7600000007,1
2006-12-04,85200.0,1441405.8,1
2006-12-06,300000.0,5580000.0,0
2006-12-06,600000.0,11160000.0,1
2007-03-02,17000.0,302090.0,0
2007-03-14,2942.0,48543.0,0
2007-03-14,158340.0,2599942.8000000003,1
2008-02-27,200000.0,1384535.2799999998,1
2008-02-28,12400.0,85960.0,1
2008-02-29,147852.0,1012911.08,1
2008-03-03,145472.0,941015.72,1
2008-03-04,133108.0,858345.24,1
2008-03-05,11200.0,74512.0,1
2008-03-06,134916.0,878102.28,1
2008-03-07,44668.0,292918.36,1
2008-03-10,102888.0,671480.3200000001,1
2008-03-11,39200.0,255000.0,1
2008-03-12,2000.0,13500.0,1
2008-06-04,95607.0,673495.6499999999,0
2008-06-05,4393.0,31342.770000000004,0
2009-11-11,19348.0,77410.28,0
2009-11-12,30652.0,115129.80000000002,0
2010-02-23,70000.0,207289.44,0
2010-05-11,3348.0,12956.76,0
2010-05-12,46652.0,186771.61,0
2010-08-11,39100.0,79440.0,0
2010-08-12,71805.0,144228.42,0
2010-09-09,100000.0,203846.44000000003,0
2010-11-09,95.0,205.2,0
2011-02-25,55064.0,127066.32,0
2011-03-03,45704.0,112147.8,0
2011-03-04,14296.0,34763.32,0
2011-12-05,36073.0,65090.1212,1
2011-12-06,25123.0,46505.1853,1
2011-12-07,86600.0,165470.26,1
2011-12-08,46548.0,86262.7536,1
2011-12-09,49800.0,94390.92,1
2011-12-14,18339.0,33070.7187,1
2011-12-15,9170.0,15909.95,1
2011-12-16,26397.0,46997.2188,1
2011-12-20,18345.0,33916.236,1
2011-12-28,1658.0,3150.2,1
2012-01-04,200.0,392.0,1
2012-02-22,43144.0,116746.8,0
2012-02-23,12694.0,34982.82,0
2012-02-28,57000.0,179550.0,1
2012-02-29,141300.0,438030.0,1
2012-03-01,102018.0,315235.62,1
2012-03-02,95715.0,298630.80000000005,1
2012-03-05,24300.0,75573.0,1
2012-03-05,40518.0,123734.3,0
2012-03-06,11100.0,34854.0,1
2012-03-07,68013.0,213560.82,1
2012-04-24,10000.0,34500.0,1
2012-05-07,67200.0,260736.0,1
2012-05-08,26955.0,105124.5,1
2012-05-09,85356.0,339716.88,1
2012-05-16,75000.0,318750.0,1
2012-05-17,23400.0,93132.0,1
2012-05-18,41400.0,149454.0,1
2012-05-21,91500.0,335805.0,1
2012-05-22,39900.0,148827.0,1
2012-05-23,39000.0,148590.0,1
2012-05-24,30900.0,122982.0,1
2012-05-25,37800.0,149310.0,1
2012-05-29,26979.0,107646.21,1
2012-05-30,14400.0,56880.0,1
2012-06-04,40800.0,147288.0,1
2012-06-05,41100.0,142206.0,1
2012-06-06,42000.0,148680.0,1
2012-06-07,24387.0,90475.77,1
2012-10-05,30529.0,165531.29090000002,0
2012-10-31,36755.0,200130.975,0
2012-11-01,153518.0,907513.92,0
2012-11-02,1583.0,9023.1,0
2013-01-03,46532.0,284775.84,0
2013-01-04,5304.0,32339.0184,0
2013-01-22,5203.0,31291.3623,0
2013-01-23,66421.0,405021.9738,0
2013-01-24,41596.0,261501.5732,0
2013-01-25,45687.0,287499.1536,0
2013-01-28,99209.0,632883.9737,0
2013-01-29,41565.0,264679.68090000004,0
2013-02-01,4553.0,28687.997700000004,0
2013-02-26,55000.0,308200.0,0
2013-03-01,7900.0,48008.3,0
2013-03-04,58802.0,361949.8308,0
2013-03-05,32427.0,202299.0822,0
2013-03-06,12651.0,78336.2571,0
2013-03-07,18019.0,110942.983,0
2013-04-29,92894.0,571298.1,0
2013-05-01,46442.0,285697.2514,0
2013-05-02,130623.0,816482.1084,0
2013-05-03,84369.0,556995.7011,0
2013-05-06,43634.0,287663.5431,0
2013-05-07,21211.0,139320.2113,0
2013-05-09,28058.0,182458.3682,0
2013-05-10,72310.0,484202.222,0
2013-05-13,149775.0,1050956.1975,0
2013-05-14,38196.0,272715.6204,0
2013-05-16,43300.0,300935.0,0
2013-05-21,9286.0,65002.0,0
2013-05-22,3807.0,26690.877,0
2013-06-18,8768.0,61386.5216,0
2013-08-02,5477.0,32862.0,0
2013-10-25,167389.0,1213051.3441,0
2013-10-28,85438.0,661050.8936,0
2013-10-29,54814.0,418324.0038,0
2013-10-30,24234.0,185850.546,0
2013-10-31,8594.0,64723.9922,0
2014-01-03,8215.0,62820.105,0
2014-01-06,40571.0,315800.6069,0
2014-01-07,1002.0,7715.400000000001,0
2014-01-10,20192.0,157663.17440000002,0
2014-01-14,28943.0,225885.6435,0
2014-01-16,32366.0,256442.2912,0
2014-01-21,15736.0,123503.996,0
2014-01-22,176946.0,1420858.6853999998,0
2014-01-23,194800.0,1607762.3199999998,0
2014-02-21,37840.0,329848.9524,0
2014-02-25,25324.0,215254.0,0
2014-02-27,45707.0,404137.6034,0
2014-03-04,2285.0,20204.427,0
2014-03-06,6102.0,53111.1978,0
2014-03-31,64917.0,590050.0880999999,0
2014-04-01,7862.0,72235.26980000001,0
2014-04-02,2560.0,23288.576,0
2014-04-04,3656.0,34187.621600000006,0
2014-09-03,37000.0,253080.0,0
2014-09-04,51606.0,350920.8,0
2015-04-13,951859.0,10631217.9851,0
2015-04-14,1210934.0,16343612.9178,0
2015-04-15,387301.0,5194945.7732,0
2015-05-05,55000.0,688600.0,0
2015-05-06,23383.0,292053.67,0
2015-06-11,16000.0,198560.0,1
2015-07-31,13800000.0,168691200.0,0
2015-11-10,247025.0,3518695.5,0
2015-11-25,21000000.0,274050000.0,0
2015-11-30,107500.0,1486725.0,0
2015-12-01,102500.0,1368975.0,0
2015-12-02,90000.0,1213200.0,0
2015-12-03,75000.0,1006500.0,0
2015-12-07,5600.0,74032.0,0
2015-12-08,57400.0,742182.0,0
2016-05-10,39467.0,442819.7400000001,0
2016-05-24,39789798.0,413813899.2000001,0
2016-06-01,270000.0,3242700.0,0
2016-06-09,65000.0,787150.0,0
2016-06-10,52250.0,617072.5,0
2016-08-12,60298.0,743068.6,0
2016-08-15,100000.0,1245000.0,0
2016-08-16,100000.0,1237000.0,0
2016-08-17,50000.0,621500.0,0
2016-08-19,70000.0,879200.0,0
2016-11-17,12403.0,139657.78,0
2017-03-06,178416.0,2688631.83,0
2017-03-07,50000.0,742000.0,0
2017-03-08,20000000.0,290200000.0,0
2017-03-13,15000.0,229800.0,0
2017-05-11,50268.0,744469.0800000001,0
2017-06-09,35000.0,521850.0,0
2017-09-06,800000.0,12936000.000000002,1
2017-09-06,13482177.0,218006802.09000003,0
2017-09-08,127191.0,2128575.57,0
2017-09-11,36000.0,599760.0,0
2017-11-13,354643.0,6457965.07,0
2017-11-14,38655.0,701974.8,0
2017-11-21,40000.0,777200.0,0
2017-12-08,12500.0,256375.00000000003,0
2018-03-05,50000.0,1062500.0,0
2018-03-06,100000.0,2124000.0,0
2018-03-07,53635.0,1144570.9,0
2018-03-08,11972.0,256679.68,0
2018-03-12,194043.0,4202971.38,0
2018-05-31,34930.0,683580.1,0
2018-06-13,50000.0,1010500.0,0
2018-08-10,16756.0,287365.4,0
2018-08-14,30000.0,482100.0,0
2018-08-31,60000.0,937800.0,1
2018-09-06,100000.0,1598000.0,1
2018-11-06,196512.0,2707574.88,0
2018-12-10,4000.0,46920.0,1
2018-12-14,17676.0,197617.68,0
2019-05-07,153159.0,2540227.81,0
2019-05-09,116327.0,1905436.26,0
2019-05-10,87987.0,1435067.97,0
2019-05-13,123740.0,1960805.83,0
2019-05-17,7800.0,124800.0,0
2019-05-23,17133.0,259205.64,0
2019-08-06,125408.0,2367703.04,0
2019-08-07,2351.0,45797.48,0
2019-08-08,87657.0,1757522.85,0
2019-08-09,4328.0,87425.59999999999,0
2019-11-05,12000.0,294360.0,0
2020-05-15,45903.0,736743.15,0
2020-05-18,14097.0,250221.75,0
2020-05-21,2000.0,37340.0,0
2020-05-22,4000.0,76000.0,0
2020-05-26,1000.0,20110.0,0
2020-06-04,10000.0,223000.0,0
2020-06-09,30000.0,684300.0,0
2020-08-31,28417.0,873822.75,0
2020-09-04,9108.0,278522.64,0
2021-03-04,8330.0,349526.8,0
2021-03-08,15000.0,666250.0,0
2021-08-23,10000.0,497600.0,0
2021-12-10,38000.0,2996300.0,0
2022-03-03,30000.0,2270400.0,0
2022-06-14,35000.0,1928150.0,0
2022-08-04,3750.0,257250.0,0
2022-11-11,3350.0,220932.5,0
2023-05-05,19500.0,2138215.0,0
2023-06-06,4000.0,482480.0,0
2023-08-07,5000.0,758450.0,0
2023-08-14,5965.0,882283.15,0
2023-08-15,1397.0,212288.12,0
2023-12-07,3318.0,483233.52,0
2024-03-12,7759.0,1551800.0,0
2024-03-13,9741.0,1948394.82,0
2024-05-24,9118.0,1551062.9800000002,0
2024-05-30,4875.0,776343.75,0
2024-08-08,30000.0,4610400.0,0
2024-11-07,10000.0,1784100.0,0
2024-11-15,2889.0,515050.92,0
2025-02-27,18000.0,2534760.0,0
2025-05-08,216483.0,23953843.950000003,1
2025-05-09,283517.0,31529925.57,1
2025-05-27,5000.0,548350.0,1
2025-06-10,1948.0,224994.0,1
