date,shares,amount,buy_flag
2004-01-30,56953.0,1801457.5618000005,0
2004-05-03,16053.0,493840.11,0
2004-05-04,11977.0,374281.25,0
2005-03-03,20000.0,845000.0,0
2005-09-12,5403.0,244647.84,0
2005-09-29,22843.0,1039356.5,0
2005-10-03,12667.0,501549.865,0
2005-10-04,25000.0,975325.0,0
2005-11-03,42460.0,1989251.0,0
2005-12-21,2299.0,114950.0,0
2006-01-19,36268.0,1885936.0,0
2006-01-24,3000.0,159000.0,0
2006-01-26,3000.0,162000.0,0
2006-01-27,78464.0,4210257.1486,0
2006-01-30,54785.0,2965013.5065,0
2006-02-15,10000.0,540000.0,0
2006-02-22,3500.0,192500.0,0
2006-03-15,21600.0,1234440.0,0
2006-03-30,19587.0,1175220.0,0
2006-04-17,1866.0,120730.2,0
2006-04-25,133334.0,8942231.3776,0
2006-05-17,7666.0,540453.0,0
2006-09-15,30332.0,990339.8,0
2006-09-27,235000.0,7656300.0,0
2006-09-29,13668.0,451044.0,0
2006-10-05,19666.0,668644.0,0
2006-10-16,2800.0,98000.0,0
2006-10-18,10626.0,385357.42,0
2006-10-25,163020.0,6046267.02,0
2006-10-26,100000.0,3727620.000000001,0
2007-02-02,100000.0,3790280.0,0
2007-02-13,3932.0,149416.0,0
2007-02-14,91554.0,3838000.4628,0
2007-04-20,17332.0,784685.5016000001,0
2007-05-07,45000.0,2066336.7284,0
2007-10-30,26697.0,1186145.71,0
2007-10-31,2373.0,105237.3294,0
2008-01-25,12325.0,578289.0,0
2008-06-25,20000.0,1258240.0,0
2008-08-04,81920.0,5304454.4,0
2008-10-17,22149.0,986891.44,1
2008-11-04,531920.0,24771514.4,0
2008-11-05,250000.0,11560000.0,0
2009-04-20,2385000.0,69426915.06,0
2009-04-21,4574049.0,131597782.57,0
2009-04-22,10837949.0,312478079.22,0
2009-10-16,21000.0,970410.0,0
2009-10-19,20000.0,940000.0,0
2009-10-21,20000.0,940000.0,0
2009-10-27,35000.0,1487850.0,0
2009-11-06,300000.0,14300750.0,0
2009-11-12,33800.0,1656200.0,0
2009-11-13,66200.0,3245046.0,0
2009-11-16,14000.0,696500.0,0
2009-11-17,171000.0,8528500.0,0
2010-01-08,35000.0,1795500.0,0
2010-03-19,1000.0,52150.0,0
2010-04-05,69332.0,3674596.0,0
2010-04-14,81998.0,4509890.0,0
2010-04-16,76666.0,4174043.1876,0
2010-04-23,3000.0,168000.0,0
2010-04-26,50000.0,2850080.0,0
2010-08-02,1200.0,64608.00000000001,0
2010-08-04,900.0,48600.0,0
2010-10-11,100000.0,5805850.0,0
2010-10-13,178398.0,10689453.5788,0
2010-10-18,4000.0,239040.0,0
2010-10-25,25000.0,1550650.0,0
2010-11-02,9015.0,563437.5,0
2010-11-03,90985.0,5691976.1075,0
2011-01-03,125700.0,8227450.0,0
2011-01-11,19700.0,1351223.0,0
2011-01-12,70300.0,4816956.0,0
2011-01-25,25000.0,1750000.0,0
2011-01-27,3000.0,212430.0,0
2011-02-17,49178.0,3688350.0,0
2011-02-18,10488.0,786600.0,0
2011-03-17,34367.0,2646259.0,0
2011-05-20,5000.0,382975.0,0
2011-07-22,320000.0,8136139.74,0
2011-08-02,200.0,4725.0,1
2012-01-31,6000.0,136320.0,0
2012-02-01,10000.0,230000.0,0
2012-04-25,5000.0,110210.0,0
2012-05-18,300000.0,6245760.0,0
2013-01-25,12000.0,266400.0,0
2013-02-22,1303.0,29656.28,0
2013-04-19,5000.0,118100.0,0
2013-05-06,5000.0,125000.0,0
2013-05-24,2500.0,63700.0,0
2013-10-18,20000.0,508600.0,0
2014-05-13,17000.0,501500.0,0
2014-06-06,33400.0,1002000.0,0
2014-06-20,32200.0,998200.0,0
2014-07-18,213000.0,6602860.0,0
2014-09-15,37500.0,1181250.0,0
2014-09-17,37500.0,1200000.0,0
2014-10-13,115000.0,3873575.0,0
2014-12-10,21531.0,775977.24,0
2015-04-17,165556.0,5360703.28,0
2015-05-06,30000.0,1064301.0,0
2015-09-01,1868.0,50137.12,1
2016-09-26,17332.0,510184.21,0
2016-10-06,16129.0,499999.0,0
2016-10-17,300000.0,9291000.0,0
2016-11-07,15625.0,500000.0,0
2016-12-12,28587.0,1055438.09,0
2017-03-07,1729478.0,84000746.46000001,0
2017-04-24,300000.0,15060000.0,1
2017-07-21,1357000.0,70007630.00000001,1
2018-05-02,5000.0,299550.0,1
2019-01-23,730318.0,47489323.94,0
2019-01-24,1200000.0,78000000.0,0
2019-01-25,2780000.0,179087600.0,0
2019-04-18,9560.0,756578.4,0
2019-06-11,7000.0,556500.0,0
2019-10-17,3453894.0,234553941.54,0
2019-10-24,39812.0,2852529.8000000003,0
2020-01-02,78.0,4797.78,1
2020-02-18,8000.0,636960.0,0
2020-02-20,11350.0,911173.48,0
2020-04-29,700000.0,47817000.0,0
2020-05-27,20000.0,1455800.0000000002,0
2020-07-01,950.0,56316.0,1
2020-07-24,20500.0,1478665.0,0
