date,shares,amount,buy_flag
2007-05-02,10000.0,197500.0,1
2007-05-03,1656.0,34279.2,0
2007-05-03,3500.0,74725.0,1
2007-05-08,9349.0,183245.6,0
2007-07-30,5000.0,89864.0,1
2007-07-31,5000.0,91250.0,1
2007-10-18,4930.0,99562.7,1
2007-10-31,139664.0,2834198.74,0
2007-11-26,26166.0,479797.76,0
2008-02-01,600500.0,10713820.75,0
2008-02-04,139200.0,2489299.68,0
2008-02-05,425000.0,7379190.0,0
2008-02-06,1322200.0,24000442.180000003,0
2008-02-07,950000.0,17456060.0,0
2008-02-08,810200.0,14801705.840000002,0
2008-02-11,271433.0,4883079.67,0
2008-02-12,199100.0,3581888.64,0
2008-02-13,500000.0,8874400.0,0
2008-02-14,138400.0,2454786.96,0
2008-02-15,159700.0,2778348.81,0
2008-02-19,125000.0,2144212.5,0
2008-02-20,272800.0,4588386.88,0
2008-02-21,4400.0,75097.0,0
2008-07-17,18000.0,118800.0,0
2008-10-31,164533.0,1739154.0937,0
2008-11-03,85719.0,966052.8,0
2008-11-24,50000.0,344300.0,0
2008-12-18,90719.0,1010730.1093,0
2008-12-19,33016.0,376382.4,0
2008-12-31,66984.0,763617.6,0
2009-05-15,25000.0,162500.0,0
2009-07-28,20000.0,130600.0,0
2009-10-28,7500.0,55650.0,0
2009-11-06,10000.0,75810.0,0
2009-11-25,20000.0,156140.0,0
2009-11-30,80000.0,640600.0,0
2009-12-16,110252.0,1257975.824,0
2009-12-17,5000.0,58750.0,0
2009-12-18,140556.0,1582761.0920000002,0
2009-12-22,5000.0,60000.0,0
2010-02-09,112911.0,1388121.413,0
2010-02-16,30150.0,376875.0,0
2010-02-19,67078.0,848677.5638,0
2010-02-22,15000.0,193500.0,0
2010-02-26,35126.0,454530.44,0
2010-05-12,40000.0,540450.0,0
2010-05-13,100000.0,1346550.0,0
2010-05-24,22966.0,315782.5,0
2010-05-26,29926.0,427193.65,0
2010-10-21,34351.0,457573.744,0
2010-10-22,52691.0,691622.066,0
2010-10-28,4000.0,56000.0,0
2010-11-03,57691.0,792855.284,0
2010-11-04,20000.0,281820.0,0
2011-02-11,10000.0,120000.0,0
2011-02-16,30000.0,362070.0,0
2011-02-24,30000.0,326250.0,0
2011-02-28,280400.0,3122564.0,0
2011-11-02,25000.0,206502.5,0
2011-12-20,75000.0,647325.0,0
2012-01-26,70904.0,736901.6,0
2012-01-30,20000.0,215000.0,0
2012-02-01,7149.0,78639.0,0
2012-02-02,50000.0,552000.0,0
2012-02-03,46636.0,531184.04,0
2012-02-09,50000.0,553500.0,0
2012-05-01,45365.0,510401.615,0
2012-05-02,10000.0,108098.5,1
2012-05-04,175000.0,1919246.56,0
2012-05-07,150000.0,1681800.0,0
2012-05-14,79494.0,420248488.0,0
2012-05-24,75000.0,835950.0000000001,0
2012-05-30,1812.0,21744.0,0
2012-05-31,74819.0,895164.9,0
2012-08-06,50000.0,467100.0,1
2012-08-28,25000.0,217927.5,1
2012-11-13,45000.0,466695.0,0
2012-12-13,114852.0,1282599.8,0
2012-12-14,80000.0,903210.63,0
2012-12-17,15976.0,187718.0,0
2012-12-18,59852.0,684748.0,0
2012-12-19,79024.0,929567.0,0
2012-12-31,50000.0,600000.0,0
2013-01-30,13832.0,192001992.0,0
2013-02-04,30000.0,417060.0,0
2013-02-06,42334.0,600296.12,0
2013-02-15,60600.0,877231.8,0
2013-02-19,139400.0,2021300.0,0
2013-05-09,131400.0,2446990.5,0
2013-05-15,326557.0,6152454.5,0
2013-05-28,13300.0,254335.9,0
2013-06-04,25000.0,462500.0,0
2013-06-07,20000.0,365000.0,0
2013-07-17,130000.0,2600000.0,0
2013-07-25,232878.0,4945916.1462,0
2013-07-26,130000.0,2847650.0,0
2013-07-29,280000.0,6055600.0,0
2013-07-30,5000.0,105799.5,1
2013-07-30,19300.0,414950.0,0
2013-08-01,130700.0,2824165.6,0
2013-08-13,5000.0,98500.0,1
2013-08-21,10000.0,196999.0488,1
2013-08-22,39296.0,797708.8,0
2013-08-27,5000.0,95077.9,1
2013-09-24,130000.0,3120000.0,0
2013-10-23,4000.0,101960.0,1
2013-10-23,400000.0,10251464.808,0
2013-10-24,103549.0,2728980.879,0
2013-11-04,100000.0,2710100.0,0
2013-11-05,178010.0,4883998.796,0
2013-11-11,40505.0,1106839.63,0
2013-11-12,20000.0,560140.0,0
2013-11-14,15000.0,421021.5,0
2013-11-25,127500.0,3725796.0,0
2013-12-12,4000.0,113119.5,1
2014-02-21,111096.0,3555072.0,0
2014-02-25,21000.0,698313.0,0
2014-02-26,30000.0,1005120.0,0
2014-05-08,2000.0,76360.0,1
2014-05-08,100000.0,3841100.0,0
2014-05-13,20927.0,812197.797,0
2014-05-20,1000.0,37500.0,1
2014-05-23,30000.0,1177320.0,0
2014-05-27,50000.0,1975000.0,0
2014-05-30,2000.0,79500.0,1
2014-06-03,155000.0,6382975.0,0
2014-07-28,132000.0,5058609.600000001,0
2014-08-04,65000.0,2413430.5,0
2014-08-20,47328.0,1917588.576,0
2014-08-27,6300.0,252081.9,0
2014-10-24,100000.0,3937830.000000001,0
2014-11-18,20000.0,881380.0,0
2014-11-24,75000.0,3267000.0,0
2014-12-31,26500.0,1318680.5,0
2015-01-21,5000.0,243900.0,1
2015-02-12,3500.0,154000.0,1
2015-02-24,75000.0,3553027.5,0
2015-03-23,7000.0,331590.0,0
2015-04-23,7000.0,323190.0,0
