date,shares,amount,buy_flag
2002-08-19,1786.0,75422.78,0
2004-05-12,84000.0,1835400.0,0
2004-05-18,100000.0,2216920.0,0
2004-05-19,26800.0,606441.12,0
2004-05-20,21200.0,472685.8000000001,0
2004-05-21,25000.0,560820.0,0
2004-05-24,60800.0,1371602.0,0
2004-05-25,10000.0,229400.0,0
2004-06-02,50000.0,1187945.0,0
2004-11-11,151120.0,4058675.76,0
2004-11-12,114000.0,3070074.0,0
2004-11-23,40000.0,1067200.0,0
2004-11-24,20000.0,535600.0,0
2005-02-17,88300.0,2287268.97,0
2005-02-18,25000.0,631137.5,0
2005-02-23,69700.0,1743573.38,0
2005-05-10,157500.0,4028850.0,0
2005-05-11,20800.0,536640.0,0
2005-05-13,20000.0,523000.0,0
2006-02-16,38700.0,1061448.12,0
2006-02-17,57300.0,1578161.48,0
2006-02-21,15900.0,440121.54,0
2006-02-22,18100.0,501918.43,0
2006-02-24,1800.0,50130.0,0
2006-02-27,40000.0,1095504.0,0
2006-02-28,68200.0,1869232.42,0
2006-11-29,4200.0,148680.0,0
2007-08-14,100.0,2626.0,1
2007-08-15,400.0,10600.0,1
2008-02-14,14000.0,411882.8,0
2008-05-01,34702.0,1238335.7319999998,0
2008-05-05,5000.0,178240.00000000003,1
2008-05-05,87500.0,3110624.9999999995,0
2008-05-06,115000.0,4041100.0,0
2008-05-07,117000.0,4057560.0,0
2008-05-28,40000.0,1381492.0,0
2008-05-30,2850.0,97042.5,0
2009-08-10,15050.0,415079.0,0
2009-11-12,4880.0,142008.0,0
2009-11-20,4277.0,128352.77,0
2009-11-23,30000.0,915300.0,0
2009-11-25,39900.0,1221738.0,0
2009-11-30,10000.0,303200.0,0
2009-12-01,86000.0,2732540.0,0
2009-12-02,312000.0,9922440.0,0
2010-05-03,16000.0,529920.0,0
2010-11-05,30414.0,1103897.6800000002,0
2010-11-08,10056.0,362116.56,0
2010-12-16,20000.0,690400.0000000001,0
2011-01-03,5000.0,184300.0,0
2011-02-01,5000.0,186500.0,0
2011-03-01,5000.0,189900.0,0
2011-04-01,5000.0,190650.0,0
2011-05-02,5000.0,199350.0,0
2011-05-09,261452.0,9841763.8,0
2011-05-10,7300.0,276305.0,0
2011-05-12,10056.0,378507.84,0
2011-05-20,4000.0,147640.0,0
2011-06-01,96270.0,3574660.439,0
2011-06-22,5000.0,190000.0,0
2011-07-07,58180.0,2210840.0,0
2011-07-12,9400.0,354949.64,0
2011-07-13,9400.0,353482.3,0
2011-08-01,9400.0,326416.88,0
2011-08-02,9400.0,323338.38,0
2011-08-08,3300.0,97738.08,1
2011-08-17,2246.0,77947.69,0
2011-08-25,15000.0,525000.0,0
2011-08-26,1800.0,63665.99999999999,0
2011-08-30,20000.0,737600.0,0
2011-08-31,2400.0,89400.0,0
2011-09-07,9400.0,342097.96,0
2011-09-08,9400.0,343973.26,0
2011-10-05,9400.0,323819.66000000003,0
2011-10-06,9400.0,330749.34,0
2011-10-27,273982.0,10778054.0,0
2011-10-28,112492.0,4499680.0,0
2011-11-07,20000.0,762200.0,0
2011-11-11,7728.0,301126.7724,0
2011-11-14,9400.0,360051.02,0
2011-11-15,9400.0,357915.34,0
2011-11-18,15000.0,562500.0,0
2011-12-13,9400.0,362074.84,0
2011-12-14,9400.0,363700.1,0
2012-01-03,31000.0,1301820.0,0
2012-01-11,300000.0,12249446.02,0
2012-01-12,300000.0,12150095.640000002,0
2012-01-25,26814.0,1089989.1,0
2012-01-30,79401.0,3273703.23,0
2012-02-01,1000.0,42190.0,0
2012-02-16,328244.0,13213948.0609,0
2012-02-17,172873.0,6941193.4053,0
2012-02-29,16384.0,646735.4624,0
2012-03-01,6000.0,238450.0,0
2012-03-02,8633.0,342031.09400000004,0
2012-04-02,1000.0,39450.0,0
2012-04-24,5168.0,206409.92,0
2012-04-25,35589.0,1449429.81,0
2012-04-26,144972.0,5951302.0207,0
2012-05-01,110366.0,4597191.0426,0
2012-05-07,19253.0,787754.3746999999,0
2012-05-11,13930.0,574683.543,0
2012-05-15,6300.0,260296.47,0
2012-06-01,1000.0,40030.0,0
2012-06-06,5317.0,218027.3069,0
2012-06-07,87193.0,3581635.5803,0
2012-06-11,4378.0,183753.7,0
2012-06-14,46494.0,1964442.8464,0
2012-06-15,47200.0,2021380.0,0
2012-06-18,59311.0,2588959.0624,0
2012-06-29,52221.0,2296816.4294,0
2012-07-02,17610.0,784128.6000000001,0
2012-07-12,100.0,4500.0,0
2012-07-13,14900.0,670500.0,0
2012-07-16,2806.0,128234.2,0
2012-07-17,35896.0,1651216.0,0
2012-08-01,1000.0,47290.0,0
2012-08-02,4125.0,189965.7991,0
2012-08-03,88170.0,4083956.692,0
2012-08-06,3539.0,164390.7968,0
2012-08-29,600.0,27030.0,0
2012-09-04,1000.0,45770.0,0
2012-09-17,2279.0,105768.39,0
2012-10-01,1000.0,44690.0,0
2012-11-01,1000.0,44000.0,0
2012-11-26,3400.0,156452.88,0
2012-12-03,1000.0,45230.0,0
2013-01-10,500.0,23001.0,0
2013-01-11,2603.0,119738.0,0
2013-01-14,26207.0,1206137.8645,0
2013-01-18,800.0,37200.0,0
2013-01-22,33900.0,1577794.95,0
2013-01-25,12000.0,563500.0,0
2013-01-29,1500.0,70725.0,0
2013-02-14,16079.0,757660.8366,0
2013-02-15,59147.0,2811106.1262,0
2013-02-19,37789.0,1813478.0874,0
2013-02-20,54196.0,2615313.6955000004,0
2013-02-21,41780.0,2010729.3848,0
2013-02-22,10000.0,485220.0,0
2013-02-25,39700.0,1912297.39,0
2013-02-26,70000.0,3370654.0,0
2013-02-27,1551.0,75329.7435,0
2013-02-28,11065.0,542494.53,0
2013-03-01,204491.0,9995090.6489,0
