date,shares,amount,buy_flag
2004-02-06,11250.0,245845.50000000003,0
2004-10-12,49035.0,1179380.571,0
2004-10-20,4500.0,109241.0,0
2005-01-11,6887.0,194148.6952,0
2005-01-12,21774.0,620598.1932,0
2005-01-14,60000.0,1740114.0,0
2005-01-18,54000.0,1566610.2,0
2005-01-19,150000.0,4375560.0,0
2005-01-20,90000.0,2566341.0,0
2005-01-27,30000.0,867000.0,0
2005-03-29,45000.0,1352772.0,0
2005-03-30,18750.0,582256.875,0
2005-03-31,35250.0,1077892.125,0
2005-04-01,55300.0,1715058.7200000002,0
2005-04-13,100000.0,3153700.0,0
2005-04-27,10657.0,322730.1938,0
2005-04-28,10000.0,300500.0,0
2005-05-20,1999.0,62978.2951,0
2005-07-19,14950.0,508343.3549999999,0
2005-07-20,8300.0,282200.0,0
2005-12-21,7500.0,286356.75,0
2005-12-22,15875.0,608688.7749999999,0
2006-01-10,69057.0,2762273.0943,0
2006-01-11,21750.0,865107.0000000001,0
2006-01-12,17499.0,708709.5,0
2006-03-30,37343.0,1531212.372,0
2006-04-27,14112.0,564480.0,0
2006-07-13,48162.0,1704005.2733999998,0
2006-09-22,196968.0,8324492.451,0
2006-09-26,1300.0,55991.0,0
2006-09-28,48000.0,2060443.2,0
2006-11-10,7319.0,298619.19999999995,0
2007-02-14,30000.0,1277583.0,0
2007-09-21,22409.0,987501.8848,0
2007-09-24,160460.0,6944128.3048,0
2007-09-27,29000.0,1253098.7,0
2007-10-02,75000.0,3240555.0,0
2007-10-04,117814.0,5108839.3846,0
2007-10-11,23250.0,1024378.725,0
2007-12-21,19000.0,525768.88,1
2008-01-02,2000.0,53240.0,1
2008-04-03,35000.0,1225000.0,0
2008-04-11,900.0,31455.000000000004,0
2008-09-05,1479.0,43630.5,0
2009-01-05,60000.0,1709712.0,0
2009-01-27,30457.0,837567.5,0
2009-02-06,18174.0,526686.1548,0
2009-03-20,131730.0,4467028.9705,0
2009-03-23,76152.0,2627568.6864,0
2009-03-25,7100.0,243547.04,0
2009-03-26,59850.0,2207453.535,0
2009-03-30,3000.0,103604.1,0
2009-04-03,17000.0,612234.6000000001,0
2009-04-17,15000.0,585102.0,0
2009-04-22,50563.0,2046481.392,0
2009-05-01,33000.0,1219864.8,0
2009-07-14,32433.0,1083184.3608,0
2009-10-30,1575.0,47993.4,0
2010-01-04,29941.0,1048521.8436,0
2010-01-07,2247.0,78645.0,0
2010-01-20,70368.0,2561259.0504,0
2010-02-18,17500.0,709070.2500000001,0
2010-03-26,270404.0,12021859.775,0
2010-03-29,109077.0,4862829.2808,0
2010-03-30,51500.0,2303690.4,0
2010-03-31,3852.0,171030.726,0
2010-04-07,31500.0,1437975.0,0
2010-11-02,1000.0,46370.0,1
2011-02-02,48000.0,2205120.0,0
2011-04-06,23000.0,1106688.7,0
2011-04-20,10000.0,481159.00000000006,0
2011-07-06,133613.0,7097174.4350000005,0
2011-07-07,27750.0,1478235.9,0
2011-07-08,75000.0,3977385.0,0
2011-07-12,17570.0,925685.992,0
2011-09-30,20000.0,862718.0,1
2012-03-27,168000.0,8601566.4,0
2012-03-28,8000.0,403220.0,0
2012-03-29,64821.0,3230879.5851,0
2012-04-17,4747.0,235445.0289,0
2012-04-18,3000.0,150294.9,0
2012-04-30,10854.0,545413.5,0
2012-05-01,3000.0,154586.7,0
2012-05-04,3000.0,151230.0,0
2012-08-03,7906.0,414906.88,0
2012-09-25,174607.0,9870155.0403,0
2012-09-26,8000.0,447216.0,0
2012-09-28,31500.0,1742980.05,0
2012-10-02,65288.0,3618998.7144,0
2013-01-11,11000.0,494039.7,1
2013-03-28,3000.0,155372.4,0
2013-04-02,3000.0,154140.3,0
2013-07-18,63000.0,3150768.6,0
2013-07-25,1.7029999999999998,81.91259699999999,0
2013-10-01,0.584,27.13848,0
2013-10-11,31500.0,1564321.5,0
2013-10-15,30299.0,1547134.4370000002,0
2013-10-17,10800.0,540000.0,0
2013-10-18,6310.0,328246.2,0
2013-12-23,73250.0,3958178.975,0
2014-01-02,15849.0,848997.6471000001,0
2014-01-03,5051.0,267593.3933,0
2014-01-08,3000.0,155749.80000000002,0
2014-08-01,12500.0,581605.0,0
2014-10-23,11250.0,565745.625,0
2014-10-24,0.377,18.9631,0
2014-10-28,93497.0,4864514.6969,0
2014-10-31,16576.0,857191.427,0
2014-12-19,5849.0,336119.8038,0
2014-12-22,5137.0,296251.8174,0
2014-12-29,9239.0,542831.9016,0
2014-12-30,2711.0,160086.9899,0
2015-01-28,1808.0,112096.0,0
2015-03-24,85129.0,5927439.0406,0
2015-03-27,20107.0,1378835.5143,0
2015-04-07,7600.0,503804.76,1
2015-06-26,11768.0,840917.744,0
2015-07-16,15000.0,1093500.0,0
2015-07-22,5090.0,377279.962,0
2015-07-23,15620.0,1172958.908,0
2015-09-25,4900.0,346909.8,1
2015-10-07,500.0,33204.95,1
2015-12-22,151703.0,9655799.9702,0
2016-01-07,498896.0,31245856.48,0
2016-01-08,482288.0,30189154.96160001,0
2016-01-11,318816.0,19812629.0304,0
2016-01-22,200000.0,12364220.0,0
2016-01-25,200000.0,12376000.0,0
2016-01-26,300000.0,18659760.0,0
2016-01-28,170000.0,10793504.0,0
2016-02-01,150000.0,9500400.0,0
2016-02-22,164200.0,10205031.22,0
2016-02-23,395813.0,24957889.105299994,0
2016-02-24,166483.0,10492451.1372,0
2016-02-25,73569.0,4683616.701899999,0
2016-02-26,193015.0,12368854.819000002,0
2016-02-29,36622.0,2338103.3268000004,0
2016-03-01,92994.0,5989792.5546,0
2016-03-02,77304.0,4982459.2512,0
2016-03-03,150000.0,9733710.0,0
2016-03-07,135996.0,8862084.1428,0
2016-03-08,5852.0,381362.5508,0
2016-03-09,773727.0,51558313.736200005,0
2016-03-10,10800.0,726505.2000000001,0
2016-03-11,324223.0,21957455.3059,0
2016-03-14,35543.0,2406582.9871,0
2016-03-16,201.0,13657.95,0
2016-03-17,38938.0,2646226.4799999995,0
2016-03-18,24720.0,1678631.376,0
2016-04-12,2000.0,127000.0,0
2016-07-07,3000.0,185100.0,1
2016-10-10,28127.0,1756953.0550000002,0
2016-10-11,8780.0,548460.26,0
2017-03-31,98124.0,8162523.4392,0
2017-04-03,84283.0,7006782.922,0
2017-06-29,130225.0,11930086.5,0
2018-01-10,74866.0,7252271.8295,0
2018-06-25,17366.0,1881762.1796,0
2018-06-26,38323.0,4146127.047,0
2018-06-27,74174.0,7962775.496300001,0
2018-06-28,47769.0,5105588.935199999,0
2018-07-13,2418.0,271038.2142,0
2018-07-23,2186.0,242777.8158,0
2018-09-26,60688.0,6835161.9952,0
2018-10-04,55671.0,6025673.1612,0
2019-02-01,1565.0,164168.5,0
2019-03-25,73482.0,8715976.2912,0
2019-06-24,69779.0,8600408.2859,0
2019-07-12,14128.0,1764092.72,0
2019-07-24,12000.0,1487065.2,0
2019-07-30,5200.0,650034.2,0
2019-09-25,1600.0,190480.0,0
2019-10-25,1103.0,124222.8381,0
2019-12-31,1500.0,163110.0,1
2020-01-16,791.0,89632.71870000001,0
2020-04-23,77808.0,4551768.0,1
2020-10-27,1000.0,95066.0,0
2020-12-22,13000.0,1554277.15,0
2020-12-23,2800.0,332752.0,0
2021-02-05,16198.0,2149539.392,0
2021-02-19,78957.0,10424641.5308,0
2021-03-29,25316.0,3651442.448,0
2021-03-30,18519.0,2682274.9121,0
2021-04-05,19583.0,2862359.8852000004,0
2021-04-06,5202.0,761751.5838,0
2021-04-09,170.0,24648.555,0
2021-05-04,40000.0,5715255.8886,0
2021-06-30,40000.0,5802696.0,0
2021-07-01,10652.0,1566714.2684000002,0
2021-07-07,37233.0,5580459.3802,0
2021-07-12,24886.0,3733260.3896,0
2021-07-14,6010.0,901621.354,0
2021-07-29,52905.0,7942810.6782,0
2021-08-02,5326.0,783188.3,0
2021-08-25,5326.0,798900.0,0
2021-09-01,7989.0,1208496.03,0
2021-09-23,2663.0,422484.95,0
2021-09-27,9250.0,1473598.0,0
2021-09-28,7260.0,1153943.876,0
2021-10-04,2674.0,415666.615,0
2021-12-28,3123.0,471917.1546,0
2022-01-05,76725.0,11691397.028,0
2022-03-28,1925.0,248353.875,1
2022-06-28,10000.0,1200000.0,1
2022-07-15,567.0,66354.9894,0
2022-08-02,41442.0,5168253.318,0
2022-10-11,1000.0,128470.3,0
2022-10-14,25795.0,3416499.163,0
2022-10-18,3516.0,466686.4152000001,0
2022-10-26,2228.0,311920.0,0
2022-10-28,10290.0,1446011.4714000002,0
2022-11-10,2228.0,323060.0,0
2023-01-04,2000.0,283890.8,0
2023-01-10,2229.0,334350.0,0
2023-01-13,5000.0,739941.5,0
2023-02-02,64.0,9487.36,0
2023-03-27,10069.0,1549776.8147,0
2023-03-28,91651.0,14122067.6035,0
2023-06-26,44024.0,7063325.8215,0
2023-06-27,8899.0,1451616.4486999998,0
2023-06-29,12639.0,2086618.0104,0
2023-07-11,13811.0,2302931.7682,0
2023-07-13,18578.0,3124472.1914,0
2023-07-19,33000.0,5612970.0,0
2023-07-24,58668.0,9969046.6146,0
2023-07-31,5314.0,898472.5210000001,0
2023-08-01,74741.0,12474044.7723,0
2023-09-29,1219.0,175575.12990000003,0
2023-10-03,2966.0,414111.437,0
2023-10-20,1070.0,151330.742,0
2023-12-19,14749.0,2440191.9301,0
2024-01-08,3836.0,628332.964,0
2024-01-31,6831.0,1115257.1636,0
2024-03-27,7673.0,1270037.2619,0
2024-03-28,3100.0,519622.0,0
2024-04-08,1219.0,192857.99,0
2024-04-25,4707.0,735010.7589,0
2024-07-25,2500.0,352727.0,0
2024-07-28,85.0,12081.9,0
2024-07-29,5340.0,781449.5731,0
2024-07-30,15941.0,2344266.4947,0
2024-09-23,75970.0,13051319.144699998,0
2024-09-24,11127.0,1925191.5313,0
2024-09-27,2000.0,334452.80000000005,0
2024-10-01,3320.0,542575.98,0
2024-10-04,3000.0,489894.9,0
2024-12-23,7228.0,1313374.582,0
2024-12-26,9470.0,1780995.4370000002,0
2025-01-06,9264.0,1710875.52,0
2025-01-14,15783.0,2888792.7350000003,0
2025-01-15,1100.0,199217.37,0
2025-01-21,12759.0,2390707.4178,0
2025-01-30,7892.0,1546434.2432,0
2025-03-24,22324.0,4647000.2767,0
2025-03-25,30820.0,6382327.2919,0
2025-03-26,3552.0,736420.9310999999,0
2025-03-28,8005.0,1637466.7775,0
2025-06-24,22463.0,4997343.899900001,0
2025-06-25,12212.0,2670938.9072,0
2025-06-30,20518.0,4451916.601799999,0
2025-07-01,1747.0,383570.1221,0
2025-07-21,332.8629,68839.37634900001,0
2025-07-29,85.0,17332.35,0
2025-07-30,1680.0,343867.5772,0
