date,shares,amount,buy_flag
2003-12-19,41700.0,889099.0,0
2003-12-23,15000.0,327009.0,0
2004-01-02,52200.0,1145990.56,0
2004-05-10,50000.0,1105350.0,1
2004-06-18,5000.0,124119.0,0
2004-08-06,163800.0,4392864.0,0
2004-08-09,2094.0,56119.2,0
2004-08-10,12840.0,344132.2,0
2004-10-15,3000.0,86520.0,0
2004-11-09,99980.0,3133928.4,0
2004-11-23,120000.0,3844883.0,0
2004-12-10,2796.0,85565.988,0
2004-12-27,5000.0,160950.0,0
2004-12-28,22006.0,705505.54,0
2005-03-17,13687.0,463360.82,0
2005-03-18,167452.0,5688002.78,0
2005-05-10,150000.0,5589629.0,0
2005-05-11,85000.0,3187612.0,0
2005-05-18,22300.0,829956.0,0
2005-05-20,8000.0,297212.0,0
2005-06-22,10640.0,414843.4,0
2005-06-27,12000.0,480041.0,0
2005-06-29,21592.0,879629.4,0
2005-07-07,2500.0,100225.0,0
2005-08-10,18100.0,746890.0,0
2005-08-11,61900.0,2565555.0,0
2005-08-22,53633.0,2248315.68,0
2005-09-02,112969.0,5096165.29,0
2005-11-09,1938.0,84051.06,0
2005-11-10,100.0,4345.0,0
2005-11-11,525.0,21955.5,0
2005-11-22,15000.0,663915.0,1
2005-12-20,7200.0,322744.0,0
2005-12-21,28078.0,1255575.348,0
2005-12-27,22802.0,986486.76,0
2006-01-06,66739.0,2994039.44,0
2006-03-09,30241.0,1296530.9500000002,0
2006-08-09,95666.0,4079853.58,0
2006-08-10,20000.0,845800.0,0
2006-08-15,2000.0,84940.0,0
2006-11-06,9000.0,399634.0,0
2006-11-07,196700.0,8845331.86,0
2006-11-14,69202.0,3122996.2974,0
2006-11-22,2500.0,115412.0,0
2007-03-07,920.0,44601.6,1
2007-03-13,11967.0,580631.1699999999,0
2007-03-15,3500.0,169947.0,0
2007-03-22,239731.0,12027304.27,0
2007-03-23,69057.0,3454864.84,0
2007-04-03,13907.0,709537.21,0
2007-05-11,26767.0,1491708.9,0
2007-05-14,160000.0,9229654.0,0
2007-05-15,25000.0,1457348.0,0
2007-05-18,4500.0,263200.0,0
2007-05-29,45432.0,2609958.04,0
2007-09-24,7900.0,453096.6,0
2007-11-06,32159.0,1850620.54,0
2007-11-07,28200.0,1627254.5,0
2007-11-08,56100.0,3227045.91,0
2008-03-03,3000.0,148800.0,1
2008-05-13,2700.0,142020.0,0
2008-05-14,225100.0,11855153.3975,0
2008-08-29,10380.0,484663.998,0
2008-09-12,10000.0,422900.0,1
2008-11-10,5500.0,196652.5,1
2008-12-29,14402.0,438674.8386,0
2009-08-11,3500.0,110600.0,1
2009-08-25,15000.0,509791.5,0
2009-11-10,10148.0,345336.44,0
2010-03-03,2300.0,76516.40000000001,1
2010-03-24,5422.0,184986.7116,0
2010-03-30,10312.0,356019.7376,0
2010-05-13,22100.0,756907.3200000001,0
2010-05-14,10058.0,340009.6842,0
2010-06-30,19727.0,631780.73,0
2010-09-27,43013.0,1488533.6858,0
2010-11-03,100644.0,3734687.4876,0
2010-12-21,50000.0,1951420.0,1
2011-03-09,16842.0,638311.7999999999,0
2011-05-03,28095.0,1109106.315,0
2011-11-03,2500.0,102692.5,0
2011-11-04,37890.0,1531475.91,0
2011-11-28,5500.0,210028.5,0
2012-03-02,26543.0,1137632.98,0
2012-03-05,1862.0,80125.58399999999,0
2012-03-06,3000.0,128820.0,0
2012-03-26,20331.0,868438.665,0
2012-03-30,2000.0,84936.2,0
2012-05-08,2209.0,96050.6335,0
2012-05-10,43951.0,1933611.0597,0
2012-05-11,1000.0,44400.0,0
2012-08-07,538.0,24098.5802,0
2012-12-24,5698.0,259202.02,0
2012-12-28,36988.0,1649416.9804,0
2013-03-04,67966.0,3348487.7186,0
2013-03-05,19371.0,966089.883,0
2013-03-06,1000.0,50003.25,0
2013-03-07,13177.0,660505.0312,0
2013-03-08,17165.0,861442.69,0
2013-05-06,11625.0,600605.625,0
2013-08-12,62294.0,3020168.855,0
2013-11-01,49500.0,2442082.5,0
2013-11-12,62294.0,3019215.7568,0
2014-03-04,1000.0,52302.2,0
2014-03-10,48908.0,2503424.4512,0
2014-03-31,317082.0,17777513.0564,0
2014-05-02,33331.0,1853974.8555,0
2014-05-12,48908.0,2689323.7592,0
2014-08-18,100962.0,5793936.5826,0
2014-11-10,5940.0,370567.494,0
2014-11-12,70808.0,4413639.66,0
2014-12-15,47393.0,3000831.6274,0
2014-12-19,135750.0,8829804.450000001,0
2015-03-02,1000.0,63148.95,1
2015-03-17,12500.0,797262.5,0
2015-05-04,2500.0,155490.56,0
2015-08-17,4878.0,301273.0848,0
2015-09-10,22063.0,1268156.9707000002,0
2015-11-16,22064.0,1322167.5488,0
2016-02-16,12677.0,787346.9190999999,0
2016-02-26,45690.0,3071578.785,0
2016-03-04,665.0,44976.925,1
2016-03-08,13174.0,909640.9868,0
2016-03-23,10000.0,716088.0,0
2016-05-16,12677.0,903579.7967,0
2016-06-10,6842.0,505179.07,0
2016-09-07,3995.0,294812.2235,0
2016-09-12,38084.0,2745761.3108,0
2016-09-14,3012.0,216472.44,0
2016-11-15,38086.0,2643347.4042,0
2017-02-15,26035.0,1943312.2805,0
2017-03-16,2500.0,197571.25,0
2017-03-31,3657.0,292572.0681,0
2017-05-15,26035.0,2052974.304,0
2017-06-07,3241.0,264944.0,0
2017-06-08,1759.0,142479.0,0
2017-08-15,224715.0,18098866.2979,0
2017-11-15,224718.0,18427634.467800003,0
2019-04-02,113.0,7103.18,0
2020-05-04,230.0,12916.8,0
2020-07-06,22.0,1237.72,1
2020-08-03,230.0,12725.9,0
2020-11-02,230.0,13088.909,0
2021-03-01,230.0,12558.0,0
2021-03-09,271.0,15556.5924,1
2021-05-03,230.0,13710.3,0
2021-08-02,230.0,12578.7,0
2021-11-04,220.0,13736.8,0
2021-11-17,3100.0,197040.65,0
2022-03-23,200.0,13233.56,1
2022-03-24,155.0,10413.334,1
2022-05-02,111.0,7691.745,1
2023-04-05,22471.0,1618644.5546,0
2023-09-15,11222.0,803966.524,0
2024-05-10,58099.0,4358244.1959,0
2024-05-13,9794.0,735276.7148000001,0
2024-05-14,45012.0,3382273.6992,0
2024-06-05,10004.0,757996.0772,0
2024-07-26,28995.0,2273961.87,0
2024-07-31,34846.0,2791679.7806,0
2024-08-23,1362.0,115770.0,0
2024-08-26,23896.0,2041855.8496,0
2024-10-31,25619.0,2127540.1026,0
2024-11-04,0.926,74.55226,0
2024-11-07,0.959,78.32153,0
2024-11-15,1250.0,104100.0,0
2024-11-22,0.478,42.00664,0
2025-03-06,3288.0,178666.3032,0
