date,shares,amount,buy_flag
2004-02-02,39000.0,2609100.0,0
2004-02-05,7409.0,486845.39,0
2004-02-06,10000.0,660000.0,0
2004-02-25,2000.0,131952.0,1
2004-05-03,126438.0,8420984.215,0
2004-05-21,40000.0,1281860.0,0
2004-05-24,34376.0,1102438.32,0
2004-05-28,500.0,16680.0,1
2004-06-01,1300.0,41860.00000000001,0
2004-08-02,34376.0,1191128.4,0
2004-08-23,34376.0,1244411.2000000002,0
2004-11-01,34376.0,1375040.0,0
2004-11-22,34376.0,1426604.0,0
2005-02-23,300.0,13197.0,1
2005-02-24,700.0,30835.0,1
2005-05-02,100244.0,4962078.0,0
2005-05-09,33650.0,1621807.04,0
2005-05-12,59750.0,2826460.0,0
2005-05-13,68499.0,3216713.04,0
2005-05-16,33952.0,1528931.92,0
2005-05-23,33753.0,1582944.46,0
2005-05-26,62750.0,2910016.5,0
2005-05-27,68999.0,3228488.25,0
2005-08-01,70243.0,3692066.24,0
2005-08-03,3000.0,161193.0,0
2005-08-04,60050.0,3237894.5,0
2005-08-05,69500.0,3675001.0,0
2005-08-08,38772.0,2043701.0,0
2005-08-15,500.0,25825.0,1
2005-08-15,39020.0,1996829.6,0
2005-08-18,67250.0,3411097.0,0
2005-08-19,71366.0,3631102.08,0
2005-08-22,39038.0,2025664.58,0
2005-11-01,39061.0,2014203.35,0
2005-11-07,70491.0,3696166.93,0
2005-11-09,70812.0,3649657.82,0
2005-11-10,36866.0,1878878.36,0
2005-11-14,39235.0,1967089.55,0
2005-11-18,25200.0,1305524.0,0
2005-11-21,53010.0,2723296.3,0
2005-11-22,68450.0,3518690.0,0
2006-02-02,56450.0,3187541.0,0
2006-02-03,35200.0,1958101.0,0
2006-02-04,400.0,22332.0,0
2006-02-05,100.0,5584.0,0
2006-02-06,73151.0,4078855.86,0
2006-02-07,100.0,5586.0,0
2006-02-08,900.0,50292.0,0
2006-02-09,200.0,11180.0,0
2006-02-10,500.0,27955.0,0
2006-02-11,200.0,11184.0,0
2006-02-12,100.0,5600.0,0
2006-02-13,41480.0,2318688.4,0
2006-02-14,100.0,5604.0,0
2006-02-15,100.0,5608.0,0
2006-02-16,56750.0,3156330.5,0
2006-02-17,75450.0,4182663.0,0
2006-02-21,41300.0,2335994.0,0
2006-02-27,41120.0,2367734.0,0
2006-05-01,1200.0,64824.00000000001,1
2006-05-01,41619.0,2248663.38,0
2006-05-08,41282.0,2296645.8200000003,0
2006-05-10,29000.0,1606862.0,0
2006-05-11,37000.0,2024741.0,0
2006-05-12,7250.0,393943.5,0
2006-05-15,41441.0,2312660.5,0
2006-05-22,41431.0,2282909.1,0
2006-05-25,29750.0,1631318.5,0
2006-05-26,7250.0,402337.5,0
2006-08-07,40958.0,2395480.68,0
2006-08-10,17750.0,1032482.5,0
2006-08-11,29166.0,1683982.78,0
2006-08-14,40996.0,2410360.04,0
2006-08-15,26000.0,1538915.0,0
2006-08-21,41559.0,2503214.9,0
2006-08-24,17750.0,1074897.5,0
2006-08-28,41769.0,2536386.19,0
2006-08-29,19250.0,1163613.5,0
2006-11-06,41662.0,2539288.2800000003,0
2006-11-10,17750.0,1065366.0,0
2006-11-13,41866.0,2483198.56,0
2006-11-14,29000.0,1713779.0,0
2006-11-15,27500.0,1618413.0,0
2006-11-20,42040.0,2451480.8,0
2006-11-21,10500.0,616015.0,0
2006-11-27,41854.0,2486207.2,0
2006-11-28,1750.0,105000.0,0
2006-11-29,20000.0,1207693.0,0
2007-02-05,41722.0,2548158.46,0
2007-02-12,41276.0,2639541.76,0
2007-02-14,2760.0,176143.2,0
2007-02-20,41365.0,2630719.35,0
2007-02-21,27000.0,1708765.0,0
2007-02-22,35000.0,2234288.0,0
2007-02-23,52606.0,3457563.02,0
2007-02-26,43373.0,3031332.66,0
2007-03-01,35000.0,2291449.0,0
2007-03-02,14000.0,910649.0,0
2007-03-30,17500.0,1197173.0,0
2007-05-01,52017.0,3945053.1,0
2007-05-08,53451.0,4143118.59,0
2007-05-15,44747.0,3467636.02,0
2007-05-22,53471.0,4144521.82,0
2007-08-07,53586.0,3940472.8,0
2007-08-14,44881.0,3236773.43,0
2007-08-17,1000.0,68960.0,0
2007-08-21,53681.0,3835282.25,0
2007-08-28,44968.0,3141557.12,0
2007-11-06,72794.0,6041257.76,0
2007-11-07,8750.0,722662.5,0
2007-11-09,7932.0,662956.5599999999,0
2007-11-13,44804.0,3516542.56,0
2007-11-15,7500.0,596638.0,0
2007-11-20,58265.0,4692762.050000001,0
2007-11-21,8750.0,703937.5,0
2007-11-27,59375.0,4804310.25,0
2008-02-05,44853.0,3457875.73,0
2008-02-12,44809.0,3588287.41,0
2008-02-14,14625.0,1148659.5,0
2008-02-19,58296.0,4610374.720000001,0
2008-02-26,2500.0,195925.0,0
2008-02-28,14625.0,1128703.25,0
2008-05-06,59999.0,5090604.35,0
2008-05-07,13500.0,1157895.0,0
2008-05-13,45351.0,3788008.63,0
2008-05-16,6750.0,573750.0,0
2008-05-20,59884.0,5291674.01,0
2008-05-21,9000.0,810000.0,0
2008-05-27,45158.0,4053663.56,0
2008-08-05,45812.0,3365343.68,0
2008-08-06,14625.0,1083737.0,0
2008-08-07,5000.0,380400.0,1
2008-08-12,45756.0,3381368.4000000004,0
2008-08-19,45819.0,3353034.4200000004,0
2008-08-20,14625.0,1079617.5,0
2008-08-26,45696.0,3455988.48,0
