date,shares,amount,buy_flag
2004-01-22,2000000.0,69160000.0,0
2004-03-23,1000000.0,38117900.0,0
2004-03-29,40900.0,1697182.31,0
2004-10-06,66923.0,3366730.98,0
2004-10-07,43525.0,2192604.7800000003,0
2004-10-08,10000.0,503492.0,0
2004-10-11,50000.0,2512703.0,0
2005-01-18,1500.0,84000.0,0
2005-03-28,3000.0,97500.0,1
2005-08-09,37000.0,1265400.0,0
2005-08-10,10000.0,344000.0,0
2005-08-12,10000.0,344000.0,0
2005-09-27,17800.0,623178.0,0
2005-09-28,7100.0,242465.0,0
2005-09-29,10000.0,350149.0,0
2005-09-30,10000.0,331800.0,0
2005-10-03,10000.0,350563.99999999994,0
2005-10-04,10000.0,350202.0,0
2005-10-05,10000.0,355450.0,0
2005-10-06,15000.0,530238.0,0
2005-10-07,111713.0,3800769.9926,0
2006-01-04,3600555.0,145120369.275,0
2006-06-26,1000000.0,44250000.0,0
2006-07-05,58750.0,2743325.0,0
2006-07-06,2000.0,93408.0,0
2007-04-03,58831.0,3705764.69,0
2007-06-22,9000.0,605017.7999999999,0
2007-07-10,800000.0,50976000.0,0
2007-10-01,100000.0,6845070.0,0
2008-06-20,5000.0,327800.0,0
2008-10-07,500.0,25045.0,0
2009-01-02,9000.0,401446.8,0
2009-03-23,38000.0,1677717.7999999998,0
2009-03-26,19187.0,910501.8167,0
2009-06-26,25000.0,1242750.0,0
2009-07-14,8995.0,456986.4775,0
2009-09-25,178470.0,11749487.7,0
2009-09-28,23771.0,1601862.01,0
2009-09-29,55421.0,3718106.47,0
2009-10-06,22000.0,1439680.0,0
2009-10-07,68000.0,4415920.0,0
2009-10-08,39700.0,2626949.0,0
2009-10-09,10300.0,683714.0,0
2009-10-12,4100.0,274946.0,0
2009-10-13,30000.0,1998600.0,0
2009-12-22,19500.0,1289340.0,0
2010-01-12,6000.0,397440.0,0
2010-01-14,20000.0,1344600.0,0
2010-03-25,13147.0,957758.95,0
2010-06-25,4782.0,333735.78,0
2010-07-13,18000.0,1281780.0,0
2010-09-24,33338.0,2680708.58,0
