date,shares,amount,buy_flag
2004-02-25,19871.0,1129268.93,0
2004-05-13,450.0,24021.0,1
2004-06-14,59163.0,3231843.45,0
2004-07-20,376.0,19333.92,0
2004-08-16,1000.0,47260.0,1
2004-08-27,4343.0,218509.62,0
2004-09-15,32000.0,1570371.2,0
2004-10-20,32000.0,1568000.0,0
2004-10-26,2338.0,112340.9,0
2004-11-08,31000.0,1568910.0,0
2004-12-15,13530.0,638886.6,0
2005-01-20,96166.0,4464670.032199999,0
2005-02-24,2250.0,101328.975,1
2005-03-02,1610.0,72659.3,0
2005-04-18,448.0,18426.24,0
2005-04-20,500.0,20250.0,1
2005-05-19,41719.0,1827292.2,0
2005-05-24,11877.0,506791.59,0
2005-05-25,56900.0,2427354.0,0
2005-07-27,5852.0,251449.3212,1
2006-01-20,6440.0,241666.0,0
2006-03-16,1533.0,60461.52,0
2006-06-16,117086.0,4396180.46,0
2006-06-19,33235.0,1232686.15,0
2006-12-15,3536.0,144723.88319999998,0
2007-02-21,275416.0,11239726.96,0
2007-03-02,21383.0,857244.4700000001,0
2007-03-05,3798.0,152109.9,0
2007-03-15,792.0,31086.0,0
2007-03-16,5063.0,200747.95,0
2007-06-07,404.0,16879.322,0
2007-10-22,3000.0,89520.0,1
2007-10-24,5500000.0,162250000.0,0
2007-10-25,1250.0,36250.0,1
2008-01-24,20456.0,518935.9904,0
2008-02-27,10000.0,250493.0,1
2008-03-11,10000.0,240500.0,1
2008-07-22,35000000.0,481565000.0,0
2008-08-20,11000.0,149555.0,1
2009-05-26,21000.0,146280.0,1
2010-02-02,4569.0,56441.457,0
2010-04-28,13888.0,200333.84,1
2010-06-03,3075.0,39821.25,1
2010-06-04,11000.0,138490.0,1
2010-06-25,281.0,3759.78,0
2010-08-17,5000.0,60945.0,1
2011-08-12,10000.0,95375.15,1
2011-09-06,50.0,466.0,1
2011-11-23,12000.0,133524.0,1
2012-05-03,10000.0,144066.72999999998,1
2012-06-05,5000.0,61297.95999999999,1
2012-08-07,10000.0,143100.0,1
2012-12-12,13700000.0,265732050.0,0
2012-12-13,3230.0,47162.036,0
2013-02-13,680.0,97889.6,1
2013-03-15,9182.0,151231.6678,0
2013-05-14,10000.0,179100.0,0
2013-05-15,16396310.0,375783749.628,0
2013-05-22,40000.0,733821.05,1
2013-08-07,5000000.0,127550000.0,0
2013-11-18,108359.0,2175652.8747999994,0
2013-12-06,5000.0,100850.0,1
2014-01-27,12349.0,262402.1231,0
2014-01-31,8500.0,178330.0,0
2014-02-21,25000.0,533500.0,0
2014-04-21,10000.0,208400.0,0
2014-04-22,30000.0,624500.0,0
2014-04-23,37294.0,784823.0,0
2014-04-24,7100.0,149010.92,0
2014-05-07,1780.0,36365.4,0
2014-05-09,1350.0,27678.75,0
2014-05-27,15949.0,330785.66,0
2014-06-02,5780000.0,178370800.0,0
2014-10-31,8189.0,163604.52,0
2014-11-17,26213.0,527196.99,0
2015-02-27,14835.0,288837.53,0
2015-04-29,35000.0,702475.27,0
2015-05-01,1750.0,35323.75,0
2015-08-17,1420.0,29900.54,0
2015-08-21,11803.0,238420.6,0
2015-11-24,6702.0,137141.52000000002,0
2015-12-08,13374592.0,691065168.64,0
2016-11-10,103367.0,2430800.358,0
2016-11-16,36821.0,924575.31,0
2016-11-18,32997.0,847373.96,0
2016-11-21,4801432.0,283380516.64,0
2016-11-23,22619.0,594147.3200000001,0
2017-04-27,68305.0,1696098.15,0
2017-04-28,12079.0,297575.4,0
2017-05-04,41010.0,1020849.0,0
2017-08-18,7004.0,183539.82,0
2017-10-26,15000.0,432900.0,0
2018-02-05,7500.0,246098.1,0
2018-02-08,4836.0,154288.644,0
2018-02-12,3700.0,119894.54,0
2018-02-13,104098.0,3366602.535,0
2018-02-14,31460.0,1025216.0,0
2018-02-21,35000.0,1183094.8199999998,0
2018-02-26,19324.0,644747.3360000001,0
2018-03-05,3000.0,100316.2,0
2018-03-16,568.0,19218.28,0
2018-03-19,4000.0,134400.0,0
2019-03-08,26000.0,685620.0,0
2019-04-15,55600.0,1527070.68,0
2019-04-30,2918.206,83898.4225,0
2019-05-03,208.759,6049.835819999999,0
2019-06-03,3739.0,99105.934,0
2019-07-24,25000.0,743750.0,0
2019-09-04,4000.0,103720.0,1
2019-10-01,5000.0,137600.0,0
2019-10-25,70000.0,0.0,0
2019-10-29,55251.0,0.0,0
2019-11-05,36382.0,1100710.529,0
2019-12-10,7500.0,228990.0,0
2020-01-30,3224.0,91013.52,0
2020-03-02,5000.0,120950.0,0
2020-03-12,6300.0,100799.37,1
2020-03-13,58800.0,993720.0,1
2020-08-07,10036.0,204584.86,0
2020-11-11,100.0,2576.0,0
2020-11-23,8500.0,219385.0,0
2021-01-29,8900.0,257744.0,0
2021-02-19,155143.0,5299684.88,0
2021-02-24,13428.0,476291.16,0
2021-03-09,4038.0,149264.67,0
2021-03-10,8079.787,303315.20398,0
2021-03-12,19918.0,776901.5900000001,0
2021-03-15,60000.0,2292168.0,0
2021-04-22,40500.0,1502955.0,0
2021-04-26,22172.0,866925.2000000001,0
2021-04-30,8040.0,326866.2,0
2021-05-03,105458.0,4304099.601,0
2021-05-05,1732.0,71514.28,0
2021-05-06,25000.0,1032565.0,0
2021-05-11,25603.0,1066326.5455,0
2021-08-24,500.0,19065.0,0
2021-09-08,6372.0,244748.52,0
2021-10-25,10740.0,489851.4,0
2021-11-03,4000.0,175160.0,0
2022-02-07,2500.0,119064.28,0
2022-02-09,67687.0,3330877.27,0
2022-02-14,4558.0,219103.06,0
2022-04-21,50000.0,2002500.0,0
2022-05-17,2500.0,92325.0,0
2022-06-02,6500.0,255060.0,0
2022-08-26,8734.0,307480.47,0
2022-10-21,11656.0,375869.045,1
2022-10-27,10209.0,365099.9,0
2022-11-15,6259.0,228960.22,0
2023-02-08,2000.0,75044.0,0
2023-02-14,1000.0,37317.0,0
2023-03-13,47500.0,1274092.5,1
2023-05-03,5000.0,124100.0,1
2023-10-30,64500.0,1503495.0,1
2024-02-16,5447.0,182311.09,0
2024-02-26,15000.0,501675.0,0
2024-03-11,26500.0,971606.396,0
2024-03-25,5000.0,181900.0,0
2024-04-22,14857.0,540548.55,0
2024-04-23,7500.0,274456.6608,0
2024-05-01,2500.0,93750.0,0
2024-05-13,76011.0,2922318.5676,0
