date,shares,amount,buy_flag
2004-02-17,3750.0,147408.375,0
2004-03-23,20000.0,726200.0,0
2004-04-05,50000.0,1748999.9999999998,0
2004-04-22,275000.0,11091155.0,0
2004-11-01,15000.0,532098.0,0
2004-11-02,10000.0,356008.0,0
2004-11-03,10000.0,352817.0,0
2004-11-04,19500.0,694894.2,0
2004-11-11,1500.0,56010.00000000001,0
2004-12-01,50000.0,1956540.0,0
2004-12-17,50000.0,1975215.0,0
2004-12-20,3496.0,139105.84,0
2004-12-21,72135.0,2893978.5934,0
2004-12-22,66795.0,2719752.3568,0
2005-01-03,75000.0,3014902.5,0
2005-01-04,45300.0,1834840.26,0
2005-01-05,5000.0,198557.5,0
2005-01-06,19000.0,760000.0,0
2005-01-07,10000.0,401032.0,0
2005-01-10,5000.0,200307.0,0
2005-01-11,5000.0,196884.0,0
2005-01-12,5000.0,194793.0,0
2005-01-28,54700.0,2215853.24,0
2005-02-07,6516.0,253016.28,0
2005-03-07,50000.0,1955650.0,0
2005-03-15,5000.0,195400.0,0
2005-03-30,45000.0,1769715.0,0
2005-04-01,6200.0,243536.0,0
2005-04-14,25400.0,1041753.06,0
2005-04-15,21325.0,874459.3475,0
2005-04-18,50110.0,2054600.198,0
2005-04-21,3165.0,129765.0,0
2005-04-22,202500.0,8503360.0,0
2005-04-26,67300.0,2864725.45,0
2005-04-27,30200.0,1284840.88,0
2005-05-02,124164.0,5290907.994,0
2005-05-03,68656.0,2934615.0612,0
2005-05-04,175276.0,7546818.4812,0
2005-06-07,145012.0,6391358.6042,0
2005-06-08,17162.0,747821.8200000001,0
2005-06-09,87479.0,3821161.4511,0
2005-06-13,21100.0,932493.4,0
2005-07-08,110047.0,4869150.67,0
2005-07-11,110000.0,4896287.0,0
2005-07-12,29000.0,1290775.5,0
2005-07-14,11000.0,489432.9,0
2005-07-15,60000.0,2695206.0,0
2005-07-18,24065.0,1080889.101,0
2005-07-19,15935.0,716343.5835,0
2005-07-22,26578.0,1205147.5164,0
2005-08-04,183019.0,8273558.7051,0
2005-08-05,152701.0,6925921.826099999,0
2005-08-09,56798.0,2592005.129,0
2005-08-12,9132.0,419615.4,0
2005-09-06,12777.0,577159.25,0
2005-09-07,20000.0,904300.0,0
2005-09-13,31147.0,1414107.625,0
2005-10-04,6750.0,310944.15,0
2005-10-12,31147.0,1401615.0,0
2005-11-11,61147.0,2750115.0,0
2005-11-14,2500.0,112125.0,0
2005-11-15,56088.0,2519919.6512,0
2005-11-17,85000.0,3897446.0,0
2005-11-29,30000.0,1376250.0,0
2005-12-01,101147.0,4661322.233899999,0
2005-12-05,4000.0,176316.8,1
2006-01-12,23000.0,1014451.8,0
2006-01-27,63200.0,2858889.92,0
2006-01-30,22800.0,1033079.7,0
2006-02-07,23000.0,992263.7,0
2006-02-09,2000.0,82000.0,1
2006-02-14,26632.0,1085254.0,0
2006-02-24,200.0,8450.0,0
2006-02-24,2000.0,83000.0,1
2006-02-27,3548.0,147628.02240000002,0
2006-03-01,12309.0,529411.3209,0
2006-03-07,12191.0,509794.32,0
2006-03-15,18300.0,770583.7200000001,0
2006-04-03,23000.0,980393.4,0
2006-04-26,45378.0,2056591.32,0
2006-04-27,93622.0,4268449.23,0
2006-04-28,50000.0,2301290.0,0
2006-05-08,800.0,35360.0,0
2006-05-12,23000.0,1031471.8,0
2006-06-01,23000.0,1012250.0,0
2006-06-30,2498.0,115382.62,0
2006-07-03,50000.0,2267355.0,0
2006-07-05,29898.0,1353491.4294,0
2006-08-01,418.0,17894.58,0
2006-09-08,191893.0,8803910.4726,0
2006-09-11,43760.0,2029981.419,0
2006-09-13,124460.0,752808530.265,0
2006-09-15,84089.0,3966072.089,0
2006-09-22,692.0,32067.28,0
2006-09-26,25000.0,1188575.0,0
2006-10-30,10000.0,485000.0,0
2006-11-03,1000.0,48700.0,1
2006-11-07,46718.0,2394297.5,0
2006-11-13,6220.0,326223.178,0
2006-11-14,59584.0,3102274.6464,0
2006-11-15,500.0,26440.0,0
2006-11-16,55631.0,2939350.826,0
2006-12-13,63531.0,3297258.9,0
2006-12-14,200000.0,10554980.0,0
2007-01-03,4723.0,247910.27,0
2007-01-04,70277.0,3696802.1141,0
2007-01-08,8414.0,443821.672,0
2007-01-09,33876.0,1792321.4958,0
2007-01-11,92710.0,4935204.359999999,0
2007-01-12,40000.0,2137680.0,0
2007-01-16,20000.0,1073186.0,0
2007-01-17,30000.0,1611054.0,0
2007-02-06,35786.0,1906185.3284,0
2007-02-07,14141.0,763749.7535999999,0
2007-02-08,35859.0,1936414.6872,0
2007-02-14,50000.0,2719410.0,0
2007-02-15,50000.0,2737200.0,0
2007-02-20,50000.0,2751080.0,0
2007-05-17,1000.0,53350.0,1
2007-06-01,15707.0,921133.2678,0
2007-08-08,3000.0,143185.06,1
2007-11-16,53012.0,2792525.31,0
2007-12-07,25776.0,1385095.27,0
2007-12-10,3000.0,163124.0,0
2008-02-12,3475.0,181673.0,0
2008-05-06,56396.0,3010205.26,0
2008-08-15,1435.0,68279.7,0
2009-02-24,4000.0,133040.0,1
2009-03-10,20900.0,636478.6414000001,0
2009-05-18,3985.0,161868.62,0
2009-08-26,8654.0,431016.797,0
2009-08-28,4948.0,246441.5724,0
2009-09-01,22300.0,1065599.8299999998,0
2009-09-18,1800.0,89640.0,0
2009-09-21,21657.0,1078405.9836000002,0
2009-10-21,34141.0,1703679.6084,0
2010-02-09,1894.0,86288.5,0
2010-02-11,25451.0,1183504.5863,0
2010-02-12,2561.0,117893.074,0
2010-02-17,17500.0,826045.5,0
2010-02-19,97500.0,4624685.25,0
2010-02-25,20000.0,960000.0,0
2010-03-01,80000.0,3892902.5,0
2010-03-02,25000.0,1228882.5,0
2010-03-03,66500.0,3298519.7,0
2010-03-05,8500.0,423279.6,0
2010-03-09,25000.0,1252495.0,0
2010-03-10,26844.0,1353426.1608,0
2010-03-12,862.0,43522.8972,0
2010-03-15,47294.0,2394272.9382,0
2010-03-17,75000.0,3845332.5,0
2010-04-09,25000.0,1292885.0,0
2010-04-14,50000.0,2605965.0,0
2010-05-14,600.0,29677.62,0
2010-06-07,3000.0,137940.0,1
2010-06-14,170.0,8119.2,0
2010-08-02,1200.0,60600.0,0
2010-08-09,75000.0,3837105.0,0
2010-08-17,21524.0,1110623.3332,0
2010-08-18,11496.0,593389.032,0
2010-08-19,1200.0,62078.03999999999,0
2010-09-01,700.0,36183.0,0
2010-09-02,65080.0,3390641.9680000003,0
2010-09-03,50000.0,2641940.0,0
2010-09-13,34117.0,1817259.0635,0
2010-09-14,16183.0,864811.4285,0
2010-09-15,24700.0,1326977.86,0
2010-09-17,700.0,37727.97,0
2010-09-20,98600.0,5333066.94,0
2010-09-22,8060.0,439665.746,0
2010-09-23,5987.0,326265.1572,0
2010-09-24,36053.0,1974482.2033,0
2010-10-09,900.0,50492.97,0
2010-10-15,39900.0,2205093.45,0
2010-10-20,20000.0,1114184.0,0
2010-11-11,500.0,27950.0,0
2010-11-15,1500.0,83550.0,0
2010-11-19,54858.0,3089054.4952,0
2010-12-13,600.0,35421.06,0
2011-02-07,211581.0,12758122.719,0
2011-02-10,2400.0,147184.80000000002,0
2011-03-10,5000.0,297500.0,1
2011-05-02,1600.0,98995.8,0
2011-05-20,385.0,24514.49,0
2011-08-08,1000.0,53000.0,1
2011-08-09,600.0,32028.0,1
2011-08-11,427.0,23741.2,0
2011-08-12,4836.0,266637.696,0
2011-08-18,1000.0,52356.0,1
2011-08-19,1000.0,51500.0,1
2012-02-06,15000.0,982501.5,0
2012-02-07,11539.0,747617.7705,0
2012-02-08,31293.0,2033928.0493,0
2012-02-09,200.0,13000.0,0
2012-02-10,91794.0,5888006.7978,0
2012-05-11,400.0,26512.0,0
2012-05-29,2000.0,134850.0,0
2012-08-07,800.0,55584.0,0
2012-08-21,16697.0,1182673.41,0
2012-08-22,64023.0,4508818.26,0
2012-08-24,30602.0,2172742.0,0
2012-08-27,200.0,14200.0,0
2012-08-29,25423.0,1806375.3344,0
2012-09-06,113909.0,8261203.419,0
2012-09-07,11340.0,827517.8263,0
2012-11-05,4019.0,300394.9303,0
2012-11-21,2242.0,166042.52000000002,0
2013-01-28,435.0,35040.2505,0
2013-02-25,5065.0,408924.05,0
2013-03-08,10000.0,843550.0,0
2013-04-08,4000.0,340200.0,0
2013-05-13,4000.0,358240.0,0
2013-05-24,5329.0,468136.663,0
2013-06-10,4000.0,346040.0,0
2013-07-08,4000.0,359400.0,0
2013-08-12,4000.0,404760.0,0
2013-08-16,19658.0,1956953.9,0
2013-09-05,1500.0,146325.0,0
2013-09-09,4000.0,395520.0,0
2013-10-14,4000.0,407640.0,0
2013-11-08,6034.0,634233.74,0
2013-11-11,4000.0,421440.0,0
2013-12-03,22716.0,2499800.68,0
2013-12-05,4742.0,515265.72,0
2014-02-11,8588.0,475046.34,0
2014-03-05,17499.0,1026316.35,0
2014-03-19,12229.0,715274.2100000001,0
2014-06-02,1500.0,90270.0,0
2014-06-13,7674.0,459672.6,0
2014-08-22,20551.0,1319374.2,0
2014-09-19,10000.0,655000.0,1
2014-12-08,7658.0,546704.62,0
2015-02-20,64850.0,5082943.0,0
2015-03-18,25000.0,1975040.0,0
2015-04-15,8500.0,671330.0,0
2015-04-21,1500.0,118500.0,0
2015-05-20,13000.0,1054300.0,0
2015-05-21,20062.0,1620935.66,0
2015-06-17,13000.0,1049360.0,0
2015-07-15,14000.0,1222060.0,0
2015-08-19,14000.0,1255076.0,0
2015-09-08,93802.0,8066972.0,0
2015-09-16,14000.0,1219680.0,0
2015-10-21,14000.0,1300580.0,0
2015-11-02,96628.0,9340062.48,0
2015-11-18,14000.0,1338952.0,0
2015-11-23,18554.0,1788976.68,0
2015-12-16,14000.0,1310920.0,0
2016-01-20,9000.0,789960.0,0
2016-01-21,2000.0,180080.0,0
2016-02-17,11000.0,1052540.0,0
2016-02-18,6136.0,590590.0,0
2016-02-22,44274.0,4328668.98,0
2016-02-23,5283.0,515726.46,0
2016-02-26,5202.0,512657.1,0
2016-03-16,14000.0,1389812.0,0
2016-04-20,12000.0,1198800.0,0
2016-05-11,11220.0,1181578.2,0
2016-05-18,2000.0,205760.0,1
2016-05-18,12000.0,1229570.0,0
2016-05-25,5096.0,531563.76,0
2016-05-27,28603.0,3003601.0300000003,0
2016-06-15,12000.0,1269160.0,0
2016-06-16,25538.0,2698855.8400000003,0
2016-07-20,12000.0,1329600.0,0
2016-08-17,12000.0,1222080.0,0
2016-09-12,15225.0,1538029.5,0
2016-09-21,12000.0,1205520.0,0
2016-10-19,12000.0,1198920.0,0
2016-11-02,15000.0,1488150.0,1
2016-11-14,1500.0,150780.0,0
2016-11-16,12000.0,1229412.0,0
2016-11-30,8992.0,945035.12,0
2016-12-21,12000.0,1304640.0,0
2017-02-14,8654.0,952560.44,0
2017-02-15,36000.0,3988080.0,0
2017-02-17,7658.0,850420.9,0
2017-03-01,4309.0,504239.18,0
2017-03-15,17000.0,1993590.0,0
2017-04-18,15000.0,1745700.0,0
2017-04-26,2000.0,240380.0,0
2017-05-22,17000.0,2071440.0,0
2017-06-23,17000.0,2126020.0,0
2017-07-20,17000.0,2142340.0,0
2017-08-23,17000.0,2074340.0,0
2017-09-18,6124.0,762682.9600000001,0
2017-09-19,17000.0,2134180.0,0
2017-10-16,17000.0,2162740.0,0
2017-11-17,17000.0,2181483.0,0
2017-11-21,2000.0,256700.0,0
2017-11-22,9573.0,1223429.4,0
2017-12-11,3439.0,452262.89,0
2017-12-15,10000.0,1310300.0,0
2017-12-21,17000.0,2230018.0,0
2018-01-17,17000.0,2356030.0,0
2018-02-16,12160.0,1734502.4,0
2018-02-21,353.0,49981.27,1
2018-02-21,17000.0,2406675.81,0
2018-03-19,34000.0,2496480.0,0
2018-04-18,50000.0,3605500.0,0
2018-05-16,50000.0,3613000.000000001,0
2018-05-30,10388.0,757492.96,0
2018-06-20,50000.0,3817000.0,0
2018-07-18,50000.0,3851500.0,0
2018-08-15,50000.0,3932000.0,0
2018-09-19,50000.0,3986070.0,0
2018-10-17,50000.0,3946000.0,0
2018-11-21,50000.0,3847008.4,0
2018-12-19,50000.0,3699032.0,0
2019-01-16,50000.0,3560158.74,0
2019-02-20,50000.0,4242500.0,0
2019-02-27,13280.0,1128136.0,0
2019-02-28,13728.0,1167978.24,0
2019-03-15,10904.0,948757.04,0
2019-03-20,50000.0,4198247.449999999,0
2019-04-17,20000.0,1704199.9999999998,0
2019-05-15,20000.0,1709800.0,0
2019-05-21,2000.0,177900.0,0
2019-06-19,20000.0,1784510.0,0
2019-07-17,20000.0,1885000.0,0
2019-07-26,20000.0,2063953.0,0
2019-08-21,25000.0,2686300.0,0
2019-08-29,46000.0,4954200.0,0
2019-09-04,5000.0,531800.0,0
2019-09-18,25000.0,2591694.0,0
2019-10-16,25000.0,2658224.0,0
2019-11-13,18000.0,2005020.0,0
2019-11-18,100.0,11436.0,1
2019-11-20,900.0,104436.0,1
2019-11-20,25000.0,2889647.1,0
2019-11-27,30000.0,3478800.0,0
2019-12-10,45000.0,5143050.0,0
2019-12-13,3500.0,406410.0,0
2019-12-18,25000.0,2904642.0,0
2020-01-15,25000.0,2964470.0,0
2020-02-10,13728.0,1681680.0,0
2020-02-19,25000.0,3080000.0,0
2020-03-18,20000.0,1607211.9,0
2020-04-15,20000.0,1871307.4,0
2020-04-17,10000.0,1003000.0,0
2020-05-20,300000.0,31434142.61,0
2020-05-21,37056.0,3856788.48,0
2020-06-03,11496.0,1252374.24,0
2020-06-05,20000.0,2179200.0,0
2020-06-15,4000.0,398560.0,0
2020-06-16,22500.0,2304225.0,0
2020-06-17,30000.0,3102473.8,0
2020-06-18,10000.0,1037200.0,0
2020-06-19,2500.0,254025.0,0
2020-07-15,30000.0,3024803.0,0
2020-08-19,30000.0,3058708.92,0
2020-08-21,10000000.0,980000000.0,0
2020-09-16,30000.0,3073299.0,0
2020-10-09,10000.0,1050000.0,0
2020-10-21,22100.0,2203258.0,0
2020-10-22,7900.0,792777.5,0
2020-11-04,1000.0,101470.0,1
2020-11-09,30000.0,3299500.0,0
2020-11-12,14100.0,1492626.0,0
2020-11-16,2200.0,240834.0,0
2020-11-18,30000.0,3271679.46,0
2020-12-09,20000.0,2305000.0,0
2020-12-14,40250000.0,4429110000.0,0
2020-12-18,2073.0,236792.49,0
2021-01-08,20000.0,2303546.8,0
2021-02-09,20000.0,2253000.0,0
2021-02-16,9100.0,1010009.0,1
2021-02-26,8479.0,985955.078,0
2021-03-08,8000.0,980000.0,0
2021-03-09,30000.0,3697910.0,0
2021-03-10,12388.0,1514614.8,0
2021-03-11,30000.0,3770100.0,0
2021-04-15,20000.0,2498800.0,0
2021-04-30,6788.0,814560.0,0
2021-05-03,46000000.0,5414200000.0,0
2021-06-18,5000.0,539210.0,0
2021-07-15,10000.0,1096300.0,0
2021-08-11,12500.0,1391000.0,1
2021-08-16,10000.0,1110400.0,0
2021-08-19,40000.0,4708400.0,0
2021-08-23,20000.0,2352800.0,0
2021-09-15,10000.0,1071500.0,0
2021-10-15,10000.0,1085500.0,0
2021-11-01,15700.0,1559795.0,1
2021-11-10,1934.0,193728.78,0
2021-11-15,10000.0,1007600.0,0
2021-11-23,20801.0,1996975.22,1
2021-11-26,1000.0,97210.0,1
2021-12-03,60000.0,6010800.0,0
2021-12-06,20000.0,2065200.0,0
2021-12-07,3000.0,315000.0,0
2021-12-15,10739.0,1108050.02,0
2021-12-16,43292.0,4537434.5200000005,0
2021-12-30,21000.0,2202404.2,0
2022-01-28,12592.0,1276160.0,0
2022-01-31,8408.0,882840.0,0
2022-03-03,10000.0,1000000.0,0
2022-03-28,10000.0,1000400.0,0
2022-04-28,43000.0,4485400.0,0
2022-05-02,112575.0,10683367.5,1
2022-05-06,67050.0,6367068.0,1
2022-05-09,432950.0,40744924.5,1
2022-05-26,8170.0,808830.0,0
2022-05-27,10000.0,1000000.0,0
2022-06-10,500000.0,47090000.0,1
2022-06-13,291659.0,26147229.35,1
2022-06-14,208341.0,18694437.93,1
2022-07-22,15000.0,1500000.0,0
2022-07-27,4000.0,420000.0,0
2022-08-01,30000.0,3152791.0,0
2022-08-08,18518.0,1960200.04,0
2022-09-01,11937.0,1205398.26,0
2022-09-02,100.0,10500.0,0
2022-09-07,4400.0,462220.0,0
2022-09-12,2706.0,294196.32,0
2022-10-05,4000.0,400000.0,0
2022-11-01,4550.0,470015.0,0
2022-12-01,14380.0,1507024.0,0
2022-12-09,4000.0,405240.0,0
2023-01-04,1064030.0,108775466.9,0
2023-01-05,1264956.0,125926369.8,0
2023-01-06,675014.0,68520671.14,0
2023-01-18,2937.0,308473.11,0
2023-01-23,1063.0,111646.89,0
2023-02-01,8000.0,847520.0,0
2023-03-01,21059.0,2420619.13,0
2023-03-02,13059.0,1515105.18,0
2023-03-24,9000.0,999000.0,0
2023-04-03,8000.0,900640.0,0
2023-05-01,8000.0,973520.0,0
2023-05-05,8500.0,1014305.0,0
2023-06-01,8000.0,896800.0,0
2023-07-05,6750.0,840915.0,0
2023-08-01,6750.0,848812.5,0
2023-09-01,6750.0,822960.0,0
2023-10-02,6750.0,757147.5,0
2023-11-01,6750.0,768825.0,0
2023-11-28,9138.0,1165095.0,0
2023-12-01,6750.0,876892.5,0
2023-12-12,80000.0,10725600.0,0
2023-12-13,25429.0,3432915.0,0
2023-12-26,188088.0,24972443.76,0
2023-12-27,1633.0,216993.04,0
2024-03-15,24000.0,3588622.75,0
2024-03-20,63646.0,9801484.0,0
2024-04-15,23929.0,3632143.31,0
2024-05-15,24000.0,3709358.1,0
2024-06-10,2800.0,416528.0,0
2024-06-17,24000.0,3563234.32,0
2024-07-15,24000.0,3716563.58,0
2024-08-15,24000.0,3959280.0,0
2024-08-21,18890.0,3177486.9000000004,0
2024-09-20,145000.0,25718035.88,0
2024-10-23,40000.0,8078800.0,0
2024-10-30,30000.0,6033842.62,0
2024-11-12,20821.0,4468394.8100000005,0
2025-02-20,45000.0,10599607.5,0
2025-02-27,1742.0,405971.12,0
2025-03-03,13560.0,3229314.0,0
2025-05-27,2512.0,403631.17,0
2025-05-28,5652.0,904320.0,0
