date,shares,amount,buy_flag
2017-02-23,3294.0,189283.122,0
2017-05-01,131994.0,8228769.948,0
2017-05-23,11642.0,725413.02,0
2017-05-31,3749.0,233450.23,0
2017-08-14,6565.0,433907.11,0
2017-10-31,4775.0,346158.85,0
2017-11-07,50000.0,3657000.0,0
2018-05-02,75000.0,5394750.000000001,0
2018-05-08,18354.0,1354525.2,0
2018-08-01,15000.0,1234350.0,0
2018-08-02,5514.0,446027.46,0
2018-08-02,18000.0,1454400.0,1
2018-08-06,6316.0,512101.28,0
2018-08-08,47332.0,3820165.72,0
2018-08-15,440.0,34927.2,0
2018-10-01,111.0,0.0,0
2018-11-02,132569.0,9997597.39,0
2018-11-14,8869.0,662549.776,0
2018-11-15,476.0,34833.68,0
2018-11-16,468.0,35221.68,0
2019-02-20,435.0,35087.1,0
2019-02-25,1783.0,145974.21000000002,0
2019-02-28,3746.0,305785.98,0
2019-05-02,600.0,51318.0,0
2019-05-03,11386.0,981017.76,0
2019-05-14,650.0,52598.0,0
2019-05-16,20000.0,1634800.0,0
2019-05-17,519.0,42028.62,0
2019-08-05,34446.0,2435332.2,0
2019-11-13,30000.0,2138100.0,0
2019-11-14,29536.0,2103553.92,0
2019-11-15,19011.0,1376127.87,0
2020-02-13,7639.0,599355.94,0
2020-02-19,125000.0,9621340.0,0
2020-02-21,14224.0,1082019.68,0
2020-02-24,2212.0,163179.24,0
2020-02-25,2081.0,151663.28,0
2020-02-26,231.0,16391.76,0
2020-05-04,5256349.0,305218253.58000004,0
2020-05-13,20000.0,1104460.0,1
2020-05-27,45134.0,2871638.48,0
2020-05-28,387906.0,24168749.76,0
2020-05-29,34947.0,2132815.41,0
2020-07-30,37882.0,2746445.0,0
2020-08-03,1150000.0,80262582.72,0
2020-08-04,1200000.0,83351999.99999999,0
2020-08-05,1250000.0,87502344.92000002,0
2020-08-10,1407827.0,101405928.81,0
2020-08-11,3576651.0,261882386.22,0
2020-08-12,119.0,8925.0,0
2020-08-14,11316.0,836818.2000000001,0
2020-08-25,1900000.0,134797253.11,0
2020-08-26,1600000.0,113048005.83,0
2020-08-27,1500000.0,106545000.0,0
2020-10-30,282992.0,17387316.380000003,0
2020-11-02,100180.0,6328370.600000001,0
2020-11-03,5000.0,324375.0,0
2020-11-16,56428.0,4009209.4,0
2021-02-08,65185.0,4473201.62,0
2021-02-09,30520.0,2076580.8000000005,0
2021-02-16,5765.0,410813.9,0
2021-02-22,26403.0,1776014.16,0
2021-02-23,15024.0,999878.05,0
2021-02-24,15182.0,1023563.4,0
2021-02-25,357.0,24054.66,0
2021-02-26,2089.0,138981.17,0
2021-05-10,1368180.0,99122106.88,0
2021-05-11,2131820.0,149494283.2,0
2021-05-12,60107.0,4194867.53,0
2021-08-06,3522.0,261578.94,0
2021-11-03,6575.0,506209.25,0
2021-11-15,152851.0,11943318.587,0
2021-11-16,15457.0,1216759.583,0
2021-11-30,16799.0,1279764.619,0
2022-02-09,5472.0,363231.36,0
2022-02-22,714.0,45003.42,0
2022-02-23,1604.0,102447.48,0
2022-02-24,2119.0,130148.98,0
2022-02-25,836.0,53612.67999999999,0
2022-02-28,1405.0,90524.15,0
2022-05-02,17400.0,1013493.0,1
2022-11-11,45944.0,3148341.9200000004,0
2023-02-17,2063.0,141666.21,0
2023-02-23,1336.0,88697.04,0
2023-02-27,3249.0,220119.75,0
2023-07-28,47840.0,3665619.0,0
2024-02-02,100000.0,8230000.0,0
2024-02-06,106525.0,8681347.209999999,0
2024-02-09,15082.0,1239835.86,0
2024-02-16,5000.0,425000.0,0
2024-02-28,54943.0,4743035.359999999,0
2024-02-29,842.0,71662.62,0
2024-09-13,21087.0,1557799.3199999998,0
2024-11-01,171808.0,12320351.68,0
2024-11-11,5000.0,382900.0,0
2025-02-24,196117.0,15763884.46,0
2025-02-26,13576.0,1088880.51,0
2025-02-28,35087.0,2767531.2,0
2025-05-12,14327.0,1058478.76,0
2025-05-15,175000.0,12670000.000000002,0
