date,shares,amount,buy_flag
2003-08-25,142238.386,1144863.8873,0
2004-01-26,10000.0,130500.0,0
2004-01-28,20105.0,270814.35000000003,0
2004-02-12,25000.0,314000.0,1
2004-03-03,158334.0,2046428.34,0
2004-03-05,54572.0,695743.0,0
2004-04-26,64907.0,785972.77,0
2004-04-27,50000.0,601350.0,0
2004-05-03,41000.0,469640.0,1
2004-05-06,50000.0,576000.0,0
2004-05-17,2000.0,21980.0,1
2004-05-24,22223.0,277787.5,0
2004-06-03,94974.0,1159972.76,0
2004-07-26,83334.0,991794.6,0
2004-07-28,40000.0,483600.0,0
2004-08-02,10000.0,123500.0,0
2004-10-28,10000.0,113800.0,0
2004-11-04,630499.0,3744491.87,0
2004-11-05,434099.0,1659453.58,0
2004-11-08,350000.0,1526569.0,0
2004-11-09,259200.0,780192.0,0
2004-11-10,248500.0,735560.0,0
2004-11-11,317200.0,938912.0,0
2004-11-12,277400.0,818330.0,0
2004-11-15,66108.0,200307.24,0
2005-02-08,20602.0,247636.04,0
2005-02-11,28347.0,340164.0,0
2005-02-14,12725.0,151300.25,0
2005-02-15,83333.0,996182.68,0
2005-02-25,6762.0,78547.44,0
2005-05-05,71600.0,997388.0,1
2005-05-05,334682.0,4634829.0,0
2005-05-06,85556.0,1222775.7999999998,0
2005-05-09,74863.0,1127461.23,0
2005-05-10,40000.0,588000.0,0
2005-05-11,50838.0,777113.4,0
2005-05-13,30866.0,463293.98,0
2005-06-03,250000.0,279840.69,0
2005-06-06,800000.0,863609.0300000001,0
2005-06-07,801000.0,818144.32,0
2005-06-08,805000.0,805042.71,0
2005-06-09,575000.0,564105.28,0
2005-06-10,1063908.0,1024424.87,0
2005-08-02,1297718.0,25171884.146,0
2005-08-03,77934.0,1553047.36,0
2005-08-04,50000.0,998000.0,0
2005-08-05,50000.0,985409.0,0
2005-08-08,50000.0,982500.0,0
2005-08-10,181824.0,3636480.0,0
2005-08-30,27100.0,22222.0,0
2005-08-31,450000.0,351000.0,0
2005-09-01,232000.0,183280.0,0
2005-09-02,250000.0,192500.0,0
2005-09-06,250000.0,195000.0,0
2005-09-07,938354.0,731916.12,0
2005-11-08,447742.0,8772678.4356,0
2005-11-09,417492.0,8049421.442000001,0
2005-11-10,320750.0,6201367.5196,0
2005-11-11,234056.0,4612917.58,0
2005-11-14,538583.0,4500706.800000001,0
2005-11-15,232830.0,2227359.6,0
2005-11-16,60153.0,1215090.6,0
2005-11-17,40201.0,830029.33,0
2005-11-18,19369.0,406361.62,0
2006-02-06,1344916.0,32413709.2,0
2006-02-07,492195.0,11681209.2,0
2006-02-08,393916.0,9461984.0,0
2006-02-09,554083.0,13443525.27,0
2006-02-13,277875.0,6666165.0,0
2006-02-14,5000.0,120000.0,0
2006-02-15,255926.0,6211136.45,0
2006-02-16,327846.0,8138495.819999999,0
2006-02-22,30938.0,771903.1,0
2006-03-06,4500.0,121995.0,0
2006-05-08,14050.0,393400.0,0
2006-08-02,177685.0,3192109.62,0
2006-08-03,297988.0,5389106.720000001,0
2006-08-04,320000.0,5909336.0,0
2006-08-07,210833.0,3854927.25,0
2006-08-09,84671.0,1546092.4600000002,0
2006-08-10,50000.0,900000.0,0
2006-08-11,50000.0,943460.0,0
2006-08-14,24000.0,460080.00000000006,0
2006-08-15,228332.0,4505239.5396,0
2006-08-16,26667.0,554665.5999,0
2006-08-17,22222.0,462662.04,0
2006-08-24,62222.0,1323395.301,0
2006-08-25,105555.0,2290275.7477,0
2006-08-28,65311.0,1411899.7291,0
2006-08-29,49282.0,1084204.0,0
2006-09-18,8000.0,186000.0,0
2006-09-20,8000.0,191600.0,0
2006-10-26,47000.0,996320.1,1
2006-10-27,33500.0,703500.0,0
2006-10-30,48951.0,1011895.4916,0
2006-10-31,79744.0,1630326.208,0
2006-11-01,220256.0,4527016.6496,0
2006-11-03,224081.0,4576822.2651,0
2006-11-06,150000.0,3078875.0,0
2006-11-07,185781.0,3918416.762,0
2006-11-08,50000.0,1032855.0,0
2006-11-09,50000.0,1016500.0,0
2006-11-13,93332.0,1927305.8,0
2006-11-14,25500.0,539835.0,0
2006-11-15,30000.0,641490.0,0
2006-11-16,40359.0,868477.3104000001,0
2006-11-22,19585.0,417356.35,0
2006-11-28,32446.0,680327.728,0
2006-11-29,40000.0,844000.0,0
2006-12-05,18900.0,415800.0,0
2006-12-06,11100.0,244200.0,0
2006-12-07,36000.0,764209.0,0
2007-02-12,608430.0,13146205.0201,0
2007-02-13,178145.0,3887036.9225,0
2007-02-14,130292.0,2886048.4656,0
2007-02-20,120000.0,2598168.0,0
2007-03-02,20649.0,426079.7256,0
2007-04-30,288499.0,6967181.0494,0
2007-05-01,222286.0,5186689.5824,0
2007-05-02,132334.0,3145930.1454,0
2007-05-03,157500.0,3770073.2,0
2007-05-04,127000.0,3089760.0,0
2007-05-09,6000.0,141900.0,0
2007-05-16,15000.0,354579.0,0
2007-05-21,53718.0,1296485.48,0
2007-05-22,89971.0,2217445.51,0
2007-05-23,39116.0,970076.8,0
2007-05-31,17651.0,441275.0,0
2007-06-01,16500.0,423390.0,0
2007-07-27,135000.0,3249820.0,0
2007-07-30,163042.0,3950959.69,0
2007-07-31,98000.0,2379528.2,0
2007-08-01,37000.0,884111.3,0
2007-08-02,120157.0,2944155.44,0
2007-08-03,42000.0,1008061.0,0
2007-08-07,7000.0,160879.0,0
2007-08-08,17100.0,410400.0,0
2007-08-13,132900.0,3196283.0,0
2007-08-16,31250.0,706562.5,0
2007-08-29,49918.0,1181532.52,0
2007-09-07,38071.0,939505.098,0
2007-10-29,337916.0,8056322.069999999,0
2007-10-30,97545.82,2309545.196974,0
2007-10-31,211066.17,5078079.095419,0
2007-11-01,238055.0,5714146.6,0
2007-11-06,125918.0,3023811.36,0
2008-02-11,271427.0,6374824.755299999,0
2008-02-12,183638.0,4353717.6,0
2008-02-13,186408.0,4419684.3100000005,0
2008-02-20,65463.0,1527251.7899999998,0
2008-02-22,17500.0,408324.5,0
2008-05-01,413529.0,11109352.12,0
2008-05-02,266000.0,7073548.21,0
2008-05-05,155592.0,4185467.06,0
2008-05-06,204500.0,5459018.079999999,0
2008-05-08,16875.0,441825.5,0
2008-05-14,86000.0,2258439.0,0
2008-05-15,22500.0,607500.0,0
2008-05-16,3923.0,106195.61,0
2008-05-19,42910.0,1201480.0,0
2008-06-13,40333.0,1099074.25,0
2008-08-04,49700.0,998925.27,1
2008-11-05,55000.0,628100.0,1
2008-11-06,245000.0,2514975.0,1
2008-11-20,150000.0,1257555.0,1
2008-11-24,20000.0,174716.0,1
2008-12-01,1000.0,8640.0,0
2008-12-03,12000.0,100300.8,1
2009-02-09,46318.0,551457.4762,0
2009-02-12,25000.0,279250.0,0
2009-05-04,37881.0,545414.8400000001,0
2009-05-05,75816.0,1138177.825,0
2009-05-18,17667.0,249142.71,0
2009-06-05,17566.0,281056.0,0
2009-07-29,97531.0,1631690.19,0
2009-07-31,7788.0,132396.0,0
2009-08-03,7622.0,129574.0,0
2009-10-29,10000.0,150000.0,0
2009-11-04,15000.0,222300.0,0
2009-11-06,11467.0,175793.69679999998,0
2009-11-09,100000.0,1575000.0,0
2009-11-16,276195.0,4647425.581499999,0
2009-11-17,105000.0,1781209.4999999998,0
2009-11-24,50000.0,824715.0,0
2009-12-03,75000.0,1327105.0,0
2009-12-04,164500.0,3000430.95,0
2010-02-08,311149.0,5586940.3158,0
2010-02-09,120560.0,2151693.4000000004,0
2010-02-11,64250.0,1148995.6,0
2010-02-16,13108.0,235944.0,0
2010-02-18,302833.0,5441487.215,0
2010-02-23,71793.0,1239094.1491,0
2010-05-04,212865.0,4027587.827,0
2010-05-10,15000.0,274024.5,0
2010-05-18,121711.0,2251708.5,0
2010-05-27,13000.0,225810.0,0
2010-08-05,20000.0,383190.0,1
2010-08-05,133647.0,2559812.2112,0
2010-08-06,246500.0,4691042.9,0
2010-08-19,1000.0,16105.5,1
2010-08-26,150000.0,2368785.0,0
2010-08-30,40000.0,642028.0,0
2010-09-07,31833.0,536456.0826,0
2010-09-08,7000.0,117250.7,0
2010-11-03,651131.0,11892018.7981,0
2010-11-04,42750.0,804040.05,0
2010-11-08,17000.0,322920.0,0
2010-12-07,36160.0,677012.8319999999,0
2011-02-07,589287.0,13372866.8422,0
2011-02-08,229571.0,5169938.92,0
2011-02-09,40706.0,923502.744,0
2011-02-11,193333.0,4311325.9,0
2011-02-14,369165.0,8223224.208000001,0
2011-02-17,500.0,11375.0,0
