date,shares,amount,buy_flag
2004-04-21,9360.0,515987.2,0
2004-04-22,24940.0,1395669.0,0
2004-06-01,10460.0,575300.0,0
2004-09-16,12839.0,718259.0700000001,0
2004-11-23,2246.0,138353.6,0
2004-11-29,3340.0,205744.0,0
2004-12-21,10510.0,695551.8,0
2005-05-17,1000.0,54326.0,1
2005-08-10,12340.0,773984.0,0
2005-08-12,12718.0,808916.0,0
2005-08-15,15900.0,1017667.0,0
2005-09-01,10000.0,647929.0,0
2005-10-24,9330.0,609431.3,0
2005-11-11,4000.0,275144.0,0
2005-12-02,8000.0,573696.0,0
2005-12-05,19099.0,1360262.0,0
2005-12-06,22800.0,1623155.0,0
2005-12-07,24400.0,1711181.0,0
2005-12-08,21400.0,1500377.0,0
2005-12-09,50100.0,3518444.68,0
2005-12-12,12201.0,861767.75,0
2006-03-07,10240.0,748031.4,0
2006-03-16,6550.0,487975.0,0
2006-04-20,20000.0,1590119.0,0
2006-07-27,4440.0,275280.0,0
2006-08-02,40000.0,2488551.0,1
2006-11-20,30518.0,2233611.06,0
2006-11-21,173200.0,12680748.96,0
2006-11-22,49142.0,3607959.92,0
2007-01-12,6000.0,429000.0,0
2007-01-25,3000.0,217500.0,0
2007-01-26,3000.0,220500.0,0
2007-02-01,12930.0,1000518.0,0
2007-02-15,9096.0,719776.4,0
2007-02-27,60600.0,4752600.22,0
2007-03-20,2200.0,167510.0,0
2007-03-22,204560.0,15962807.950000005,0
2007-04-16,37290.0,3068967.0,0
2007-04-20,15000.0,1245000.0,0
2007-04-25,26500.0,2227860.3,0
2007-04-26,10120.0,850082.4,0
2007-05-03,112423.0,9494624.9,0
2007-05-04,114475.0,9641440.5,0
2007-05-07,108052.0,9040130.23,0
2007-05-23,15710.0,1351903.8,0
2007-05-25,10000.0,850000.0,0
2007-06-12,7970.0,693816.4,0
2007-07-09,25840.0,2454800.0,0
2007-07-12,14160.0,1345200.0,0
2007-10-01,45000.0,4162500.0,0
2007-10-15,45000.0,4275000.0,0
2007-10-19,10710.0,965533.32,0
2007-11-19,2070.0,177985.63999999998,0
2007-12-17,5390.0,485262.0,0
2008-03-17,2100.0,151305.0,1
2008-04-18,1460.0,127124.6,0
2008-05-13,4917.0,439436.7117,0
2008-05-14,75330.0,6805003.42,0
2008-05-15,40000.0,3594268.45,0
2008-05-19,1946.0,180325.74,0
2008-05-22,4000.0,361849.7,0
2008-06-10,1860.0,166382.0,0
2008-12-16,2830.0,206553.17,0
2008-12-17,1860.0,137454.0,0
2009-03-06,7410.0,452454.6,0
2009-03-10,8000.0,511268.52,0
2009-03-13,1385.0,91031.9,0
2009-03-16,24959.0,1600030.5600000003,0
2009-04-30,40040.0,3361599.850000001,0
2009-05-01,2070.0,172136.7,0
2009-07-20,8000.0,696000.0,0
2009-07-22,3750.0,326338.105,0
2009-07-28,175000.0,15320920.18,0
2009-07-30,15700.0,1414503.684,0
2009-09-08,15330.0,1375101.0,0
2009-09-14,2070.0,185140.6204,0
2009-10-20,4050.0,386833.0,0
2009-10-28,2070.0,194766.3,0
2009-11-23,2400.0,235226.4,0
2009-12-11,12050.0,1181003.54,0
2009-12-14,1650.0,161700.0,0
2010-02-03,3790.0,388263.47,0
2010-02-23,2400.0,247450.0,0
2010-02-24,15075.0,1559020.7999999998,0
2010-03-02,4500.0,467774.88,0
2010-03-04,4500.0,472500.0,0
2010-03-10,5890.0,636605.0800000001,0
2010-03-18,12500.0,1358975.12,0
2010-05-03,3000.0,335225.25,0
2010-07-30,7300.0,813327.8999999999,0
2010-08-03,2400.0,272634.36,0
2010-08-09,11100.0,1276500.0,0
2010-09-08,12500.0,1387560.6,0
2010-09-15,2700.0,319497.0,0
2010-09-20,5200.0,624000.0,0
2010-10-19,3650.0,445048.64,0
2010-10-29,2400.0,296540.0,0
2010-11-10,400.0,50000.0,1
2010-11-12,1000.0,125526.8,1
2010-11-18,200.0,25108.0,1
2010-12-14,4475.0,604125.0,0
2011-02-02,1980.0,259821.032,0
2011-04-21,3479.0,521850.0,0
2011-04-27,27679.0,4151850.0,0
2011-05-10,1600.0,240798.0764,0
2011-06-07,1650.0,239002.5,0
2011-09-13,3150.0,492396.0,0
2011-09-15,12000.0,1918267.7318,0
2011-09-16,4000.0,651103.1,0
2011-10-18,6000.0,989400.0,0
2011-10-21,1650.0,275550.0,0
2011-10-27,6000.0,1049400.0,0
2011-11-30,5300.0,954000.0,0
2011-12-01,7975.0,1492930.3953,0
2011-12-20,7686.0,1423937.9288,0
2012-03-06,11550.0,2386917.5199,0
2012-03-07,13000.0,2692147.72,0
2012-04-27,6135.0,1288350.0,0
2012-05-01,1756.0,365541.9424,0
2012-05-02,351.0,73008.0,0
2012-06-19,5000.0,938942.85,0
2012-07-26,2400.0,486561.4,0
2012-08-21,980.0,199520.98,0
2012-09-04,2215.0,463812.9924,0
2012-09-13,3000.0,607500.0,0
2012-11-26,1980.0,376473.08,0
2012-12-10,670.0,129403.919,0
2012-12-13,3000.0,574954.3300000001,0
2013-01-31,5000.0,1088497.22,0
2013-02-01,2600.0,570802.2964000001,0
2013-02-12,1982.0,441456.6,0
2013-02-21,3109.0,699643.5,0
2013-03-06,30000.0,6930205.52,0
2013-03-14,3000.0,674059.8,0
2013-04-19,5000.0,1200465.55,0
2013-04-26,2652.0,646958.36,0
2013-05-07,5000.0,1263055.2999999998,0
2013-05-08,2700.0,680873.8644000001,0
2013-05-10,2000.0,512117.4,0
2013-05-14,22662.0,5892122.0,0
2013-05-30,2471.0,629702.3149,0
2013-06-07,1670.0,431698.53,0
2013-06-13,3000.0,756856.8600000001,0
2013-07-18,5000.0,1305864.26,0
2013-07-26,1000.0,255460.0,0
2013-09-09,350.0,92072.99,0
2013-09-12,3000.0,800810.72,0
2013-10-16,5000.0,1276404.2,0
2013-12-12,3000.0,748671.0,0
2014-01-14,5000.0,1295768.74,0
2014-02-19,2692.0,666327.1452,0
2014-02-20,1544.0,383496.462,0
2014-03-13,3000.0,755284.98,0
2014-03-18,1858.0,469889.8675,0
2014-05-28,3500.0,892015.2,0
2014-06-09,14500.0,3880189.73,0
2014-06-12,3000.0,784983.25,0
2014-09-15,3000.0,742794.0,0
2014-11-06,900.0,229529.0,0
2014-11-24,1500.0,375000.0,0
2014-12-01,4490.0,1100187.96,0
2014-12-03,4610.0,1129450.0,0
2014-12-15,3000.0,737344.44,0
2014-12-22,14500.0,3720490.5100000007,0
2015-01-31,0.0,0.0,0
2015-02-27,3478.0,830407.87,0
2015-03-12,3000.0,695681.54,0
2015-03-31,0.0,0.0,0
2015-04-16,4300.0,1083600.0,0
2015-04-23,1136.0,276332.0,0
2015-05-21,30000.0,7390434.25,0
2015-06-04,24876.0,5968934.710000001,0
2015-06-15,3000.0,706909.35,0
2015-07-22,3400.0,777782.7000000001,0
2015-07-31,1598.0,367540.0,0
2015-08-10,11702.0,2691460.0,0
2015-09-03,61000.0,13494834.8,0
2015-09-04,61000.0,13308054.489999998,0
2015-09-09,1300.0,292500.0,0
2015-10-08,2500.0,575000.0,0
2015-10-09,724.0,168692.0,0
2015-10-12,2321.0,531555.42,0
2015-11-03,0.0,0.0,0
2015-12-01,10000.0,2010229.85,0
2016-02-17,400.0,86635.0,1
2016-02-22,16935.0,3746883.74,0
2016-03-04,242.0,52998.0,0
2016-04-15,5504.0,1291161.5699999998,0
2016-05-31,1776.0,400683.36,0
2016-07-26,1722.0,378840.0,0
2016-11-30,11000.0,2530000.0,0
2016-12-31,0.0,0.0,0
2017-01-03,65000.0,15221095.5,0
2017-02-16,3985.0,1006200.1527,0
2017-03-02,31186.0,7767327.2505,0
2017-03-06,695.0,173103.65,0
2017-10-20,190.0,39569.21,0
2017-10-26,346.0,69999.6752,0
2017-11-29,22836.0,4852251.1445,0
2017-11-30,21000.0,4631735.8831,0
2018-01-11,9158.0,2132577.4058,0
2018-02-01,100.0,26606.27,0
2018-02-05,195.0,50019.84,1
2018-04-05,19500.0,5752500.0,0
2018-04-24,29000.0,8320889.626,0
2018-05-03,216.0,60206.58,0
2018-06-13,2265.0,714762.45,0
2018-07-30,1534.0,518783.6134,0
2018-08-01,21448.0,7343535.277000001,0
2018-08-16,1000.0,360176.87,0
2018-08-22,14990.0,5519346.1946,0
2019-02-21,3799.0,1177907.3865,0
2019-06-14,180.0,49063.698,0
2019-10-11,11716.0,3581290.9014000003,0
2019-11-04,340.0,108227.74599999998,0
2019-11-07,865.0,276388.6925,0
2020-02-19,10584.0,3248870.5028,0
2020-05-28,3840.0,1200621.7964,0
2020-08-03,2679.0,918830.067,0
2020-08-07,311.0,107809.1,0
2020-08-24,67000.0,23381406.4043,0
2020-08-25,20000.0,7053067.303899999,0
2020-09-02,2790.0,1025814.6335,0
2020-09-10,3572.0,1269125.6233,0
2020-09-17,14909.0,5308421.396199999,0
2020-12-10,18903.0,7632749.2428,0
2021-04-05,6811.0,2772649.111,0
2021-05-05,1994.0,916157.3438,0
2021-10-29,565.0,254250.0,0
2021-12-03,15741.0,7679358.6069,0
2021-12-06,9728.0,4831682.0648,0
2022-04-01,1732.0,882003.5068,0
2022-04-18,488.0,238446.56,0
2022-05-02,12266.0,5995968.9434,0
2022-05-04,225.0,112557.6675,0
2022-05-05,276.0,135805.938,0
2022-07-28,4660.0,2330147.955,0
2022-08-03,54.0,29237.614200000004,0
2022-12-02,14380.0,8621272.7062,0
2023-02-07,1690.0,1134936.62,0
2023-03-03,49121.0,34107746.3107,0
2023-03-15,4623.0,3072721.7853,0
2023-05-02,2603.0,1797174.9049999998,0
2023-05-12,54.0,36832.7412,0
2023-11-01,3439.0,2530584.3706,0
2023-11-02,842.0,636149.0188,0
2023-11-28,2478.0,1954359.9327,0
2023-11-29,2477.0,1923071.0037,0
2023-12-04,250.0,200375.0,0
2024-02-07,3122.0,2966595.2338,0
2024-02-08,8301.0,7889243.0516,0
2024-02-29,3813.0,3694327.6376,0
2024-06-20,511.0,467667.4266,0
2024-09-16,27502.0,27524542.27,0
2024-09-30,12992.0,13481557.408299996,0
2024-11-01,704.0,778336.6976,0
2024-11-05,9577.0,10705600.5749,0
2024-11-06,253.0,301706.64,0
2024-11-13,125.0,150754.0,0
2025-03-10,334.0,340774.28620000003,0
2025-04-02,1164.0,1160644.0,0
2025-05-06,761.0,793614.85,0
2025-05-23,280.0,301056.0,0
