date,shares,amount,buy_flag
2016-02-04,14438.0,1327614.5264,0
2016-02-10,1000.0,90280.0,1
2016-03-04,2500.0,252620.0,0
2016-07-29,4303.0,460994.1802,0
2016-08-17,2804.0,299000.0536,0
2017-02-03,3269.0,401298.1226,0
2017-02-06,2513.0,308123.7047,0
2017-10-30,590.0,73950.6,0
2017-11-15,2000.0,241126.9473,0
2018-02-12,5791.0,776159.1830000001,0
2018-02-13,6285.0,839145.3349999998,0
2018-02-15,4692.0,636207.9864,0
2018-04-27,2000.0,210380.0,1
2018-05-17,1000.0,105960.0,1
2018-10-26,994.0,100215.08,1
2018-10-29,1000.0,101547.52,1
2019-03-15,6315.0,772419.225,0
2019-05-03,15005.0,1948591.987,0
2019-05-08,3925.0,498719.5275,0
2019-05-17,247.0,30134.0,0
2019-08-02,3828.0,488184.48,0
2019-08-06,500.0,62884.96200000001,1
2019-11-01,2993.0,427777.325,0
2019-11-06,3594.0,517388.646,0
2020-02-07,1953.0,283521.625,0
2020-02-10,6458.0,944577.514,0
2020-02-11,3336.0,499252.416,0
2020-10-30,28247.0,4079233.079,0
2020-11-02,24697.0,3677577.089,0
2020-11-03,1027.0,156460.91,0
2020-11-10,12657.0,2010970.04,0
2020-12-01,15000.0,2432020.7,0
2021-02-05,7876.0,1256725.3109999998,0
2021-02-11,3216.0,526585.712,0
2021-02-17,1080.0,179955.0,0
2021-04-30,3178.0,614265.55,0
2021-05-28,1059.0,201507.43,0
2021-11-02,4.0,808.7948,1
2021-11-08,6.0,1245.102,1
2022-02-10,10000.0,1887000.0,0
2022-02-11,1148.0,213948.18,0
2022-02-15,3.0,556.5657,1
2022-02-16,1.0,184.28,1
2022-02-17,1.0,183.46,1
2022-05-16,749.0,145103.77,0
2022-08-12,5259.0,1164763.3199999998,0
2022-09-26,5.0,1102.4545,0
2022-10-28,18878.0,4524867.82,0
2023-02-03,9350.0,2251470.65,0
2023-05-05,560.0,152969.6,0
2023-08-01,5895.0,1851737.4,0
2023-08-02,6333.1,1988150.13,0
2023-08-03,0.3219,98.623722,0
2023-11-03,1902.0,543097.0800000001,0
2023-12-11,797.0,249859.5,1
2024-02-02,29378.0,10371764.32,0
2024-02-06,1468.0,517490.552,0
2024-02-07,1045.0,373646.229,0
2024-02-09,1837.0,657946.1658000001,0
2024-02-12,397.0,144289.65,0
2024-05-03,650.0,246070.0,1
2024-05-10,1106.0,449909.7400000001,0
2024-05-13,1942.0,779409.85,0
2024-05-14,0.865,345.8443,0
2024-05-15,485.892,196730.22744,0
2024-08-06,450.0,164043.0,0
2024-08-09,15677.0,5868578.72,0
2024-11-06,141.0,67249.95,0
2024-11-07,1144.0,533328.224,0
2024-12-10,461.0,206048.56,1
2025-02-20,1164.0,452865.84,0
2025-05-14,7723.0,2970497.49,0
2025-05-21,400.0,154516.8,0
