date,shares,amount,buy_flag
2003-10-22,544.0,25060.74,0
2003-10-24,15436.0,726822.5832,0
2003-10-27,20000.0,951824.0,0
2003-11-03,4000.0,190840.0,0
2003-11-10,200.0,9556.0,0
2004-01-28,7000.0,345744.7,0
2004-01-29,3000.0,146010.0,0
2004-02-04,11500.0,572585.0,0
2004-02-27,200.0,10131.8,1
2004-03-01,5000.0,264000.0,0
2004-03-10,8000.0,401650.0,0
2004-03-11,5000.0,245194.0,0
2004-03-17,1000.0,55910.0,0
2004-04-23,3000.0,183627.0,0
2004-06-07,2000.0,134000.0,0
2004-07-27,3500.0,173511.45,0
2004-08-09,600.0,27750.0,1
2004-11-02,3500.0,176330.0,0
2004-12-02,400.0,20924.0,0
2004-12-17,7000.0,368325.4,0
2005-02-01,3500.0,202333.95,0
2005-03-16,300.0,15710.7,1
2005-05-03,14400.0,835587.6799999999,0
2005-05-04,27356.0,1574121.3216,0
2005-05-05,5254.0,303499.4116,0
2005-05-16,2000.0,117136.0,1
2005-08-02,6000.0,385701.0,1
2005-08-02,10000.0,634709.5,0
2005-08-04,26600.0,1680843.3000000005,0
2005-08-22,3397.0,215709.5,0
2005-08-23,2603.0,165290.5,0
2005-09-08,3000.0,200111.1,0
2005-09-09,4765.0,319043.865,0
2005-11-01,13645.0,949155.0479999998,0
2005-11-18,15288.0,1093094.02,0
2006-01-31,7000.0,539009.1,0
2006-02-06,9999.0,754924.5,0
2006-02-09,3000.0,228390.0,0
2006-02-23,11600.0,901788.28,0
2006-03-01,6000.0,479128.8,0
2006-08-01,2146.0,190602.355,0
2006-09-05,9900.0,925987.59,0
2006-09-08,6400.0,599474.93,0
2006-09-11,3228.0,302479.0944,0
2007-01-30,1800.0,149400.0,0
2007-01-31,11300.0,951680.75,0
2007-02-14,2752.0,230121.4144,0
2007-02-16,1000.0,85510.0,1
2007-02-26,5500.0,478673.0,1
2007-03-08,10523.0,907434.0682,0
2007-03-12,18591.0,1604879.0867,0
2007-03-14,17350.0,1472164.85,0
2007-03-15,33245.0,2832334.3710000003,0
2007-05-02,3445.0,311477.9525,0
2007-05-23,4900.0,437339.28,0
2007-06-12,3000.0,258634.8,0
2007-07-31,2279.0,228127.9,0
2007-08-02,2800.0,289425.08,0
2007-08-07,5000.0,541475.5,0
2007-08-17,2500.0,263650.0,0
2007-09-04,12421.0,1407499.8215,0
2007-09-05,10965.0,1234612.8262999998,0
2007-09-07,3000.0,344463.0,0
2007-09-11,732.0,84446.88,0
2007-11-06,3250.0,395823.935,0
2007-12-10,50000.0,2981160.0,0
2007-12-12,10000.0,602434.0,0
2008-01-31,7000.0,389960.6,0
2008-02-01,4000.0,229563.0,0
2008-03-14,32000.0,1605627.52,0
2008-08-13,1126.0,64170.028,0
2008-08-21,11900.0,673806.56,0
2008-08-22,37100.0,2128745.48,0
2008-09-08,6100.0,341600.0,0
2008-09-09,36900.0,2066400.0,0
2009-05-08,14000.0,610652.0,0
2009-05-11,8000.0,341844.0,0
2009-05-28,7000.0,297014.9,0
2009-06-02,4000.0,184917.2,0
2009-07-29,15000.0,746095.5,0
2009-07-30,19000.0,953844.0,0
2009-08-11,3406.0,171866.76,0
2009-08-12,21000.0,1065823.5,0
2009-08-21,18381.0,934673.85,0
2009-08-24,1619.0,82245.2,0
2009-09-11,4262.0,222801.55,0
2009-09-14,5738.0,299810.5,0
2009-12-03,8000.0,411519.2,0
2009-12-04,11500.0,605900.3,0
2010-02-04,10000.0,503224.0,0
2010-02-05,20545.0,1030592.6715,0
2010-02-08,13530.0,676500.0,0
2010-02-10,980.0,49782.53,1
2010-02-11,12140.0,619640.1680000001,0
2010-03-03,1623.0,91057.2789,0
2010-03-05,52359.0,2919286.8405,0
2010-03-17,2000.0,113531.2,0
2010-04-05,40725.0,2360302.8975,0
2010-05-03,15000.0,1005625.5,0
2010-05-05,40725.0,2670302.5,0
2010-05-12,4000.0,261480.00000000003,0
2010-05-25,1000.0,59569.9,1
2010-06-07,40725.0,2505479.1614,0
2010-06-09,10466.0,651966.9108,0
2010-06-14,8689.0,559736.065,0
2010-07-06,40725.0,2474743.95,0
2010-08-05,40725.0,2428476.5475000003,0
2010-08-10,31500.0,1859051.25,0
2010-08-13,5000.0,283152.5,0
2010-09-07,40725.0,2339895.6,0
2010-10-05,40725.0,2542551.345,0
2010-11-04,2770.0,170346.136,0
2010-11-05,40725.0,2503544.94,0
2010-11-24,2661.0,173388.3651,0
2010-12-06,40725.0,2694288.6225,0
2011-01-05,40725.0,2756052.1944,0
2011-02-01,4908.0,354461.0764,0
2011-02-16,11939.0,932871.12,0
2011-02-17,103472.0,8043178.946199999,0
2011-02-25,55598.0,4268926.0988,0
2011-03-03,2500.0,197625.5,0
2011-04-26,48805.0,3895100.1,0
2011-04-27,7000.0,561887.9,0
2011-04-28,12522.0,1012972.1988,0
2011-05-03,7000.0,563806.6,0
2011-05-25,20000.0,1545149.9999999998,0
2011-06-06,15000.0,1110703.5766,0
2011-06-07,15000.0,1101927.0,0
2011-06-21,15000.0,1124448.0,0
2011-07-14,15000.0,1191172.5,0
2011-07-15,20000.0,1567444.0000000002,0
2011-07-27,15000.0,1252522.4500000002,0
2011-08-12,12200.0,933511.06,0
2011-08-19,9984.0,739733.5296,0
2011-09-07,15000.0,1140478.5,0
2011-10-04,15000.0,965217.75,0
2011-10-05,15000.0,992062.4734,0
2011-11-17,15000.0,1120437.21,0
2011-11-28,5000.0,357136.0,0
2011-11-30,3000.0,224651.1,0
2011-12-16,6500.0,484520.4,1
2011-12-19,15000.0,1104537.6,0
2012-01-04,15000.0,1178113.5,0
2012-01-17,15320.0,1268633.88,0
2012-01-31,3056.0,258659.84,0
2012-04-24,17470.0,1489716.728,0
2012-05-02,6674.0,585643.5,0
2012-05-04,8444.0,735169.964,0
2012-05-07,24352.0,2147534.6944,0
2012-07-25,15000.0,1309240.15,0
2012-08-01,20000.0,1760156.58,0
2012-08-08,22726.0,2028138.8186,0
2012-08-27,9194.0,871683.14,0
2012-08-29,2000.0,190620.0,0
2012-08-31,5459.0,518660.6818,0
2012-09-05,4000.0,388480.0,0
2012-09-06,4401.0,433884.4282,0
2012-09-12,7726.0,759367.6798,0
2012-09-13,15000.0,1488796.5,0
2012-09-14,8000.0,794320.0,0
2012-10-10,7726.0,742312.5348,0
2012-10-15,15000.0,1451379.2712,0
2012-10-23,1566.0,152285.5134,0
2012-10-24,15000.0,1446229.6326,0
2012-10-26,1970.0,189532.124,0
2012-11-01,2937.0,282005.8752,0
