date,shares,amount,buy_flag
2003-09-04,6500.0,100230.0,1
2003-12-23,9500000.0,51347500.00000001,0
2003-12-29,1455000.0,7864275.0,0
2005-12-08,95400.0,905346.0,0
2006-05-26,1962.0,18285.84,1
2006-11-16,19200.0,228310.0,1
2007-03-02,16000.0,197524.8,1
2007-05-21,5000.0,58450.0,1
2007-05-24,5885.0,68736.8,0
2007-06-05,11502.0,137103.84,0
2007-08-15,10000.0,112300.0,1
2007-08-16,10000.0,108933.0,1
2007-08-20,2500.0,27850.0,1
2007-08-21,163720.0,1810935.4,0
2007-09-04,8957.0,98477.86,0
2007-11-05,10000.0,92100.0,1
2007-11-08,10000.0,87806.0,1
2008-03-04,10000.0,83200.0,1
2008-03-14,5000.0,40000.0,1
2008-08-05,13898.0,121051.58000000002,0
2009-05-26,20000.0,100000.0,1
2010-03-17,400000.0,3405160.0,0
2010-06-01,4938.0,40318.77,0
2010-11-09,10000.0,105000.0,1
2010-12-03,42438.0,463613.931,0
2011-03-01,53128.0,697405.9432,0
2011-03-21,8000.0,97511.2,1
2011-05-16,9000.0,101700.0,1
2011-08-02,5200.0,48620.0,1
2011-08-04,6000.0,53100.0,1
2012-04-02,324341.0,3633267.882,0
2012-08-03,46303.0,486750.67,0
2012-11-08,5000.0,49750.0,1
2012-11-21,15000.0,149404.5,0
2013-03-11,18000.0,235620.0,0
2013-05-01,286000.0,3925390.0,0
2013-05-03,11800.0,166380.0,0
2013-05-28,2000.0,29620.0,0
2013-06-12,2000.0,28680.0,0
2013-08-01,10025.0,166114.25,0
2013-08-26,194965.0,3116125.595,0
2013-11-19,7425.0,126522.0,0
2014-03-03,96020.0,1662043.8195000002,0
2014-04-28,78300.0,1338303.6,0
2014-04-29,199828.0,3409665.164,0
2014-05-29,115306.0,2203128.6808,0
2014-10-27,225000.0,4200750.0,0
2014-10-28,225000.0,4250250.0,0
2015-03-02,193000.0,4337711.0,0
2015-03-03,454903.0,10192577.61,0
2015-03-18,11042.0,237785.0532,0
2015-06-11,5000.0,100589.5,1
2015-10-30,20000.0,455596.00000000006,0
2015-11-12,40439.0,930105.0878,0
2016-02-29,13954.0,300569.16,0
2016-03-01,426764.0,9208161.4711,0
2016-04-27,250000.0,5823250.0,0
2016-04-28,260700.0,6051097.0,0
2016-04-29,12000.0,274020.0,0
2016-05-02,20000.0,466640.0,0
2016-09-06,35765.0,811507.8500000001,0
2017-02-23,614943.0,15072373.8,0
2017-02-24,668.0,16319.24,0
2017-02-27,25000.0,612500.0,0
2017-02-28,161675.0,3922235.500000001,0
2017-03-01,480866.0,11723499.55,0
2017-03-06,12000.0,290640.0,0
2017-06-22,5854.0,142018.04,0
2017-08-21,20000.0,410000.0,0
2017-11-10,43479.0,826101.0,0
2018-02-27,11274.0,272492.58,0
2018-02-28,333652.0,7873606.22,0
2018-03-01,44191.0,1013059.0,0
2018-03-02,14242.0,334687.0,0
2018-03-07,9514.0,223579.0,0
2018-03-09,14600.0,347991.0,0
2018-03-12,50000.0,1191065.0,0
2018-05-10,33573.0,810868.5252,0
2018-05-17,8392.0,201743.68,0
2018-08-21,50000.0,1123000.0,0
2018-10-31,5000.0,117503.5,0
2018-11-05,8735.0,203001.4,0
2019-03-01,350586.0,8045148.699999999,0
2019-03-14,5800.0,130268.0,0
2019-04-30,17300.0,399976.0,1
2019-07-29,431594.0,9961189.52,0
2019-07-30,44396.0,1022129.108,0
2019-10-29,100314.0,2210418.99,0
2019-11-01,10000.0,220026.0,0
2019-11-13,10690.0,237638.7,0
2019-11-26,3363.0,74894.01,1
2020-02-26,13767.0,326357.4787,0
2020-02-28,4600.0,97796.0,0
2020-03-02,257054.0,5469197.5600000005,0
2020-05-01,3100.0,50499.0,1
2020-08-07,8735.0,159675.80000000002,0
2020-11-09,170982.0,3653885.34,0
2020-11-10,375466.0,8004935.12,0
2021-02-24,628019.0,16799508.25,0
2021-02-25,2885.0,75010.0,1
2021-02-25,5714.0,150049.64,0
2021-03-01,180169.0,4838668.68,0
2021-05-03,34139.0,1090399.66,0
2021-05-04,100000.0,3249000.0,0
2021-05-27,12075.0,403908.75000000006,0
2021-07-28,200000.0,7054000.000000001,0
2021-10-28,150000.0,5431500.0,0
2021-10-29,100000.0,3654000.0,0
2022-03-01,38417.0,1365032.0699999998,0
2022-03-02,40778.0,1470036.96,0
2022-04-29,6764.0,224970.64,1
2022-05-06,6301.0,204215.41,0
2022-05-09,18376.0,596301.2000000001,0
2022-08-19,6500.0,195000.0,0
2023-03-01,156849.0,5582715.55,0
2023-03-02,6425.0,228087.5,0
2023-03-15,5950.0,197242.5,0
2024-02-27,249646.0,8038601.200000001,0
2025-03-03,51557.0,1382758.74,0
