date,shares,amount,buy_flag
2003-08-04,53785.0,987802.6,1
2003-08-05,1000.0,18330.0,1
2003-08-12,5200.0,98748.0,1
2003-11-07,50647.0,1132004.86,0
2003-11-10,6000.0,133831.0,1
2003-11-11,2500.0,54285.0,1
2004-02-06,27272.0,762354.96,0
2004-02-18,5000.0,147000.0,1
2004-02-19,2000.0,56999.0,1
2004-02-20,1000.0,27950.0,1
2004-07-19,500.0,15780.0,1
2004-08-09,500.0,15225.0,1
2004-08-19,1000.0,30980.0,1
2004-11-12,20000.0,685966.0,0
2004-11-15,20000.0,683600.0,0
2004-11-16,17832.0,600900.04,0
2005-02-09,55000.0,1899150.0,0
2005-02-17,250000.0,8371000.0,0
2005-02-18,1490.0,49527.600000000006,1
2005-02-18,50000.0,1656886.0,0
2005-05-09,7000.0,203209.0,1
2005-05-11,2500.0,72875.0,1
2005-05-13,1010.0,29461.7,1
2005-05-16,3400.0,98600.0,1
2005-05-19,3400.0,101004.0,1
2005-05-20,3145.0,93480.05,1
2005-08-05,10000.0,272400.0,1
2005-08-08,2000.0,54320.0,1
2005-08-09,133334.0,3706711.56,0
2006-02-21,10000.0,255376.0,1
2006-02-21,300000.0,7740640.0,0
2006-02-23,106237.0,2715417.72,0
2006-03-21,15000.0,406699.0,0
2006-05-09,150000.0,4167556.0,0
2006-11-14,400.0,12000.0,0
2006-11-15,49600.0,1488000.0,0
2006-11-20,275000.0,8346659.0,0
2007-01-11,75000.0,2400000.0,0
2007-02-26,80000.0,2560000.0,0
2007-04-30,80000.0,2640000.0,0
2007-05-21,710259.0,22872759.3,0
2007-05-25,3000.0,99180.0,1
2007-05-25,240000.0,7950710.0,0
2008-08-15,4974.0,223083.9,0
2009-05-15,5000.0,126400.0,1
2009-05-18,10720.0,280542.4,0
2010-02-02,5000.0,178500.0,1
2010-05-05,2000.0,78000.0,0
2010-05-11,2000.0,77000.0,0
2010-05-12,2407.0,93873.0,0
2010-06-10,1800.0,64853.81999999999,1
2010-08-25,1800.0,69705.54,0
2010-09-13,152358.0,6069836.0694,0
2010-10-13,152358.0,5670825.703199999,0
2010-11-15,152358.0,5735882.5692,0
2010-12-01,552.0,21468.66,0
2010-12-03,21200.0,869200.0,0
2010-12-13,152358.0,6280577.654999999,0
2011-01-03,1937.0,81439.22799999999,0
2011-01-05,21200.0,911627.56,0
2011-01-13,153743.0,6868781.5278,0
2011-02-01,3322.0,150012.88280000002,0
2011-02-01,5000.0,226041.5,1
2011-02-03,25884.0,1191984.084,0
2011-02-04,6287.0,289654.0353,0
2011-02-14,152358.0,6971064.111,0
2011-02-16,24875.0,1144250.0,0
2011-02-18,46074.0,2165478.0,0
2011-03-01,5722.0,258843.8252,0
2011-03-02,370.0,16650.0,0
