date,shares,amount,buy_flag
2004-02-02,12000.0,540240.0,0
2004-02-06,45000.0,2025000.0,0
2004-02-09,35700.0,1610427.0,0
2004-03-02,2000.0,88400.0,0
2004-03-08,10000.0,435500.0,0
2004-03-10,20000.0,864599.9999999999,0
2004-12-21,10785.0,512179.65,0
2004-12-22,3000.0,142500.0,0
2004-12-22,12000.0,569160.0,1
2004-12-23,3000.0,144000.0,0
2005-02-10,10000.0,510502.0,0
2005-02-22,9415.0,498524.25,0
2005-02-24,5270.0,288458.193,0
2005-03-08,2000.0,112400.0,0
2005-05-19,1969.0,105581.718,0
2005-08-04,25000.0,1484887.5,0
2006-01-26,2000.0,154320.0,0
2006-01-31,9300.0,772830.0,0
2006-03-02,1550.0,132525.0,0
2006-03-23,24000.0,2042145.6,0
2006-03-27,2500.0,214921.0,0
2006-04-27,2000.0,163340.0,0
2006-05-16,60000.0,5024376.0,0
2006-05-22,2400.0,182808.0,0
2006-09-14,10000.0,830000.0,0
2006-11-17,1000.0,80900.0,0
2006-12-04,1250.0,105121.5,0
2006-12-13,2000.0,166678.0,0
2006-12-21,1349.0,113316.0,0
2006-12-22,1000.0,82000.0,0
2007-02-02,7350.0,686291.75,0
2007-02-08,20000.0,1837734.0,0
2007-02-23,40000.0,3723284.0,0
2007-03-20,38000.0,1711482.0,0
2007-03-23,54600.0,2586991.0,0
2007-03-26,6200.0,291400.0,0
2007-04-30,5000.0,256331.0,0
2007-05-02,15000.0,776250.0,0
2007-05-08,1500.0,79740.0,0
2007-05-09,5450.0,298678.53,0
2007-06-08,72000.0,3985646.4,0
2007-06-13,4000.0,224520.0,0
2007-06-14,12000.0,705512.4,0
2007-06-19,11000.0,644303.0,0
2007-06-25,4000.0,231760.0,0
2007-06-26,6600.0,374022.0,0
2007-06-27,4400.0,251496.0,0
2007-11-09,21624.0,1816499.0588,0
2007-11-14,24900.0,2033832.0,0
2007-11-26,25000.0,1951600.0,0
2007-11-28,4200.0,337806.0,0
2007-11-29,552.0,45007.872,0
2007-12-06,33033.0,3033529.5,0
2007-12-10,45000.0,4288554.0,0
2007-12-18,10000.0,920000.0,0
2007-12-19,15000.0,1400000.0,0
2007-12-21,1000.0,96000.0,0
2007-12-26,1000.0,97441.0,0
2008-01-28,6000.0,462900.00000000006,0
2008-01-29,1250.0,97318.75,0
2008-02-11,180.0,13476.6,0
2008-02-19,3000.0,235200.00000000003,0
2008-03-04,100000.0,7864090.0,0
2008-03-12,1750.0,132632.5,0
2008-04-25,14844.0,1308024.8988,0
2008-04-28,26236.0,2306884.2552,0
2008-04-29,2000.0,173080.0,0
2008-05-01,22600.0,1975427.58,0
2008-05-06,53500.0,4821617.95,0
2008-05-12,2000.0,176140.0,0
2008-05-15,15375.0,1451707.5,0
2008-05-28,25300.0,2301010.5,0
2008-08-13,1750.0,127374.45,0
2008-08-27,5000.0,371900.0,0
2008-11-07,5800.0,203450.75,1
2008-11-10,265.0,9927.43,1
2008-11-11,1000.0,35780.0,1
2008-11-13,18700.0,579782.28,1
2008-11-14,500.0,15681.0,1
2008-11-18,775.0,22940.0,1
2008-11-19,2000.0,60000.0,1
2008-11-21,2110.0,57028.8,1
2009-03-04,2000.0,62451.8,1
2009-03-16,3000.0,122796.0,0
2009-03-17,15000.0,614100.0,0
2009-05-06,50000.0,2105960.0,0
2009-05-26,400.0,15800.0,1
2009-07-31,20000.0,817000.0,0
2009-08-17,50000.0,2119435.0,0
2009-09-03,19463.0,855982.74,0
2009-11-23,50000.0,1821410.0,0
2010-02-16,50000.0,1882740.0,0
2010-03-11,10000.0,430200.00000000006,0
2010-03-12,2350.0,101832.55,0
2010-03-24,6000.0,270000.0,0
2010-05-18,50000.0,2293275.0,0
2010-08-09,400.0,14731.0,1
2010-08-10,3600.0,129835.44,1
2011-02-03,31000.0,1599676.0,0
2011-02-04,1455.0,75590.5965,0
2011-02-07,1350.0,71367.21,0
2011-02-08,5565.0,293776.35,0
2011-02-09,40000.0,2047080.0,0
2011-02-11,12200.0,631599.2,0
2011-03-02,400.0,19960.0,0
2011-03-10,8000.0,378658.4,0
2011-05-17,50.0,2297.0,1
2011-07-29,2000.0,78240.0,1
2011-08-01,250.0,9702.475,1
2011-08-10,4000.0,135520.0,1
2011-11-22,375.0,14872.4625,1
2011-12-09,6000.0,254991.0,0
2012-01-30,340.0,15051.46,1
2012-02-06,3000.0,139167.0,0
2012-02-17,1000.0,45601.8,0
2012-05-04,4000.0,157721.6,1
2012-06-11,4000.0,142907.19999999998,0
2012-12-21,3000.0,128490.0,0
2013-01-28,1000.0,48640.0,0
2013-02-15,4000.0,196212.0,0
2013-02-19,10000.0,497580.0,0
2013-09-12,1000.0,58050.0,0
2013-09-17,5000.0,293760.0,0
2013-09-19,6000.0,358316.4,0
2013-09-25,4000.0,233440.0,0
2013-12-03,2000.0,117148.0,0
2014-02-12,10000.0,607100.0,1
2014-02-14,8000.0,482720.0,0
2014-02-19,7294.0,448799.82,0
2014-02-24,5000.0,303750.0,0
2014-03-03,10000.0,603616.0,0
2014-03-04,40000.0,2459832.0,0
2014-03-17,1800.0,115934.4,0
