date,shares,amount,buy_flag
2015-10-28,50.0,3959.000000000001,1
2015-11-10,50.0,3604.0,0
2015-11-17,4280.0,306533.60000000003,1
2016-09-19,1419057.0,124366155.48,0
2016-09-20,1389314.0,120092302.16,0
2018-02-20,464.0,32141.28,1
2018-03-08,390.0,26118.3,1
2018-04-02,669.0,40320.630000000005,1
2018-08-06,35000.0,2234750.0,0
2018-08-07,20630314.0,1234724292.9,0
2019-09-16,3496503.0,99999985.8,1
2019-09-16,25068657.0,712952605.08,0
2019-09-18,250000.0,7112500.0,1
2020-11-09,13849315.0,420742189.7,1
2020-11-09,29169550.0,884129060.5,0
2020-11-27,16.131,529.338765,0
2020-12-02,90000.0,2989630.0,1
2021-05-04,209488.0,8856943.152,0
2021-05-10,19725.0,858629.25,0
2021-08-17,47028.0,1773096.9502,0
2021-09-10,41929.0,1527989.1967000002,0
2021-11-15,6505.0,244264.051,0
2021-11-22,30596465.0,1093823623.75,0
2021-11-30,20000.0,675458.0,0
2022-05-16,519916.0,23022816.3288,0
2022-06-06,16281.0,593738.7642000001,0
2022-06-10,28855.0,1066731.8384999998,0
2022-07-29,3500.0,127960.0,0
2022-08-17,19938.0,766129.6128,0
2022-08-19,30000.0,1150803.0,0
2022-12-01,23939.0,957658.1499,0
2023-01-09,3500.0,148365.0,0
2023-02-16,250571.0,9918451.9553,0
2023-05-05,25000.0,1024997.5,0
2023-08-07,16453.0,577006.71,0
2023-08-17,33963.0,1139801.7913,0
2023-11-24,13238.0,463337.9428,0
2024-01-02,131500.0,4999025.1,0
2024-03-04,16209.0,567572.7231000001,0
2024-03-12,14289.0,494716.6158,0
2024-05-06,10140.0,364552.266,0
2024-06-03,8017.0,283589.3495,0
2024-08-02,4076.0,146736.0,0
2024-11-05,45000.0,1505362.5,0
2025-03-03,22657.0,695332.1592999999,0
2025-03-04,7346.0,232133.6,0
2025-06-17,25000.0,647705.0,0
2025-07-18,25000.0,697772.5,0
