date,shares,amount,buy_flag
2003-01-15,8881.556700000001,275861.151102,1
2003-04-15,3492.6782000000003,125876.122328,1
2003-07-15,3164.239,125889.248615,1
2003-08-06,536.5294,21689.200995,1
2003-10-15,3034.8637,125901.3205945,1
2003-10-28,1655.0,68053.59999999999,0
2003-11-03,10000.0,417500.0,0
2003-11-04,56800.0,2370962.64,0
2003-11-14,11250.0,485325.0,0
2004-01-15,3357.6886,149517.87335799998,1
2004-02-15,20000.0,1120248.0,0
2004-04-15,2943.0232,125976.108076,1
2004-06-04,3000.0,138156.0,0
2004-07-15,2645.4406,125989.108575,1
2004-08-03,235150.0,3997550.0,1
2004-08-04,11000.0,532147.0,0
2004-08-30,9000.0,449577.0,0
2004-08-31,123209.0,6182837.0753,0
2004-09-01,122000.0,6100561.2,0
2004-09-02,111650.0,5590494.14,0
2004-10-29,12100.0,663551.9,0
2004-11-01,37900.0,2078398.1,0
2004-12-01,35960.0,2086405.2,0
2004-12-06,7200.0,418276.8,0
2004-12-10,4950.0,287112.375,0
2004-12-13,4950.0,291591.135,0
2005-02-10,115850.0,6452373.86,0
2005-02-11,37400.0,2084844.3,0
2005-02-14,70000.0,3924284.0,0
2005-02-15,87200.0,4886993.2,0
2005-02-16,8610.0,482604.276,0
2005-05-19,4649.0,272223.1248,0
2005-05-20,13200.0,772255.44,0
2005-09-06,65000.0,2107612.0,0
2005-11-14,124200.0,3808866.24,0
2005-11-15,345020.0,10509533.542,0
2005-11-23,100000.0,3107660.0,0
2006-01-17,36.6192,1224.179856,1
2006-02-15,255000.0,8962804.5,0
2006-02-17,31000.0,1111929.7,0
2006-02-21,75000.0,2652000.0,0
2006-03-06,100000.0,3710290.0,0
2006-03-14,32800.0,1243218.4,0
2006-04-17,33.7456,1236.270056,1
2006-05-04,10000.0,360000.0,0
2006-05-08,50000.0,1854670.0,0
2006-05-25,13500.0,486000.0,0
2006-06-23,13500.0,513000.0,1
2006-06-26,10300.0,391400.0,1
2006-07-05,3600.0,136800.0,1
2006-07-17,1933.9845,73447.4010725,1
2006-07-18,800.0,30400.0,1
2006-07-27,12500.0,485705.0,0
2006-08-09,2100.0,79800.0,1
2006-08-10,800.0,30400.0,1
2006-08-11,1000.0,38000.0,1
2006-08-21,24822.0,1004819.382,0
2006-08-22,4600.0,186190.98,0
2006-09-12,15000.0,625459.5,0
2006-11-20,90200.0,4090328.82,0
2006-11-21,4800.0,217472.16,0
2007-02-15,23100.0,1221638.88,0
2007-02-28,120000.0,6039672.0,0
2007-03-01,20000.0,1002884.0,0
2007-03-09,7000.0,344311.1,0
2007-03-19,35000.0,1715255.5,0
2007-03-22,146250.0,7364287.574999999,0
2007-05-22,50000.0,2211220.0,0
2007-05-25,75000.0,3237900.0,0
2007-09-18,20000.0,908300.0,0
2007-09-25,69452.0,3121561.8112,0
2008-03-07,11250.0,381375.0,0
2008-03-10,23000.0,771484.4,0
2008-03-11,163500.0,5569087.95,0
2008-03-19,25000.0,902787.5,0
2008-03-24,10000.0,400870.00000000006,0
2008-03-25,13500.0,520290.0,0
2008-05-15,22500.0,917190.0,0
2008-05-19,10000.0,410105.0,0
2008-05-20,30000.0,1232343.0,0
2008-05-21,10000.0,411498.0,0
2008-06-05,50000.0,2002695.0,0
2008-08-19,100000.0,4214610.0,0
2008-09-19,20000.0,815384.0,0
2008-09-22,178128.0,7223090.399999999,0
2008-09-23,22500.0,900000.0,0
2008-11-20,40000.0,446460.0,0
2009-02-09,63108.0,825452.64,0
2009-03-05,5000.0,46893.0,1
2009-03-05,20000.0,146876.0,0
2009-03-06,10000.0,65784.0,0
2009-09-10,14300.0,185900.0,0
2009-09-11,30700.0,399655.75,0
2010-09-14,1375.0,21946.375,0
