date,shares,amount,buy_flag
2011-02-16,383182400.0,11150607840.0,0
2011-03-02,300.0,9165.0,0
2011-03-03,300.0,9168.0,1
2011-03-28,100000.0,2980000.0,1
2011-05-23,72800.0,2067908.1693,1
2011-08-03,24600.0,679620.6892,1
2011-08-16,2356.0,62875.28999999999,1
2011-11-22,19723865.0,499999977.75,1
2011-12-09,26036459.0,660024235.65,0
2012-03-06,774.0,27778.86,0
2012-03-08,333.0,12237.75,1
2012-03-09,441.0,16466.940000000002,1
2012-06-11,220175010.0,6986153067.3,0
2012-06-14,10000.0,314000.0,1
2012-08-15,196446486.0,6779368231.859999,0
2012-09-12,29466972.0,1016905203.72,0
2012-10-17,236775258.0,8026681246.2,0
2012-10-25,300000.0,10478700.0,1
2012-10-26,300000.0,10374660.0,1
2012-11-15,1500.0,48212.85,1
2013-06-24,500000.0,17887600.0,1
2013-08-08,116992.0,4422297.6,1
2013-08-09,283008.0,10649591.04,1
2013-09-09,500000.0,17868750.0,1
2013-12-04,985.0,32708.895,1
2013-12-17,500000.0,16522700.0,1
2013-12-18,328324.0,11117937.1148,1
2014-02-06,20000.0,789944.0,1
2014-02-20,100000.0,3297280.0,1
2014-02-24,200165.0,6423276.019,1
2014-03-14,10000.0,315600.0,1
2014-05-09,100000.0,3236180.0000000005,1
2014-06-02,200000.0,6698280.0,1
2014-06-04,200000.0,6829340.000000001,1
2015-01-22,17566.0,740332.0156,0
2015-03-13,100000.0,3950000.0,1
2015-04-20,500000.0,21826400.0,0
2015-04-21,500000.0,21869300.0,0
2015-04-23,17566.0,781335.6799999999,0
2015-06-05,100000.0,3999000.0,1
2015-06-12,100000.0,3899890.0,1
2015-06-15,12000.0,472536.0,1
2015-07-22,300000.0,10654770.0,1
2015-07-23,17566.0,615944.7636,0
2015-07-23,200000.0,7009059.999999999,1
2015-07-24,100000.0,3497440.0000000005,1
2015-08-21,7500.0,241245.0,1
2015-10-30,40150.0,1099025.6,1
2015-11-02,2000.0,53000.0,1
2015-11-09,26300.0,672228.0,1
2015-11-11,210000.0,5153800.0,1
2015-11-13,2500.0,57044.0,1
2015-12-10,2000.0,33854.0,1
2016-01-25,180000.0,2555604.0,1
2016-02-01,3000.0,45960.0,1
2016-10-24,700000.0,14989870.0,1
2017-05-30,501600.0,9318914.0,1
2017-05-31,1000.0,18707.0,1
2017-07-31,4903.0,99218.5789,1
2017-12-05,3000.0,51285.0,1
2018-01-22,5500.0,107342.95,1
2018-07-26,5556.0,100491.9276,1
2018-09-27,500000.0,8776500.0,1
2019-01-29,50000.0,896075.0000000001,1
2019-01-30,65260.0,1171410.474,1
2019-01-31,100000.0,1805280.0,1
2019-02-04,150000.0,2746890.0,1
2019-02-05,200000.0,3666800.0,1
2019-02-07,400000.0,7194000.0,1
2019-02-08,114932.0,2048950.23,1
2019-02-12,200000.0,3678860.000000001,1
2019-02-15,200000.0,3785680.0,1
2019-02-19,19112.0,359143.148,1
2019-02-21,300000.0,5745120.0,1
2019-02-25,300000.0,5786310.0,1
2019-02-26,300000.0,5800080.0,1
2019-02-28,300000.0,5768100.0,1
2019-03-01,76836.0,1482927.1164000002,1
2019-03-04,200000.0,3922500.0,1
2019-03-05,11900.0,234418.1,1
2019-03-08,54100.0,1061983.0,0
2019-03-08,300000.0,5897550.0,1
2019-03-12,2500.0,49737.25,1
2019-03-25,44100.0,870900.03,1
2019-03-28,175000.0,3455200.0,1
2019-04-09,175000.0,3454850.0,1
2019-04-11,200.0,3950.0,1
2019-04-15,175000.0,3456250.0,1
2019-04-16,152639.0,3014299.7081000004,1
2019-04-17,175000.0,3456040.0,1
2019-04-18,175000.0,3437035.0,1
2019-04-23,29622.0,589474.8378,1
2019-04-29,200000.0,3977900.000000001,1
2019-05-02,400000.0,7812120.0,1
2019-05-06,200000.0,3894020.0,1
2019-05-10,177542.0,3449090.6798,1
2019-05-13,300000.0,5858610.0,1
2019-05-29,300000.0,5903910.0,1
2019-08-23,405000.0,8079310.0,1
2019-08-26,300000.0,5927460.0,1
2019-08-28,71944.0,1442160.6464,0
2019-08-29,68578.0,1398908.9064,0
2019-10-29,300000.0,6051390.0,1
2019-10-31,300000.0,6003630.0,1
2019-11-04,20733.0,428136.45,0
2019-11-11,300000.0,5991330.0,1
2019-11-20,200000.0,4019860.0,1
2019-11-26,300000.0,5920590.0,1
2019-12-13,59624.0,1201053.9312,1
2020-02-12,37321.0,812369.9391,0
2020-02-13,309370.0,6773267.2530000005,0
2020-02-24,1500.0,32815.5,0
2020-02-26,300000.0,6215940.0,1
2020-02-28,305000.0,5756985.0,1
2020-03-05,300000.0,5853810.0,1
2020-03-11,500000.0,7753900.0,1
2020-04-30,6500.0,99748.35,1
2020-07-28,300000.0,4241610.0,1
2020-08-03,59593.0,832532.0879,0
2020-08-20,373233.0,5259674.0826,1
2020-08-31,7000.0,97685.0,1
2021-05-10,4500.0,81000.0,0
2021-05-25,1500.0,28058.55,0
2021-06-25,1500.0,27345.0,0
2021-08-06,66607.0,1137647.5599999998,0
2021-10-12,4500.0,81000.0,0
2021-12-08,29000.0,471912.9999999999,1
2022-03-01,65000.0,1135751.5,0
2022-03-02,1500.0,27000.0,0
2022-03-25,1500.0,27517.5,0
2022-04-08,91129.0,1777881.2255,0
2022-04-25,1500.0,27762.0,0
2022-05-25,1500.0,28809.3,0
2022-06-01,5600.0,112444.08000000002,0
2022-07-25,3000.0,54000.0,0
2022-08-25,1500.0,28759.5,0
2022-10-19,1500.0,27000.0,0
2022-10-27,1500.0,27000.0,0
2022-11-25,1500.0,28050.0,0
2022-12-27,1500.0,27267.75,0
2023-01-25,1500.0,27659.55,0
2023-02-15,13232.0,240029.8032,0
2023-07-24,7500.0,135000.0,0
2023-07-25,1500.0,27142.5,0
2023-08-04,55849.0,969577.7343,0
2023-12-06,30000.0,526536.0,0
2023-12-08,50000.0,881610.0,0
2024-01-03,7500.0,135000.0,0
2024-04-22,230000.0,4328600.0,0
2024-05-21,50000.0,987515.0,0
2024-07-24,21413.0,455077.6412,0
2024-08-01,47.0,991.23,1
2024-08-01,125169.0,2630553.2431,0
2024-08-02,9685.0,199995.25,1
2024-08-13,1729.0,36309.0,0
2024-08-14,51340.0,1078155.402,0
2024-10-21,690142.0,17080324.358,0
2024-10-22,209858.0,5183156.8272,0
2024-11-05,2241.0,55789.695,1
2024-11-06,19121.0,502530.4736,0
2024-12-04,18000.0,492078.6,0
2025-01-02,18000.0,502293.6,0
2025-02-05,18000.0,498520.8,0
2025-02-18,75461.0,2010952.6429,0
2025-02-19,160000.0,4295800.0,0
2025-03-05,18000.0,479017.8000000001,0
2025-04-02,18000.0,517460.4,0
2025-05-07,18000.0,496254.6,0
2025-06-04,18000.0,508676.4,0
2025-07-28,2759.0,75059.1468,1
