date,sentiment,num_articles
1999-11-01,,0
1999-11-02,,0
1999-11-03,,0
1999-11-04,,0
1999-11-05,,0
1999-11-06,,0
1999-11-07,,0
1999-11-08,,0
1999-11-09,,0
1999-11-10,,0
1999-11-11,,0
1999-11-12,,0
1999-11-13,,0
1999-11-14,,0
1999-11-15,,0
1999-11-16,,0
1999-11-17,,0
1999-11-18,,0
1999-11-19,,0
1999-11-20,,0
1999-11-21,,0
1999-11-22,,0
1999-11-23,,0
1999-11-24,,0
1999-11-25,,0
1999-11-26,,0
1999-11-27,,0
1999-11-28,,0
1999-11-29,,0
1999-11-30,,0
2022-11-25,,0
2022-11-26,,0
2022-11-27,,0
2022-11-28,0.301666,1
2022-11-29,0.3141835,2
2022-11-30,0.093847,1
2022-12-01,0.148936,1
2022-12-02,0.488974,1
2022-12-03,,0
2022-12-04,,0
2022-12-05,0.428512,1
2022-12-06,-0.113943,1
2022-12-07,,0
2022-12-08,,0
2022-12-09,0.148417,1
2022-12-10,,0
2022-12-11,,0
2022-12-12,0.235012,1
2022-12-13,0.232495,1
2022-12-14,,0
2022-12-15,0.394931,1
2022-12-16,0.1937735,2
2022-12-17,,0
2022-12-18,,0
2022-12-19,,0
2022-12-20,0.324617,1
2022-12-21,0.288917,1
2022-12-22,,0
2022-12-23,,0
2022-12-24,,0
2022-12-25,,0
2022-12-26,,0
2022-12-27,,0
2022-12-28,,0
2022-12-29,,0
2022-12-30,0.159219,1
2022-12-31,,0
2023-01-01,,0
2023-01-02,,0
2023-01-03,-0.232773,1
2023-01-04,,0
2023-01-05,0.111725,1
2023-01-06,0.265254,2
2023-01-07,,0
2023-01-08,,0
2023-01-09,,0
2023-01-10,0.15215,1
2023-01-11,0.159239,1
2023-01-12,0.268741,1
2023-01-13,0.2927515,2
2023-01-14,,0
2023-01-15,,0
2023-01-16,,0
2023-01-17,,0
2023-01-18,,0
2023-01-19,0.149723,1
2023-01-20,0.235395,1
2023-01-21,,0
2023-01-22,,0
2023-01-23,0.384103,3
2023-01-24,,0
2023-01-25,0.14297,1
2023-01-26,0.186183,1
2023-01-27,0.293191,2
2023-01-28,,0
2023-01-29,,0
2023-01-30,,0
2023-01-31,0.2744575,2
2023-02-01,0.204359,1
2023-02-02,0.397347,1
2023-02-03,0.3682815,2
2023-02-04,,0
2023-02-05,,0
2023-02-06,0.1583726666666667,3
2023-02-07,0.220861,1
2023-02-08,,0
2023-02-09,0.2021,1
2023-02-10,,0
2023-02-11,,0
2023-02-12,,0
2023-02-13,0.1715483333333333,3
2023-02-14,0.21534,1
2023-02-15,0.181379,1
2023-02-16,0.165279,2
2023-02-17,0.153758,1
2023-02-18,,0
2023-02-19,,0
2023-02-20,-0.06153,1
2023-02-21,0.291553,1
2023-02-22,0.1973686666666666,3
2023-02-23,0.1824305,4
2023-02-24,0.338978,1
2023-02-25,,0
2023-02-26,,0
2023-02-27,0.24801,1
2023-02-28,,0
2023-03-01,0.0913,1
2023-03-02,,0
2023-03-03,0.149817,1
2023-03-04,,0
2023-03-05,,0
2023-03-06,,0
2023-03-07,,0
2023-03-08,0.364187,2
2023-03-09,0.159835,1
2023-03-10,,0
2023-03-11,,0
2023-03-12,,0
2023-03-13,0.3603925,2
2023-03-14,-0.0568724999999999,2
2023-03-15,,0
2023-03-16,0.2573113333333333,3
2023-03-17,0.2212327499999999,4
2023-03-18,,0
2023-03-19,0.218383,1
2023-03-20,0.217923,1
2023-03-21,0.16723,1
2023-03-22,0.243762,1
2023-03-23,0.156877,1
2023-03-24,0.212342,1
2023-03-25,,0
2023-03-26,,0
2023-03-27,0.151443,4
2023-03-28,0.140452,1
2023-03-29,0.2343146666666666,3
2023-03-30,0.131275,2
2023-03-31,,0
2023-04-01,,0
2023-04-02,,0
2023-04-03,,0
2023-04-04,0.127542,2
