date,sentiment,num_articles
2019-06-11,,0
2019-06-12,,0
2019-06-13,,0
2019-06-14,,0
2019-06-15,,0
2019-06-16,,0
2019-06-17,,0
2019-06-18,,0
2019-06-19,,0
2019-06-20,,0
2019-06-21,,0
2019-06-22,,0
2019-06-23,,0
2019-06-24,,0
2019-06-25,,0
2019-06-26,,0
2019-06-27,,0
2019-06-28,,0
2019-06-29,,0
2019-06-30,,0
2019-07-01,,0
2019-07-02,,0
2019-07-03,,0
2019-07-04,,0
2019-07-05,,0
2019-07-06,,0
2019-07-07,,0
2019-07-08,,0
2019-07-09,,0
2019-07-10,,0
2022-07-10,,0
2022-07-11,,0
2022-07-12,0.106761,1
2022-07-13,,0
2022-07-14,,0
2022-07-15,,0
2022-07-16,0.204915,1
2022-07-17,,0
2022-07-18,,0
2022-07-19,,0
2022-07-20,,0
2022-07-21,0.556802,1
2022-07-22,,0
2022-07-23,,0
2022-07-24,,0
2022-07-25,0.238912,2
2022-07-26,0.3388633333333333,3
2022-07-27,,0
2022-07-28,0.253602,1
2022-07-29,0.502234,1
2022-07-30,,0
2022-07-31,,0
2022-08-01,0.200647,2
2022-08-02,0.233102,4
2022-08-03,0.1856615,2
2022-08-04,,0
2022-08-05,,0
2022-08-06,,0
2022-08-07,,0
2022-08-08,,0
2022-08-09,0.141689,1
2022-08-10,0.193939,1
2022-08-11,0.180949,1
2022-08-12,0.221902,2
2022-08-13,,0
2022-08-14,,0
2022-08-15,-0.042533,1
2022-08-16,,0
2022-08-17,0.17837,3
2022-08-18,0.220961,2
2022-08-19,0.1954575,2
2022-08-20,,0
2022-08-21,,0
2022-08-22,0.3397296666666666,3
2022-08-23,0.176045,1
2022-08-24,0.298975,1
2022-08-25,0.251539,1
2022-08-26,,0
2022-08-27,,0
2022-08-28,,0
2022-08-29,0.515752,1
2022-08-30,0.3859135,2
2022-08-31,0.12985,1
2022-09-01,0.2762,1
2022-09-02,,0
2022-09-03,,0
2022-09-04,,0
2022-09-05,0.1279345,2
2022-09-06,0.415101,1
2022-09-07,,0
2022-09-08,,0
2022-09-09,,0
2022-09-10,,0
2022-09-11,,0
2022-09-12,0.291668,1
2022-09-13,0.184234,1
2022-09-14,0.465021,1
2022-09-15,0.1838305,2
2022-09-16,0.164745,1
2022-09-17,,0
2022-09-18,,0
2022-09-19,0.2639255,2
2022-09-20,0.269205,1
2022-09-21,,0
2022-09-22,,0
2022-09-23,,0
2022-09-24,,0
2022-09-25,,0
2022-09-26,0.202851,2
2022-09-27,,0
2022-09-28,,0
2022-09-29,,0
2022-09-30,,0
2022-10-01,,0
2022-10-02,,0
2022-10-03,0.2321213333333333,3
2022-10-04,0.329372,1
2022-10-05,,0
2022-10-06,,0
2022-10-07,-0.019265,1
2022-10-08,,0
2022-10-09,,0
2022-10-10,0.2238315,2
2022-10-11,,0
2022-10-12,,0
2022-10-13,,0
2022-10-14,0.359289,1
2022-10-15,,0
2022-10-16,,0
2022-10-17,0.2637,1
2022-10-18,0.045305,1
2022-10-19,,0
2022-10-20,,0
2022-10-21,0.177026,1
2022-10-22,,0
2022-10-23,,0
2022-10-24,0.212463,3
2022-10-25,,0
2022-10-26,,0
2022-10-27,0.116621,1
2022-10-28,0.244842,1
2022-10-29,,0
2022-10-30,,0
2022-10-31,,0
2022-11-01,,0
2022-11-02,0.178142,1
2022-11-03,,0
2022-11-04,0.281046,1
2022-11-05,,0
2022-11-06,,0
2022-11-07,,0
2022-11-08,0.3514885,2
2022-11-09,0.129492,1
2022-11-10,,0
2022-11-11,0.235446,1
2022-11-12,,0
2022-11-13,,0
2022-11-14,,0
2022-11-15,0.261104,1
2022-11-16,0.246283,1
2022-11-17,,0
2022-11-18,,0
2022-11-19,,0
2022-11-20,,0
2022-11-21,0.232093,1
2022-11-22,,0
2022-11-23,0.172371,1
2022-11-24,0.187352,1
2022-11-25,,0
2022-11-26,,0
2022-11-27,0.114979,1
2022-11-28,,0
2022-11-29,,0
2022-11-30,0.185445,1
2022-12-01,,0
2022-12-02,0.187957,1
2022-12-03,,0
2022-12-04,,0
2022-12-05,,0
2022-12-06,0.1369015,2
2022-12-07,0.137453,1
2022-12-08,0.165352,1
2022-12-09,0.190559,1
2022-12-10,,0
2022-12-11,,0
2022-12-12,0.527393,1
2022-12-13,,0
2022-12-14,0.106724,1
2022-12-15,0.130152,2
2022-12-16,,0
2022-12-17,,0
2022-12-18,,0
2022-12-19,0.294244,1
2022-12-20,0.2676079999999999,2
2022-12-21,0.2671883333333333,3
2022-12-22,0.1678145,2
2022-12-23,0.2113676666666667,3
2022-12-24,,0
2022-12-25,,0
2022-12-26,,0
2022-12-27,0.199564,1
2022-12-28,,0
2022-12-29,,0
2022-12-30,,0
2022-12-31,,0
2023-01-01,,0
2023-01-02,0.180508,2
2023-01-03,,0
2023-01-04,,0
2023-01-05,,0
2023-01-06,0.135486,1
2023-01-07,,0
2023-01-08,,0
2023-01-09,,0
2023-01-10,,0
2023-01-11,,0
2023-01-12,,0
2023-01-13,0.142358,1
2023-01-14,,0
2023-01-15,,0
2023-01-16,,0
2023-01-17,0.226193,1
2023-01-18,0.2238,2
2023-01-19,,0
2023-01-20,,0
2023-01-21,,0
2023-01-22,,0
2023-01-23,0.18958,1
2023-01-24,,0
2023-01-25,0.1627615,2
2023-01-26,0.211683,1
2023-01-27,,0
2023-01-28,0.199997,1
2023-01-29,,0
2023-01-30,,0
2023-01-31,,0
2023-02-01,0.270561,1
2023-02-02,,0
2023-02-03,0.225107,1
2023-02-04,,0
2023-02-05,,0
2023-02-06,0.174312,2
2023-02-07,0.0873003333333333,3
2023-02-08,0.1966659999999999,4
2023-02-09,0.131939,2
2023-02-10,,0
2023-02-11,,0
2023-02-12,,0
2023-02-13,,0
2023-02-14,,0
2023-02-15,,0
2023-02-16,,0
2023-02-17,,0
2023-02-18,,0
2023-02-19,,0
2023-02-20,0.264277,1
2023-02-21,0.274166,1
2023-02-22,,0
2023-02-23,0.2137665,2
2023-02-24,,0
2023-02-25,,0
2023-02-26,,0
2023-02-27,,0
2023-02-28,,0
2023-03-01,0.258127,1
2023-03-02,0.204687,1
2023-03-03,,0
2023-03-04,,0
2023-03-05,,0
2023-03-06,0.264226,1
2023-03-07,,0
2023-03-08,0.071508,1
2023-03-09,,0
2023-03-10,,0
2023-03-11,,0
2023-03-12,,0
2023-03-13,,0
2023-03-14,,0
2023-03-15,,0
2023-03-16,,0
2023-03-17,,0
2023-03-18,,0
2023-03-19,,0
2023-03-20,0.226797,1
2023-03-21,0.297567,1
2023-03-22,0.42528,1
2023-03-23,0.294674,1
2023-03-24,,0
2023-03-25,,0
2023-03-26,,0
2023-03-27,,0
2023-03-28,,0
2023-03-29,,0
2023-03-30,,0
2023-03-31,,0
2023-04-01,,0
2023-04-02,,0
2023-04-03,,0
2023-04-04,,0
2023-04-05,-0.101362,1
2023-04-06,,0
2023-04-07,,0
2023-04-08,,0
2023-04-09,,0
2023-04-10,,0
2023-04-11,,0
2023-04-12,,0
2023-04-13,,0
2023-04-14,,0
2023-04-15,,0
2023-04-16,,0
2023-04-17,,0
2023-04-18,,0
2023-04-19,,0
2023-04-20,,0
2023-04-21,,0
2023-04-22,,0
2023-04-23,,0
2023-04-24,0.177796,1
2023-04-25,0.255043,1
2023-04-26,,0
2023-04-27,,0
2023-04-28,0.164411,1
2023-04-29,,0
2023-04-30,,0
2023-05-01,,0
2023-05-02,0.0240226666666666,3
2023-05-03,0.052658,1
2023-05-04,,0
2023-05-05,,0
2023-05-06,,0
2023-05-07,,0
2023-05-08,,0
2023-05-09,0.113644,1
2023-05-10,,0
2023-05-11,,0
2023-05-12,,0
2023-05-13,,0
2023-05-14,,0
2023-05-15,,0
2023-05-16,0.250267,1
2023-05-17,,0
2023-05-18,,0
2023-05-19,,0
2023-05-20,,0
2023-05-21,,0
2023-05-22,,0
2023-05-23,,0
2023-05-24,0.043615,1
2023-05-25,,0
2023-05-26,,0
2023-05-27,,0
2023-05-28,,0
2023-05-29,,0
2023-05-30,,0
2023-05-31,,0
2023-06-01,-0.019141,1
2023-06-02,,0
2023-06-03,,0
2023-06-04,0.089759,1
2023-06-05,,0
2023-06-06,,0
2023-06-07,0.357703,1
2023-06-08,,0
2023-06-09,,0
2023-06-10,,0
2023-06-11,,0
2023-06-12,,0
2023-06-13,,0
2023-06-14,0.180021,1
2023-06-15,,0
2023-06-16,0.059819,1
2023-06-17,,0
2023-06-18,,0
2023-06-19,,0
2023-06-20,,0
2023-06-21,,0
2023-06-22,0.25666,1
2023-06-23,,0
2023-06-24,,0
2023-06-25,,0
2023-06-26,,0
2023-06-27,,0
2023-06-28,,0
2023-06-29,,0
2023-06-30,,0
2023-07-01,,0
2023-07-02,,0
2023-07-03,,0
2023-07-04,,0
2023-07-05,0.110927,1
2023-07-06,0.139575,1
2023-07-07,,0
2023-07-08,,0
2023-07-09,,0
2023-07-10,0.266014,1
2023-07-11,,0
2023-07-12,,0
2023-07-13,0.315335,1
2023-07-14,0.161243,1
2023-07-15,0.161155,1
2023-07-16,,0
2023-07-17,,0
2023-07-18,,0
2023-07-19,,0
2023-07-20,,0
2023-07-21,,0
2023-07-22,0.268303,1
2023-07-23,,0
2023-07-24,0.224761,2
2023-07-25,,0
2023-07-26,0.23835,1
2023-07-27,,0
2023-07-28,,0
2023-07-29,,0
2023-07-30,,0
2023-07-31,,0
2023-08-01,0.2441415,2
2023-08-02,,0
2023-08-03,,0
2023-08-04,,0
2023-08-05,,0
2023-08-06,,0
2023-08-07,0.399084,1
2023-08-08,,0
2023-08-09,0.0886063333333333,3
2023-08-10,0.389546,1
2023-08-11,0.3574998333333334,6
2023-08-12,,0
2023-08-13,,0
2023-08-14,0.159841,1
2023-08-15,0.130657,1
2023-08-16,0.240027,2
2023-08-17,0.052904,1
2023-08-18,0.2701719999999999,2
2023-08-19,,0
2023-08-20,,0
2023-08-21,0.30509,1
2023-08-22,0.235714,2
2023-08-23,,0
2023-08-24,,0
2023-08-25,0.285646,1
2023-08-26,,0
2023-08-27,,0
2023-08-28,,0
2023-08-29,,0
2023-08-30,0.264545,2
2023-08-31,,0
2023-09-01,,0
2023-09-02,,0
2023-09-03,,0
2023-09-04,,0
2023-09-05,0.1832335,2
2023-09-06,,0
2023-09-07,0.274254,1
2023-09-08,0.409178,1
2023-09-09,,0
2023-09-10,,0
2023-09-11,,0
2023-09-12,,0
2023-09-13,,0
2023-09-14,0.27604,1
2023-09-15,0.1309915,2
2023-09-16,,0
2023-09-17,,0
2023-09-18,,0
2023-09-19,,0
2023-09-20,,0
2023-09-21,,0
2023-09-22,,0
2023-09-23,,0
2023-09-24,,0
2023-09-25,,0
2023-09-26,0.259197,2
2023-09-27,0.262262,1
2023-09-28,0.399557,1
2023-09-29,,0
2023-09-30,,0
2023-10-01,,0
2023-10-02,0.309294,1
2023-10-03,0.017163,1
2023-10-04,0.3390275,2
2023-10-05,,0
2023-10-06,,0
2023-10-07,,0
2023-10-08,,0
2023-10-09,,0
2023-10-10,0.376415,1
2023-10-11,,0
2023-10-12,,0
2023-10-13,,0
2023-10-14,,0
2023-10-15,,0
2023-10-16,,0
2023-10-17,,0
2023-10-18,,0
2023-10-19,,0
2023-10-20,,0
2023-10-21,,0
2023-10-22,,0
2023-10-23,0.226867,1
2023-10-24,,0
2023-10-25,0.2298974999999999,2
2023-10-26,0.344375,2
2023-10-27,0.18561,2
2023-10-28,,0
2023-10-29,,0
2023-10-30,0.3044125,2
2023-10-31,0.371852,1
2023-11-01,0.15922,2
2023-11-02,0.3017575,4
2023-11-03,,0
2023-11-04,,0
2023-11-05,,0
2023-11-06,,0
2023-11-07,0.104685,1
2023-11-08,0.280675,1
2023-11-09,0.139265,1
2023-11-10,0.188441,2
2023-11-11,0.2659045,2
2023-11-12,,0
2023-11-13,,0
2023-11-14,,0
2023-11-15,0.316025,1
2023-11-16,0.221426,1
2023-11-17,,0
2023-11-18,,0
2023-11-19,,0
2023-11-20,,0
2023-11-21,,0
2023-11-22,,0
2023-11-23,,0
2023-11-24,,0
2023-11-25,,0
2023-11-26,,0
2023-11-27,,0
2023-11-28,,0
2023-11-29,0.266928,1
2023-11-30,0.030963,1
2023-12-01,0.221116,1
2023-12-02,,0
2023-12-03,,0
2023-12-04,,0
2023-12-05,,0
2023-12-06,,0
2023-12-07,,0
2023-12-08,,0
2023-12-09,,0
2023-12-10,,0
2023-12-11,,0
2023-12-12,0.321741,1
2023-12-13,,0
2023-12-14,,0
2023-12-15,,0
2023-12-16,,0
2023-12-17,,0
2023-12-18,0.322051,1
2023-12-19,,0
2023-12-20,0.350165,2
2023-12-21,0.317171,2
2023-12-22,,0
2023-12-23,,0
2023-12-24,,0
2023-12-25,,0
2023-12-26,,0
2023-12-27,0.344579,1
2023-12-28,,0
2023-12-29,,0
2023-12-30,,0
2023-12-31,,0
2024-01-01,,0
2024-01-02,,0
2024-01-03,0.2368655,2
2024-01-04,,0
2024-01-05,0.48827,1
2024-01-06,,0
2024-01-07,,0
2024-01-08,0.195624,1
2024-01-09,,0
2024-01-10,,0
2024-01-11,0.143617,1
2024-01-12,,0
2024-01-13,,0
2024-01-14,,0
2024-01-15,0.389803,1
2024-01-16,,0
2024-01-17,-0.189053,1
2024-01-18,,0
2024-01-19,,0
2024-01-20,,0
2024-01-21,,0
2024-01-22,,0
2024-01-23,,0
2024-01-24,,0
2024-01-25,,0
2024-01-26,,0
2024-01-27,,0
2024-01-28,,0
2024-01-29,0.348398,1
2024-01-30,,0
2024-01-31,,0
2024-02-01,,0
2024-02-02,0.1420104999999999,2
2024-02-03,,0
