date,sentiment,num_articles
2001-06-07,,0
2001-06-08,,0
2001-06-09,,0
2001-06-10,,0
2001-06-11,,0
2001-06-12,,0
2001-06-13,,0
2001-06-14,,0
2001-06-15,,0
2001-06-16,,0
2001-06-17,,0
2001-06-18,,0
2001-06-19,,0
2001-06-20,,0
2001-06-21,,0
2001-06-22,,0
2001-06-23,,0
2001-06-24,,0
2001-06-25,,0
2001-06-26,,0
2001-06-27,,0
2001-06-28,,0
2001-06-29,,0
2001-06-30,,0
2001-07-01,,0
2001-07-02,,0
2001-07-03,,0
2001-07-04,,0
2001-07-05,,0
2001-07-06,,0
2022-07-23,,0
2022-07-24,,0
2022-07-25,,0
2022-07-26,,0
2022-07-27,,0
2022-07-28,,0
2022-07-29,,0
2022-07-30,0.20639,1
2022-07-31,,0
2022-08-01,,0
2022-08-02,-0.01702,1
2022-08-03,,0
2022-08-04,0.1465885,2
2022-08-05,0.1823035,2
2022-08-06,,0
2022-08-07,,0
2022-08-08,,0
2022-08-09,0.246249,3
2022-08-10,0.2852994,5
2022-08-11,0.288629,1
2022-08-12,0.267058,2
2022-08-13,,0
2022-08-14,,0
2022-08-15,,0
2022-08-16,,0
2022-08-17,,0
2022-08-18,,0
2022-08-19,0.409784,1
2022-08-20,,0
2022-08-21,,0
2022-08-22,0.27094,1
2022-08-23,0.033929,1
2022-08-24,,0
2022-08-25,,0
2022-08-26,,0
2022-08-27,,0
2022-08-28,,0
2022-08-29,,0
2022-08-30,,0
2022-08-31,,0
2022-09-01,,0
2022-09-02,0.235141,1
2022-09-03,,0
2022-09-04,,0
2022-09-05,,0
2022-09-06,,0
2022-09-07,0.070603,1
2022-09-08,-0.024244,1
2022-09-09,,0
2022-09-10,,0
2022-09-11,,0
2022-09-12,,0
2022-09-13,,0
2022-09-14,,0
2022-09-15,,0
2022-09-16,,0
2022-09-17,0.16293,1
2022-09-18,0.405166,1
2022-09-19,,0
2022-09-20,,0
2022-09-21,0.224308,1
2022-09-22,,0
2022-09-23,,0
2022-09-24,0.185527,1
2022-09-25,,0
2022-09-26,0.242141,1
2022-09-27,,0
2022-09-28,,0
2022-09-29,,0
2022-09-30,,0
2022-10-01,0.263991,1
2022-10-02,,0
2022-10-03,,0
2022-10-04,,0
2022-10-05,,0
2022-10-06,,0
2022-10-07,0.287406,1
2022-10-08,,0
2022-10-09,,0
2022-10-10,0.325987,1
2022-10-11,,0
2022-10-12,,0
2022-10-13,0.323259,1
2022-10-14,,0
2022-10-15,,0
2022-10-16,,0
2022-10-17,,0
2022-10-18,,0
2022-10-19,,0
2022-10-20,,0
2022-10-21,,0
2022-10-22,,0
2022-10-23,,0
2022-10-24,,0
2022-10-25,0.295181,1
2022-10-26,,0
2022-10-27,,0
2022-10-28,,0
2022-10-29,,0
2022-10-30,,0
2022-10-31,0.23578,1
2022-11-01,,0
2022-11-02,,0
2022-11-03,,0
2022-11-04,0.060198,1
2022-11-05,,0
2022-11-06,,0
2022-11-07,0.281854,1
2022-11-08,0.2271973333333333,3
2022-11-09,0.2496365,4
2022-11-10,0.1789133999999999,5
2022-11-11,,0
2022-11-12,,0
2022-11-13,,0
2022-11-14,0.334813,1
2022-11-15,,0
2022-11-16,0.245413,1
2022-11-17,,0
2022-11-18,,0
2022-11-19,,0
2022-11-20,,0
2022-11-21,0.20819,1
2022-11-22,,0
2022-11-23,,0
2022-11-24,,0
2022-11-25,,0
2022-11-26,,0
2022-11-27,,0
2022-11-28,0.322605,1
2022-11-29,,0
2022-11-30,,0
2022-12-01,,0
2022-12-02,0.248147,1
2022-12-03,,0
2022-12-04,0.248303,1
2022-12-05,0.233095,2
2022-12-06,0.089874,2
2022-12-07,0.221085,1
2022-12-08,,0
2022-12-09,,0
2022-12-10,,0
2022-12-11,,0
2022-12-12,,0
2022-12-13,,0
2022-12-14,,0
2022-12-15,,0
2022-12-16,,0
2022-12-17,,0
2022-12-18,,0
2022-12-19,0.197039,2
2022-12-20,,0
2022-12-21,,0
2022-12-22,,0
2022-12-23,,0
2022-12-24,,0
2022-12-25,,0
2022-12-26,,0
2022-12-27,,0
2022-12-28,,0
2022-12-29,0.173268,1
2022-12-30,,0
2022-12-31,,0
2023-01-01,,0
2023-01-02,,0
2023-01-03,0.297873,1
2023-01-04,0.206643,1
2023-01-05,0.358197,1
2023-01-06,,0
2023-01-07,0.201194,1
2023-01-08,,0
2023-01-09,0.196092,3
2023-01-10,0.0698645,2
2023-01-11,,0
2023-01-12,,0
2023-01-13,,0
2023-01-14,0.093836,1
2023-01-15,,0
2023-01-16,,0
2023-01-17,,0
2023-01-18,0.118476,1
2023-01-19,0.0642062499999999,4
2023-01-20,0.1987035,2
2023-01-21,,0
2023-01-22,,0
2023-01-23,0.3148975,2
2023-01-24,0.1661045,2
2023-01-25,0.117078,1
2023-01-26,0.2309833333333333,3
2023-01-27,0.204791,1
2023-01-28,,0
2023-01-29,,0
2023-01-30,0.176955,2
2023-01-31,0.1811555,2
2023-02-01,0.251368,1
2023-02-02,0.2845965,2
2023-02-03,,0
2023-02-04,,0
2023-02-05,,0
2023-02-06,0.2261715,4
2023-02-07,0.188683,1
2023-02-08,0.2072513333333333,3
2023-02-09,0.321355,1
2023-02-10,,0
2023-02-11,,0
2023-02-12,,0
2023-02-13,0.148514,1
2023-02-14,0.132422,2
2023-02-15,,0
2023-02-16,,0
2023-02-17,,0
2023-02-18,,0
2023-02-19,,0
2023-02-20,0.141371,1
2023-02-21,0.205892,1
2023-02-22,,0
2023-02-23,0.173701,1
2023-02-24,0.527381,1
2023-02-25,,0
2023-02-26,,0
2023-02-27,,0
2023-02-28,0.106568,2
2023-03-01,0.1593875,4
2023-03-02,0.2459393333333333,3
2023-03-03,0.162449,1
2023-03-04,,0
2023-03-05,,0
2023-03-06,0.2331215,2
2023-03-07,,0
2023-03-08,0.152837,1
2023-03-09,0.1531835,2
2023-03-10,,0
2023-03-11,0.128657,1
2023-03-12,,0
2023-03-13,0.182669,1
2023-03-14,,0
2023-03-15,0.1775035,2
2023-03-16,,0
2023-03-17,,0
2023-03-18,,0
2023-03-19,,0
2023-03-20,0.184147,1
2023-03-21,0.033859,1
2023-03-22,,0
2023-03-23,0.201377,1
2023-03-24,,0
2023-03-25,,0
2023-03-26,,0
2023-03-27,,0
2023-03-28,0.253379,1
2023-03-29,0.2366075,2
2023-03-30,,0
2023-03-31,0.143542,1
2023-04-01,,0
2023-04-02,,0
2023-04-03,0.1914706666666666,3
2023-04-04,0.172348,2
2023-04-05,0.083732,1
2023-04-06,0.12144,1
2023-04-07,0.2691825,2
2023-04-08,,0
2023-04-09,,0
2023-04-10,0.2747006666666666,3
2023-04-11,0.403663,1
2023-04-12,,0
2023-04-13,0.218467,1
2023-04-14,-0.043914,1
2023-04-15,,0
2023-04-16,,0
2023-04-17,0.2192195,2
2023-04-18,,0
2023-04-19,0.200868,1
2023-04-20,,0
2023-04-21,,0
2023-04-22,,0
2023-04-23,,0
2023-04-24,,0
2023-04-25,0.157806,1
2023-04-26,,0
2023-04-27,,0
2023-04-28,,0
2023-04-29,0.1444005,2
2023-04-30,,0
2023-05-01,-0.03133,1
2023-05-02,0.113676,2
2023-05-03,0.2230984999999999,2
2023-05-04,,0
2023-05-05,0.151007,2
2023-05-06,0.315005,1
2023-05-07,,0
2023-05-08,,0
2023-05-09,0.0863965,2
2023-05-10,0.1967301666666666,6
2023-05-11,0.2429531999999999,5
2023-05-12,0.0223,1
2023-05-13,,0
2023-05-14,,0
2023-05-15,0.185898,2
2023-05-16,0.308401,1
2023-05-17,0.373327,2
2023-05-18,0.20384,1
2023-05-19,,0
2023-05-20,,0
2023-05-21,,0
2023-05-22,0.2826083333333333,6
2023-05-23,,0
2023-05-24,0.2584423333333333,3
2023-05-25,0.2291076666666666,3
2023-05-26,0.3327866666666666,3
2023-05-27,,0
2023-05-28,,0
2023-05-29,0.414079,1
2023-05-30,0.409176,1
2023-05-31,,0
2023-06-01,0.249314,1
2023-06-02,0.3283439999999999,2
2023-06-03,,0
2023-06-04,,0
2023-06-05,0.279174,2
2023-06-06,0.176533,1
2023-06-07,0.2744593333333333,3
2023-06-08,0.33033,3
2023-06-09,0.2541299999999999,3
2023-06-10,,0
2023-06-11,,0
2023-06-12,0.34492,1
2023-06-13,0.3502619999999999,2
2023-06-14,0.28124825,4
2023-06-15,0.189167,1
2023-06-16,,0
2023-06-17,,0
2023-06-18,,0
2023-06-19,,0
2023-06-20,0.391479,1
2023-06-21,0.358827,2
2023-06-22,,0
2023-06-23,0.2011305,2
2023-06-24,,0
2023-06-25,0.110738,1
2023-06-26,0.2483855,2
2023-06-27,0.253422,3
2023-06-28,0.3940775,2
2023-06-29,,0
2023-06-30,0.2839424,5
2023-07-01,,0
2023-07-02,,0
2023-07-03,,0
2023-07-04,0.2519713333333333,3
2023-07-05,0.245028,5
2023-07-06,0.305168,1
2023-07-07,0.27972975,4
2023-07-08,,0
2023-07-09,,0
2023-07-10,0.2630393333333333,3
2023-07-11,,0
2023-07-12,,0
2023-07-13,0.189799,2
2023-07-14,0.231636,2
2023-07-15,0.200944,1
2023-07-16,,0
2023-07-17,0.295801,2
2023-07-18,0.1674525,2
2023-07-19,0.169619,1
2023-07-20,0.224316,1
2023-07-21,0.197352,1
2023-07-22,,0
2023-07-23,,0
2023-07-24,,0
2023-07-25,0.243689,2
2023-07-26,,0
2023-07-27,,0
2023-07-28,0.202254,1
2023-07-29,0.236084,1
2023-07-30,,0
2023-07-31,,0
2023-08-01,,0
2023-08-02,0.235382,1
2023-08-03,0.143403,2
2023-08-04,0.222659,1
2023-08-05,,0
2023-08-06,,0
2023-08-07,,0
2023-08-08,0.1846025,2
2023-08-09,0.2014646,5
2023-08-10,0.1959464,5
2023-08-11,0.1439285,2
2023-08-12,,0
2023-08-13,,0
2023-08-14,,0
2023-08-15,,0
2023-08-16,,0
2023-08-17,0.322286,1
2023-08-18,,0
2023-08-19,,0
2023-08-20,,0
2023-08-21,,0
2023-08-22,0.102316,1
2023-08-23,0.2871535,2
2023-08-24,,0
2023-08-25,0.233851,1
2023-08-26,,0
2023-08-27,,0
2023-08-28,0.294498,1
2023-08-29,,0
2023-08-30,,0
2023-08-31,,0
2023-09-01,,0
2023-09-02,,0
2023-09-03,,0
2023-09-04,,0
2023-09-05,0.4011495,2
2023-09-06,0.128531,2
2023-09-07,,0
2023-09-08,0.209266,1
2023-09-09,,0
2023-09-10,,0
2023-09-11,,0
2023-09-12,,0
2023-09-13,,0
2023-09-14,,0
2023-09-15,0.200692,1
2023-09-16,,0
2023-09-17,,0
2023-09-18,,0
2023-09-19,,0
2023-09-20,0.198664,2
2023-09-21,,0
2023-09-22,0.159482,2
2023-09-23,,0
2023-09-24,,0
2023-09-25,,0
2023-09-26,0.092674,1
2023-09-27,,0
2023-09-28,,0
2023-09-29,0.185101,1
2023-09-30,,0
2023-10-01,,0
2023-10-02,0.161151,2
2023-10-03,0.277172,1
2023-10-04,,0
2023-10-05,,0
2023-10-06,0.168832,1
2023-10-07,,0
2023-10-08,,0
2023-10-09,0.2190114999999999,2
2023-10-10,0.33912125,4
2023-10-11,0.2712912,5
2023-10-12,0.297307,4
2023-10-13,0.144197,4
2023-10-14,,0
2023-10-15,,0
2023-10-16,0.134156,1
2023-10-17,,0
2023-10-18,0.226929,1
2023-10-19,,0
2023-10-20,0.2030923333333333,3
2023-10-21,,0
2023-10-22,,0
2023-10-23,,0
2023-10-24,0.10157075,4
2023-10-25,0.2527453333333333,3
2023-10-26,0.220543,4
2023-10-27,0.198181,4
2023-10-28,,0
2023-10-29,,0
2023-10-30,0.17972,3
2023-10-31,0.164297,3
2023-11-01,0.176399,3
2023-11-02,0.1754733333333333,3
2023-11-03,0.1482612,5
2023-11-04,,0
2023-11-05,0.09656,2
2023-11-06,0.304071,1
2023-11-07,0.224238,4
2023-11-08,0.1089373333333333,3
2023-11-09,0.2284985,2
2023-11-10,0.15729,3
2023-11-11,,0
2023-11-12,,0
2023-11-13,,0
2023-11-14,,0
2023-11-15,,0
2023-11-16,0.228822,1
2023-11-17,0.221157,1
2023-11-18,,0
2023-11-19,,0
2023-11-20,,0
