date,sentiment,num_articles
1999-11-01,,0
1999-11-02,,0
1999-11-03,,0
1999-11-04,,0
1999-11-05,,0
1999-11-06,,0
1999-11-07,,0
1999-11-08,,0
1999-11-09,,0
1999-11-10,,0
1999-11-11,,0
1999-11-12,,0
1999-11-13,,0
1999-11-14,,0
1999-11-15,,0
1999-11-16,,0
1999-11-17,,0
1999-11-18,,0
1999-11-19,,0
1999-11-20,,0
1999-11-21,,0
1999-11-22,,0
1999-11-23,,0
1999-11-24,,0
1999-11-25,,0
1999-11-26,,0
1999-11-27,,0
1999-11-28,,0
1999-11-29,,0
1999-11-30,,0
2022-12-18,,0
2022-12-19,,0
2022-12-20,,0
2022-12-21,,0
2022-12-22,0.27389,1
2022-12-23,0.104774,2
2022-12-24,0.204169,1
2022-12-25,0.299323,1
2022-12-26,,0
2022-12-27,,0
2022-12-28,,0
2022-12-29,,0
2022-12-30,,0
2022-12-31,,0
2023-01-01,,0
2023-01-02,,0
2023-01-03,0.180151,1
2023-01-04,,0
2023-01-05,0.153927,1
2023-01-06,,0
2023-01-07,,0
2023-01-08,,0
2023-01-09,,0
2023-01-10,0.057303,1
2023-01-11,,0
2023-01-12,0.1955666666666666,3
2023-01-13,0.488133,1
2023-01-14,,0
2023-01-15,,0
2023-01-16,,0
2023-01-17,0.29138,1
2023-01-18,,0
2023-01-19,0.3370095,2
2023-01-20,0.233043,1
2023-01-21,,0
2023-01-22,0.175338,1
2023-01-23,,0
2023-01-24,0.258415,1
2023-01-25,0.3845675,2
2023-01-26,,0
2023-01-27,,0
2023-01-28,,0
2023-01-29,,0
2023-01-30,,0
2023-01-31,,0
2023-02-01,0.070152,1
2023-02-02,0.284469,1
2023-02-03,,0
2023-02-04,,0
2023-02-05,,0
2023-02-06,,0
2023-02-07,,0
2023-02-08,0.210297,2
2023-02-09,,0
2023-02-10,0.263359,2
2023-02-11,,0
2023-02-12,,0
2023-02-13,,0
2023-02-14,,0
2023-02-15,0.2715579999999999,2
2023-02-16,,0
2023-02-17,,0
2023-02-18,,0
2023-02-19,,0
2023-02-20,,0
2023-02-21,0.226341,1
2023-02-22,,0
2023-02-23,0.387712,1
2023-02-24,,0
2023-02-25,,0
2023-02-26,0.0084603333333333,3
2023-02-27,0.0888086666666666,6
2023-02-28,0.0862888461538461,13
2023-03-01,0.158608,1
2023-03-02,0.291085,1
2023-03-03,0.0765116666666666,3
2023-03-04,,0
2023-03-05,,0
2023-03-06,,0
2023-03-07,0.16325,1
2023-03-08,,0
2023-03-09,0.2337995,2
2023-03-10,0.130677,2
2023-03-11,,0
2023-03-12,,0
2023-03-13,0.1255525,2
2023-03-14,0.207283,1
2023-03-15,0.138213,2
2023-03-16,0.165078,2
2023-03-17,0.192381,1
2023-03-18,0.228373,1
2023-03-19,,0
2023-03-20,,0
2023-03-21,0.430904,1
2023-03-22,0.1011,1
2023-03-23,,0
2023-03-24,0.160322,1
2023-03-25,,0
2023-03-26,,0
2023-03-27,,0
2023-03-28,,0
2023-03-29,,0
2023-03-30,0.180137,3
2023-03-31,0.161545,1
2023-04-01,0.278683,1
2023-04-02,,0
2023-04-03,0.244697,2
2023-04-04,0.400195,1
2023-04-05,0.2317716666666666,3
2023-04-06,0.188829,1
2023-04-07,,0
2023-04-08,,0
2023-04-09,,0
2023-04-10,0.1990493333333333,3
2023-04-11,0.292233,1
2023-04-12,,0
2023-04-13,0.2132715,2
2023-04-14,0.2303064999999999,2
2023-04-15,,0
2023-04-16,,0
2023-04-17,0.28735025,4
2023-04-18,0.121195,2
2023-04-19,0.242867,1
2023-04-20,0.350252,1
2023-04-21,0.2178565,2
2023-04-22,,0
2023-04-23,,0
2023-04-24,0.139802,1
2023-04-25,,0
2023-04-26,0.2469055,2
2023-04-27,0.076622,1
2023-04-28,,0
2023-04-29,,0
