date,sentiment,num_articles
1999-11-01,,0
1999-11-02,,0
1999-11-03,,0
1999-11-04,,0
1999-11-05,,0
1999-11-06,,0
1999-11-07,,0
1999-11-08,,0
1999-11-09,,0
1999-11-10,,0
1999-11-11,,0
1999-11-12,,0
1999-11-13,,0
1999-11-14,,0
1999-11-15,,0
1999-11-16,,0
1999-11-17,,0
1999-11-18,,0
1999-11-19,,0
1999-11-20,,0
1999-11-21,,0
1999-11-22,,0
1999-11-23,,0
1999-11-24,,0
1999-11-25,,0
1999-11-26,,0
1999-11-27,,0
1999-11-28,,0
1999-11-29,,0
1999-11-30,,0
2022-12-18,,0
2022-12-19,0.260616,1
2022-12-20,0.323452,1
2022-12-21,0.182072,1
2022-12-22,0.36694,1
2022-12-23,,0
2022-12-24,,0
2022-12-25,0.285616,1
2022-12-26,,0
2022-12-27,0.2498385,2
2022-12-28,0.240426,1
2022-12-29,,0
2022-12-30,,0
2022-12-31,,0
2023-01-01,,0
2023-01-02,0.399789,2
2023-01-03,0.278435,2
2023-01-04,0.281065,1
2023-01-05,,0
2023-01-06,0.2271525,2
2023-01-07,,0
2023-01-08,,0
2023-01-09,,0
2023-01-10,0.133429,1
2023-01-11,,0
2023-01-12,,0
2023-01-13,0.312346,1
2023-01-14,,0
2023-01-15,,0
2023-01-16,,0
2023-01-17,,0
2023-01-18,,0
2023-01-19,0.1874736666666666,3
2023-01-20,,0
2023-01-21,,0
2023-01-22,,0
2023-01-23,0.153904,1
2023-01-24,0.165388,1
2023-01-25,,0
2023-01-26,,0
2023-01-27,0.3510614999999999,2
2023-01-28,,0
2023-01-29,0.0705746666666666,3
2023-01-30,0.1008886666666666,3
2023-01-31,0.238219,2
2023-02-01,-0.033961,1
2023-02-02,,0
2023-02-03,,0
2023-02-04,0.236926,1
2023-02-05,0.28356275,4
2023-02-06,0.046144,1
2023-02-07,,0
2023-02-08,0.36452,2
2023-02-09,,0
2023-02-10,,0
2023-02-11,0.2620714999999999,4
2023-02-12,0.275195,1
2023-02-13,0.214414,1
2023-02-14,0.2771599999999999,2
2023-02-15,,0
2023-02-16,,0
2023-02-17,,0
2023-02-18,,0
2023-02-19,,0
2023-02-20,,0
2023-02-21,,0
2023-02-22,0.270408,1
2023-02-23,,0
2023-02-24,0.261171,1
2023-02-25,0.176433,1
2023-02-26,0.177183,1
2023-02-27,,0
2023-02-28,,0
2023-03-01,0.286424,1
2023-03-02,,0
2023-03-03,,0
2023-03-04,0.274609,1
2023-03-05,0.300492,1
2023-03-06,0.319791,1
2023-03-07,0.2350189999999999,2
2023-03-08,0.205526,1
2023-03-09,,0
2023-03-10,0.0645215,4
2023-03-11,,0
2023-03-12,,0
2023-03-13,0.1022075,2
2023-03-14,0.1317482,5
2023-03-15,,0
2023-03-16,0.311608,5
2023-03-17,,0
2023-03-18,0.2634625,2
2023-03-19,,0
2023-03-20,0.248625,1
2023-03-21,,0
2023-03-22,,0
2023-03-23,0.175631,2
2023-03-24,,0
2023-03-25,,0
2023-03-26,,0
2023-03-27,0.228051,1
2023-03-28,0.207302,1
2023-03-29,,0
2023-03-30,0.290519,2
2023-03-31,0.246601,1
2023-04-01,,0
2023-04-02,,0
2023-04-03,0.201239,1
2023-04-04,0.221935,1
2023-04-05,-0.101362,1
2023-04-06,0.254125,1
2023-04-07,,0
2023-04-08,,0
2023-04-09,0.207677,1
2023-04-10,,0
2023-04-11,0.245797,1
2023-04-12,0.191705,1
2023-04-13,,0
2023-04-14,,0
2023-04-15,,0
2023-04-16,,0
2023-04-17,,0
2023-04-18,,0
2023-04-19,,0
2023-04-20,,0
2023-04-21,,0
2023-04-22,,0
2023-04-23,0.263769,1
2023-04-24,0.160964,1
2023-04-25,,0
2023-04-26,0.0891655,2
2023-04-27,,0
2023-04-28,0.111482,2
2023-04-29,,0
