date,sentiment,num_articles
2014-09-22,,0
2014-09-23,,0
2014-09-24,,0
2014-09-25,,0
2014-09-26,,0
2014-09-27,,0
2014-09-28,,0
2014-09-29,,0
2014-09-30,,0
2014-10-01,,0
2014-10-02,,0
2014-10-03,,0
2014-10-04,,0
2014-10-05,,0
2014-10-06,,0
2014-10-07,,0
2014-10-08,,0
2014-10-09,,0
2014-10-10,,0
2014-10-11,,0
2014-10-12,,0
2014-10-13,,0
2014-10-14,,0
2014-10-15,,0
2014-10-16,,0
2014-10-17,,0
2014-10-18,,0
2014-10-19,,0
2014-10-20,,0
2014-10-21,,0
2022-10-28,0.2466288,5
2022-10-29,0.265351,1
2022-10-30,-0.0134446666666666,3
2022-10-31,0.1489716666666666,3
2022-11-01,0.1234518,5
2022-11-02,0.0110337499999999,12
2022-11-03,0.093999,1
2022-11-04,0.092935,2
2022-11-05,0.0760639999999999,3
2022-11-06,0.2314026,5
2022-11-07,0.2174225,4
2022-11-08,0.1660822,5
2022-11-09,0.0847583333333333,3
2022-11-10,0.136617,2
2022-11-11,0.2484869999999999,3
2022-11-12,,0
2022-11-13,0.117833,2
2022-11-14,0.3710056666666667,3
2022-11-15,0.092163,3
2022-11-16,0.32930675,4
2022-11-17,0.224959,2
2022-11-18,0.2302446,5
2022-11-19,0.0480993333333333,3
2022-11-20,0.262268,1
2022-11-21,0.3307796666666666,3
2022-11-22,0.1877075,6
2022-11-23,0.333258,1
2022-11-24,0.1752365,2
2022-11-25,,0
2022-11-26,0.245166,2
2022-11-27,-0.028922,1
2022-11-28,0.26077,1
2022-11-29,0.091151,3
2022-11-30,0.166707,4
2022-12-01,0.3140721666666666,6
2022-12-02,0.2259503333333333,3
2022-12-03,0.100092,1
2022-12-04,0.1866,1
2022-12-05,0.2160195,2
2022-12-06,0.2463207999999999,5
2022-12-07,0.260363,1
2022-12-08,0.1217375714285714,7
2022-12-09,0.2586904,5
2022-12-10,0.0826833333333333,3
2022-12-11,-0.004838,1
2022-12-12,0.256716,2
2022-12-13,0.1631519999999999,7
2022-12-14,0.1194757142857142,7
2022-12-15,0.2168986666666666,6
2022-12-16,0.2107241999999999,5
2022-12-17,0.0233977499999999,4
2022-12-18,,0
2022-12-19,0.1742346666666666,3
2022-12-20,0.130872,2
2022-12-21,0.2494306,5
2022-12-22,0.1736227142857142,7
2022-12-23,0.271682,3
2022-12-24,0.1286036666666666,3
2022-12-25,,0
2022-12-26,0.172768,1
2022-12-27,0.16218,1
2022-12-28,0.1460937142857143,7
2022-12-29,0.409726,1
2022-12-30,0.236182,2
2022-12-31,0.1563235,2
2023-01-01,0.2482694999999999,2
2023-01-02,0.116509,1
2023-01-03,0.0927659999999999,5
2023-01-04,0.14659825,4
2023-01-05,0.2130635,2
2023-01-06,,0
2023-01-07,0.0440195,2
2023-01-08,,0
2023-01-09,0.28544,1
2023-01-10,0.089446,3
2023-01-11,0.2697486666666667,3
2023-01-12,0.338057,1
2023-01-13,0.2203995,2
2023-01-14,0.185159,2
2023-01-15,0.011972,1
2023-01-16,0.240532,1
2023-01-17,0.276408,4
2023-01-18,,0
2023-01-19,0.143151,2
2023-01-20,0.0790692,5
2023-01-21,0.108592,1
2023-01-22,,0
2023-01-23,0.183227,3
2023-01-24,0.2561675,4
2023-01-25,0.2855282,5
2023-01-26,0.2903435,2
2023-01-27,-0.1157703333333333,3
2023-01-28,,0
2023-01-29,,0
2023-01-30,0.1518573999999999,5
2023-01-31,0.1023179999999999,5
2023-02-01,0.481126,1
2023-02-02,0.1454949999999999,4
2023-02-03,0.3186326666666667,3
2023-02-04,0.1137543333333333,3
2023-02-05,,0
2023-02-06,0.2656052499999999,4
2023-02-07,0.3137163333333333,3
2023-02-08,0.2555095,4
2023-02-09,,0
2023-02-10,0.1135252222222222,9
2023-02-11,,0
2023-02-12,0.2151016666666666,3
2023-02-13,0.1281685,4
2023-02-14,0.1625617999999999,5
2023-02-15,0.2823112,5
2023-02-16,0.2933389999999999,3
2023-02-17,,0
2023-02-18,0.340114,1
2023-02-19,0.062384,3
2023-02-20,0.0757255,2
2023-02-21,0.0860225714285714,7
2023-02-22,0.1944922499999999,4
2023-02-23,0.2111545,2
2023-02-24,0.2870215,2
2023-02-25,,0
2023-02-26,0.191949,1
2023-02-27,0.08284,2
2023-02-28,0.1499617999999999,5
2023-03-01,0.2328065,6
2023-03-02,0.204617,2
2023-03-03,0.139397,3
2023-03-04,,0
2023-03-05,,0
2023-03-06,0.1806444999999999,2
2023-03-07,0.5226244999999999,2
2023-03-08,0.3356535714285714,7
2023-03-09,0.2789485,6
2023-03-10,0.4285843333333334,3
2023-03-11,0.2575715,2
2023-03-12,,0
2023-03-13,0.3042666666666667,3
2023-03-14,0.15591625,4
2023-03-15,0.386336,3
2023-03-16,0.26690025,4
2023-03-17,0.210396,4
2023-03-18,0.213134,2
2023-03-19,,0
2023-03-20,,0
2023-03-21,0.2186705,4
2023-03-22,0.279986,2
2023-03-23,0.2849613333333333,3
2023-03-24,0.2662393333333333,3
2023-03-25,,0
2023-03-26,,0
2023-03-27,0.2803039999999999,3
2023-03-28,0.253216,2
2023-03-29,0.254032,4
2023-03-30,0.2832325714285714,7
2023-03-31,0.2471256666666667,6
2023-04-01,,0
2023-04-02,0.237706,1
2023-04-03,0.2533693333333333,3
2023-04-04,0.437019,1
2023-04-05,0.3560879999999999,6
2023-04-06,0.350176,2
