date,sentiment,num_articles
2000-03-27,,0
2000-03-28,,0
2000-03-29,,0
2000-03-30,,0
2000-03-31,,0
2000-04-01,,0
2000-04-02,,0
2000-04-03,,0
2000-04-04,,0
2000-04-05,,0
2000-04-06,,0
2000-04-07,,0
2000-04-08,,0
2000-04-09,,0
2000-04-10,,0
2000-04-11,,0
2000-04-12,,0
2000-04-13,,0
2000-04-14,,0
2000-04-15,,0
2000-04-16,,0
2000-04-17,,0
2000-04-18,,0
2000-04-19,,0
2000-04-20,,0
2000-04-21,,0
2000-04-22,,0
2000-04-23,,0
2000-04-24,,0
2000-04-25,,0
2022-05-13,,0
2022-05-14,,0
2022-05-15,,0
2022-05-16,,0
2022-05-17,,0
2022-05-18,,0
2022-05-19,,0
2022-05-20,,0
2022-05-21,,0
2022-05-22,,0
2022-05-23,,0
2022-05-24,,0
2022-05-25,,0
2022-05-26,-0.024483,1
2022-05-27,,0
2022-05-28,,0
2022-05-29,,0
2022-05-30,,0
2022-05-31,,0
2022-06-01,,0
2022-06-02,,0
2022-06-03,,0
2022-06-04,,0
2022-06-05,,0
2022-06-06,0.07333,1
2022-06-07,0.09113,1
2022-06-08,,0
2022-06-09,,0
2022-06-10,0.0591423333333333,3
2022-06-11,,0
2022-06-12,,0
2022-06-13,-0.0344975,2
2022-06-14,-0.346202,1
2022-06-15,,0
2022-06-16,0.009204,1
2022-06-17,0.034286,1
2022-06-18,,0
2022-06-19,,0
2022-06-20,,0
2022-06-21,-0.158933,1
2022-06-22,-0.2332229999999999,2
2022-06-23,,0
2022-06-24,0.139717,1
2022-06-25,,0
2022-06-26,,0
2022-06-27,,0
2022-06-28,-0.01332,1
2022-06-29,0.016582,1
2022-06-30,-0.325617,1
2022-07-01,,0
2022-07-02,,0
2022-07-03,,0
2022-07-04,,0
2022-07-05,,0
2022-07-06,0.114433,1
2022-07-07,-0.009736,1
2022-07-08,,0
2022-07-09,,0
2022-07-10,,0
2022-07-11,,0
2022-07-12,,0
2022-07-13,0.160819,1
2022-07-14,,0
2022-07-15,,0
2022-07-16,,0
2022-07-17,,0
2022-07-18,0.2245505,2
2022-07-19,,0
2022-07-20,,0
2022-07-21,,0
2022-07-22,,0
2022-07-23,,0
2022-07-24,,0
2022-07-25,0.220038,1
2022-07-26,,0
2022-07-27,,0
2022-07-28,0.1844283333333333,3
2022-07-29,0.12559775,4
2022-07-30,,0
2022-07-31,,0
2022-08-01,,0
2022-08-02,0.272436,1
2022-08-03,0.274194,1
2022-08-04,0.151706,1
2022-08-05,0.286805,2
2022-08-06,,0
2022-08-07,0.335838,1
2022-08-08,,0
2022-08-09,,0
2022-08-10,,0
2022-08-11,0.112606,1
2022-08-12,,0
2022-08-13,,0
2022-08-14,,0
2022-08-15,,0
2022-08-16,,0
2022-08-17,0.1976014999999999,2
2022-08-18,0.344694,1
2022-08-19,,0
2022-08-20,,0
2022-08-21,,0
2022-08-22,,0
2022-08-23,,0
2022-08-24,,0
2022-08-25,0.366363,1
2022-08-26,,0
2022-08-27,0.256161,1
2022-08-28,,0
2022-08-29,,0
2022-08-30,,0
2022-08-31,0.167626,1
2022-09-01,0.167501,1
2022-09-02,,0
2022-09-03,,0
2022-09-04,,0
2022-09-05,,0
2022-09-06,0.505923,1
2022-09-07,0.306615,1
2022-09-08,,0
2022-09-09,,0
2022-09-10,,0
2022-09-11,,0
2022-09-12,,0
2022-09-13,0.288289,1
2022-09-14,,0
2022-09-15,0.266812,2
2022-09-16,,0
2022-09-17,0.1653985,2
2022-09-18,,0
2022-09-19,,0
2022-09-20,,0
2022-09-21,,0
2022-09-22,-0.070701,1
2022-09-23,,0
2022-09-24,,0
2022-09-25,,0
2022-09-26,,0
2022-09-27,,0
2022-09-28,,0
2022-09-29,,0
2022-09-30,,0
2022-10-01,,0
2022-10-02,,0
2022-10-03,,0
2022-10-04,,0
2022-10-05,,0
2022-10-06,,0
2022-10-07,0.3065489999999999,2
2022-10-08,,0
2022-10-09,,0
2022-10-10,,0
2022-10-11,,0
2022-10-12,0.275236,1
2022-10-13,,0
2022-10-14,0.082762,1
2022-10-15,,0
2022-10-16,,0
2022-10-17,,0
2022-10-18,0.1505783333333333,3
2022-10-19,0.234904,2
2022-10-20,0.135505,1
2022-10-21,0.172329,1
2022-10-22,,0
2022-10-23,,0
2022-10-24,,0
2022-10-25,,0
2022-10-26,,0
2022-10-27,0.1239253333333333,3
2022-10-28,0.1074951818181818,11
2022-10-29,,0
2022-10-30,,0
2022-10-31,-0.0674613333333333,3
2022-11-01,,0
2022-11-02,-0.017132,1
2022-11-03,-0.217636,1
2022-11-04,,0
2022-11-05,,0
2022-11-06,,0
2022-11-07,,0
2022-11-08,,0
2022-11-09,,0
2022-11-10,,0
2022-11-11,0.301375,1
2022-11-12,,0
2022-11-13,,0
2022-11-14,,0
2022-11-15,0.300507,1
2022-11-16,0.132783,2
2022-11-17,,0
2022-11-18,,0
2022-11-19,,0
2022-11-20,,0
2022-11-21,,0
2022-11-22,,0
2022-11-23,,0
2022-11-24,0.1216835,2
2022-11-25,,0
2022-11-26,,0
2022-11-27,,0
2022-11-28,0.188659,1
2022-11-29,,0
2022-11-30,,0
2022-12-01,,0
2022-12-02,,0
2022-12-03,,0
2022-12-04,,0
2022-12-05,,0
2022-12-06,0.135479,1
2022-12-07,0.14155,1
2022-12-08,0.273178,2
2022-12-09,,0
2022-12-10,,0
2022-12-11,,0
2022-12-12,,0
2022-12-13,,0
2022-12-14,0.190455,1
2022-12-15,,0
2022-12-16,0.191509,2
2022-12-17,,0
2022-12-18,,0
2022-12-19,0.216986,1
2022-12-20,0.2399675,2
2022-12-21,,0
2022-12-22,,0
2022-12-23,,0
2022-12-24,,0
2022-12-25,,0
2022-12-26,,0
2022-12-27,0.2727666666666666,3
2022-12-28,,0
2022-12-29,,0
2022-12-30,,0
2022-12-31,,0
2023-01-01,,0
2023-01-02,,0
2023-01-03,,0
