date,open,high,low,close,volume
2011-01-13,21.53,22.0,21.18,21.25,15536900.0
2011-01-14,21.16,21.45,21.16,21.31,1304800.0
2011-01-18,21.3,21.46,21.12,21.37,124800.0
2011-01-19,21.42,21.42,20.88,21.25,1010200.0
2011-01-20,21.05,21.4,21.03,21.21,736600.0
2011-01-21,21.3,21.3,21.03,21.25,636800.0
2011-01-24,21.2,21.39,21.1,21.3,354300.0
2011-01-25,21.2,21.47,21.15,21.27,295700.0
2011-01-26,21.29,21.36,21.21,21.27,346800.0
2011-01-27,21.2,21.4,21.2,21.4,450400.0
2011-01-28,21.26,21.38,21.26,21.3,475300.0
2011-01-31,21.3,21.4,21.25,21.29,197600.0
2011-02-01,21.27,21.4,21.21,21.3,560900.0
2011-02-02,21.15,21.25,21.06,21.11,168300.0
2011-02-03,21.02,21.28,21.02,21.18,549400.0
2011-02-04,21.1,21.28,21.0,21.06,219600.0
2011-02-07,21.07,21.2,20.95,21.16,454900.0
2011-02-08,21.21,21.21,20.94,20.95,247100.0
2011-02-09,20.8,21.2,20.61,21.14,423900.0
2011-02-10,21.01,21.35,21.01,21.24,256000.0
2011-02-11,21.11,21.39,21.02,21.39,175600.0
2011-02-14,21.21,21.55,21.15,21.35,154900.0
2011-02-15,21.15,21.4,21.1,21.28,183800.0
2011-02-16,21.39,21.39,21.18,21.3,56200.0
2011-02-17,21.3,21.89,21.3,21.54,146600.0
2011-02-18,21.54,21.59,21.3112,21.51,223300.0
2011-02-22,21.49,21.57,21.26,21.42,118100.0
2011-02-23,21.21,21.49,20.9,21.22,171700.0
2011-02-24,21.02,21.225,21.0,21.08,78400.0
2011-02-25,21.13,21.4501,21.0,21.4,85900.0
2011-02-28,21.48,21.6,21.33,21.56,133100.0
2011-03-01,21.54,21.69,21.31,21.5,219400.0
2011-03-02,21.48,21.52,21.03,21.17,170400.0
2011-03-03,21.18,21.51,21.06,21.49,53700.0
2011-03-04,21.5,21.6,21.21,21.27,115700.0
2011-03-07,21.5,21.5,20.91,21.03,212400.0
2011-03-08,21.06,21.44,20.96,21.35,214400.0
2011-03-09,21.29,21.44,20.96,21.15,186400.0
2011-03-10,21.0,21.11,20.72,20.77,162500.0
2011-03-11,20.54,21.02,20.45,20.7,52600.0
2011-03-14,20.58,21.0699,20.49,20.99,120400.0
2011-03-15,20.74,20.95,20.6,20.95,160300.0
2011-03-16,20.99,21.2,20.78,20.85,241300.0
2011-03-17,21.08,21.24,20.85,20.93,167400.0
2011-03-18,21.1,21.5,20.98,21.5,535500.0
2011-03-21,21.5,21.56,21.32,21.46,84600.0
2011-03-22,21.54,21.55,21.06,21.5,115900.0
2011-03-23,21.5,21.54,21.03,21.36,117500.0
2011-03-24,21.45,21.48,21.11,21.39,191300.0
2011-03-25,21.32,21.57,21.32,21.49,167500.0
2011-03-28,21.55,21.56,21.42,21.45,142600.0
2011-03-29,21.41,21.5,21.18,21.27,240800.0
2011-03-30,21.43,21.43,20.945,21.08,449400.0
2011-03-31,20.92,21.3,20.52,21.27,3116400.0
2011-04-01,21.3,21.88,21.27,21.67,737700.0
2011-04-04,21.67,21.95,21.61,21.74,101264.0
2011-04-05,21.74,21.81,21.69,21.75,65047.0
2011-04-06,21.77,22.01,21.69,21.95,244900.0
2011-04-07,21.89,21.89,21.29,21.53,218700.0
2011-04-08,21.6,21.61,21.125,21.37,158100.0
2011-04-11,21.34,21.46,21.16,21.25,163100.0
2011-04-12,21.17,21.32,21.14,21.23,263700.0
2011-04-13,21.23,21.41,21.16,21.38,210400.0
2011-04-14,21.25,21.63,21.1,21.4,130100.0
2011-04-15,21.34,21.55,21.2,21.5,160400.0
2011-04-18,21.34,21.54,21.16,21.26,100000.0
2011-04-19,21.27,21.3,21.1,21.25,100400.0
2011-04-20,21.43,21.69,21.22,21.67,159600.0
2011-04-21,21.75,21.75,21.31,21.68,128500.0
2011-04-25,21.59,21.99,21.16,21.68,136900.0
2011-04-26,21.77,22.05,21.66,21.95,191700.0
2011-04-27,21.9,22.28,21.87,22.03,249800.0
2011-04-28,22.0,22.12,21.94,22.05,134700.0
2011-04-29,22.09,22.18,21.87,22.08,137000.0
2011-05-02,22.08,22.19,21.94,22.11,131000.0
2011-05-03,22.12,22.25,21.96,22.02,478100.0
2011-05-04,22.05,22.08,21.73,21.93,107000.0
2011-05-05,21.85,22.05,21.66,21.89,86900.0
2011-05-06,22.02,22.04,21.59,21.72,57000.0
2011-05-09,21.67,21.9,21.44,21.9,62000.0
2011-05-10,21.76,22.13,21.76,22.07,56200.0
2011-05-11,22.04,22.11,21.705,22.03,129100.0
2011-05-12,21.98,22.05,21.68,22.01,43000.0
2011-05-13,22.05,22.05,21.59,21.8,155600.0
2011-05-16,21.73,22.0,21.6,21.75,186800.0
2011-05-17,21.64,22.14,21.54,21.79,113700.0
2011-05-18,21.69,21.94,21.6,21.88,100600.0
2011-05-19,21.95,22.21,21.84,21.95,318300.0
2011-05-20,21.86,22.02,21.54,21.81,114900.0
2011-05-23,21.63,21.66,21.15,21.18,182700.0
2011-05-24,21.25,21.47,21.23,21.23,149300.0
2011-05-25,21.26,21.71,21.26,21.64,125600.0
2011-05-26,21.64,21.87,21.52,21.76,128400.0
2011-05-27,21.84,22.13,21.65,22.04,46900.0
2011-05-31,22.34,22.58,22.14,22.42,354100.0
2011-06-01,22.43,22.43,21.94,21.94,260100.0
2011-06-02,21.8,23.34,21.48,21.81,151300.0
2011-06-03,21.64,21.94,21.64,21.83,136200.0
2011-06-06,21.83,22.03,21.64,21.72,227200.0
2011-06-07,21.84,21.925,21.7,21.7,87700.0
2011-06-08,21.63,21.85,21.6,21.66,73300.0
2011-06-09,21.7,21.78,21.5,21.61,142800.0
2011-06-10,21.5,21.7,21.4,21.52,218600.0
2011-06-13,21.43,21.4898,21.14,21.29,43000.0
2011-06-14,21.48,21.72,21.45,21.72,83900.0
2011-06-15,21.55,21.81,21.39,21.57,201700.0
