date,open,high,low,close,volume
1999-11-01,13.0,13.0,12.88,13.0,1891.0
1999-11-02,12.94,12.94,12.94,12.94,2229.0
1999-11-03,12.88,13.0,12.88,12.88,6484.0
1999-11-04,12.88,12.88,12.88,12.88,2161.0
1999-11-05,12.94,12.94,12.88,12.88,1013.0
1999-11-08,13.25,13.25,13.25,13.25,135.0
1999-11-09,13.0,13.0,13.0,13.0,540.0
1999-11-10,12.88,13.0,12.88,12.88,946.0
1999-11-11,12.88,12.94,12.88,12.94,2229.0
1999-11-12,13.03,13.03,12.94,12.94,135.0
1999-11-15,12.94,12.97,12.94,12.94,2702.0
1999-11-16,13.0,13.19,12.94,13.0,1418.0
1999-11-17,13.13,13.13,13.0,13.0,2026.0
1999-11-18,13.0,14.0,13.0,13.5,31541.0
1999-11-19,13.47,13.69,13.25,13.63,5403.0
1999-11-22,13.69,13.69,12.75,12.88,10469.0
1999-11-23,13.0,13.5,13.0,13.5,15467.0
1999-11-24,13.44,13.44,13.25,13.25,1891.0
1999-11-26,13.25,13.25,13.25,13.25,540.0
1999-11-29,13.38,13.38,13.0,13.13,34581.0
1999-11-30,13.0,13.13,13.0,13.13,8240.0
1999-12-01,13.25,13.5,13.19,13.19,16885.0
1999-12-02,13.19,13.25,13.19,13.25,810.0
1999-12-03,13.25,13.25,13.0,13.13,5066.0
1999-12-06,13.13,13.13,12.88,12.88,45522.0
1999-12-07,13.13,13.19,13.13,13.13,540.0
1999-12-08,13.12,13.12,13.12,13.12,0.0
1999-12-09,13.0,13.06,12.88,13.0,26071.0
1999-12-10,13.0,13.0,12.88,12.94,4593.0
1999-12-13,12.88,12.91,11.38,11.75,3715.0
1999-12-14,11.88,11.88,11.38,11.38,8105.0
1999-12-15,11.44,12.13,11.44,12.13,7375.0
1999-12-16,11.88,11.88,11.63,11.75,1621.0
1999-12-17,11.63,11.63,11.38,11.38,3566.0
1999-12-20,11.25,11.25,11.13,11.25,567.0
1999-12-21,11.25,11.25,11.13,11.13,1297.0
1999-12-22,11.0,11.0,10.25,10.25,3404.0
1999-12-23,10.5,10.5,10.19,10.25,4377.0
1999-12-27,10.13,10.69,10.0,10.69,8267.0
1999-12-28,10.38,10.72,10.38,10.72,2188.0
1999-12-29,10.81,10.88,10.38,10.75,1135.0
1999-12-30,10.63,10.75,10.25,10.38,3890.0
1999-12-31,10.75,10.75,10.63,10.63,567.0
2000-01-03,10.94,11.0,10.37,10.75,47170.0
2000-01-04,10.5,10.63,10.5,10.63,5673.0
2000-01-05,10.5,10.5,10.5,10.5,6808.0
2000-01-06,10.69,11.0,10.63,10.63,1216.0
2000-01-07,10.88,11.0,10.63,10.75,10293.0
2000-01-10,11.0,11.0,10.5,10.5,1540.0
2000-01-11,10.63,11.13,10.5,11.13,17101.0
2000-01-12,11.0,11.0,10.75,10.81,24234.0
2000-01-13,10.75,10.81,10.75,10.81,18317.0
2000-01-14,10.63,10.81,10.19,10.44,5836.0
2000-01-18,10.44,10.5,10.25,10.38,17912.0
2000-01-19,10.38,10.38,10.0,10.25,10779.0
2000-01-20,9.875,10.0,9.625,10.0,17588.0
2000-01-21,10.0,10.13,9.875,9.938,222073.0
2000-01-24,10.25,10.25,10.0,10.25,6889.0
2000-01-25,10.0,10.13,10.0,10.0,4052.0
2000-01-26,10.0,10.0,10.0,10.0,162.0
2000-01-27,10.0,10.0,10.0,10.0,2431.0
2000-01-28,10.0,10.0,10.0,10.0,486.0
2000-01-31,10.06,10.19,10.0,10.13,79671.0
2000-02-01,10.38,10.5,10.13,10.25,5025.0
2000-02-02,10.13,10.13,10.13,10.13,162.0
2000-02-03,10.13,10.25,10.13,10.25,3080.0
2000-02-04,10.25,10.25,10.12,10.12,17425.0
2000-02-07,10.5,10.5,10.5,10.5,2918.0
2000-02-08,10.5,10.63,10.25,10.25,973.0
2000-02-09,10.25,10.25,10.25,10.25,2756.0
2000-02-10,10.25,10.38,10.13,10.13,5836.0
2000-02-11,10.38,10.38,10.38,10.38,486.0
2000-02-14,10.13,10.13,10.13,10.13,162.0
2000-02-15,10.13,10.25,10.13,10.13,25449.0
2000-02-16,10.13,10.19,10.13,10.19,36553.0
2000-02-17,10.13,10.13,10.13,10.13,2594.0
2000-02-18,10.13,10.19,10.13,10.13,24720.0
2000-02-22,10.13,10.25,10.13,10.13,3647.0
2000-02-23,10.19,10.19,10.0,10.19,16453.0
2000-02-24,10.0,10.0,10.0,10.0,486.0
2000-02-25,10.0,10.0,10.0,10.0,1540.0
2000-02-28,9.75,10.0,9.75,10.0,3971.0
2000-02-29,9.875,9.875,9.875,9.875,2918.0
2000-03-01,9.875,10.25,9.875,9.875,9402.0
2000-03-02,10.0,10.0,9.875,9.875,5430.0
2000-03-03,9.875,9.875,9.875,9.875,12563.0
2000-03-06,9.875,10.06,9.875,10.0,21640.0
2000-03-07,9.938,10.0,9.938,10.0,22045.0
2000-03-08,10.0,10.0,9.938,9.938,7781.0
2000-03-09,9.938,9.938,9.938,9.938,324.0
2000-03-10,9.969,10.0,9.938,9.938,1459.0
2000-03-13,10.0,10.0,9.938,9.938,1540.0
2000-03-14,9.938,9.938,9.938,9.938,4215.0
2000-03-15,9.938,10.0,9.938,10.0,1054.0
2000-03-16,9.938,10.0,9.938,10.0,11995.0
2000-03-17,10.0,10.0,9.938,9.938,15642.0
2000-03-20,9.938,9.938,9.938,9.938,810.0
2000-03-21,9.938,9.938,9.938,9.938,1297.0
2000-03-22,9.938,10.13,9.938,10.0,18965.0
