date,open,high,low,close,volume
2025-09-02,1.475,1.6,1.33,1.38,19219300.0
2025-09-03,9.22,14.52,6.7,8.04,29818500.0
2025-09-04,8.325,8.34,6.24,6.41,17556703.0
2025-09-05,6.95,7.5,6.52,7.4,11995123.0
2025-09-08,7.595,8.48,7.54,8.34,12801706.0
2025-09-09,8.99,9.54,8.6301,9.31,14938023.0
2025-09-10,10.0,10.24,8.65,8.87,13026515.0
2025-09-11,8.95,8.95,8.0,8.28,8667559.0
2025-09-12,8.16,8.25,7.45,7.89,7207161.0
2025-09-15,7.67,7.71,7.05,7.075,5422604.0
2025-09-16,7.28,7.94,7.18,7.73,7078593.0
2025-09-17,7.89,8.05,7.27,7.7,7082035.0
2025-09-18,7.915,8.01,7.41,7.48,5643595.0
2025-09-19,7.48,7.4971,7.1,7.11,4478996.0
2025-09-22,7.0,7.36,6.74,7.24,4565235.0
2025-09-23,7.3,7.33,6.9,6.94,2635142.0
2025-09-24,7.045,7.34,6.94,6.99,2690045.0
2025-09-25,6.9,6.93,6.55,6.69,3139447.0
2025-09-26,6.64,6.6971,6.43,6.58,2450632.0
2025-09-29,6.81,6.84,6.5,6.62,3235828.0
2025-09-30,6.76,6.88,6.6,6.74,2764213.0
2025-10-01,6.8,7.39,6.7711,7.2,6133723.0
2025-10-02,7.45,7.5,7.0909,7.23,3684044.0
2025-10-03,7.34,7.34,6.89,6.98,3134700.0
2025-10-06,7.2,7.39,7.1,7.15,3563680.0
2025-10-07,7.18,7.33,6.615,6.8,3391551.0
2025-10-08,6.79,6.86,6.54,6.83,2534845.0
2025-10-09,6.76,6.789,6.51,6.55,1983164.0
2025-10-10,6.545,6.59,5.93,5.95,4057781.0
2025-10-13,6.14,6.25,5.96,6.03,1587246.0
2025-10-14,5.8,6.12,5.58,5.76,2404899.0
2025-10-15,5.85,5.97,5.44,5.59,2071274.0
2025-10-16,5.55,5.6278,5.0,5.03,3011846.0
2025-10-17,4.95,5.1,4.72,4.74,2481886.0
2025-10-20,5.11,5.12,4.855,5.09,1958624.0
2025-10-21,5.0,5.0593,4.69,4.87,1936415.0
2025-10-22,4.62,4.7,4.31,4.49,2326044.0
2025-10-23,4.52,5.05,4.49,5.05,2246561.0
2025-10-24,5.19,5.68,5.11,5.62,3898369.0
2025-10-27,6.0,6.4799,5.71,5.96,5844539.0
2025-10-28,6.065,6.14,5.5001,5.68,3090926.0
2025-10-29,5.6,5.6439,5.32,5.48,1836885.0
2025-10-30,5.18,5.49,5.11,5.15,2018293.0
2025-10-31,5.28,5.44,5.0,5.09,2329987.0
2025-11-03,5.09,5.12,4.675,4.92,2401496.0
2025-11-04,4.61,5.02,4.5285,4.64,1821318.0
2025-11-05,4.66,4.8943,4.51,4.79,2042114.0
2025-11-06,4.84,4.91,4.38,4.54,1698153.0
2025-11-07,4.4,4.65,4.0814,4.64,3027296.0
2025-11-10,4.86,5.08,4.47,4.89,4208508.0
2025-11-11,5.08,5.26,4.82,4.91,3517944.0
2025-11-12,5.11,5.2,4.8,4.93,2635034.0
2025-11-13,5.16,5.16,4.66,4.74,3652036.0
2025-11-14,4.54,5.1899,4.5,4.86,5203838.0
2025-11-17,5.0,5.28,4.86,5.05,3596829.0
2025-11-18,5.0,5.3565,4.85,5.07,4351937.0
2025-11-19,5.12,5.2,4.55,4.73,3166333.0
2025-11-20,4.91,4.99,4.515,4.58,2927169.0
2025-11-21,4.57,4.5872,4.13,4.43,3342839.0
2025-11-24,4.54,4.56,4.29,4.39,3550244.0
2025-11-25,4.47,4.49,4.2325,4.3,2913881.0
2025-11-26,4.22,4.28,4.07,4.2,4701497.0
2025-11-28,4.34,4.44,4.2,4.24,2271602.0
