date,open,high,low,close,volume
1999-11-01,6.88,7.0,6.88,7.0,600.0
1999-11-02,6.75,7.0,6.75,6.88,6700.0
1999-11-03,6.88,7.0,6.88,7.0,9800.0
1999-11-04,6.94,6.94,6.75,6.88,17900.0
1999-11-05,6.88,6.94,6.81,6.94,18900.0
1999-11-08,6.84,7.06,6.83,7.0,56000.0
1999-11-09,7.0,7.06,7.0,7.06,55100.0
1999-11-10,7.03,7.12,6.88,7.0,24900.0
1999-11-11,6.88,7.0,6.81,6.88,24500.0
1999-11-12,6.94,7.06,6.88,6.88,14100.0
1999-11-15,6.94,7.0,6.88,7.0,12000.0
1999-11-16,7.12,7.12,6.75,6.88,13100.0
1999-11-17,7.0,7.06,6.88,6.94,11400.0
1999-11-18,7.0,7.62,7.0,7.25,30800.0
1999-11-19,7.5,7.75,7.25,7.44,35400.0
1999-11-22,7.62,7.62,7.0,7.25,3600.0
1999-11-23,7.0,7.19,6.88,7.09,32800.0
1999-11-24,7.06,7.06,7.0,7.06,5700.0
1999-11-26,7.0,7.0,7.0,7.0,100.0
1999-11-29,7.25,7.25,6.88,7.0,5100.0
1999-11-30,7.56,7.56,7.0,7.0,9800.0
1999-12-01,7.38,7.38,7.12,7.12,2900.0
1999-12-02,7.0,7.06,7.0,7.0,21800.0
1999-12-03,7.06,7.38,7.0,7.0,239400.0
1999-12-06,7.0,7.12,6.75,6.75,14200.0
1999-12-07,6.81,7.03,6.81,7.03,23300.0
1999-12-08,6.88,6.94,6.88,6.94,19200.0
1999-12-09,7.12,7.31,7.0,7.0,8500.0
1999-12-10,6.94,7.0,6.94,7.0,10100.0
1999-12-13,7.0,7.12,7.0,7.0,6200.0
1999-12-14,7.0,7.0,6.88,7.0,19700.0
1999-12-15,7.0,7.12,6.88,6.88,15800.0
1999-12-16,6.88,6.88,6.75,6.75,24200.0
1999-12-17,6.75,7.0,6.75,6.98,20500.0
1999-12-20,7.0,7.25,6.62,6.75,8700.0
1999-12-21,7.0,7.0,6.75,6.75,70100.0
1999-12-22,7.12,8.0,6.75,7.25,25200.0
1999-12-23,6.88,7.0,6.5,6.75,8200.0
1999-12-27,6.75,7.0,6.75,6.88,8700.0
1999-12-28,6.88,7.0,6.75,7.0,39000.0
1999-12-29,7.0,7.38,7.0,7.38,24400.0
1999-12-30,7.25,7.88,7.25,7.5,28500.0
1999-12-31,7.62,7.88,7.5,7.5,4500.0
2000-01-03,7.5,7.88,7.5,7.5,2900.0
2000-01-04,7.5,9.0,7.5,8.25,26900.0
