date,open,high,low,close,volume
2025-09-19,24.0,24.0,24.0,24.0,170.0
2025-09-22,24.0,24.0,24.0,24.0,281.0
2025-09-23,63.68,67.01,14.0,16.53,853405.0
2025-09-24,16.15,16.185,14.25,14.86,324812.0
2025-09-25,14.29,15.11,14.29,14.3,162087.0
2025-09-26,14.24,14.65,13.52,13.52,74275.0
2025-09-29,14.49,14.49,13.2,13.7,54713.0
2025-09-30,13.3,14.0,13.2,13.34,21667.0
2025-10-01,13.3,13.7338,13.3,13.5,31498.0
2025-10-02,13.57,13.68,13.0,13.0,120371.0
2025-10-03,13.4,13.5768,13.03,13.03,178775.0
2025-10-06,13.5,13.52,13.19,13.34,266764.0
2025-10-07,13.27,13.375,13.0,13.09,314950.0
2025-10-08,13.315,13.315,12.815,12.98,235329.0
2025-10-09,13.0804,13.25,12.94,13.19,58227.0
2025-10-10,13.14,13.14,12.15,12.51,183855.0
2025-10-13,12.7,13.18,12.7,13.17,84531.0
2025-10-14,13.16,13.27,12.99,13.13,12084.0
2025-10-15,13.44,13.58,13.24,13.41,25142.0
2025-10-16,13.59,13.8181,13.57,13.78,24390.0
2025-10-17,13.84,14.07,13.59,13.63,11715.0
2025-10-20,13.52,13.8,13.33,13.8,9589.0
2025-10-21,13.63,13.83,13.59,13.685,10653.0
2025-10-22,14.0,14.04,12.941,13.77,38148.0
2025-10-23,14.05,14.155,13.75,14.105,19300.0
2025-10-24,14.29,14.59,14.27,14.375,11257.0
2025-10-27,14.37,14.9709,14.3142,14.48,7069.0
2025-10-28,14.45,14.78,14.3,14.78,18357.0
2025-10-29,14.79,14.79,14.4534,14.4534,18198.0
2025-10-30,14.43,14.55,14.3,14.51,7873.0
2025-10-31,14.46,14.55,14.085,14.54,13088.0
2025-11-03,14.53,14.66,14.43,14.525,8678.0
2025-11-04,14.09,14.21,13.84,14.01,13636.0
2025-11-05,14.23,14.31,13.91,14.18,15978.0
2025-11-06,14.08,14.36,13.85,13.85,34386.0
2025-11-07,14.86,15.08,14.68,15.01,39437.0
2025-11-10,15.43,15.67,15.385,15.49,9629.0
2025-11-11,15.774,15.774,15.3,15.35,9542.0
2025-11-12,15.56,15.58,15.24,15.51,13839.0
2025-11-13,15.63,15.63,15.31,15.55,15904.0
2025-11-14,15.98,15.98,15.66,15.77,86225.0
2025-11-17,15.79,15.8,15.27,15.585,27008.0
2025-11-18,14.29,15.4222,14.29,14.59,67333.0
2025-11-19,14.2,14.765,14.05,14.75,17967.0
2025-11-20,14.59,16.31,12.8,16.29,35215.0
2025-11-21,14.29,15.64,14.05,14.92,82599.0
2025-11-24,14.31,15.37,14.21,15.11,20283.0
2025-11-25,14.36,15.09,14.3,15.09,10123.0
2025-11-26,14.96,16.18,14.83,16.18,21852.0
2025-11-28,15.53,15.78,15.21,15.51,165971.0
2025-12-01,15.54,15.54,15.02,15.08,8347.0
2025-12-02,15.0,15.1,14.83,15.06,8546.0
