date,open,high,low,close,volume
2025-07-31,1.89,1.89,1.65,1.74,7462.0
2025-08-01,1.61,1.8,1.55,1.65,12270.0
2025-08-04,1.67,1.83,1.61,1.71,9572.0
2025-08-05,1.74,1.74,1.6,1.6,3028.0
2025-08-06,1.6514,1.7,1.61,1.61,24451.0
2025-08-07,1.61,1.62,1.584,1.584,39556.0
2025-08-08,1.63,1.63,1.473,1.58,27872.0
2025-08-11,1.44,1.75,1.41,1.75,83636.0
2025-08-12,1.55,1.6,1.541,1.56,18595.0
2025-08-13,1.58,1.65,1.53,1.53,76827.0
2025-08-14,1.59,1.59,1.5,1.5,15439.0
2025-08-15,1.61,1.61,1.43,1.449,26097.0
2025-08-18,1.48,1.48,1.42,1.4501,4876.0
2025-08-19,1.4501,1.4501,1.4501,1.4501,448.0
2025-08-20,1.45,1.5662,1.41,1.415,23392.0
2025-08-21,1.6722,1.6722,1.31,1.32,14439.0
2025-08-22,1.6777,1.6777,1.3886,1.3886,5467.0
2025-08-25,1.4,1.48,1.35,1.37,12011.0
2025-08-26,1.37,1.37,1.37,1.37,55.0
2025-08-27,1.45,1.48,1.35,1.4079,9742.0
2025-08-28,1.42,1.42,1.4,1.4,1819.0
2025-08-29,1.45,1.45,1.31,1.35,6702.0
2025-09-02,1.34,1.34,1.2,1.22,74562.0
2025-09-03,1.24,1.29,1.21,1.25,2249.0
2025-09-04,1.22,1.23,1.16,1.18,5628.0
2025-09-05,1.17,1.29,1.17,1.28,1061.0
2025-09-08,1.19,1.35,1.16,1.25,35767.0
2025-09-09,1.22,1.22,1.05,1.22,104679.0
2025-09-10,1.25,1.25,1.18,1.18,11143.0
2025-09-11,1.19,1.229,1.19,1.229,10000.0
2025-09-12,1.228,1.2301,1.1503,1.19,22641.0
2025-09-15,1.16,1.24,1.15,1.24,1266.0
2025-09-16,1.25,1.25,1.238,1.238,6506.0
2025-09-17,1.1995,1.26,1.1995,1.26,139469.0
2025-09-18,1.213,1.26,1.2,1.25,127589.0
2025-09-19,1.19,1.27,1.1499,1.18,12784.0
2025-09-22,1.2,1.2,1.15,1.15,603.0
2025-09-23,1.15,1.2,1.15,1.2,11718.0
2025-09-24,1.15,1.27,1.15,1.2,11082.0
2025-09-25,1.2,1.2,1.2,1.2,12.0
2025-09-26,1.2,1.2,1.2,1.2,20.0
2025-09-29,1.2,1.2,1.2,1.2,70.0
2025-09-30,1.19,1.2,1.0894,1.2,22765.0
2025-10-01,1.2,1.2,1.2,1.2,53.0
2025-10-02,1.24,1.27,1.24,1.24,7331.0
2025-10-03,1.27,1.27,1.215,1.215,1212.0
2025-10-06,1.16,1.28,1.16,1.27,8546.0
2025-10-07,1.27,1.28,1.16,1.2,17207.0
2025-10-08,1.2,1.21,1.1999,1.2,22052.0
2025-10-09,1.2,1.21,1.16,1.16,22531.0
2025-10-10,1.2,1.205,1.13,1.2,36756.0
2025-10-13,1.155,1.18,1.11,1.11,21090.0
2025-10-14,1.12,1.175,1.11,1.15,5004.0
2025-10-15,1.15,1.165,1.12,1.165,11793.0
2025-10-16,1.16,1.16,1.05,1.09,7614.0
2025-10-17,1.09,1.09,1.09,1.09,94.0
2025-10-20,1.06,1.08,1.0,1.0,19780.0
2025-10-21,1.17,1.34,1.1302,1.22,856157.0
2025-10-22,1.15,1.2,0.8131,0.9527,394222.0
2025-10-23,1.08,1.08,0.92,1.0,308617.0
2025-10-24,1.0,1.02,0.9301,1.0,19073.0
2025-10-27,1.0,1.01,1.0,1.0,57943.0
2025-10-28,0.98,1.075,0.98,1.0585,4476.0
2025-10-29,1.08,1.095,1.04,1.04,4075.0
2025-10-30,1.03,1.065,1.02,1.0201,9876.0
2025-10-31,1.08,1.08,1.03,1.03,3648.0
2025-11-03,1.08,1.1586,0.99,1.0,152523.0
2025-11-04,1.0,1.0,0.95,0.95,39713.0
2025-11-05,1.0705,1.085,0.9357,0.95,239959.0
2025-11-06,0.9501,1.0281,0.9501,0.9502,7775.0
2025-11-07,0.975,0.9751,0.9301,0.9302,5545.0
2025-11-10,1.1,1.16,0.98,0.98,43711.0
2025-11-11,1.02,1.08,0.96,0.96,118874.0
2025-11-12,1.0,1.0,0.96,0.9605,19127.0
2025-11-13,0.9974,0.9974,0.93,0.94,67908.0
2025-11-14,0.9001,0.955,0.9001,0.9367,6276.0
2025-11-17,1.0,1.0,0.85,0.85,234992.0
2025-11-18,0.9,0.95,0.85,0.85,152868.0
2025-11-19,0.85,0.85,0.7969,0.805,11453.0
2025-11-20,0.85,0.85,0.68,0.728,45292.0
2025-11-21,0.75,0.7678,0.67,0.7,27125.0
2025-11-24,0.7,0.79,0.7,0.725,8754.0
2025-11-25,0.71,0.71,0.7,0.71,5629.0
2025-11-26,0.7168,0.7168,0.5453,0.5453,18222.0
2025-11-28,0.641,0.65,0.571,0.6,31669.0
2025-12-01,0.5251,0.6155,0.516,0.53,21632.0
2025-12-02,0.5824,0.8442,0.54,0.5876,212604.0
