date,open,high,low,close,volume
2010-04-05,17.0,17.0,17.0,17.0,0.0
2010-04-06,17.0,17.0,17.0,17.0,0.0
2010-04-07,17.0,17.0,17.0,17.0,0.0
2010-04-08,17.0,17.0,17.0,17.0,0.0
2010-04-09,17.0,17.0,17.0,17.0,0.0
2010-04-12,17.0,17.0,17.0,17.0,0.0
2010-04-13,17.0,17.0,17.0,17.0,0.0
2010-04-14,17.0,17.0,17.0,17.0,0.0
2010-04-15,17.0,17.0,17.0,17.0,0.0
2010-04-16,17.0,17.0,17.0,17.0,0.0
2010-04-19,17.0,17.0,17.0,17.0,0.0
2010-04-20,17.0,17.0,17.0,17.0,0.0
2010-04-21,17.0,17.0,17.0,17.0,0.0
2010-04-22,17.0,17.0,17.0,17.0,0.0
2010-04-23,17.0,17.0,17.0,17.0,0.0
2010-04-26,17.0,17.0,17.0,17.0,0.0
2010-04-27,17.0,17.0,17.0,17.0,0.0
2010-04-28,19.0,19.0,19.0,19.0,200.0
2010-04-29,19.0,19.0,19.0,19.0,0.0
2010-04-30,19.0,19.0,19.0,19.0,0.0
2010-05-03,19.0,19.0,19.0,19.0,0.0
2010-05-04,19.0,19.0,19.0,19.0,0.0
2010-05-05,19.0,19.0,19.0,19.0,0.0
2010-05-06,19.0,19.0,19.0,19.0,0.0
2010-05-07,19.0,19.0,19.0,19.0,0.0
2010-05-10,19.0,19.0,19.0,19.0,0.0
2010-05-11,19.0,19.0,19.0,19.0,0.0
2010-05-12,19.0,19.0,19.0,19.0,0.0
2010-05-13,19.0,19.0,19.0,19.0,0.0
2010-05-14,19.0,19.0,19.0,19.0,0.0
2010-05-17,19.0,19.0,19.0,19.0,0.0
2010-05-18,22.0,22.0,21.99,21.99,400.0
2010-05-19,22.0,22.0,22.0,22.0,200.0
2010-05-20,22.0,22.0,22.0,22.0,0.0
2010-05-21,22.0,22.0,22.0,22.0,200.0
2010-05-24,22.0,22.0,22.0,22.0,0.0
2010-05-25,22.0,22.0,22.0,22.0,200.0
2010-05-26,22.0,22.0,22.0,22.0,200.0
2010-05-27,22.0,22.0,22.0,22.0,400.0
2010-05-28,16.0,16.0,14.99,15.0,800.0
2010-06-01,15.0,15.0,15.0,15.0,0.0
2010-06-02,15.0,15.0,15.0,15.0,0.0
2010-06-03,15.0,15.0,15.0,15.0,0.0
2010-06-04,15.0,15.0,15.0,15.0,0.0
2010-06-07,15.0,15.0,15.0,15.0,0.0
2010-06-08,15.0,15.0,15.0,15.0,0.0
2010-06-09,15.0,15.0,15.0,15.0,0.0
2010-06-10,15.0,15.0,15.0,15.0,0.0
2010-06-11,15.0,15.0,15.0,15.0,0.0
2010-06-14,15.0,15.0,15.0,15.0,600.0
2010-06-15,15.0,15.0,15.0,15.0,300.0
2010-06-16,14.95,14.95,14.95,14.95,400.0
2010-06-17,14.95,14.95,14.95,14.95,0.0
2010-06-18,14.95,14.95,14.95,14.95,0.0
2010-06-21,14.95,14.95,14.95,14.95,0.0
2010-06-22,14.95,14.95,14.95,14.95,0.0
2010-06-23,14.95,14.95,14.95,14.95,0.0
2010-06-24,14.95,14.95,14.95,14.95,0.0
2010-06-25,14.95,14.95,14.95,14.95,0.0
2010-06-28,14.95,14.95,14.95,14.95,0.0
2010-06-29,14.95,14.95,14.95,14.95,0.0
2010-06-30,14.95,14.95,14.95,14.95,0.0
2010-07-01,14.95,14.95,14.95,14.95,0.0
2010-07-02,14.95,14.95,14.95,14.95,0.0
2010-07-06,14.95,14.95,14.95,14.95,0.0
2010-07-07,14.95,14.95,14.95,14.95,0.0
