date,open,high,low,close,volume
2010-03-24,17.0,18.0,15.03,15.1,5530700.0
2010-03-25,15.35,15.7,14.0,14.25,1213400.0
2010-03-26,14.53,14.53,13.55,13.62,685400.0
2010-03-29,13.76,13.76,13.05,13.25,507200.0
2010-03-30,13.21,13.75,13.21,13.69,272100.0
2010-03-31,13.6,13.8,13.25,13.45,263200.0
2010-04-01,13.48,14.2,13.45,13.72,262100.0
2010-04-05,13.85,14.06,13.7,14.0,100000.0
2010-04-06,14.05,14.64,14.0,14.42,161800.0
2010-04-07,14.62,14.65,13.87,14.03,107800.0
2010-04-08,14.2,14.2,13.66,13.67,74900.0
2010-04-09,13.7,13.95,13.52,13.77,71300.0
2010-04-12,14.0,14.01,13.61,13.76,121000.0
2010-04-13,13.76,13.8,13.42,13.48,118500.0
2010-04-14,13.7,13.85,13.45,13.66,557000.0
2010-04-15,13.7,14.25,13.7,14.16,168100.0
2010-04-16,14.24,14.57,13.88,14.38,143200.0
2010-04-19,14.4,14.54,14.01,14.07,76300.0
2010-04-20,14.05,14.65,14.01,14.61,140800.0
2010-04-21,14.68,14.8064,14.26,14.52,200000.0
2010-04-22,14.5,14.52,13.76,14.05,413200.0
2010-04-23,14.1,14.33,13.93,13.96,95500.0
2010-04-26,14.0,14.1,13.3,13.34,273800.0
2010-04-27,13.48,13.48,11.88,12.19,501800.0
2010-04-28,12.23,12.4499,11.92,12.03,213500.0
2010-04-29,12.07,12.5,11.99,12.36,135600.0
2010-04-30,12.48,12.55,11.8,12.0,171300.0
2010-05-03,12.5,12.5,11.53,12.04,452800.0
2010-05-04,12.25,12.47,11.9,12.29,206900.0
2010-05-05,12.15,12.32,11.58,11.86,206000.0
2010-05-06,11.74,11.98,10.83,11.6,363200.0
2010-05-07,10.93,11.25,10.14,10.4,653100.0
2010-05-10,10.85,10.96,10.02,10.24,362800.0
2010-05-11,10.2,10.25,9.66,10.2,411700.0
2010-05-12,10.16,10.75,10.05,10.4,246500.0
2010-05-13,10.32,10.87,10.3,10.83,242900.0
2010-05-14,10.97,11.37,10.71,10.9,318100.0
2010-05-17,10.9,11.31,10.75,11.31,121900.0
2010-05-18,11.46,11.9,11.09,11.15,222200.0
2010-05-19,11.15,11.4,10.9,11.06,148200.0
2010-05-20,10.89,11.0,10.39,10.64,205400.0
2010-05-21,10.6,11.22,10.51,10.85,95000.0
2010-05-24,10.8,11.12,10.8,11.02,172100.0
2010-05-25,10.8,11.02,10.7,10.93,71600.0
2010-05-26,11.0,11.56,11.0,11.4,49100.0
2010-05-27,11.67,12.065,11.58,11.89,84200.0
2010-05-28,11.9,12.62,11.9,12.23,90100.0
2010-06-01,12.11,12.35,11.68,11.68,66300.0
2010-06-02,11.67,12.13,11.57,12.04,67900.0
