date,open,high,low,close,volume
1999-11-01,7.13,7.13,7.13,7.13,0.0
1999-11-02,7.38,7.38,7.0,7.25,3000.0
1999-11-03,7.25,7.5,7.25,7.5,7500.0
1999-11-04,7.63,7.63,7.5,7.5,1500.0
1999-11-05,7.5,7.75,7.5,7.75,1500.0
1999-11-08,7.5,7.5,7.5,7.5,0.0
1999-11-09,7.5,7.5,7.5,7.5,0.0
1999-11-10,7.69,7.75,7.69,7.75,1500.0
1999-11-11,7.63,7.63,7.63,7.63,0.0
1999-11-12,7.75,8.0,7.75,8.0,1500.0
1999-11-15,8.0,8.94,8.0,8.94,6000.0
1999-11-16,9.0,9.63,9.0,9.5,18000.0
1999-11-17,9.63,10.0,9.5,10.0,7500.0
1999-11-18,10.0,10.38,10.0,10.38,7500.0
1999-11-19,10.38,10.75,10.25,10.75,12000.0
1999-11-22,10.63,10.75,10.5,10.5,27000.0
1999-11-23,10.5,10.88,10.5,10.75,16500.0
1999-11-24,10.63,10.88,10.63,10.75,3000.0
1999-11-26,10.75,10.75,10.75,10.75,0.0
1999-11-29,11.0,11.0,11.0,11.0,1500.0
1999-11-30,10.88,10.88,10.75,10.75,0.0
1999-12-01,10.63,10.63,10.44,10.5,10500.0
1999-12-02,10.38,10.38,10.38,10.38,0.0
1999-12-03,10.63,10.63,10.5,10.5,1500.0
1999-12-06,10.5,10.5,10.38,10.38,3000.0
1999-12-07,10.38,10.38,10.13,10.13,3000.0
1999-12-08,10.13,10.13,10.13,10.13,0.0
1999-12-09,10.13,10.13,10.13,10.13,0.0
1999-12-10,10.25,10.38,10.25,10.38,0.0
1999-12-13,10.13,10.13,10.0,10.0,1500.0
1999-12-14,9.88,9.88,9.5,9.5,4500.0
1999-12-15,9.44,9.44,9.44,9.44,0.0
1999-12-16,9.25,9.25,9.13,9.13,1500.0
1999-12-17,9.13,9.13,9.13,9.13,0.0
1999-12-20,9.25,9.38,9.25,9.25,1500.0
1999-12-21,9.25,9.25,9.25,9.25,0.0
1999-12-22,9.25,9.38,9.25,9.25,4500.0
1999-12-23,9.25,9.38,9.25,9.38,0.0
1999-12-27,9.31,9.38,9.25,9.38,3000.0
1999-12-28,9.38,9.5,9.38,9.5,3000.0
1999-12-29,9.75,9.88,9.63,9.63,6000.0
