date,open,high,low,close,volume
2020-08-21,25.75,25.75,24.75,25.26,12641.0
2020-08-24,25.5,25.95,25.46,25.75,45834.0
2020-08-25,25.95,25.95,25.5,25.75,17890.0
2020-08-26,25.75,25.8,25.75,25.8,1215.0
2020-08-27,25.75,25.85,25.75,25.75,17405.0
2020-08-28,25.7,25.81,25.7,25.75,4293.0
2020-08-31,25.75,25.75,25.55,25.6,10752.0
2020-09-01,25.7,25.74,25.6,25.74,21600.0
2020-09-02,25.74,25.89,25.74,25.845,9188.0
2020-09-03,25.89,25.89,25.7,25.77,2643.0
2020-09-04,25.6664,25.75,25.6664,25.675,764.0
2020-09-08,25.68,25.73,25.6,25.6,16435.0
2020-09-09,25.65,25.65,25.51,25.5986,13229.0
2020-09-10,25.65,25.65,25.6,25.65,3664.0
2020-09-11,25.65,25.65,25.65,25.65,1031.0
2020-09-14,25.7378,25.7378,25.6985,25.6985,1530.0
2020-09-15,25.65,25.65,25.6254,25.6254,4761.0
2020-09-16,25.68,25.69,25.55,25.55,6089.0
2020-09-17,25.51,25.6,25.5,25.6,2358.0
2020-09-18,25.58,25.65,25.578,25.65,1601.0
2020-09-21,25.5,25.5,25.375,25.4998,6845.0
2020-09-22,25.5,25.53,25.4505,25.5,5171.0
2020-09-23,25.45,25.45,25.248,25.248,5369.0
2020-09-24,25.22,25.29,25.15,25.15,18151.0
2020-09-25,25.1,25.24,25.1,25.24,12340.0
2020-09-28,25.25,25.45,25.25,25.3459,4182.0
2020-09-29,25.3499,25.35,25.15,25.25,8303.0
2020-09-30,25.2,25.2,25.05,25.05,4831.0
2020-10-01,25.15,25.2,25.125,25.15,10319.0
2020-10-02,25.13,25.45,25.13,25.2499,10458.0
2020-10-05,25.32,25.32,25.15,25.2,7947.0
2020-10-06,25.2,25.35,25.15,25.17,5795.0
2020-10-07,25.25,25.3301,25.25,25.3,3727.0
2020-10-08,25.25,25.3499,25.15,25.16,10784.0
2020-10-09,25.3,25.44,25.15,25.44,9069.0
2020-10-12,25.3,25.3,25.27,25.28,1721.0
2020-10-13,25.35,25.49,25.35,25.4879,6627.0
2020-10-14,25.5,25.5,25.3515,25.425,8686.0
