date,open,high,low,close,volume
2024-09-17,1.63,1.902,1.6,1.81,103500.0
2024-09-18,1.85,1.8853,1.7,1.74,57614.0
2024-09-19,1.74,1.8999,1.68,1.8399,28994.0
2024-09-20,1.7964,1.88,1.7,1.83,32623.0
2024-09-23,1.83,1.83,1.66,1.66,43886.0
2024-09-24,1.8,1.8,1.65,1.77,54725.0
2024-09-25,1.81,1.81,1.61,1.7,77429.0
2024-09-26,1.68,1.7469,1.59,1.6862,60766.0
2024-09-27,1.66,1.7,1.62,1.7,27262.0
2024-09-30,1.6999,1.89,1.66,1.71,124326.0
2024-10-01,1.7,1.7693,1.44,1.51,93680.0
2024-10-02,1.6071,1.6071,1.4,1.42,62665.0
2024-10-03,1.505,1.6699,1.43,1.49,97672.0
2024-10-04,1.5887,1.5887,1.43,1.48,53144.0
2024-10-07,1.49,1.79,1.4801,1.79,339753.0
2024-10-08,1.66,1.73,1.52,1.53,196300.0
2024-10-09,1.51,1.5741,1.4701,1.51,38185.0
2024-10-10,1.5486,1.55,1.45,1.46,29846.0
2024-10-11,1.49,1.5099,1.45,1.47,14324.0
2024-10-14,1.5169,1.66,1.5169,1.62,43747.0
2024-10-15,1.57,1.6,1.55,1.57,15308.0
2024-10-16,1.57,1.6999,1.55,1.6201,74988.0
2024-10-17,1.6399,1.8199,1.62,1.79,144104.0
2024-10-18,1.82,1.821,1.6301,1.79,49326.0
2024-10-21,1.8,1.8,1.67,1.75,40291.0
2024-10-22,1.71,1.7794,1.67,1.68,33083.0
2024-10-23,1.68,1.79,1.64,1.7399,328448.0
2024-10-24,2.61,3.17,2.1,2.41,35650193.0
2024-10-25,2.43,2.61,2.338,2.4,756763.0
2024-10-28,2.43,2.7,2.4154,2.56,392828.0
2024-10-29,2.64,2.96,2.61,2.68,223175.0
2024-10-30,2.66,2.6699,2.1401,2.42,133430.0
2024-10-31,2.33,2.35,2.1608,2.2,117825.0
2024-11-01,2.2,2.25,1.86,2.0,121502.0
2024-11-04,2.1,2.1,1.99,1.99,28681.0
2024-11-05,2.12,2.12,1.995,2.01,32647.0
2024-11-06,1.9,2.055,1.9,1.97,61681.0
2024-11-07,1.97,2.1362,1.91,1.95,29445.0
2024-11-08,2.02,2.02,1.76,1.89,37206.0
2024-11-11,1.89,1.89,1.7101,1.81,50378.0
2024-11-12,1.83,1.91,1.6201,1.72,41893.0
2024-11-13,1.79,1.79,1.62,1.63,18308.0
2024-11-14,1.65,1.65,1.54,1.55,15448.0
2024-11-15,1.54,1.58,1.4601,1.51,19234.0
2024-11-18,1.5,1.59,1.5,1.56,16831.0
2024-11-19,1.71,1.71,1.58,1.68,28139.0
2024-11-20,1.58,1.84,1.58,1.73,32901.0
2024-11-21,1.71,1.7899,1.685,1.72,10685.0
2024-11-22,1.72,1.83,1.7033,1.78,17079.0
2024-11-25,1.89,1.89,1.65,1.77,24428.0
2024-11-26,1.77,1.8667,1.71,1.76,14592.0
2024-11-27,1.69,1.8874,1.69,1.78,15324.0
2024-11-29,1.83,1.83,1.7,1.73,18510.0
2024-12-02,1.76,1.8,1.73,1.76,15703.0
2024-12-03,1.74,1.83,1.74,1.8,14973.0
2024-12-04,1.8525,1.8525,1.79,1.8061,13262.0
2024-12-05,1.82,1.93,1.8,1.85,28649.0
2024-12-06,1.79,1.9453,1.67,1.7,56584.0
2024-12-09,1.65,1.74,1.65,1.67,17947.0
2024-12-10,1.65,1.67,1.6,1.66,24126.0
2024-12-11,1.6601,1.68,1.59,1.61,12269.0
2024-12-12,1.67,1.685,1.6,1.65,25064.0
2024-12-13,1.65,1.65,1.59,1.59,8904.0
2024-12-16,1.59,1.6894,1.59,1.5968,11886.0
2024-12-17,1.52,1.59,1.52,1.53,17305.0
2024-12-18,1.52,1.55,1.5,1.5,28197.0
2024-12-19,1.49,1.5,1.47,1.47,7025.0
2024-12-20,1.47,1.53,1.4201,1.48,21543.0
2024-12-23,1.499,1.4999,1.41,1.42,14336.0
2024-12-24,1.401,1.55,1.401,1.52,13783.0
