date,open,high,low,close,volume
2025-04-17,33.75,41.8,32.0,32.44,14716015.0
2025-04-21,33.5,35.86,30.08,30.66,5470049.0
2025-04-22,31.92,32.29,29.0,31.03,4516499.0
2025-04-23,32.23,34.84,31.61,32.7,3448374.0
2025-04-24,32.65,32.65,31.14,31.3,1575207.0
2025-04-25,31.56,31.56,30.6,31.11,919788.0
2025-04-28,31.5,34.59,31.44,34.5,3083855.0
2025-04-29,36.0,39.47,35.3,35.4,3735122.0
2025-04-30,35.3,35.41,32.7,33.49,1850098.0
2025-05-01,33.605,35.38,33.56,34.76,813153.0
2025-05-02,35.8,35.91,34.6,35.69,785547.0
2025-05-05,35.11,35.49,34.5,35.11,501431.0
2025-05-06,35.63,36.455,33.87,34.6,1045195.0
2025-05-07,34.25,34.25,31.62,32.02,1810245.0
2025-05-08,32.35,33.19,31.61,32.5,1065121.0
2025-05-09,32.24,32.48,31.52,32.0,573635.0
2025-05-12,32.82,33.0,30.01,30.7,1951299.0
2025-05-13,30.1,30.35,27.21,27.36,2354890.0
2025-05-14,28.26,30.5451,28.26,28.94,1659552.0
2025-05-15,28.78,30.48,28.56,30.01,834135.0
2025-05-16,30.1,30.6,28.5001,29.54,857401.0
2025-05-19,29.54,30.57,28.7,29.87,751430.0
2025-05-20,30.04,31.65,29.0,29.16,1367485.0
2025-05-21,29.45,30.7586,29.35,29.74,1148354.0
2025-05-22,29.6,30.27,29.15,29.8,397113.0
2025-05-23,29.28,29.75,28.8,29.62,292680.0
2025-05-27,30.89,31.47,29.35,29.58,1770642.0
2025-05-28,29.5,31.04,29.2,30.88,1007826.0
2025-05-29,30.91,31.0,30.0,30.98,1073277.0
2025-05-30,30.86,30.86,27.88,28.01,1681174.0
2025-06-02,28.86,30.95,27.6,30.79,1322357.0
2025-06-03,30.39,31.47,30.32,30.46,1120075.0
2025-06-04,31.08,35.42,30.985,35.08,2517154.0
2025-06-05,33.0,33.99,31.55,31.66,2413976.0
2025-06-06,32.36,33.0,31.95,32.58,803491.0
2025-06-09,33.11,33.695,31.4,32.75,1279960.0
2025-06-10,32.2,32.2,30.39,30.64,1238528.0
2025-06-11,30.7,31.31,30.33,30.9,719888.0
2025-06-12,30.76,30.97,29.5789,30.0,1366137.0
2025-06-13,29.8,30.1,29.2245,29.38,752187.0
2025-06-16,29.78,30.2,29.32,29.59,760737.0
2025-06-17,29.38,29.43,28.04,28.29,1373838.0
2025-06-18,28.15,28.4599,27.96,28.3,740009.0
2025-06-20,28.41,28.9,27.99,28.48,757045.0
2025-06-23,28.08,28.29,27.5124,28.27,936064.0
2025-06-24,28.88,28.88,27.8,28.13,615926.0
2025-06-25,28.2,28.37,25.51,25.65,3501133.0
2025-06-26,25.65,26.13,25.26,26.06,1502838.0
2025-06-27,26.0,26.86,25.84,26.26,549756.0
2025-06-30,26.35,26.45,25.73,26.11,774189.0
2025-07-01,26.42,27.1,26.1303,26.2,655590.0
2025-07-02,26.71,27.6,26.69,26.86,1317782.0
2025-07-03,26.92,27.68,26.865,27.3,911620.0
2025-07-07,28.0,29.06,27.83,28.75,2081825.0
2025-07-08,28.75,29.1,27.87,28.01,1087168.0
2025-07-09,27.84,28.34,26.6,28.1,1427477.0
2025-07-10,28.24,28.88,28.14,28.42,523964.0
2025-07-11,28.0,28.045,27.5,27.55,688863.0
2025-07-14,27.42,27.93,27.07,27.22,679984.0
2025-07-15,27.27,27.3,26.41,26.54,999086.0
2025-07-16,26.63,26.63,25.91,26.34,725292.0
2025-07-17,26.34,26.575,25.96,26.17,792684.0
2025-07-18,26.2,26.4,24.445,24.55,2369092.0
2025-07-21,24.53,24.71,24.21,24.36,931043.0
2025-07-22,24.52,25.2528,24.35,25.02,1016932.0
2025-07-23,25.06,25.85,24.945,25.63,930777.0
2025-07-24,25.63,25.7,24.15,24.33,1124707.0
2025-07-25,24.21,24.22,23.3,23.53,1185470.0
2025-07-28,23.6,23.89,23.18,23.19,595428.0
2025-07-29,23.245,23.64,23.0,23.11,599459.0
2025-07-30,23.14,23.78,23.06,23.4,940740.0
2025-07-31,23.06,23.198,22.06,22.11,1329053.0
2025-08-01,21.911,22.2,21.16,21.24,990017.0
2025-08-04,21.67,22.19,21.21,21.69,1041439.0
2025-08-05,21.74,21.86,20.87,20.87,1148706.0
2025-08-06,21.5,22.38,20.96,21.72,1644534.0
2025-08-07,21.66,22.4,21.66,21.78,864917.0
2025-08-08,21.8,21.8,21.02,21.72,663143.0
2025-08-11,21.715,22.46,21.66,21.79,510891.0
2025-08-12,21.8,22.02,21.4318,21.66,507130.0
2025-08-13,22.05,22.31,21.6301,21.68,519373.0
2025-08-14,21.65,21.68,20.56,21.52,1175151.0
2025-08-15,21.58,22.28,21.23,22.24,875673.0
2025-08-18,22.35,23.59,22.19,23.14,2250135.0
