date,open,high,low,close,volume
2003-10-09,14.7,14.9,14.67,14.89,1088375.0
2003-10-10,14.78,14.89,14.78,14.89,327927.0
2003-10-13,15.15,15.35,15.15,15.3,393630.0
2003-10-14,15.16,15.29,15.16,15.26,926327.0
2003-10-15,15.17,15.29,15.17,15.26,300526.0
2003-10-16,15.1,15.6,15.1,15.5,700638.0
2003-10-17,15.3,15.42,15.26,15.29,1077326.0
2003-10-20,15.05,15.24,15.05,15.11,918298.0
2003-10-21,15.05,15.3,15.05,15.29,276955.0
2003-10-22,15.15,15.3,15.13,15.16,400701.0
2003-10-23,15.06,15.4,15.06,15.32,330873.0
2003-10-24,15.15,15.34,15.13,15.28,286825.0
2003-10-27,15.33,15.5,15.32,15.38,132585.0
2003-10-28,15.4,15.73,15.4,15.59,284100.0
2003-10-29,15.53,15.85,15.5,15.85,434879.0
2003-10-30,15.82,16.1,15.82,15.9,297211.0
2003-10-31,15.8,15.82,15.26,15.48,306934.0
2003-11-03,15.4,15.67,15.4,15.67,36903.0
2003-11-04,15.1,15.35,14.98,15.09,256773.0
2003-11-05,15.11,15.2,15.06,15.19,252648.0
2003-11-06,15.09,15.22,15.07,15.2,154019.0
2003-11-07,15.17,15.19,15.05,15.05,144591.0
2003-11-10,14.98,14.99,14.85,14.85,108720.0
2003-11-11,14.95,14.99,14.8,14.92,132880.0
2003-11-12,15.02,15.13,14.97,15.05,644068.0
2003-11-13,15.05,15.1,15.05,15.1,297211.0
2003-11-14,15.05,15.06,15.0,15.02,181568.0
2003-11-17,14.82,14.87,14.75,14.82,89348.0
2003-11-18,14.85,14.95,14.85,14.87,122862.0
2003-11-19,14.77,14.77,14.6,14.65,422357.0
2003-11-20,14.55,14.6,14.55,14.57,68355.0
2003-11-21,14.5,14.61,14.5,14.55,76015.0
2003-11-24,14.65,14.82,14.65,14.82,26443.0
2003-11-25,14.68,14.94,14.68,14.84,544335.0
2003-11-26,14.75,14.9,14.73,14.78,468835.0
2003-11-28,14.57,14.74,14.57,14.69,193721.0
2003-12-01,14.59,14.69,14.59,14.65,207422.0
2003-12-02,14.55,14.58,14.43,14.5,202634.0
2003-12-03,14.42,14.57,14.42,14.5,217292.0
2003-12-04,14.45,14.55,14.42,14.5,1138757.0
2003-12-05,14.28,14.39,14.28,14.36,52518.0
2003-12-08,14.1,14.2,14.07,14.11,441360.0
2003-12-09,13.98,14.08,13.97,13.97,165878.0
2003-12-10,14.02,14.05,13.95,13.95,419631.0
2003-12-11,13.95,14.14,13.95,14.14,660568.0
2003-12-12,14.02,14.19,14.01,14.15,299274.0
2003-12-15,14.25,14.25,14.15,14.15,628600.0
2003-12-16,14.15,14.25,14.15,14.25,160870.0
2003-12-17,14.1,14.2,14.07,14.14,85665.0
2003-12-18,14.14,14.3,14.14,14.24,203297.0
2003-12-19,14.19,14.25,14.17,14.21,45374.0
2003-12-22,14.22,14.29,14.18,14.25,106142.0
2003-12-23,14.23,14.4,14.2,14.4,186135.0
2003-12-24,14.33,14.35,14.3,14.35,16499.0
2003-12-26,14.35,14.35,14.27,14.3,23718.0
2003-12-29,14.33,14.5,14.32,14.47,92588.0
2003-12-30,14.37,14.5,14.37,14.49,18488.0
2003-12-31,14.5,14.55,14.35,14.5,195047.0
2004-01-02,14.75,14.99,14.65,14.93,129712.0
2004-01-05,15.3,15.58,15.3,15.4,404016.0
2004-01-06,15.35,15.49,15.2,15.49,321371.0
2004-01-07,15.25,15.38,15.21,15.21,280343.0
2004-01-08,15.05,15.16,14.99,15.06,304651.0
2004-01-09,14.96,15.19,14.93,14.99,221711.0
2004-01-12,15.1,15.38,15.08,15.26,430606.0
2004-01-13,15.12,15.29,15.12,15.25,319382.0
2004-01-14,15.2,15.34,15.2,15.25,183851.0
2004-01-15,15.2,15.25,15.13,15.2,154093.0
2004-01-16,15.24,15.25,15.1,15.1,140835.0
2004-01-20,15.11,15.48,15.11,15.44,235854.0
2004-01-21,15.3,15.49,15.3,15.48,178842.0
2004-01-22,15.48,15.64,15.45,15.5,174865.0
2004-01-23,15.44,15.5,15.42,15.42,108720.0
2004-01-26,15.36,15.59,15.36,15.55,109677.0
2004-01-27,15.7,15.96,15.6,15.86,851490.0
2004-01-28,15.84,16.3,15.74,16.05,982012.0
2004-01-29,15.75,15.88,15.7,15.85,253385.0
2004-01-30,15.85,16.04,15.85,16.0,149084.0
2004-02-02,16.0,16.13,16.0,16.02,148495.0
2004-02-03,15.82,15.99,15.79,15.92,88906.0
2004-02-04,15.82,15.84,15.6,15.75,326454.0
2004-02-05,15.55,15.9,15.5,15.9,114907.0
2004-02-06,15.75,15.99,15.75,15.95,176485.0
2004-02-09,16.0,16.2,16.0,16.15,83381.0
2004-02-10,16.12,16.21,16.12,16.15,95019.0
2004-02-11,16.15,16.5,16.03,16.45,383023.0
2004-02-12,16.38,16.6,16.35,16.56,259572.0
2004-02-13,16.4,16.6,16.4,16.5,96492.0
2004-02-17,16.38,17.0,16.35,16.8,201308.0
2004-02-18,16.55,16.62,16.45,16.49,203592.0
2004-02-19,16.24,16.59,16.24,16.5,178032.0
2004-02-20,16.58,16.7,16.45,16.55,343395.0
2004-02-23,16.4,16.5,16.35,16.45,253900.0
2004-02-24,16.22,16.39,16.19,16.38,312606.0
2004-02-25,16.31,16.5,16.31,16.47,260161.0
2004-02-26,16.32,16.4,16.31,16.4,242704.0
2004-02-27,16.22,16.44,16.22,16.44,235854.0
2004-03-01,16.44,16.98,16.44,16.94,235265.0
2004-03-02,16.8,16.97,16.61,16.79,228046.0
2004-03-03,16.75,16.95,16.6,16.9,341185.0
2004-03-04,17.5,17.8,17.5,17.69,422504.0
2004-03-05,17.25,17.49,17.25,17.45,421915.0
2004-03-08,17.4,17.69,17.4,17.63,272241.0
2004-03-09,17.63,17.69,17.63,17.65,179137.0
2004-03-10,17.63,17.63,17.4,17.4,270105.0
2004-03-11,17.4,17.55,17.4,17.5,397534.0
