date,open,high,low,close,volume
2004-08-16,13.0,13.07,13.0,13.05,335200.0
2004-08-17,13.02,13.15,13.0,13.1,149900.0
2004-08-18,13.1,13.75,13.1,13.75,285600.0
2004-08-19,13.75,14.15,13.7,14.15,279700.0
2004-08-20,14.05,14.2,13.91,14.0,219400.0
2004-08-23,14.1,14.2,13.93,14.1,98400.0
2004-08-24,14.0,14.08,13.9,13.95,78700.0
2004-08-25,14.0,14.09,13.9,14.09,88200.0
2004-08-26,14.09,14.19,13.9,14.0,70500.0
2004-08-27,13.95,14.7,13.9,14.5,333300.0
2004-08-30,14.0,14.57,14.0,14.48,92000.0
2004-08-31,14.58,14.9,14.45,14.9,122700.0
2004-09-01,14.99,15.39,14.97,15.2,247300.0
2004-09-02,15.2,15.39,15.15,15.3,74500.0
2004-09-03,15.3,15.3,15.15,15.15,54500.0
2004-09-07,15.2,15.3,15.08,15.15,65400.0
2004-09-08,15.2,15.25,15.02,15.2,45600.0
2004-09-09,15.1,15.2,15.05,15.2,63800.0
2004-09-10,15.25,15.49,15.25,15.4,134100.0
2004-09-13,15.5,15.73,15.45,15.5,94700.0
2004-09-14,15.6,15.6,15.34,15.47,50400.0
2004-09-15,15.3,15.49,15.05,15.4,57200.0
2004-09-16,15.4,15.84,15.4,15.84,55800.0
2004-09-17,15.7,15.95,15.7,15.85,39200.0
2004-09-20,15.75,16.03,15.66,15.75,112600.0
2004-09-21,15.8,15.99,15.76,15.97,165800.0
2004-09-22,15.98,16.0,15.77,15.9,96700.0
2004-09-23,15.8,15.92,15.8,15.92,51700.0
2004-09-24,15.9,16.08,15.9,16.07,55900.0
2004-09-27,16.0,16.25,15.8,16.15,134700.0
2004-09-28,16.15,16.46,15.95,16.16,129900.0
2004-09-29,16.16,16.16,15.64,15.91,86700.0
2004-09-30,15.85,15.85,15.2,15.44,285700.0
2004-10-01,15.5,15.55,14.7,15.54,188700.0
2004-10-04,15.61,15.92,15.5,15.8,55500.0
2004-10-05,15.85,15.89,15.49,15.72,31300.0
2004-10-06,15.66,16.19,15.66,16.0,34700.0
2004-10-07,16.15,16.25,15.9,16.19,45900.0
2004-10-08,16.24,16.5,16.09,16.4,78700.0
